HPitb1ch04-0001	chiave	DELLE CHIAVI BUM!
HPitb1ch04-0059	tremulo	gli altri non potevano vedere quel che faceva, ma quando si ritrasse, un attimo dopo, il fuoco scoppiettava, illuminando l’umida catapecchia di un tremulo bagliore.
HPitb1ch04-0060	calore	Harry sentì il calore inondarlo come se si fosse immerso in un bagno caldo.
HPitb1ch04-0061	immergersi	Harry sentì il calore inondarlo come se si fosse immerso in un bagno caldo.
HPitb1ch04-0062	caldo	Harry sentì il calore inondarlo come se si fosse immerso in un bagno caldo.
HPitb1ch04-0063	cedere	Il gigante tornò a sedersi sul divano che cedette sotto il suo peso e cominciò a tirare fuori dalle tasche del pastrano ogni sorta di oggetti:
HPitb1ch04-0064	peso	Il gigante tornò a sedersi sul divano che cedette sotto il suo peso e cominciò a tirare fuori dalle tasche del pastrano ogni sorta di oggetti:
HPitb1ch04-0065	sorta	Il gigante tornò a sedersi sul divano che cedette sotto il suo peso e cominciò a tirare fuori dalle tasche del pastrano ogni sorta di oggetti:
HPitb1ch04-0066	oggetto	Il gigante tornò a sedersi sul divano che cedette sotto il suo peso e cominciò a tirare fuori dalle tasche del pastrano ogni sorta di oggetti:
HPitb1ch04-0067	bollitore	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
HPitb1ch04-0068	rame	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
HPitb1ch04-0069	salsiccia	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
HPitb1ch04-0070	attizzatoio	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
HPitb1ch04-0071	teiera	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
HPitb1ch04-0072	sbeccare	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
HPitb1ch04-0073	liquido	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
HPitb1ch04-0074	ambra	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
HPitb1ch04-0075	sorsata	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
HPitb1ch04-0076	sfrigolare	Ben presto la catapecchia fu piena dello sfrigolio e dell’odore di salsiccia.
HPitb1ch04-0077	succulento	Nessuno disse una parola mentre il gigante si dava da fare, ma non appena ebbe fatto scivolare dall’attizzatoio le prime sei salsicce, grasse, succulente e leggermente abbrustolite, Dudley diede segni di irrequietezza.
HPitb1ch04-0078	abbrustolire	Nessuno disse una parola mentre il gigante si dava da fare, ma non appena ebbe fatto scivolare dall’attizzatoio le prime sei salsicce, grasse, succulente e leggermente abbrustolite, Dudley diede segni di irrequietezza.
HPitb1ch04-0079	irrequietezza	Nessuno disse una parola mentre il gigante si dava da fare, ma non appena ebbe fatto scivolare dall’attizzatoio le prime sei salsicce, grasse, succulente e leggermente abbrustolite, Dudley diede segni di irrequietezza.
HPitb1ch04-0080	beffardo	«Non toccare niente di quel che ti dà, Dudley!» Il gigante ridacchiò beffardo.
HPitb1ch04-0081	preoccuparsi	«Non preoccuparti, Dursley, quel ciccione di tuo figlio non ha bisogno di ingrassare ancora».
HPitb1ch04-0082	bisogno	«Non preoccuparti, Dursley, quel ciccione di tuo figlio non ha bisogno di ingrassare ancora».
HPitb1ch04-0083	ingrassare	«Non preoccuparti, Dursley, quel ciccione di tuo figlio non ha bisogno di ingrassare ancora».
HPitb1ch04-0084	affamato	il ragazzo era talmente affamato che gli parve di non aver mai assaggiato niente di così squisito;
HPitb1ch04-0085	assaggiare	il ragazzo era talmente affamato che gli parve di non aver mai assaggiato niente di così squisito;
HPitb1ch04-0086	squisito	il ragazzo era talmente affamato che gli parve di non aver mai assaggiato niente di così squisito;
HPitb1ch04-0087	dosso	intanto, non riusciva a togliere gli occhi di dosso al gigante.
HPitb1ch04-0088	spiegazione	Infine, visto che nessuno si decideva a dare spiegazioni, disse:
HPitb1ch04-0089	sorso	Il gigante bevve un sorso di tè e si asciugò la bocca col dorso della mano.
HPitb1ch04-0090	dorso	Il gigante bevve un sorso di tè e si asciugò la bocca col dorso della mano.
HPitb1ch04-0091	spiacere	«Mi spiace» si affrettò a dire Harry.
HPitb1ch04-0092	abbaiare	» abbaiò Hagrid voltandosi a guardare i Dursley che si ritrassero in un angolo buio.
HPitb1ch04-0093	dispiacere	«È a loro che deve dispiacere!
HPitb1ch04-0094	diamine	Sapevo che non ti davano le lettere, ma... che non sapevi niente di Hogwarts... diamine!
HPitb1ch04-0095	tuonare	!» tuonò Hagrid.
HPitb1ch04-0096	appiattire	I Dursley erano appiattiti contro la parete.
HPitb1ch04-0097	dopotutto	Dopotutto, era andato a scuola e i suoi voti non erano poi tanto male.
HPitb1ch04-0098	voto	Dopotutto, era andato a scuola e i suoi voti non erano poi tanto male.
HPitb1ch04-0099	tabellina	«So le tabelline e altre cose del genere».
HPitb1ch04-0100	gesto	Ma Hagrid fece un gesto impaziente con la mano e disse:
HPitb1ch04-0101	pallido	Zio Vernon, che si era fatto pallidissimo, biascicò qualcosa che suonò come un pio pio.
HPitb1ch04-0102	biascicare	Zio Vernon, che si era fatto pallidissimo, biascicò qualcosa che suonò come un pio pio.
HPitb1ch04-0103	pio	Zio Vernon, che si era fatto pallidissimo, biascicò qualcosa che suonò come un pio pio.
HPitb1ch04-0104	incredulo	» «Tu non sai... non sai...» Hagrid si passò le dita tra i capelli, fissando Harry con uno sguardo incredulo.
HPitb1ch04-0105	coraggioso	Anche un uomo più coraggioso di Vernon Dursley avrebbe tremato di paura allo sguardo furibondo che Hagrid gli lanciò.
HPitb1ch04-0106	tremare	Anche un uomo più coraggioso di Vernon Dursley avrebbe tremato di paura allo sguardo furibondo che Hagrid gli lanciò.
HPitb1ch04-0107	sillaba	Quando il gigante parlò, ogni sillaba fu uno scoppio di rabbia.
HPitb1ch04-0108	scoppio	Quando il gigante parlò, ogni sillaba fu uno scoppio di rabbia.
HPitb1ch04-0109	appiccicare	Non gli hai mai detto che cosa c’era scritto nella lettera che Silente gli ha appiccicato addosso?
HPitb1ch04-0110	avido	» «Che cosa mi ha tenuto nascosto?» chiese Harry avido di sapere.
HPitb1ch04-0111	proibire	GLIELO PROIBISCO!» gridò zio Vernon in preda al panico.
HPitb1ch04-0112	panico	GLIELO PROIBISCO!» gridò zio Vernon in preda al panico.
HPitb1ch04-0113	rantolo	Zia Petunia emise un rantolo d’orrore.
HPitb1ch04-0114	mago	«Harry... tu sei un mago».
HPitb1ch04-0115	frangere	Si sentiva solo il frangersi delle onde e l’ululato del vento.
HPitb1ch04-0116	ululato	Si sentiva solo il frangersi delle onde e l’ululato del vento.
HPitb1ch04-0117	gemere	» disse Hagrid tornando a sedersi sul divano che gemette e si affossò ancora di più.
HPitb1ch04-0118	affossare	» disse Hagrid tornando a sedersi sul divano che gemette e si affossò ancora di più.
HPitb1ch04-0119	fiocco	«Anzi, un mago coi fiocchi, direi, una volta che avrai studiato un pochetto.
HPitb1ch04-0120	magia	SCUOLA DI MAGIA E STREGONERIA DI HOGWARTS Preside:
HPitb1ch04-0121	stregoneria	SCUOLA DI MAGIA E STREGONERIA DI HOGWARTS Preside:
HPitb1ch04-0122	preside	SCUOLA DI MAGIA E STREGONERIA DI HOGWARTS Preside:
HPitb1ch04-0123	stregone	Albus Silente (Ordine di Merlino, Prima Classe, Grande Mago, Stregone Capo, Supremo Pezzo Grosso, Confed.
HPitb1ch04-0124	supremo	Albus Silente (Ordine di Merlino, Prima Classe, Grande Mago, Stregone Capo, Supremo Pezzo Grosso, Confed.
HPitb1ch04-0125	confederazione	Albus Silente (Ordine di Merlino, Prima Classe, Grande Mago, Stregone Capo, Supremo Pezzo Grosso, Confed.
HPitb1ch04-0126	internazionale	Internaz.
HPitb1ch04-0127	lieto	dei Maghi) Caro signor Potter, siamo lieti di informarLa che Lei ha diritto a frequentare la Scuola di Magia e Stregoneria di Hogwarts.
HPitb1ch04-0128	diritto	dei Maghi) Caro signor Potter, siamo lieti di informarLa che Lei ha diritto a frequentare la Scuola di Magia e Stregoneria di Hogwarts.
HPitb1ch04-0129	frequentare	dei Maghi) Caro signor Potter, siamo lieti di informarLa che Lei ha diritto a frequentare la Scuola di Magia e Stregoneria di Hogwarts.
HPitb1ch04-0130	accluso	Qui accluso troverà l’elenco di tutti i libri di testo e delle attrezzature necessarie.
HPitb1ch04-0131	elenco	Qui accluso troverà l’elenco di tutti i libri di testo e delle attrezzature necessarie.
HPitb1ch04-0132	testo	Qui accluso troverà l’elenco di tutti i libri di testo e delle attrezzature necessarie.
HPitb1ch04-0133	attrezzatura	Qui accluso troverà l’elenco di tutti i libri di testo e delle attrezzature necessarie.
HPitb1ch04-0134	necessario	Qui accluso troverà l’elenco di tutti i libri di testo e delle attrezzature necessarie.
HPitb1ch04-0135	inizio	L’anno scolastico avrà inizio il 1º settembre.
HPitb1ch04-0136	entro	Restiamo in attesa del Suo gufo entro e non oltre il 31 luglio p.v.
HPitb1ch04-0137	distinto	Distinti saluti, Minerva McGonagall Vicepreside Harry sentì una ridda di domande che gli esplodeva nella testa come un fuoco d’artificio, ma non riusciva a decidere da quale cominciare.
HPitb1ch04-0138	vicepreside	Distinti saluti, Minerva McGonagall Vicepreside Harry sentì una ridda di domande che gli esplodeva nella testa come un fuoco d’artificio, ma non riusciva a decidere da quale cominciare.
HPitb1ch04-0139	ridda	Distinti saluti, Minerva McGonagall Vicepreside Harry sentì una ridda di domande che gli esplodeva nella testa come un fuoco d’artificio, ma non riusciva a decidere da quale cominciare.
HPitb1ch04-0140	artificio	Distinti saluti, Minerva McGonagall Vicepreside Harry sentì una ridda di domande che gli esplodeva nella testa come un fuoco d’artificio, ma non riusciva a decidere da quale cominciare.
HPitb1ch04-0141	mille	» «Per mille Gorgoni!
HPitb1ch04-0142	zampa	L’avevo dimenticato» disse Hagrid battendosi una mano sulla fronte così forte che avrebbe mandato a zampe all’aria un cavallo da tiro, e dall’ennesima tasca interna del pastrano estrasse un gufo – un gufo in carne e ossa, con le penne tutte arruffate – una lunga penna d’oca e un rotolo di pergamena.
HPitb1ch04-0143	cavallo	L’avevo dimenticato» disse Hagrid battendosi una mano sulla fronte così forte che avrebbe mandato a zampe all’aria un cavallo da tiro, e dall’ennesima tasca interna del pastrano estrasse un gufo – un gufo in carne e ossa, con le penne tutte arruffate – una lunga penna d’oca e un rotolo di pergamena.
HPitb1ch04-0144	ennesimo	L’avevo dimenticato» disse Hagrid battendosi una mano sulla fronte così forte che avrebbe mandato a zampe all’aria un cavallo da tiro, e dall’ennesima tasca interna del pastrano estrasse un gufo – un gufo in carne e ossa, con le penne tutte arruffate – una lunga penna d’oca e un rotolo di pergamena.
HPitb1ch04-0145	carne	L’avevo dimenticato» disse Hagrid battendosi una mano sulla fronte così forte che avrebbe mandato a zampe all’aria un cavallo da tiro, e dall’ennesima tasca interna del pastrano estrasse un gufo – un gufo in carne e ossa, con le penne tutte arruffate – una lunga penna d’oca e un rotolo di pergamena.
HPitb1ch04-0146	penna	L’avevo dimenticato» disse Hagrid battendosi una mano sulla fronte così forte che avrebbe mandato a zampe all’aria un cavallo da tiro, e dall’ennesima tasca interna del pastrano estrasse un gufo – un gufo in carne e ossa, con le penne tutte arruffate – una lunga penna d’oca e un rotolo di pergamena.
HPitb1ch04-0147	arruffato	L’avevo dimenticato» disse Hagrid battendosi una mano sulla fronte così forte che avrebbe mandato a zampe all’aria un cavallo da tiro, e dall’ennesima tasca interna del pastrano estrasse un gufo – un gufo in carne e ossa, con le penne tutte arruffate – una lunga penna d’oca e un rotolo di pergamena.
HPitb1ch04-0148	oca	L’avevo dimenticato» disse Hagrid battendosi una mano sulla fronte così forte che avrebbe mandato a zampe all’aria un cavallo da tiro, e dall’ennesima tasca interna del pastrano estrasse un gufo – un gufo in carne e ossa, con le penne tutte arruffate – una lunga penna d’oca e un rotolo di pergamena.
HPitb1ch04-0149	rotolo	L’avevo dimenticato» disse Hagrid battendosi una mano sulla fronte così forte che avrebbe mandato a zampe all’aria un cavallo da tiro, e dall’ennesima tasca interna del pastrano estrasse un gufo – un gufo in carne e ossa, con le penne tutte arruffate – una lunga penna d’oca e un rotolo di pergamena.
HPitb1ch04-0150	lingua	Con la lingua tra i denti per lo sforzo, buttò giù un biglietto che Harry riuscì a leggere all’incontrario:
HPitb1ch04-0151	dente	Con la lingua tra i denti per lo sforzo, buttò giù un biglietto che Harry riuscì a leggere all’incontrario:
HPitb1ch04-0152	biglietto	Con la lingua tra i denti per lo sforzo, buttò giù un biglietto che Harry riuscì a leggere all’incontrario:
HPitb1ch04-0153	incontrario	Con la lingua tra i denti per lo sforzo, buttò giù un biglietto che Harry riuscì a leggere all’incontrario:
HPitb1ch04-0154	domani	Domani lo porto a comprare la roba che gli serve.
HPitb1ch04-0155	porgere	Hagrid Poi arrotolò la pergamena, la porse al gufo che l’afferrò col becco, si diresse verso la porta e lanciò il volatile nella bufera.
HPitb1ch04-0156	volatile	Hagrid Poi arrotolò la pergamena, la porse al gufo che l’afferrò col becco, si diresse verso la porta e lanciò il volatile nella bufera.
HPitb1ch04-0157	bufera	Hagrid Poi arrotolò la pergamena, la porse al gufo che l’afferrò col becco, si diresse verso la porta e lanciò il volatile nella bufera.
HPitb1ch04-0158	stupore	Harry, rendendosi conto che aveva la bocca aperta per lo stupore, si affrettò a richiuderla.
HPitb1ch04-0159	richiudere	Harry, rendendosi conto che aveva la bocca aperta per lo stupore, si affrettò a richiuderla.
HPitb1ch04-0160	terreo	«Dove ero arrivato?» riprese Hagrid, ma in quello stesso momento zio Vernon, ancora terreo in volto ma con espressione molto arrabbiata, si avvicinò al fuoco.
HPitb1ch04-0161	espressione	«Dove ero arrivato?» riprese Hagrid, ma in quello stesso momento zio Vernon, ancora terreo in volto ma con espressione molto arrabbiata, si avvicinò al fuoco.
HPitb1ch04-0162	grugnire	Hagrid grugnì.
HPitb1ch04-0163	interessato	«Un che cosa?» chiese Harry interessato.
HPitb1ch04-0164	magico	«È così che chiamiamo le persone senza poteri magici, come loro.
HPitb1ch04-0165	sfortuna	E per tua sfortuna sei cresciuto nella famiglia dei peggio Babbani che ho mai visto».
HPitb1ch04-0166	figurare	Figuriamoci!» «Lo sapevate?
HPitb1ch04-0167	strillare	» «Se lo sapevamo!» strillò zia Petunia.
HPitb1ch04-0168	dannazione	Come avresti potuto sfuggire a questa dannazione, visto che tipo era mia sorella?
HPitb1ch04-0169	tipo	Come avresti potuto sfuggire a questa dannazione, visto che tipo era mia sorella?
HPitb1ch04-0170	inghiottire	Ricevette una lettera proprio come la tua e sparì, inghiottita in quella... in quella scuola... e ogni volta che tornava a casa per le vacanze, aveva le tasche piene di uova di rana, e trasformava le tazze da tè in topi.
HPitb1ch04-0171	rana	Ricevette una lettera proprio come la tua e sparì, inghiottita in quella... in quella scuola... e ogni volta che tornava a casa per le vacanze, aveva le tasche piene di uova di rana, e trasformava le tazze da tè in topi.
HPitb1ch04-0172	trasformare	Ricevette una lettera proprio come la tua e sparì, inghiottita in quella... in quella scuola... e ogni volta che tornava a casa per le vacanze, aveva le tasche piene di uova di rana, e trasformava le tazze da tè in topi.
HPitb1ch04-0173	balordo	una balorda!
HPitb1ch04-0174	fiero	Erano tutti fieri di avere una strega in famiglia!» Si interruppe per riprendere fiato e poi ricominciò a sbraitare.
HPitb1ch04-0175	strega	Erano tutti fieri di avere una strega in famiglia!» Si interruppe per riprendere fiato e poi ricominciò a sbraitare.
HPitb1ch04-0176	interrompere	Erano tutti fieri di avere una strega in famiglia!» Si interruppe per riprendere fiato e poi ricominciò a sbraitare.
HPitb1ch04-0177	ricominciare	Erano tutti fieri di avere una strega in famiglia!» Si interruppe per riprendere fiato e poi ricominciò a sbraitare.
HPitb1ch04-0178	attendere	Sembrava che avesse atteso per anni il momento di sputar fuori tutto.
HPitb1ch04-0179	sputare	Sembrava che avesse atteso per anni il momento di sputar fuori tutto.
HPitb1ch04-0180	sposarsi	Se ne andarono insieme, si sposarono e nascesti tu, e naturalmente sapevo benissimo che tu saresti stato identico a loro, altrettanto strampalato, altrettanto... balordo... e poi, se permetti, hanno avuto la bella idea di saltare in aria, ed ecco che tu ci sei piombato tra capo e collo!
HPitb1ch04-0181	altrettanto	Se ne andarono insieme, si sposarono e nascesti tu, e naturalmente sapevo benissimo che tu saresti stato identico a loro, altrettanto strampalato, altrettanto... balordo... e poi, se permetti, hanno avuto la bella idea di saltare in aria, ed ecco che tu ci sei piombato tra capo e collo!
HPitb1ch04-0182	sbiancare	» Harry era sbiancato.
HPitb1ch04-0183	infuriato	» tuonò Hagrid saltando su così infuriato che i Dursley corsero a rintanarsi nel loro cantone.
HPitb1ch04-0184	rintanarsi	» tuonò Hagrid saltando su così infuriato che i Dursley corsero a rintanarsi nel loro cantone.
HPitb1ch04-0185	cantone	» tuonò Hagrid saltando su così infuriato che i Dursley corsero a rintanarsi nel loro cantone.
HPitb1ch04-0186	pazzesco	È pazzesco!
HPitb1ch04-0187	scandalo	È uno scandalo che Harry Potter non sa la sua storia, quando non c’è marmocchio nel nostro mondo che non conosce il suo nome!» «Ma perché?
HPitb1ch04-0188	marmocchio	È uno scandalo che Harry Potter non sa la sua storia, quando non c’è marmocchio nel nostro mondo che non conosce il suo nome!» «Ma perché?
HPitb1ch04-0189	ira	L’ira svanì dal viso di Hagrid.
HPitb1ch04-0190	angustiare	«Proprio non me lo aspettavo» disse con voce bassa e angustiata.
HPitb1ch04-0191	fifa	«E perché?» «Per tutti i gargoyle, Harry, la gente ha ancora una fifa nera.
HPitb1ch04-0192	miseria	Miseriaccia, quant’è difficile!
HPitb1ch04-0193	ripetere	Voldemort» Hagrid rabbrividì, «ma non farmelo ripetere.
HPitb1ch04-0194	fa	Insomma, circa vent’anni fa, questo mago cominciò a cercare seguaci.
HPitb1ch04-0195	seguace	Insomma, circa vent’anni fa, questo mago cominciò a cercare seguaci.
HPitb1ch04-0196	briciola	Qualcuno lo seguì per paura, altri perché volevano una briciola del suo potere:
HPitb1ch04-0197	conquistare	perché lui, di potere, ne stava conquistando parecchio.
HPitb1ch04-0198	parecchio	perché lui, di potere, ne stava conquistando parecchio.
HPitb1ch04-0199	fidarsi	Non sapevi di chi fidarti, non potevi metterti a fare amicizia con maghi e streghe sconosciuti... Sono successe cose terribili.
HPitb1ch04-0200	mettersi	Non sapevi di chi fidarti, non potevi metterti a fare amicizia con maghi e streghe sconosciuti... Sono successe cose terribili.
HPitb1ch04-0201	amicizia	Non sapevi di chi fidarti, non potevi metterti a fare amicizia con maghi e streghe sconosciuti... Sono successe cose terribili.
HPitb1ch04-0202	sopravvento	Lui stava prendendo il sopravvento.
HPitb1ch04-0203	impadronirsi	Non ha osato impadronirsi della scuola, in ogni caso non allora.
HPitb1ch04-0204	caposcuola	Ai loro tempi erano Capiscuola a Hogwarts.
HPitb1ch04-0205	lato	Il mistero è perché Tu-Sai-Chi non aveva mai cercato di tirarli dalla sua parte prima... Forse sapeva che erano troppo vicini a Silente e non volevano avere niente a che fare con il Lato Oscuro.
