HPitb1ch01-0001	capitolo	CAPITOLO
HPitb1ch01-0026	o	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
HPitb1ch01-0027	misterioso	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
HPitb1ch01-0028	perché	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
HPitb1ch01-0029	sciocchezza	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
HPitb1ch01-0030	genere	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
HPitb1ch01-0031	proprio	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
HPitb1ch01-0032	non	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
HPitb1ch01-0033	approvare	Erano le ultime persone al mondo da cui aspettarsi cose strane o misteriose, perché sciocchezze del genere proprio non le approvavano.
HPitb1ch01-0034	direttore	Il signor Dursley era direttore di una ditta di nome Grunnings, che fabbricava trapani.
HPitb1ch01-0035	uno	Il signor Dursley era direttore di una ditta di nome Grunnings, che fabbricava trapani.
HPitb1ch01-0036	ditta	Il signor Dursley era direttore di una ditta di nome Grunnings, che fabbricava trapani.
HPitb1ch01-0037	nome	Il signor Dursley era direttore di una ditta di nome Grunnings, che fabbricava trapani.
HPitb1ch01-0038	fabbricare	Il signor Dursley era direttore di una ditta di nome Grunnings, che fabbricava trapani.
HPitb1ch01-0039	trapano	Il signor Dursley era direttore di una ditta di nome Grunnings, che fabbricava trapani.
HPitb1ch01-0040	uomo	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
HPitb1ch01-0041	corpulento	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
HPitb1ch01-0042	nerboruto	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
HPitb1ch01-0043	quasi	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
HPitb1ch01-0044	senza	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
HPitb1ch01-0045	collo	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
HPitb1ch01-0046	con	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
HPitb1ch01-0047	grosso	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
HPitb1ch01-0048	paio	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
HPitb1ch01-0049	baffo	Era un uomo corpulento, nerboruto, quasi senza collo e con un grosso paio di baffi.
HPitb1ch01-0050	magro	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0051	biondo	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0052	due	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0053	volta	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0054	più	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0055	lungo	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0056	tornare	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0057	assai	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0058	utile	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0059	dato	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0060	passare	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0061	grande	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0062	parte	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0063	tempo	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0064	allungare	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0065	oltre	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0066	siepe	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0067	giardino	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0068	per	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0069	spiare	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0070	vicino	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
HPitb1ch01-0071	avere	I Dursley avevano un figlioletto di nome Dudley e secondo loro non esisteva al mondo un bambino più bello.
HPitb1ch01-0072	figlio	I Dursley avevano un figlioletto di nome Dudley e secondo loro non esisteva al mondo un bambino più bello.
HPitb1ch01-0073	secondo	I Dursley avevano un figlioletto di nome Dudley e secondo loro non esisteva al mondo un bambino più bello.
HPitb1ch01-0074	loro	I Dursley avevano un figlioletto di nome Dudley e secondo loro non esisteva al mondo un bambino più bello.
HPitb1ch01-0075	esistere	I Dursley avevano un figlioletto di nome Dudley e secondo loro non esisteva al mondo un bambino più bello.
HPitb1ch01-0076	bello	I Dursley avevano un figlioletto di nome Dudley e secondo loro non esisteva al mondo un bambino più bello.
HPitb1ch01-0077	possedere	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
HPitb1ch01-0078	tutto	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
HPitb1ch01-0079	quello	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
HPitb1ch01-0080	si	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
HPitb1ch01-0081	potere	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
HPitb1ch01-0082	desiderare	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
HPitb1ch01-0083	ma	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
HPitb1ch01-0084	anche	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
HPitb1ch01-0085	segreto	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
HPitb1ch01-0086	timore	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
HPitb1ch01-0087	qualcuno	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
HPitb1ch01-0088	scoprire	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
HPitb1ch01-0089	credere	Non credevano di poter sopportare che qualcuno venisse a sapere dei Potter.
HPitb1ch01-0090	sopportare	Non credevano di poter sopportare che qualcuno venisse a sapere dei Potter.
HPitb1ch01-0091	venire	Non credevano di poter sopportare che qualcuno venisse a sapere dei Potter.
HPitb1ch01-0092	sapere	Non credevano di poter sopportare che qualcuno venisse a sapere dei Potter.
HPitb1ch01-0093	sorella	La signora Potter era la sorella della signora Dursley, ma non si vedevano da anni.
HPitb1ch01-0094	vedersi	La signora Potter era la sorella della signora Dursley, ma non si vedevano da anni.
HPitb1ch01-0095	anno	La signora Potter era la sorella della signora Dursley, ma non si vedevano da anni.
HPitb1ch01-0096	anzi	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
HPitb1ch01-0097	fare	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
HPitb1ch01-0098	addirittura	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
HPitb1ch01-0099	finta	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
HPitb1ch01-0100	buono	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
HPitb1ch01-0101	nulla	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
HPitb1ch01-0102	marito	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
HPitb1ch01-0103	diverso	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
HPitb1ch01-0104	così	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
HPitb1ch01-0105	rabbrividire	I Dursley rabbrividivano al solo pensiero di quel che avrebbero detto i vicini se i Potter si fossero fatti vedere nei paraggi.
HPitb1ch01-0106	solo	I Dursley rabbrividivano al solo pensiero di quel che avrebbero detto i vicini se i Potter si fossero fatti vedere nei paraggi.
HPitb1ch01-0107	pensiero	I Dursley rabbrividivano al solo pensiero di quel che avrebbero detto i vicini se i Potter si fossero fatti vedere nei paraggi.
HPitb1ch01-0108	dire	I Dursley rabbrividivano al solo pensiero di quel che avrebbero detto i vicini se i Potter si fossero fatti vedere nei paraggi.
HPitb1ch01-0109	se	I Dursley rabbrividivano al solo pensiero di quel che avrebbero detto i vicini se i Potter si fossero fatti vedere nei paraggi.
HPitb1ch01-0110	in	I Dursley rabbrividivano al solo pensiero di quel che avrebbero detto i vicini se i Potter si fossero fatti vedere nei paraggi.
HPitb1ch01-0111	paraggi	I Dursley rabbrividivano al solo pensiero di quel che avrebbero detto i vicini se i Potter si fossero fatti vedere nei paraggi.
HPitb1ch01-0112	piccolo	Sapevano che i Potter avevano anche loro un figlio piccolo, ma non lo avevano mai visto.
HPitb1ch01-0113	lo	Sapevano che i Potter avevano anche loro un figlio piccolo, ma non lo avevano mai visto.
HPitb1ch01-0114	mai	Sapevano che i Potter avevano anche loro un figlio piccolo, ma non lo avevano mai visto.
HPitb1ch01-0115	questo	E questa era un’altra buona ragione per tenere i Potter a distanza:
HPitb1ch01-0116	altro	E questa era un’altra buona ragione per tenere i Potter a distanza:
HPitb1ch01-0117	ragione	E questa era un’altra buona ragione per tenere i Potter a distanza:
HPitb1ch01-0118	tenere	E questa era un’altra buona ragione per tenere i Potter a distanza:
HPitb1ch01-0119	distanza	E questa era un’altra buona ragione per tenere i Potter a distanza:
HPitb1ch01-0120	volere	non volevano che Dudley avesse a che fare con un bambino di quel genere.
HPitb1ch01-0121	quando	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0122	coniuge	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0123	svegliarsi	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0124	mattina	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0125	martedì	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0126	grigio	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0127	nuvoloso	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0128	iniziare	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0129	nostro	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0130	storia	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0131	cielo	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0132	coperto	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0133	presagire	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0134	lì	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0135	poco	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0136	accadere	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0137	paese	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
HPitb1ch01-0138	scegliere	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
HPitb1ch01-0139	canticchiare	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
HPitb1ch01-0140	cravatta	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
HPitb1ch01-0141	anonimo	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
HPitb1ch01-0142	suo	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
HPitb1ch01-0143	guardaroba	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
HPitb1ch01-0144	continuare	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
HPitb1ch01-0145	chiacchierare	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
HPitb1ch01-0146	ininterrottamente	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
HPitb1ch01-0147	mentre	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
HPitb1ch01-0148	sforzo	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
HPitb1ch01-0149	costringere	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
HPitb1ch01-0150	su	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
HPitb1ch01-0151	seggiolone	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
HPitb1ch01-0152	urlare	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
HPitb1ch01-0153	squarciagola	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
HPitb1ch01-0154	nessuno	Nessuno notò il grosso gufo bruno che passò con un frullo d’ali davanti alla finestra.
HPitb1ch01-0155	notare	Nessuno notò il grosso gufo bruno che passò con un frullo d’ali davanti alla finestra.
HPitb1ch01-0156	gufo	Nessuno notò il grosso gufo bruno che passò con un frullo d’ali davanti alla finestra.
HPitb1ch01-0157	bruno	Nessuno notò il grosso gufo bruno che passò con un frullo d’ali davanti alla finestra.
HPitb1ch01-0158	frullo	Nessuno notò il grosso gufo bruno che passò con un frullo d’ali davanti alla finestra.
HPitb1ch01-0159	ala	Nessuno notò il grosso gufo bruno che passò con un frullo d’ali davanti alla finestra.
HPitb1ch01-0160	davanti	Nessuno notò il grosso gufo bruno che passò con un frullo d’ali davanti alla finestra.
HPitb1ch01-0161	finestra	Nessuno notò il grosso gufo bruno che passò con un frullo d’ali davanti alla finestra.
HPitb1ch01-0162	otto	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0163	mezzo	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0164	prendere	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0165	valigetta	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0166	sfiorare	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0167	labbro	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0168	guancia	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0169	moglie	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
