HPitb1ch11-0001	novembre	All’inizio di novembre cominciò a fare molto freddo.
HPitb1ch11-0135	carponi	cadde carponi sul terreno di gioco, tossì e... qualcosa di dorato gli cadde in mano.
HPitb1ch11-0136	caos	«Ho preso il Boccino!» gridò agitandolo sopra la testa, e la partita terminò nel caos generale.
HPitb1ch11-0137	sessanta	Grifondoro aveva vinto per centosettanta a sessanta.
HPitb1ch11-0138	stupidata	«Stupidate!» disse Hagrid che non aveva sentito una sola parola di quel che era accaduto a un passo da lui, sugli spalti.
HPitb1ch11-0139	tizio	«Sì... è mio... l’ho comprato da un tizio, un greco che ho incontrato al pub l’anno scorso... L’ho prestato a Silente per fare la guardia a...» «Sì?» disse Harry, desideroso di saperne di più.
HPitb1ch11-0140	greco	«Sì... è mio... l’ho comprato da un tizio, un greco che ho incontrato al pub l’anno scorso... L’ho prestato a Silente per fare la guardia a...» «Sì?» disse Harry, desideroso di saperne di più.
HPitb1ch11-0141	desideroso	«Sì... è mio... l’ho comprato da un tizio, un greco che ho incontrato al pub l’anno scorso... L’ho prestato a Silente per fare la guardia a...» «Sì?» disse Harry, desideroso di saperne di più.
HPitb1ch11-0142	scontroso	«No, non chiedetemi di più» disse Hagrid scontroso.
HPitb1ch11-0143	avvenimento	A quanto pareva, gli avvenimenti di quel pomeriggio le avevano fatto cambiare idea sul conto di Piton.
HPitb1ch11-0144	fattura	«Senti un po’ Hagrid, io riconosco una fattura quando ne vedo una;
HPitb1ch11-0145	visivo	Bisogna mantenere il contatto visivo, e Piton non batteva neanche le palpebre.
HPitb1ch11-0146	granchio	L’ho visto benissimo!» «E io vi dico che prendete un granchio» disse Hagrid accalorandosi.
HPitb1ch11-0147	accalorarsi	L’ho visto benissimo!» «E io vi dico che prendete un granchio» disse Hagrid accalorandosi.
HPitb1ch11-0148	scordarsi	Scordatevi del cane, dimenticate a cosa fa la guardia.
