benché           	benché          	Benché si rendesse conto che era giorno fatto, tenne gli occhi ben chiusi.
trasfigurazione  	trasfigurazione 	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
principianti     	principiante    	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
erbe             	erba            	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
funghi           	fungo           	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
infusi           	infuso          	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
pozioni          	pozione         	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
fantastici       	fantastico      	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
trovarli         	trovare         	dove trovarli, di Newt Scamander Le Forze Oscure:
autodifesa       	autodifesa      	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
accessori        	accessorio      	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
calderone        	calderone       	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
peltro           	peltro          	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
misura           	misura          	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
standard         	standard        	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
set              	set             	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
provette         	provetta        	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
cristallo        	cristallo       	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
telescopio       	telescopio      	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
bilancia         	bilancia        	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
oppure           	oppure          	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
uso              	uso             	CHE AGLI ALLIEVI DEL PRIMO ANNO NON È CONSENTITO L’USO DI SCOPE PERSONALI.
personali        	personale       	CHE AGLI ALLIEVI DEL PRIMO ANNO NON È CONSENTITO L’USO DI SCOPE PERSONALI.
evidente         	evidente        	Per quanto fosse evidente che Hagrid sapesse dove stava andando, era altrettanto chiaro che non fosse abituato a girare per la città come un comune mortale.
incastrato       	incastrare      	Rimaneva incastrato nei tornelli della metropolitana e si lamentava ad alta voce che i sedili delle vetture erano troppo piccoli e i treni troppo lenti.
tornelli         	tornello        	Rimaneva incastrato nei tornelli della metropolitana e si lamentava ad alta voce che i sedili delle vetture erano troppo piccoli e i treni troppo lenti.
vetture          	vettura         	Rimaneva incastrato nei tornelli della metropolitana e si lamentava ad alta voce che i sedili delle vetture erano troppo piccoli e i treni troppo lenti.
cavarsela        	cavare          	«Non so proprio come fanno i Babbani a cavarsela senza magia» disse mentre si arrampicavano su per una scala mobile guasta che portava a una strada affollata e piena di negozi.
mobile           	mobile          	«Non so proprio come fanno i Babbani a cavarsela senza magia» disse mentre si arrampicavano su per una scala mobile guasta che portava a una strada affollata e piena di negozi.
guasta           	guastare        	«Non so proprio come fanno i Babbani a cavarsela senza magia» disse mentre si arrampicavano su per una scala mobile guasta che portava a una strada affollata e piena di negozi.
affollata        	affollato       	«Non so proprio come fanno i Babbani a cavarsela senza magia» disse mentre si arrampicavano su per una scala mobile guasta che portava a una strada affollata e piena di negozi.
facilmente       	facilmente      	Hagrid era così grosso che riusciva facilmente a fendere la folla;
fendere          	fendere         	Hagrid era così grosso che riusciva facilmente a fendere la folla;
folla            	folla           	Hagrid era così grosso che riusciva facilmente a fendere la folla;
musica           	musica          	Passarono davanti a negozi di libri e di musica, a fast food e cinema, ma in nessuno pareva si vendessero bacchette magiche.
vendessero       	vendere         	Passarono davanti a negozi di libri e di musica, a fast food e cinema, ma in nessuno pareva si vendessero bacchette magiche.
nascondessero    	nascondere      	Possibile che sepolti sotto i loro piedi si nascondessero mucchi d’oro appartenenti ai maghi?
appartenenti     	appartenente    	Possibile che sepolti sotto i loro piedi si nascondessero mucchi d’oro appartenenti ai maghi?
burla            	burla           	Non poteva essere una burla monumentale architettata dai Dursley?
monumentale      	monumentale     	Non poteva essere una burla monumentale architettata dai Dursley?
architettata     	architettare    	Non poteva essere una burla monumentale architettata dai Dursley?
privi            	privo           	Se Harry non avesse saputo che i Dursley erano privi del benché minimo senso dell’umorismo ci avrebbe quasi creduto;
senso            	senso           	Se Harry non avesse saputo che i Dursley erano privi del benché minimo senso dell’umorismo ci avrebbe quasi creduto;
umorismo         	umorismo        	Se Harry non avesse saputo che i Dursley erano privi del benché minimo senso dell’umorismo ci avrebbe quasi creduto;
paiolo           	paiolo          	«Il Paiolo Magico.
sordido          	sordido         	Era un piccolo pub, dall’aspetto sordido.
frettolosi       	frettoloso      	I passanti frettolosi non gli gettavano neanche un’occhiata.
libreria         	libreria        	Gli sguardi andavano dalla grossa libreria su un lato della strada al negozio di dischi sull’altro, come se per loro il Paiolo Magico fosse invisibile.
dischi           	disco           	Gli sguardi andavano dalla grossa libreria su un lato della strada al negozio di dischi sull’altro, come se per loro il Paiolo Magico fosse invisibile.
invisibile       	invisibile      	Gli sguardi andavano dalla grossa libreria su un lato della strada al negozio di dischi sull’altro, come se per loro il Paiolo Magico fosse invisibile.
infatti          	infatti         	E infatti, Harry aveva la stranissima sensazione che solo lui e Hagrid lo vedessero.
spinse           	spingere        	Prima che potesse dire una parola, Hagrid lo spinse dentro.
malandato        	malandato       	Per essere un posto famoso, il Paiolo Magico era molto buio e malandato.
sedute           	seduto          	Alcune vecchie erano sedute in un angolo e sorseggiavano un bicchierino di sherry.
sherry           	sherry          	Alcune vecchie erano sedute in un angolo e sorseggiavano un bicchierino di sherry.
fumava           	fumare          	Una di loro fumava una lunga pipa.
pipa             	pipa            	Una di loro fumava una lunga pipa.
noce             	noce            	Un ometto col cappello a cilindro stava parlando al vecchio barista che era calvo come una noce.
sordo            	sordo           	Il sordo brusio della conversazione si arrestò al loro ingresso.
brusio           	brusio          	Il sordo brusio della conversazione si arrestò al loro ingresso.
conversazione    	conversazione   	Il sordo brusio della conversazione si arrestò al loro ingresso.
arrestò          	arrestarsi      	Il sordo brusio della conversazione si arrestò al loro ingresso.
pacca            	pacca           	«Il solito, Hagrid?» «Non posso, Tom, sono in servizio, affari di Hogwarts» disse il gigante dando una grossa pacca con la manona sulla spalla di Harry, al quale si piegarono le ginocchia.
piegarono        	piegare         	«Il solito, Hagrid?» «Non posso, Tom, sono in servizio, affari di Hogwarts» disse il gigante dando una grossa pacca con la manona sulla spalla di Harry, al quale si piegarono le ginocchia.
onore            	onore           	Quale onore!» Uscì di corsa da dietro il bancone, si precipitò verso Harry e gli afferrò la mano con le lacrime agli occhi.
bentornato       	bentornato      	«Bentornato, signor Potter, bentornato!» Harry non sapeva che cosa dire.
raggiante        	raggiante       	Hagrid era raggiante.
tramestio        	tramestio       	Ci fu un grande tramestio di sedie e subito dopo Harry si trovò a stringere la mano di tutti i presenti.
onorato          	onorare         	» «Sono così onorato, signor Potter, veramente onorato».
emozionato       	emozionato      	«Ho sempre desiderato stringerle la mano... Sono così emozionato!» «Oh, signor Potter, non so dirle quanto piacere mi fa conoscerla!
emozione         	emozione        	«Ma io la conosco!» disse Harry, mentre a Dedalus Diggle per l’emozione cadeva il cappello a cilindro.
giovanotto       	giovanotto      	Si fece largo un giovanotto pallido dall’aria molto nervosa.
nervosa          	nervoso         	Si fece largo un giovanotto pallido dall’aria molto nervosa.
tic              	tic             	Aveva un tic a un occhio.
difesa           	difesa          	«Che tipo di magia insegna, professor Quirrell?» «D-difesa co-contro le Arti O-o-oscure» balbettò Quirrell come se avesse preferito non saperlo.
arti             	arte            	«Che tipo di magia insegna, professor Quirrell?» «D-difesa co-contro le Arti O-o-oscure» balbettò Quirrell come se avesse preferito non saperlo.
!!rifornendosi   	rifornirsi      	«Su-su-ppongo che s-s-starà ri-rifornendosi d-di tu-tu-tutto quel che le s-s-serve, v-vero, P-Potter?
vampiri          	vampiro         	I-io devo p-prendere u-un nuovo li-libro s-sui va-va-vampiri».
liberarsi        	liberarsi       	Ci vollero almeno dieci minuti per liberarsi di tutti.
cicaleccio       	cicaleccio      	Finalmente, Hagrid riuscì a farsi udire al di sopra del cicaleccio.
bar              	bar             	Doris Crockford strinse un’ultima volta la mano a Harry e Hagrid gli fece strada attraverso il bar;
cortile          	cortile         	uscirono in un piccolo cortile circondato da un muro, dove non c’era altro che un bidone della spazzatura e qualche erbaccia.
erbaccia         	erbaccia        	uscirono in un piccolo cortile circondato da un muro, dove non c’era altro che un bidone della spazzatura e qualche erbaccia.
esperienza       	esperienza      	Tutto bene finché ha studiato sui libri, ma poi si è preso un anno per andare a fare un po’ di esperienza sul campo... Dicono che nella Foresta Nera ha incontrato i vampiri e che c’è anche stata una brutta storia con una fattucchiera... Da allora non è più lui.
incontrato       	incontrare      	Tutto bene finché ha studiato sui libri, ma poi si è preso un anno per andare a fare un po’ di esperienza sul campo... Dicono che nella Foresta Nera ha incontrato i vampiri e che c’è anche stata una brutta storia con una fattucchiera... Da allora non è più lui.
fattucchiera     	fattucchiera    	Tutto bene finché ha studiato sui libri, ma poi si è preso un anno per andare a fare un po’ di esperienza sul campo... Dicono che nella Foresta Nera ha incontrato i vampiri e che c’è anche stata una brutta storia con una fattucchiera... Da allora non è più lui.
materia          	materia         	Ha paura degli studenti, ha paura della materia che insegna... Ma vediamo un po’, dov’è finito il mio ombrello?» Vampiri?
verticali        	verticale       	«Tre verticali... due orizzontali...» bofonchiava.
orizzontali      	orizzontale     	«Tre verticali... due orizzontali...» bofonchiava.
vibrò            	vibrare         	Il mattone che aveva colpito vibrò... si contorse... al centro, apparve un piccolo buco... si fece sempre più grande... e un attimo dopo si trovarono di fronte un arco abbastanza largo da far passare Hagrid.
contorse         	contorcersi     	Il mattone che aveva colpito vibrò... si contorse... al centro, apparve un piccolo buco... si fece sempre più grande... e un attimo dopo si trovarono di fronte un arco abbastanza largo da far passare Hagrid.
arco             	arco            	Il mattone che aveva colpito vibrò... si contorse... al centro, apparve un piccolo buco... si fece sempre più grande... e un attimo dopo si trovarono di fronte un arco abbastanza largo da far passare Hagrid.
selciata         	selciato        	L’arco dava su una strada selciata tutta curve, di cui non si vedeva la fine.
curve            	curvo           	L’arco dava su una strada selciata tutta curve, di cui non si vedeva la fine.
benvenuto        	benvenuto       	«Benvenuto a Diagon Alley!» disse Hagrid.
ridiventando     	ridiventare     	Harry gettò una rapida occhiata alle sue spalle e vide l’arco rimpicciolirsi, ridiventando un muro compatto.
compatto         	compatto        	Harry gettò una rapida occhiata alle sue spalle e vide l’arco rimpicciolirsi, ridiventando un muro compatto.
splendente       	splendente      	Il sole splendente illuminava una pila di calderoni fuori dal negozio più vicino.
appesa           	appendere       	Un’insegna appesa sopra diceva:
pieghevoli       	pieghevole      	Pieghevoli’.
