HPitb2ch01-0001	litigio	Non era la prima volta che scoppiava un litigio durante la colazione, al numero 4 di Privet Drive.
HPitb2ch01-0062	falciare	Mentre Dudley ciondolava in giro mangiando gelati, Harry pulì i vetri, lavò l’auto, falciò il prato e rassettò le aiuole, potò e annaffiò le rose e ridipinse la panchina del giardino.
HPitb2ch01-0063	rassettare	Mentre Dudley ciondolava in giro mangiando gelati, Harry pulì i vetri, lavò l’auto, falciò il prato e rassettò le aiuole, potò e annaffiò le rose e ridipinse la panchina del giardino.
HPitb2ch01-0064	aiuola	Mentre Dudley ciondolava in giro mangiando gelati, Harry pulì i vetri, lavò l’auto, falciò il prato e rassettò le aiuole, potò e annaffiò le rose e ridipinse la panchina del giardino.
HPitb2ch01-0065	annaffiare	Mentre Dudley ciondolava in giro mangiando gelati, Harry pulì i vetri, lavò l’auto, falciò il prato e rassettò le aiuole, potò e annaffiò le rose e ridipinse la panchina del giardino.
HPitb2ch01-0066	ridipingere	Mentre Dudley ciondolava in giro mangiando gelati, Harry pulì i vetri, lavò l’auto, falciò il prato e rassettò le aiuole, potò e annaffiò le rose e ridipinse la panchina del giardino.
HPitb2ch01-0067	sfolgorante	Il sole sfolgorante gli bruciava la nuca.
HPitb2ch01-0068	concime	‘Come vorrei che vedessero il famoso Harry Potter adesso!’ pensava furibondo mentre spargeva concime sulle aiuole, tutto sudato e con la schiena dolorante.
HPitb2ch01-0069	sudato	‘Come vorrei che vedessero il famoso Harry Potter adesso!’ pensava furibondo mentre spargeva concime sulle aiuole, tutto sudato e con la schiena dolorante.
HPitb2ch01-0070	dolorante	‘Come vorrei che vedessero il famoso Harry Potter adesso!’ pensava furibondo mentre spargeva concime sulle aiuole, tutto sudato e con la schiena dolorante.
HPitb2ch01-0071	frigorifero	In cima al frigorifero troneggiava il dolce preparato per la cena: un’immensa montagna di panna montata guarnita di violette di zucchero.
HPitb2ch01-0072	troneggiare	In cima al frigorifero troneggiava il dolce preparato per la cena: un’immensa montagna di panna montata guarnita di violette di zucchero.
HPitb2ch01-0073	guarnire	In cima al frigorifero troneggiava il dolce preparato per la cena: un’immensa montagna di panna montata guarnita di violette di zucchero.
HPitb2ch01-0074	violetta	In cima al frigorifero troneggiava il dolce preparato per la cena: un’immensa montagna di panna montata guarnita di violette di zucchero.
HPitb2ch01-0075	zucchero	In cima al frigorifero troneggiava il dolce preparato per la cena: un’immensa montagna di panna montata guarnita di violette di zucchero.
HPitb2ch01-0076	formaggio	I Mason saranno qui tra poco!» lo incalzò zia Petunia indicando due fette di pane e un pezzo di formaggio sul tavolo da pranzo.
HPitb2ch01-0077	cocktail	Lei indossava già un abito da cocktail rosa salmone.
HPitb2ch01-0078	salmone	Lei indossava già un abito da cocktail rosa salmone.
HPitb2ch01-0079	farfalla	«E ora fila di sopra!» Passando davanti alla porta del salotto Harry intravide zio Vernon e Dudley in smoking e cravatta a farfalla.
HPitb2ch01-0080	pianerottolo	Era appena arrivato al pianerottolo quando il campanello suonò e la faccia furibonda di zio Vernon apparve in fondo alle scale.
HPitb2ch01-0081	buttarsi	«Ricorda, ragazzo, un solo rumore e...» Harry raggiunse la sua camera in punta di piedi, vi scivolò dentro, chiuse la porta e si voltò per buttarsi sul letto.
