HPitb1ch07-0001	parlante	CAPITOLO 7 IL CAPPELLO PARLANTE La porta si aprì all’istante.
HPitb1ch07-0095	assegnare	Anche «Brocklehurst Mandy» fu assegnata a Corvonero, ma «Brown Lavanda» fu la prima nuova Grifondoro e dal tavolo all’estrema sinistra si levò un evviva generale;
HPitb1ch07-0096	lavanda	Anche «Brocklehurst Mandy» fu assegnata a Corvonero, ma «Brown Lavanda» fu la prima nuova Grifondoro e dal tavolo all’estrema sinistra si levò un evviva generale;
HPitb1ch07-0097	estremo	Anche «Brocklehurst Mandy» fu assegnata a Corvonero, ma «Brown Lavanda» fu la prima nuova Grifondoro e dal tavolo all’estrema sinistra si levò un evviva generale;
HPitb1ch07-0098	evviva	Anche «Brocklehurst Mandy» fu assegnata a Corvonero, ma «Brown Lavanda» fu la prima nuova Grifondoro e dal tavolo all’estrema sinistra si levò un evviva generale;
HPitb1ch07-0099	generale	Anche «Brocklehurst Mandy» fu assegnata a Corvonero, ma «Brown Lavanda» fu la prima nuova Grifondoro e dal tavolo all’estrema sinistra si levò un evviva generale;
HPitb1ch07-0100	approvazione	Harry notò che i gemelli, fratelli di Ron, fischiavano con approvazione.
HPitb1ch07-0101	puro	Forse era una pura fantasia di Harry, dopo tutto quel che aveva sentito dire su quella Casa, ma gli venne da pensare che avevano tutti un aspetto sgradevole.
HPitb1ch07-0102	selezionare	Ricordava quando, nella sua vecchia scuola, veniva selezionato per giocare in una squadra nelle ore di ginnastica.
HPitb1ch07-0103	dichiarare	«Finnigan Seamus», il ragazzo dai capelli rossicci che precedeva Harry nella fila, rimase seduto quasi per un minuto prima di venire dichiarato un Grifondoro.
HPitb1ch07-0104	continuamente	Poi fu chiamato il ragazzo che perdeva continuamente il suo rospo, Neville Longbottom, che, lungo il percorso verso lo sgabello, cadde.
HPitb1ch07-0105	percorso	Poi fu chiamato il ragazzo che perdeva continuamente il suo rospo, Neville Longbottom, che, lungo il percorso verso lo sgabello, cadde.
HPitb1ch07-0106	impiegare	Con lui, il cappello impiegò molto tempo a decidere.
HPitb1ch07-0107	spavaldamente	Quando venne chiamato il suo nome, Malfoy si presentò spavaldamente e fu esaudito all’istante:
HPitb1ch07-0108	esaudire	Quando venne chiamato il suo nome, Malfoy si presentò spavaldamente e fu esaudito all’istante:
HPitb1ch07-0109	sussurro	«Moon»... «Nott»... «Parkinson»... poi due gemelle, «Patil» e «Patil»... poi «Perks Sally-Anne»... e finalmente... «Potter Harry!» A un tratto, mentre Harry si avvicinava allo sgabello, la sala fu percorsa da sussurri simili allo scoppiettio di tanti piccoli fuochi.
HPitb1ch07-0110	scoppiettio	«Moon»... «Nott»... «Parkinson»... poi due gemelle, «Patil» e «Patil»... poi «Perks Sally-Anne»... e finalmente... «Potter Harry!» A un tratto, mentre Harry si avvicinava allo sgabello, la sala fu percorsa da sussurri simili allo scoppiettio di tanti piccoli fuochi.
HPitb1ch07-0111	coprire	«Ma proprio quell’Harry Potter...?» L’ultima cosa che Harry vide prima che il cappello gli coprisse gli occhi fu la sala piena di gente che allungava il collo per guardarlo meglio.
HPitb1ch07-0112	cervello	E anche un cervello niente male.
HPitb1ch07-0113	talento	C’è talento, oh, accipicchia, sì... e un bel desiderio di mettersi alla prova.
HPitb1ch07-0114	accipicchia	C’è talento, oh, accipicchia, sì... e un bel desiderio di mettersi alla prova.
HPitb1ch07-0115	desiderio	C’è talento, oh, accipicchia, sì... e un bel desiderio di mettersi alla prova.
HPitb1ch07-0116	aggrapparsi	» Harry si aggrappò forte ai bordi dello sgabello e pensò:
HPitb1ch07-0117	grandezza	qui, nella tua testa, c’è di tutto, e Serpeverde ti aiuterebbe sulla via della grandezza, su questo non c’è dubbio... No?
HPitb1ch07-0118	dubbio	qui, nella tua testa, c’è di tutto, e Serpeverde ti aiuterebbe sulla via della grandezza, su questo non c’è dubbio... No?
HPitb1ch07-0119	vacillante	Se lo tolse e si avviò con passo vacillante verso il tavolo di Grifondoro.
HPitb1ch07-0120	vigorosamente	Percy il prefetto si alzò in piedi e gli strinse vigorosamente la mano, mentre i gemelli Weasley si sgolavano:
HPitb1ch07-0121	sgolarsi	Percy il prefetto si alzò in piedi e gli strinse vigorosamente la mano, mentre i gemelli Weasley si sgolavano:
HPitb1ch07-0122	catino	Questo gli batté un colpetto sul braccio, dandogli l’improvvisa, orribile sensazione di averlo appena immerso in un catino di acqua ghiacciata.
HPitb1ch07-0123	ghiacciato	Questo gli batté un colpetto sul braccio, dandogli l’improvvisa, orribile sensazione di averlo appena immerso in un catino di acqua ghiacciata.
HPitb1ch07-0124	incrociare	All’estremità più vicina a lui sedeva Hagrid che incrociò il suo sguardo e gli fece un segno di vittoria.
HPitb1ch07-0125	vittoria	All’estremità più vicina a lui sedeva Hagrid che incrociò il suo sguardo e gli fece un segno di vittoria.
HPitb1ch07-0126	riconoscere	Harry lo riconobbe subito per via della figurina che aveva trovato nella Cioccorana, sul treno.
HPitb1ch07-0127	chioma	La chioma argentea di Silente era l’unica cosa, in tutta la sala, che luccicasse quanto i fantasmi.
HPitb1ch07-0128	intravedere	Harry intravide anche il professor Quirrell, il giovanotto nervoso che aveva incontrato al Paiolo Magico.
HPitb1ch07-0129	turbante	Aveva un’aria molto strana e in testa un gran turbante color porpora.
HPitb1ch07-0130	turno	«Turpin Lisa» divenne una Corvonero e poi fu il turno di Ron.
HPitb1ch07-0131	verdognolo	Il ragazzo ormai aveva assunto un colorito verdognolo.
HPitb1ch07-0132	accasciarsi	«GRIFONDORO!» Harry batté le mani forte con tutti gli altri, mentre Ron si accasciava sulla sedia vicino alla sua.
HPitb1ch07-0133	congratularsi	«Ben fatto, Ron, ottimo!» si congratulò pomposamente Percy Weasley da sopra la testa di Harry, mentre «Zabini Blaise» veniva mandato a Serpeverde.
HPitb1ch07-0134	pomposamente	«Ben fatto, Ron, ottimo!» si congratulò pomposamente Percy Weasley da sopra la testa di Harry, mentre «Zabini Blaise» veniva mandato a Serpeverde.
HPitb1ch07-0135	riunire	Sorrideva agli studenti con uno sguardo radioso, le braccia aperte, come se niente potesse fargli più piacere del vederli tutti lì riuniti.
HPitb1ch07-0136	imbecille	E cioè: imbecille, medusa, scampolo, pizzicotto!
HPitb1ch07-0137	medusa	E cioè: imbecille, medusa, scampolo, pizzicotto!
HPitb1ch07-0138	scampolo	E cioè: imbecille, medusa, scampolo, pizzicotto!
HPitb1ch07-0139	incerto	chiese incerto a Percy.
HPitb1ch07-0140	genio	«È un genio!
HPitb1ch07-0141	patata	Patate, Harry?
HPitb1ch07-0142	pietanza	Di colpo, i piatti davanti a lui furono pieni zeppi di pietanze.
HPitb1ch07-0143	pollo	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
HPitb1ch07-0144	arrosto	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
HPitb1ch07-0145	braciola	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
HPitb1ch07-0146	agnello	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
HPitb1ch07-0147	bistecca	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
HPitb1ch07-0148	lesso	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
HPitb1ch07-0149	fritto	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
HPitb1ch07-0150	pisello	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
HPitb1ch07-0151	sugo	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
HPitb1ch07-0152	salsa	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
HPitb1ch07-0153	ketchup	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
HPitb1ch07-0154	sazietà	Non si poteva dire che i Dursley lo lasciassero morire di fame, ma certo non gli veniva mai permesso di mangiare a sazietà.
HPitb1ch07-0155	costo	Dudley prendeva sempre tutto quello che faceva gola a Harry, anche a costo di sentirsi male.
HPitb1ch07-0156	riempirsi	Harry si riempì il piatto di un po’ di tutto, tranne le caramelle alla menta, e cominciò a mangiare.
HPitb1ch07-0157	mancanza	«Naturalmente, non ne ho bisogno, ma uno finisce col sentirne la mancanza.
HPitb1ch07-0158	impettito	«Preferirei che mi chiamaste Sir Nicholas de Mimsy...» cominciò a dire tutto impettito il fantasma, ma Seamus Finnigan, il ragazzo dai capelli rossicci, lo interruppe.
HPitb1ch07-0159	estremamente	Sir Nicholas sembrava estremamente stizzito, come se la conversazione non stesse prendendo la piega da lui desiderata.
HPitb1ch07-0160	stizzire	Sir Nicholas sembrava estremamente stizzito, come se la conversazione non stesse prendendo la piega da lui desiderata.
HPitb1ch07-0161	piega	Sir Nicholas sembrava estremamente stizzito, come se la conversazione non stesse prendendo la piega da lui desiderata.
HPitb1ch07-0162	incernierato	Tutta la testa gli si staccò dal collo e gli ricadde sulla spalla come se fosse incernierata.
HPitb1ch07-0163	decapitare	Qualcuno aveva evidentemente provato a decapitarlo, ma non lo aveva fatto a dovere.
HPitb1ch07-0164	deciso	Tutto compiaciuto per gli sguardi sbalorditi che lesse sui loro volti, con un movimento deciso, Nick-Quasi-Senza-Testa si rimise la testa sul collo, tossì e disse:
HPitb1ch07-0165	tossire	Tutto compiaciuto per gli sguardi sbalorditi che lesse sui loro volti, con un movimento deciso, Nick-Quasi-Senza-Testa si rimise la testa sul collo, tossì e disse:
HPitb1ch07-0166	campionato	Spero che ci aiuterete a vincere il Campionato delle Case di quest’anno.
HPitb1ch07-0167	barone	Il Barone Sanguinario sta diventando a dir poco insopportabile... ehm... lui è il fantasma di Serpeverde».
HPitb1ch07-0168	sanguinario	Il Barone Sanguinario sta diventando a dir poco insopportabile... ehm... lui è il fantasma di Serpeverde».
HPitb1ch07-0169	insopportabile	Il Barone Sanguinario sta diventando a dir poco insopportabile... ehm... lui è il fantasma di Serpeverde».
HPitb1ch07-0170	macilento	Harry gettò un’occhiata al tavolo di Serpeverde e vide, lì seduto, un orribile fantasma dallo sguardo fisso e vuoto, il volto macilento e gli abiti tutti imbrattati di sangue argentato.
HPitb1ch07-0171	imbrattare	Harry gettò un’occhiata al tavolo di Serpeverde e vide, lì seduto, un orribile fantasma dallo sguardo fisso e vuoto, il volto macilento e gli abiti tutti imbrattati di sangue argentato.
HPitb1ch07-0172	soddisfare	Era seduto proprio vicino a Malfoy che – Harry notò con piacere – non sembrava molto soddisfatto per l’assegnazione dei posti.
HPitb1ch07-0173	assegnazione	Era seduto proprio vicino a Malfoy che – Harry notò con piacere – non sembrava molto soddisfatto per l’assegnazione dei posti.
HPitb1ch07-0174	coprirsi	«Come ha fatto a coprirsi tutto di sangue?
HPitb1ch07-0175	delicatezza	«Non gliel’ho mai chiesto» disse con delicatezza Nick-Quasi-Senza-Testa.
HPitb1ch07-0176	rimpinzarsi	Quando tutti si furono rimpinzati a più non posso, gli avanzi del cibo scomparvero dai piatti lasciandoli puliti e splendenti come prima.
HPitb1ch07-0177	avanzo	Quando tutti si furono rimpinzati a più non posso, gli avanzi del cibo scomparvero dai piatti lasciandoli puliti e splendenti come prima.
HPitb1ch07-0178	immaginabile	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
HPitb1ch07-0179	mela	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
HPitb1ch07-0180	crostata	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
HPitb1ch07-0181	melassa	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
HPitb1ch07-0182	bignè	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
HPitb1ch07-0183	zuppa	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
HPitb1ch07-0184	inglese	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
