impazzire      	impazzire      	quello Specchio poteva farti impazzire» disse Ron quando Harry gli raccontò i suoi sogni.
difilato       	difilato       	«Restate lì!» disse, e corse difilato su per le scale diretta agli alloggi delle ragazze.
imbronciato    	imbronciato    	» «Adesso possiamo parlare?» fece Ron imbronciato.
filosofale     	filosofale     	«Nicolas Flamel» mormorò in tono d’importanza, «che si sappia è l’unico ad aver prodotto la Pietra Filosofale!» Ma non sortì precisamente l’effetto che si aspettava.
sortì          	sortire        	«Nicolas Flamel» mormorò in tono d’importanza, «che si sappia è l’unico ad aver prodotto la Pietra Filosofale!» Ma non sortì precisamente l’effetto che si aspettava.
precisamente   	precisamente   	«Nicolas Flamel» mormorò in tono d’importanza, «che si sappia è l’unico ad aver prodotto la Pietra Filosofale!» Ma non sortì precisamente l’effetto che si aspettava.
uffa           	uffa           	«Uffa, ma voi due non sapete leggere?
disciplina     	disciplina     	L’antica disciplina dell’alchimia si occupa della produzione della Pietra Filosofale, una sostanza leggendaria dai poteri sbalorditivi.
produzione     	produzione     	L’antica disciplina dell’alchimia si occupa della produzione della Pietra Filosofale, una sostanza leggendaria dai poteri sbalorditivi.
sbalorditivi   	sbalorditivo   	L’antica disciplina dell’alchimia si occupa della produzione della Pietra Filosofale, una sostanza leggendaria dai poteri sbalorditivi.
elisir         	elisir         	La Pietra è in grado di trasformare qualsiasi metallo in oro puro e per giunta da essa si ottiene l’Elisir di Lunga Vita, che rende immortale chi lo beve.
immortale      	immortale      	La Pietra è in grado di trasformare qualsiasi metallo in oro puro e per giunta da essa si ottiene l’Elisir di Lunga Vita, che rende immortale chi lo beve.
attualmente    	attualmente    	Nel corso dei secoli si è parlato molto della Pietra Filosofale, ma l’unica che esista attualmente appartiene a Nicolas Flamel, noto alchimista e appassionato di opera lirica.
alchimista     	alchimista     	Nel corso dei secoli si è parlato molto della Pietra Filosofale, ma l’unica che esista attualmente appartiene a Nicolas Flamel, noto alchimista e appassionato di opera lirica.
appassionato   	appassionato   	Nel corso dei secoli si è parlato molto della Pietra Filosofale, ma l’unica che esista attualmente appartiene a Nicolas Flamel, noto alchimista e appassionato di opera lirica.
lirica         	lirico         	Nel corso dei secoli si è parlato molto della Pietra Filosofale, ma l’unica che esista attualmente appartiene a Nicolas Flamel, noto alchimista e appassionato di opera lirica.
ricopiavano    	ricopiare      	» La mattina seguente, a lezione di Difesa contro le Arti Oscure, mentre ricopiavano dalla lavagna diversi metodi per curare il morso di lupo mannaro, Harry e Ron continuarono a parlare di quel che avrebbero fatto con una Pietra Filosofale se l’avessero avuta.
metodi         	metodo         	» La mattina seguente, a lezione di Difesa contro le Arti Oscure, mentre ricopiavano dalla lavagna diversi metodi per curare il morso di lupo mannaro, Harry e Ron continuarono a parlare di quel che avrebbero fatto con una Pietra Filosofale se l’avessero avuta.
mannaro        	mannaro        	» La mattina seguente, a lezione di Difesa contro le Arti Oscure, mentre ricopiavano dalla lavagna diversi metodi per curare il morso di lupo mannaro, Harry e Ron continuarono a parlare di quel che avrebbero fatto con una Pietra Filosofale se l’avessero avuta.
imminente      	imminente      	Solo quando Ron disse che ci si sarebbe comprato un’intera squadra di Quidditch, a Harry tornarono in mente Piton e la partita imminente.
aumentare      	aumentare      	Tuttavia, mano a mano che si avvicinava il giorno della partita, il nervosismo di Harry non faceva che aumentare, nonostante quel che aveva detto a Ron e a Hermione.
tortura        	tortura        	Le lezioni di Pozioni si stavano trasformando in una specie di tortura settimanale, tanto il professore lo assillava.
settimanale    	settimanale    	Le lezioni di Pozioni si stavano trasformando in una specie di tortura settimanale, tanto il professore lo assillava.
intuito        	intuire        	Era mai possibile che avesse intuito che avevano scoperto la storia della Pietra Filosofale?
agghiacciante  	agghiacciante  	Harry non capiva come, ma a volte aveva l’agghiacciante sensazione che Piton sapesse leggere nel pensiero.
augurarono     	augurare       	Il pomeriggio seguente, quando Ron e Hermione gli augurarono buona fortuna all’ingresso dello spogliatoio, Harry era ben consapevole che i due si stavano domandando se l’avrebbero mai rivisto vivo.
consapevole    	consapevole    	Il pomeriggio seguente, quando Ron e Hermione gli augurarono buona fortuna all’ingresso dello spogliatoio, Harry era ben consapevole che i due si stavano domandando se l’avrebbero mai rivisto vivo.
consolante     	consolante     	E quel pensiero non era precisamente consolante.
incitamento    	incitamento    	Mentre si infilava la divisa da Quidditch e inforcava la sua Nimbus Duemila, Harry non sentì quasi una parola del discorsetto d’incitamento pronunciato da Oliver Wood.
funerale       	funerale       	Nel frattempo, Ron e Hermione si erano trovati un posto a sedere sugli spalti vicino a Neville, che non riusciva a capire perché avessero quelle facce da funerale, né perché entrambi si fossero portati la bacchetta alla partita.
spunto         	spunto         	Avevano preso spunto da Malfoy che se n’era servito contro Neville, ed erano prontissimi a usarla anche con Piton, se avesse dato l’impressione di voler fare del male a Harry.
formula        	formula        	«Allora, tieni bene a mente la formula magica:
pressione      	pressione      	«Non per metterti sotto pressione, Potter, ma mai come oggi abbiamo bisogno di acchiapparlo subito, quel Boccino.
vantaggio      	vantaggio      	Vedi di concludere il gioco prima che Piton riesca a regalare troppo vantaggio a Tassofrasso».
inconfondibile 	inconfondibile 	quella barba argentea era inconfondibile.
inviperita     	inviperito     	Forse era per quello che Piton aveva l’aria così inviperita quando le due squadre entrarono in campo.
confidò        	confidare      	«Non gli ho mai visto in faccia un’espressione tanto feroce» confidò a Hermione.
accettano      	accettare      	Si accettano scommesse!
scommesse      	scommessa      	Si accettano scommesse!
quattrino      	quattrino      	E difatti ci gioca Potter, che non ha i genitori, ci giocano i Weasley, che non hanno il becco d’un quattrino... anche tu dovresti far parte della squadra, Longbottom, visto che non hai cervello».
nervi          	nervo          	Ron aveva i nervi già abbastanza tesi, ansioso com’era per via di Harry.
tesi           	teso           	Ron aveva i nervi già abbastanza tesi, ansioso com’era per via di Harry.
mozzato        	mozzare        	Che cosa, dove?» Harry si era appena gettato in una picchiata spettacolare che aveva mozzato il fiato ad alcuni e scatenato gli applausi di altri fra il pubblico.
manforte       	manforte       	Neville esitò, poi scavalcò il sedile per andare a dargli manforte.
trasformatisi  	trasformarsi   	Non si accorse nemmeno di Malfoy e Ron che si rotolavano a terra sotto il suo sedile, né dei tonfi e delle grida provenienti da Neville, Crabbe e Goyle, trasformatisi in un unico vortice di pugni.
vortice        	vortice        	Non si accorse nemmeno di Malfoy e Ron che si rotolavano a terra sotto il suo sedile, né dei tonfi e delle grida provenienti da Neville, Crabbe e Goyle, trasformatisi in un unico vortice di pugni.
improvvisando  	improvvisare   	strillava Hermione, improvvisando un balletto sul suo sedile e abbracciando Parvati Patil, che sedeva nella fila davanti.
balletto       	balletto       	strillava Hermione, improvvisando un balletto sul suo sedile e abbracciando Parvati Patil, che sedeva nella fila davanti.
riversavano    	riversarsi     	Mentre i Grifondoro si riversavano in campo, scorse Piton che atterrava lì accanto, livido e con le labbra serrate.
posarglisi     	posarsi        	Poi sentì una mano posarglisi sulla spalla e, quando levò lo sguardo, si trovò davanti il volto allegro di Silente.
eccellente     	eccellente     	Eccellente!
rimessa        	rimessa        	Harry uscì da solo dagli spogliatoi qualche tempo dopo, per riportare la sua Nimbus Duemila nella rimessa delle scope.
rivivendo      	rivivere       	Camminava sull’erba umida, rivivendo l’ora appena trascorsa nella sua mente piacevolmente confusa:
piacevolmente  	piacevolmente  	Camminava sull’erba umida, rivivendo l’ora appena trascorsa nella sua mente piacevolmente confusa:
issavano       	issare         	i Grifondoro che gli correvano incontro e lo issavano sulle loro spalle;
emorragia      	emorragia      	Hermione e Ron in lontananza che saltavano su e giù, con quest’ultimo che urlava di gioia, nonostante una forte emorragia dal naso.
tramonto       	tramonto       	Si appoggiò alla porta di legno e alzò lo sguardo su Hogwarts, con le finestre che luccicavano nel rosso del tramonto.
figura         	figura         	Ce l’aveva fatta, gliel’aveva fatta vedere lui a quel Piton... A proposito di Piton... Una figura incappucciata scendeva rapidamente i gradini all’entrata del castello.
incappucciata  	incappucciare  	Ce l’aveva fatta, gliel’aveva fatta vedere lui a quel Piton... A proposito di Piton... Una figura incappucciata scendeva rapidamente i gradini all’entrata del castello.
diretta        	diretta        	Camminava il più in fretta possibile, diretta alla Foresta Proibita, nel chiaro intento di non farsi vedere.
camminata      	camminata      	Il ragazzo riconobbe quella camminata furtiva.
cenavano       	cenare         	Era Piton che sgattaiolava nella Foresta mentre tutti gli altri cenavano.
fronde         	fronda         	Volò verso di loro e atterrò senza fare rumore tra le fronde di un altissimo faggio.
foglie         	foglia         	Con circospezione, si aprì un varco fra i rami, sempre tenendo stretto il manico della sua scopa, nel tentativo di scorgere qualcosa fra le foglie.
radura         	radura         	Sotto di lui, in una radura già immersa nell’ombra, c’era Piton ritto in piedi, ma non era solo.
stridio        	stridio        	In quel momento un gufo lanciò un forte stridio e Harry quasi cadde dall’albero.
abracadabra    	abracadabra    	«...quei tuoi abracadabra da quattro soldi.
chiacchierata  	chiacchierata  	«Faremo presto un’altra bella chiacchierata, quando avrai avuto il tempo di pensarci su e di decidere da che parte stai».
ricoprì        	ricoprire      	E così dicendo, si ricoprì il capo con il mantello e si allontanò a grandi passi dalla radura.
sgraffignato   	sgraffignare   	Fred e George hanno sgraffignato dalle cucine un po’ di dolci e altra roba buona».
allarmato      	allarmare      	un sacco di incantesimi, probabilmente... e Quirrell deve aver fatto qualche incantesimo anti-Magia Oscura che Piton deve superare...» «Allora tu pensi che la Pietra sia al sicuro solo finché Quirrell resisterà a Piton...» fece Hermione in tono allarmato.
sentenziò      	sentenziare    	«Se è così, entro martedì prossimo sarà sparita» sentenziò Ron.
