HPitb1ch12-0001	specchio	LO SPECCHIO DELLE EMARB Natale si stava avvicinando.
HPitb1ch12-0022	ilarità	Deluso per la sconfitta di Serpeverde, aveva cercato di suscitare l’ilarità di tutti con una battuta, e cioè che la volta successiva Harry sarebbe stato sostituito come Cercatore da una rana dalla bocca larga.
HPitb1ch12-0023	sostituire	Deluso per la sconfitta di Serpeverde, aveva cercato di suscitare l’ilarità di tutti con una battuta, e cioè che la volta successiva Harry sarebbe stato sostituito come Cercatore da una rana dalla bocca larga.
HPitb1ch12-0024	nonostante	Ma poi si era reso conto che non faceva ridere nessuno, perché tutti erano rimasti ammirati dal modo in cui Harry era riuscito a rimanere in sella alla sua scopa nonostante quella cercasse di disarcionarlo.
HPitb1ch12-0025	gonfio	Per cui, Malfoy, invidioso e gonfio di rabbia, era tornato a prenderlo in giro per il fatto che non aveva una vera e propria famiglia.
HPitb1ch12-0026	abete	Quando lasciarono i sotterranei alla fine della lezione di Pozioni, i ragazzi trovarono un grosso abete che bloccava il corridoio.
HPitb1ch12-0027	togliersi	«Ti spiacerebbe toglierti di mezzo?» fece dietro di loro la voce strascicata e glaciale di Malfoy.
HPitb1ch12-0028	spicciolo	«Che cosa c’è, stai cercando di guadagnare qualche spicciolo, Weasley?
HPitb1ch12-0029	reggia	Forse speri di diventare anche tu guardacaccia quando finirai la scuola... la capanna di Hagrid deve sembrarti una reggia, in confronto a dove abita la tua famiglia».
HPitb1ch12-0030	flautato	«Quale che sia la ragione, Hagrid, fare a pugni è contro le regole di Hogwarts» disse Piton con voce flautata.
HPitb1ch12-0031	levarsi	Ora levatevi di torno, tutti quanti!» Malfoy, Crabbe e Goyle passarono accanto all’abete e lo urtarono malamente, spargendone gli aghi dappertutto con un sorriso compiaciuto.
HPitb1ch12-0032	malamente	Ora levatevi di torno, tutti quanti!» Malfoy, Crabbe e Goyle passarono accanto all’abete e lo urtarono malamente, spargendone gli aghi dappertutto con un sorriso compiaciuto.
HPitb1ch12-0033	spargere	Ora levatevi di torno, tutti quanti!» Malfoy, Crabbe e Goyle passarono accanto all’abete e lo urtarono malamente, spargendone gli aghi dappertutto con un sorriso compiaciuto.
HPitb1ch12-0034	digrignare	«Gliela faccio vedere io» disse Ron digrignando i denti contro Malfoy che ormai gli dava le spalle.
HPitb1ch12-0035	meraviglia	È una meraviglia!»
HPitb1ch12-0036	indaffarato	Così, Harry, Ron e Hermione seguirono Hagrid e il suo albero fino alla Sala Grande, dove la professoressa McGonagall e il professor Flitwick erano tutti indaffarati a sistemare le decorazioni natalizie.
HPitb1ch12-0037	natalizio	Così, Harry, Ron e Hermione seguirono Hagrid e il suo albero fino alla Sala Grande, dove la professoressa McGonagall e il professor Flitwick erano tutti indaffarati a sistemare le decorazioni natalizie.
HPitb1ch12-0038	spettacolo	» La sala era davvero uno spettacolo.
HPitb1ch12-0039	ghirlanda	Dalle pareti pendevano ghirlande d’agrifoglio e vischio, e tutto intorno erano disposti non meno di dodici giganteschi alberi di Natale, alcuni decorati di ghiaccioli scintillanti, altri illuminati da centinaia di candeline.
HPitb1ch12-0040	vischio	Dalle pareti pendevano ghirlande d’agrifoglio e vischio, e tutto intorno erano disposti non meno di dodici giganteschi alberi di Natale, alcuni decorati di ghiaccioli scintillanti, altri illuminati da centinaia di candeline.
HPitb1ch12-0041	decorare	Dalle pareti pendevano ghirlande d’agrifoglio e vischio, e tutto intorno erano disposti non meno di dodici giganteschi alberi di Natale, alcuni decorati di ghiaccioli scintillanti, altri illuminati da centinaia di candeline.
HPitb1ch12-0042	depositarsi	«Ah, già, è vero» disse Ron distogliendo lo sguardo dal professor Flitwick, dalla cui bacchetta uscivano bolle dorate che andavano a depositarsi sui rami del nuovo albero.
HPitb1ch12-0043	soggiungere	«A meno che non voglia dircelo tu, così ci risparmi la fatica» soggiunse Harry.
HPitb1ch12-0044	cucito	«Ho le labbra cucite» disse Hagrid categorico.
HPitb1ch12-0045	categorico	«Ho le labbra cucite» disse Hagrid categorico.
HPitb1ch12-0046	contrariato	Lasciarono Hagrid con la sua aria contrariata e si avviarono di corsa verso la biblioteca.
HPitb1ch12-0047	esponente	Non compariva in Grandi maghi del Ventesimo secolo, e neanche in Esponenti di rilievo della Magia del nostro tempo;
HPitb1ch12-0048	rilievo	Non compariva in Grandi maghi del Ventesimo secolo, e neanche in Esponenti di rilievo della Magia del nostro tempo;
HPitb1ch12-0049	recente	non era citato in Scoperte importanti della Magia moderna, né in Rassegna dei recenti sviluppi della Magia.
HPitb1ch12-0050	sviluppo	non era citato in Scoperte importanti della Magia moderna, né in Rassegna dei recenti sviluppi della Magia.
HPitb1ch12-0051	titolo	Hermione tirò fuori un elenco di argomenti e di titoli che aveva deciso di cercare mentre Ron si avviava lungo un corridoio e cominciava a estrarre libri a caso dagli scaffali.
HPitb1ch12-0052	reparto	Harry si aggirava invece nel Reparto Proibito.
HPitb1ch12-0053	occorrere	Purtroppo, per prendere uno qualsiasi dei libri proibiti occorreva un’apposita autorizzazione firmata da un professore e lui sapeva benissimo che non sarebbe mai riuscito a procurarsela.
HPitb1ch12-0054	apposito	Purtroppo, per prendere uno qualsiasi dei libri proibiti occorreva un’apposita autorizzazione firmata da un professore e lui sapeva benissimo che non sarebbe mai riuscito a procurarsela.
HPitb1ch12-0055	autorizzazione	Purtroppo, per prendere uno qualsiasi dei libri proibiti occorreva un’apposita autorizzazione firmata da un professore e lui sapeva benissimo che non sarebbe mai riuscito a procurarsela.
HPitb1ch12-0056	firmare	Purtroppo, per prendere uno qualsiasi dei libri proibiti occorreva un’apposita autorizzazione firmata da un professore e lui sapeva benissimo che non sarebbe mai riuscito a procurarsela.
HPitb1ch12-0057	perfezionare	Quelli erano i libri che contenevano i potenti segreti della Magia Oscura che non veniva mai insegnata a Hogwarts, ed erano letti soltanto dagli allievi più anziani che si perfezionavano in Difesa contro le Arti Oscure.
HPitb1ch12-0058	bibliotecario	Madame Pince, la bibliotecaria, brandiva contro di lui un piumino per la polvere.
HPitb1ch12-0059	piumino	Madame Pince, la bibliotecaria, brandiva contro di lui un piumino per la polvere.
HPitb1ch12-0060	nutrire	Harry aspettò fuori nel corridoio per vedere se i due amici avessero trovato qualcosa, ma non nutriva molte speranze.
HPitb1ch12-0061	dentista	«Questo è poco ma sicuro, visto che fanno i dentisti tutti e due!» rispose Hermione.
HPitb1ch12-0062	accaparrare	Avevano il dormitorio tutto per loro e la sala comune era molto meno affollata del solito, per cui potevano accaparrarsi le poltrone migliori, quelle vicino al camino.
HPitb1ch12-0063	forchettone	Stavano lì seduti per ore e ore di fila, mangiando qualsiasi cosa si potesse infilzare su un forchettone e arrostire alla fiamma – pane, focaccine, marshmallow – e architettando stratagemmi per far espellere Malfoy:
HPitb1ch12-0064	arrostire	Stavano lì seduti per ore e ore di fila, mangiando qualsiasi cosa si potesse infilzare su un forchettone e arrostire alla fiamma – pane, focaccine, marshmallow – e architettando stratagemmi per far espellere Malfoy:
HPitb1ch12-0065	focaccia	Stavano lì seduti per ore e ore di fila, mangiando qualsiasi cosa si potesse infilzare su un forchettone e arrostire alla fiamma – pane, focaccine, marshmallow – e architettando stratagemmi per far espellere Malfoy:
HPitb1ch12-0066	stratagemma	Stavano lì seduti per ore e ore di fila, mangiando qualsiasi cosa si potesse infilzare su un forchettone e arrostire alla fiamma – pane, focaccine, marshmallow – e architettando stratagemmi per far espellere Malfoy:
HPitb1ch12-0067	difficilmente	tutte cose di cui era molto divertente parlare, anche se difficilmente avrebbero funzionato.
HPitb1ch12-0068	scacco	Ron cominciò anche a insegnare a Harry a giocare a scacchi magici.
HPitb1ch12-0069	comandare	Le regole erano esattamente come quelle degli scacchi babbani, tranne che i pezzi erano vivi, per cui diventava un po’ come comandare delle truppe in battaglia.
HPitb1ch12-0070	truppa	Le regole erano esattamente come quelle degli scacchi babbani, tranne che i pezzi erano vivi, per cui diventava un po’ come comandare delle truppe in battaglia.
HPitb1ch12-0071	scacchiera	La scacchiera di Ron era molto vecchia e malconcia.
HPitb1ch12-0072	membro	Come tutto quello che possedeva, anch’essa un tempo era stata di qualche membro della sua famiglia, in quel caso suo nonno.
HPitb1ch12-0073	fiducia	Invece Harry giocava con gli scacchi che gli aveva prestato Seamus Finnigan e i pezzi non avevano la minima fiducia in lui.
HPitb1ch12-0074	contraddittorio	Ancora non era un bravo giocatore e loro non facevano che gridare consigli contraddittori che finivano per confonderlo:
HPitb1ch12-0075	pregustare	lui possiamo permetterci di perderlo!» La vigilia di Natale, Harry andò a letto pregustando le leccornie e i divertimenti dell’indomani, senza aspettarsi nessun regalo.
HPitb1ch12-0076	leccornia	lui possiamo permetterci di perderlo!» La vigilia di Natale, Harry andò a letto pregustando le leccornie e i divertimenti dell’indomani, senza aspettarsi nessun regalo.
HPitb1ch12-0077	divertimento	lui possiamo permetterci di perderlo!» La vigilia di Natale, Harry andò a letto pregustando le leccornie e i divertimenti dell’indomani, senza aspettarsi nessun regalo.
HPitb1ch12-0078	rapa	«E che cosa ti aspettavi, un mazzo di rape?» disse Ron voltandosi a guardare i suoi regali, che erano molto più numerosi di quelli di Harry.
HPitb1ch12-0079	scarabocchiare	Era avvolto in una spessa carta da pacchi, con su scarabocchiato:
HPitb1ch12-0080	flauto	Dentro c’era un flauto di legno rozzamente intagliato.
HPitb1ch12-0081	rozzamente	Dentro c’era un flauto di legno rozzamente intagliato.
HPitb1ch12-0082	intagliare	Dentro c’era un flauto di legno rozzamente intagliato.
HPitb1ch12-0083	messaggio	Abbiamo ricevuto il tuo messaggio e accludiamo il regalo di Natale per te.
HPitb1ch12-0084	accludere	Abbiamo ricevuto il tuo messaggio e accludiamo il regalo di Natale per te.
HPitb1ch12-0085	affascinare	Ron era affascinato dalla moneta.
HPitb1ch12-0086	lana	» Harry aveva aperto il pacchetto e ci aveva trovato un pesante maglione di lana lavorato ai ferri, color verde smeraldo, e una grossa scatola di caramelle mou fatte in casa.
HPitb1ch12-0087	gustoso	disse Harry assaggiando una caramella, che era molto gustosa.
HPitb1ch12-0088	drappo	«Che cos’è?» Harry raccolse da terra lo scintillante drappo argenteo.
HPitb1ch12-0089	tatto	Era stranissimo al tatto, come fosse tessuto con l’acqua.
HPitb1ch12-0090	tessuto	Era stranissimo al tatto, come fosse tessuto con l’acqua.
HPitb1ch12-0091	invisibilità	«È un Mantello dell’Invisibilità» disse Ron con un timore reverenziale dipinto sul volto.
HPitb1ch12-0092	reverenziale	«È un Mantello dell’Invisibilità» disse Ron con un timore reverenziale dipinto sul volto.
HPitb1ch12-0093	immagine	l’immagine riflessa era fatta soltanto di una testa sospesa a mezz’aria sopra un corpo completamente invisibile.
HPitb1ch12-0094	grafia	Scritte con una grafia stretta e sinuosa che non aveva mai visto prima, si leggevano le seguenti parole:
HPitb1ch12-0095	sinuoso	Scritte con una grafia stretta e sinuosa che non aveva mai visto prima, si leggevano le seguenti parole:
HPitb1ch12-0096	firma	Buon Natale Nessuna firma.
HPitb1ch12-0097	estasiare	Harry rimase a fissare la lettera, mentre Ron guardava estasiato il Mantello.
HPitb1ch12-0098	rassicurare	» «Niente» lo rassicurò Harry.
HPitb1ch12-0099	alcunché	Prima di poter dire o pensare alcunché, la porta del dormitorio si spalancò e Fred e George Weasley schizzarono dentro.
HPitb1ch12-0100	impegno	«Naturalmente, mamma ci mette più impegno se non sei della famiglia».
HPitb1ch12-0101	chiasso	» «Che cos’è tutto questo chiasso?
HPitb1ch12-0102	approfittare	E lo trascinarono via di peso approfittando del fatto che aveva le braccia imprigionate nel maglione.
HPitb1ch12-0103	tacchino	Un centinaio di grassi tacchini arrosto, montagne di patate al forno e bollite, vassoi di succulente salsicce alla cipolla, zuppiere di piselli al burro, coppe d’argento con salse dense e saporite alla carne e al mirtillo, e montagne di scoppiarelli magici disposte a intervalli lungo la tavola.
HPitb1ch12-0104	bollito	Un centinaio di grassi tacchini arrosto, montagne di patate al forno e bollite, vassoi di succulente salsicce alla cipolla, zuppiere di piselli al burro, coppe d’argento con salse dense e saporite alla carne e al mirtillo, e montagne di scoppiarelli magici disposte a intervalli lungo la tavola.
HPitb1ch12-0105	vassoio	Un centinaio di grassi tacchini arrosto, montagne di patate al forno e bollite, vassoi di succulente salsicce alla cipolla, zuppiere di piselli al burro, coppe d’argento con salse dense e saporite alla carne e al mirtillo, e montagne di scoppiarelli magici disposte a intervalli lungo la tavola.
HPitb1ch12-0106	cipolla	Un centinaio di grassi tacchini arrosto, montagne di patate al forno e bollite, vassoi di succulente salsicce alla cipolla, zuppiere di piselli al burro, coppe d’argento con salse dense e saporite alla carne e al mirtillo, e montagne di scoppiarelli magici disposte a intervalli lungo la tavola.
HPitb1ch12-0107	zuppiera	Un centinaio di grassi tacchini arrosto, montagne di patate al forno e bollite, vassoi di succulente salsicce alla cipolla, zuppiere di piselli al burro, coppe d’argento con salse dense e saporite alla carne e al mirtillo, e montagne di scoppiarelli magici disposte a intervalli lungo la tavola.
HPitb1ch12-0108	burro	Un centinaio di grassi tacchini arrosto, montagne di patate al forno e bollite, vassoi di succulente salsicce alla cipolla, zuppiere di piselli al burro, coppe d’argento con salse dense e saporite alla carne e al mirtillo, e montagne di scoppiarelli magici disposte a intervalli lungo la tavola.
HPitb1ch12-0109	denso	Un centinaio di grassi tacchini arrosto, montagne di patate al forno e bollite, vassoi di succulente salsicce alla cipolla, zuppiere di piselli al burro, coppe d’argento con salse dense e saporite alla carne e al mirtillo, e montagne di scoppiarelli magici disposte a intervalli lungo la tavola.
HPitb1ch12-0110	saporito	Un centinaio di grassi tacchini arrosto, montagne di patate al forno e bollite, vassoi di succulente salsicce alla cipolla, zuppiere di piselli al burro, coppe d’argento con salse dense e saporite alla carne e al mirtillo, e montagne di scoppiarelli magici disposte a intervalli lungo la tavola.
HPitb1ch12-0111	mirtillo	Un centinaio di grassi tacchini arrosto, montagne di patate al forno e bollite, vassoi di succulente salsicce alla cipolla, zuppiere di piselli al burro, coppe d’argento con salse dense e saporite alla carne e al mirtillo, e montagne di scoppiarelli magici disposte a intervalli lungo la tavola.
HPitb1ch12-0112	insignificante	Quei fantastici petardi non avevano niente a che fare con gli insignificanti scoppiarelli babbani che compravano i Dursley, e che tutt’al più contenevano piccoli giocattoli di plastica e insulsi cappellini di carta.
HPitb1ch12-0113	sparare	Quando Harry, con l’aiuto di Fred, fece esplodere uno scoppiarello magico, quello non si limitò a fare bum!, ma sparò come un cannone avvolgendoli in una nuvola di fumo blu, mentre da dentro schizzavano fuori un tricorno da Contrammiraglio e una miriade di topolini bianchi vivi.
HPitb1ch12-0114	tricorno	Quando Harry, con l’aiuto di Fred, fece esplodere uno scoppiarello magico, quello non si limitò a fare bum!, ma sparò come un cannone avvolgendoli in una nuvola di fumo blu, mentre da dentro schizzavano fuori un tricorno da Contrammiraglio e una miriade di topolini bianchi vivi.
HPitb1ch12-0115	contrammiraglio	Quando Harry, con l’aiuto di Fred, fece esplodere uno scoppiarello magico, quello non si limitò a fare bum!, ma sparò come un cannone avvolgendoli in una nuvola di fumo blu, mentre da dentro schizzavano fuori un tricorno da Contrammiraglio e una miriade di topolini bianchi vivi.
HPitb1ch12-0116	topolino	Quando Harry, con l’aiuto di Fred, fece esplodere uno scoppiarello magico, quello non si limitò a fare bum!, ma sparò come un cannone avvolgendoli in una nuvola di fumo blu, mentre da dentro schizzavano fuori un tricorno da Contrammiraglio e una miriade di topolini bianchi vivi.
HPitb1ch12-0117	cuffia	Intanto, al tavolo degli insegnanti, Silente aveva barattato il suo cappello a punta da mago con una cuffia a fiori e stava ridendo a crepapelle per una storiella, trovata in uno scoppiarello, che il professor Flitwick gli aveva appena letto.
HPitb1ch12-0118	fiore	Intanto, al tavolo degli insegnanti, Silente aveva barattato il suo cappello a punta da mago con una cuffia a fiori e stava ridendo a crepapelle per una storiella, trovata in uno scoppiarello, che il professor Flitwick gli aveva appena letto.
HPitb1ch12-0119	storiella	Intanto, al tavolo degli insegnanti, Silente aveva barattato il suo cappello a punta da mago con una cuffia a fiori e stava ridendo a crepapelle per una storiella, trovata in uno scoppiarello, che il professor Flitwick gli aveva appena letto.
HPitb1ch12-0120	vino	Harry non perdeva d’occhio Hagrid, che a forza di versarsi bicchieri di vino stava diventando sempre più paonazzo, finché baciò addirittura sulla guancia la professoressa McGonagall, la quale, con grande sorpresa del ragazzo, rise e arrossì, incurante del cappello che le era finito di traverso.
HPitb1ch12-0121	incurante	Harry non perdeva d’occhio Hagrid, che a forza di versarsi bicchieri di vino stava diventando sempre più paonazzo, finché baciò addirittura sulla guancia la professoressa McGonagall, la quale, con grande sorpresa del ragazzo, rise e arrossì, incurante del cappello che le era finito di traverso.
HPitb1ch12-0122	kit	Quando finalmente Harry si alzò da tavola, era carico di tutti gli strani oggetti venuti fuori dagli scoppiarelli, fra cui un pacchetto di palloncini luminosi a prova di spillo, un kit ‘fai-da-te’ per far spuntare le verruche e una scacchiera magica tutta nuova, completa di pezzi.
HPitb1ch12-0123	verruca	Quando finalmente Harry si alzò da tavola, era carico di tutti gli strani oggetti venuti fuori dagli scoppiarelli, fra cui un pacchetto di palloncini luminosi a prova di spillo, un kit ‘fai-da-te’ per far spuntare le verruche e una scacchiera magica tutta nuova, completa di pezzi.
HPitb1ch12-0124	completo	Quando finalmente Harry si alzò da tavola, era carico di tutti gli strani oggetti venuti fuori dagli scoppiarelli, fra cui un pacchetto di palloncini luminosi a prova di spillo, un kit ‘fai-da-te’ per far spuntare le verruche e una scacchiera magica tutta nuova, completa di pezzi.
HPitb1ch12-0125	assalire	I topolini bianchi erano scomparsi e Harry fu assalito dall’atroce dubbio che potessero diventare il pranzo natalizio di Mrs Norris.
HPitb1ch12-0126	atroce	I topolini bianchi erano scomparsi e Harry fu assalito dall’atroce dubbio che potessero diventare il pranzo natalizio di Mrs Norris.
HPitb1ch12-0127	infreddolito	Poi, infreddoliti, bagnati e senza fiato, tornarono a scaldarsi davanti al fuoco della sala comune di Grifondoro, dove Harry inaugurò la sua nuova scacchiera facendosi infliggere una spettacolare batosta da Ron.
HPitb1ch12-0128	scaldarsi	Poi, infreddoliti, bagnati e senza fiato, tornarono a scaldarsi davanti al fuoco della sala comune di Grifondoro, dove Harry inaugurò la sua nuova scacchiera facendosi infliggere una spettacolare batosta da Ron.
HPitb1ch12-0129	inaugurare	Poi, infreddoliti, bagnati e senza fiato, tornarono a scaldarsi davanti al fuoco della sala comune di Grifondoro, dove Harry inaugurò la sua nuova scacchiera facendosi infliggere una spettacolare batosta da Ron.
HPitb1ch12-0130	infliggere	Poi, infreddoliti, bagnati e senza fiato, tornarono a scaldarsi davanti al fuoco della sala comune di Grifondoro, dove Harry inaugurò la sua nuova scacchiera facendosi infliggere una spettacolare batosta da Ron.
HPitb1ch12-0131	spettacolare	Poi, infreddoliti, bagnati e senza fiato, tornarono a scaldarsi davanti al fuoco della sala comune di Grifondoro, dove Harry inaugurò la sua nuova scacchiera facendosi infliggere una spettacolare batosta da Ron.
HPitb1ch12-0132	batosta	Poi, infreddoliti, bagnati e senza fiato, tornarono a scaldarsi davanti al fuoco della sala comune di Grifondoro, dove Harry inaugurò la sua nuova scacchiera facendosi infliggere una spettacolare batosta da Ron.
HPitb1ch12-0133	irrimediabile	Tuttavia pensò che probabilmente la sua sconfitta non sarebbe stata così irrimediabile se Percy non avesse cercato di aiutarlo con tanto impegno.
HPitb1ch12-0134	merenda	All’ora del tè, dopo una merenda a base di panini al tacchino, focaccine, zuppa inglese e torta di Natale, erano tutti troppo sazi e assonnati per aver voglia di fare qualsiasi cosa prima di andare a letto, se non assistere allo spettacolo di Percy che rincorreva Fred e George per tutta la Torre di Grifondoro, perché gli avevano preso il suo distintivo da prefetto.
HPitb1ch12-0135	colui	riguardava il Mantello dell’Invisibilità e colui o colei che glielo aveva mandato.
HPitb1ch12-0136	colei	riguardava il Mantello dell’Invisibilità e colui o colei che glielo aveva mandato.
HPitb1ch12-0137	stringersi	Si avviò, stringendosi nel Mantello dell’Invisibilità.
HPitb1ch12-0138	atmosfera	Nella biblioteca era buio pesto e c’era un’atmosfera da brivido.
HPitb1ch12-0139	lampada	Harry accese una lampada per vedere le file di libri.
HPitb1ch12-0140	cordone	Facendo molta attenzione e scavalcando il cordone che separava quella sezione dalle altre, Harry tenne alta la lampada per leggere i titoli.
HPitb1ch12-0141	sezione	Facendo molta attenzione e scavalcando il cordone che separava quella sezione dalle altre, Harry tenne alta la lampada per leggere i titoli.
HPitb1ch12-0142	copertina	Uno mostrava sulla copertina una macchia scura dall’aspetto sinistro, che aveva tutta l’aria di essere sangue.
HPitb1ch12-0143	rizzare	A Harry si rizzarono i peli sul collo.
HPitb1ch12-0144	intruso	Forse era tutta una sua fantasia, forse no, ma credette di sentire un debole sussurro provenire dai libri, come se avvertissero la presenza di un intruso.
HPitb1ch12-0145	sistemare	Sistemò con circospezione la lampada a terra e guardò lungo lo scaffale più basso in cerca di un libro interessante.
HPitb1ch12-0146	gelare	Il silenzio fu rotto da un grido lacerante, da far gelare il sangue nelle vene.
HPitb1ch12-0147	ininterrotto	un’unica nota acuta, ininterrotta, assordante.
HPitb1ch12-0148	arretrare	Arretrando, il ragazzo inciampò e urtò la lampada che si spense all’istante.
HPitb1ch12-0149	urlante	Ripose nello scaffale il libro urlante e se la diede a gambe.
HPitb1ch12-0150	scorciatoia	Dovunque si trovasse, Filch doveva conoscere una scorciatoia, perché la sua voce melliflua e untuosa si stava avvicinando e, con suo orrore, a rispondergli fu Piton.
HPitb1ch12-0151	incorporeo	il Mantello lo rendeva invisibile, ma non incorporeo.
HPitb1ch12-0152	indietreggiare	Indietreggiò silenziosamente.
HPitb1ch12-0153	insinuarsi	Ci si infilò, trattenendo il fiato, cercando di non farla cigolare, e con suo grande sollievo riuscì a insinuarsi dentro la stanza senza che i due lo notassero.
HPitb1ch12-0154	disuso	Aveva l’aspetto di un’aula in disuso.
HPitb1ch12-0155	capovolto	I banchi e le sedie accostati lungo le pareti proiettavano ombre oscure e c’era anche un cestino per la carta straccia capovolto.
HPitb1ch12-0156	circolazione	Appoggiato al muro, di fronte a lui, c’era un oggetto che appariva fuori luogo in quell’aula, come se qualcuno ce l’avesse messo per toglierlo dalla circolazione.
HPitb1ch12-0157	cornice	Era uno specchio meraviglioso, alto fino al soffitto, con una cornice d’oro riccamente decorata che si reggeva su due zampe di leone.
HPitb1ch12-0158	riccamente	Era uno specchio meraviglioso, alto fino al soffitto, con una cornice d’oro riccamente decorata che si reggeva su due zampe di leone.
HPitb1ch12-0159	sommità	Sulla sommità c’era un’iscrizione:
HPitb1ch12-0160	iscrizione	Sulla sommità c’era un’iscrizione:
HPitb1ch12-0161	traccia	Ora che non c’era più traccia di Filch e di Piton il panico era svanito e Harry si avvicinò allo specchio per guardarsi e ancora una volta non vedere la sua immagine riflessa.
HPitb1ch12-0162	tappare	Si dovette tappare la bocca con le mani per non urlare.
HPitb1ch12-0163	mozzo	Col respiro mozzo, si voltò di nuovo, lentamente, verso lo specchio.
HPitb1ch12-0164	superficie	Si vedeva lì, riflesso sulla sua superficie, pallido e atterrito, e dietro di lui vedeva almeno altre dieci persone.
HPitb1ch12-0165	atterrito	Si vedeva lì, riflesso sulla sua superficie, pallido e atterrito, e dietro di lui vedeva almeno altre dieci persone.
HPitb1ch12-0166	ribelle	Portava gli occhiali e aveva una chioma ribelle, di quelle che non stanno mai a posto.
HPitb1ch12-0167	ossuto	Pian piano, Harry passò in rassegna i volti di tutte le persone riflesse nello specchio e vide altre paia di occhi verdi come i suoi, altri nasi come il suo, e anche un vecchietto che sembrava avere le sue stesse ginocchia ossute... Per la prima volta in vita sua, Harry vedeva la sua famiglia.
HPitb1ch12-0168	anelare	I Potter gli sorridevano e lo salutavano, e lui li guardava, anelante, con le mani premute contro lo specchio come se sperasse di caderci dentro e di raggiungerli.
HPitb1ch12-0169	presentare	Potrai presentarmi gli altri tuoi fratelli e tutti quanti».
HPitb1ch12-0170	peccato	Che peccato, però, non aver trovato Flamel... Dai, prendi un po’ di pancetta o qualcos’altro.
HPitb1ch12-0171	stamattina	Perché stamattina non mangi niente?
HPitb1ch12-0172	prodigioso	Ron distolse a forza lo sguardo da quella visione prodigiosa e guardò Harry tutto emozionato.
HPitb1ch12-0173	eternità	Dopo quella che parve un’eternità, Mrs Norris si voltò e se ne andò.
