HPitb1ch05-0001	benché	Benché si rendesse conto che era giorno fatto, tenne gli occhi ben chiusi.
HPitb1ch05-0023	assonnato	«Dagli cinque zellini» disse Hagrid con voce assonnata.
HPitb1ch05-0024	bronzo	» «Le monetine di bronzo».
HPitb1ch05-0025	denaro	Harry contò cinque piccole monete di bronzo e il gufo allungò la zampa per consentirgli di mettere il denaro in un borsellino di cuoio che vi portava legato.
HPitb1ch05-0026	borsellino	Harry contò cinque piccole monete di bronzo e il gufo allungò la zampa per consentirgli di mettere il denaro in un borsellino di cuoio che vi portava legato.
HPitb1ch05-0027	legare	Harry contò cinque piccole monete di bronzo e il gufo allungò la zampa per consentirgli di mettere il denaro in un borsellino di cuoio che vi portava legato.
HPitb1ch05-0028	rumorosamente	Hagrid sbadigliò rumorosamente, si mise seduto e si stiracchiò.
HPitb1ch05-0029	stiracchiare	Hagrid sbadigliò rumorosamente, si mise seduto e si stiracchiò.
HPitb1ch05-0030	felicità	Gli era appena venuto in mente un pensiero che lo fece sentire come se quel palloncino di felicità gli si fosse bucato.
HPitb1ch05-0031	bucarsi	Gli era appena venuto in mente un pensiero che lo fece sentire come se quel palloncino di felicità gli si fosse bucato.
HPitb1ch05-0032	centesimo	«Io non ho soldi... e hai sentito zio Vernon, ieri sera... Lui non tirerà fuori un centesimo perché io frequenti la scuola di magia».
HPitb1ch05-0033	fetta	Acchiappa una salsiccia, fredde non sono malaccio... e non mi dispiacerebbe neanche una fetta della tua torta di compleanno».
HPitb1ch05-0034	rapina	«Sì... E bisogna essere matti per tentare una rapina, te lo dico io.
HPitb1ch05-0035	scherzare	Con i goblin non si scherza.
HPitb1ch05-0036	custodire	La Gringott è il posto più sicuro del mondo, se vuoi custodire qualcosa... tranne Hogwarts, forse.
HPitb1ch05-0037	affare	Affari di Hogwarts».
HPitb1ch05-0038	gonfiare	Hagrid gonfiò il petto tutto fiero.
HPitb1ch05-0039	petto	Hagrid gonfiò il petto tutto fiero.
HPitb1ch05-0040	commissione	«Di solito lui mi manda a fare le sue commissioni importanti.
HPitb1ch05-0041	terso	Ora il cielo era terso e il mare luccicava sotto il sole.
HPitb1ch05-0042	luccicare	Ora il cielo era terso e il mare luccicava sotto il sole.
HPitb1ch05-0043	affitto	La barca che zio Vernon aveva preso in affitto era ancora lì, piena d’acqua per via del temporale.
HPitb1ch05-0044	temporale	La barca che zio Vernon aveva preso in affitto era ancora lì, piena d’acqua per via del temporale.
HPitb1ch05-0045	volo	«In volo» rispose Hagrid.
HPitb1ch05-0046	seccatura	«Che seccatura dover remare, però» disse Hagrid lanciando a Harry un’altra delle sue occhiate di sottecchi.
HPitb1ch05-0047	remare	«Che seccatura dover remare, però» disse Hagrid lanciando a Harry un’altra delle sue occhiate di sottecchi.
HPitb1ch05-0048	sottecchi	«Che seccatura dover remare, però» disse Hagrid lanciando a Harry un’altra delle sue occhiate di sottecchi.
HPitb1ch05-0049	accelerare	«Se accelero un po’ la cosa, ti va di non dire niente, quando saremo a Hogwarts?
HPitb1ch05-0050	assistere	» «Certo che sì» disse Harry, che non vedeva l’ora di assistere ad altre magie.
HPitb1ch05-0051	fiancata	Hagrid estrasse di nuovo l’ombrello rosa, lo batté due volte sulla fiancata della barca e partirono verso terra a tutta velocità.
HPitb1ch05-0052	organizzare	«Perché bisogna essere matti per organizzare una rapina alla Gringott?» chiese Harry.
HPitb1ch05-0053	sfogliare	«Magie... incantesimi» disse Hagrid, sfogliando il giornale mentre parlava.
HPitb1ch05-0054	guardia	«Dicono che a guardia delle camere blindate ci sono dei draghi.
HPitb1ch05-0055	blindato	«Dicono che a guardia delle camere blindate ci sono dei draghi.
HPitb1ch05-0056	drago	«Dicono che a guardia delle camere blindate ci sono dei draghi.
HPitb1ch05-0057	chilometro	E poi bisogna trovare la strada... Vedi, la Gringott si trova centinaia di chilometri sotto Londra.
HPitb1ch05-0058	crepare	Anche se riesci a mettere le mani su qualcosa, prima di rivedere la luce fai in tempo a crepare di fame».
HPitb1ch05-0059	gazzetta	Harry continuava a pensare a tutte queste cose mentre Hagrid leggeva il giornale, La Gazzetta del Profeta.
HPitb1ch05-0060	profeta	Harry continuava a pensare a tutte queste cose mentre Hagrid leggeva il giornale, La Gazzetta del Profeta.
HPitb1ch05-0061	ministero	«Il Ministero della Magia ha fatto dei pasticci, come al solito» borbottò Hagrid girando pagina.
HPitb1ch05-0062	pasticcio	«Il Ministero della Magia ha fatto dei pasticci, come al solito» borbottò Hagrid girando pagina.
HPitb1ch05-0063	pagina	«Il Ministero della Magia ha fatto dei pasticci, come al solito» borbottò Hagrid girando pagina.
HPitb1ch05-0064	trattenersi	» chiese Harry, incapace di trattenersi.
HPitb1ch05-0065	ministro	«Naturalmente, come Ministro volevano Silente, ma lui non lascerebbe mai Hogwarts, e così l’incarico è andato al vecchio Cornelius Fudge.
HPitb1ch05-0066	lascare	«Naturalmente, come Ministro volevano Silente, ma lui non lascerebbe mai Hogwarts, e così l’incarico è andato al vecchio Cornelius Fudge.
HPitb1ch05-0067	incarico	«Naturalmente, come Ministro volevano Silente, ma lui non lascerebbe mai Hogwarts, e così l’incarico è andato al vecchio Cornelius Fudge.
HPitb1ch05-0068	casinista	È casinista come pochi:
HPitb1ch05-0069	altrimenti	Diamine, Harry, perché tutti altrimenti vogliono risolvere i loro problemi con la magia.
HPitb1ch05-0070	risolvere	Diamine, Harry, perché tutti altrimenti vogliono risolvere i loro problemi con la magia.
HPitb1ch05-0071	immischiare	No, è meglio che non ci immischiamo».
HPitb1ch05-0072	urtare	In quel momento, la barca urtò dolcemente la banchina del porto.
HPitb1ch05-0073	banchina	In quel momento, la barca urtò dolcemente la banchina del porto.
HPitb1ch05-0074	ripiegare	Hagrid ripiegò il giornale ed entrambi risalirono la scaletta di pietra che portava alla strada.
HPitb1ch05-0075	scaletta	Hagrid ripiegò il giornale ed entrambi risalirono la scaletta di pietra che portava alla strada.
HPitb1ch05-0076	pietra	Hagrid ripiegò il giornale ed entrambi risalirono la scaletta di pietra che portava alla strada.
HPitb1ch05-0077	cittadino	I passanti guardavano Hagrid con tanto d’occhi, mentre i due attraversavano la cittadina diretti alla stazione.
HPitb1ch05-0078	stazione	I passanti guardavano Hagrid con tanto d’occhi, mentre i due attraversavano la cittadina diretti alla stazione.
HPitb1ch05-0079	comune	Non soltanto Hagrid era due volte più alto del normale, ma continuava a additare cose del tutto comuni, come i parchimetri, dicendo ad alta voce:
HPitb1ch05-0080	parchimetro	Non soltanto Hagrid era due volte più alto del normale, ma continuava a additare cose del tutto comuni, come i parchimetri, dicendo ad alta voce:
HPitb1ch05-0081	inventare	Questa è la roba che si inventano i Babbani!
HPitb1ch05-0082	caspita	«Caspita, quanto mi piacerebbe avere un drago».
HPitb1ch05-0083	treno	Il treno per Londra partiva di lì a cinque minuti.
HPitb1ch05-0084	banconota	Hagrid, che non capiva i ‘soldi dei Babbani’, come li chiamava lui, diede le banconote a Harry perché comprasse i biglietti.
HPitb1ch05-0085	sferruzzare	Hagrid occupava due posti a sedere e aveva preso a sferruzzare quello che sembrava un tendone da circo color giallo canarino.
HPitb1ch05-0086	tendone	Hagrid occupava due posti a sedere e aveva preso a sferruzzare quello che sembrava un tendone da circo color giallo canarino.
HPitb1ch05-0087	circo	Hagrid occupava due posti a sedere e aveva preso a sferruzzare quello che sembrava un tendone da circo color giallo canarino.
HPitb1ch05-0088	canarino	Hagrid occupava due posti a sedere e aveva preso a sferruzzare quello che sembrava un tendone da circo color giallo canarino.
HPitb1ch05-0089	maglia	«Hai ancora la lettera, Harry?» chiese mentre contava le maglie.
HPitb1ch05-0090	foglio	Harry spiegò un secondo foglio che la sera prima non aveva notato e lesse.
HPitb1ch05-0091	studente	SCUOLA DI MAGIA E STREGONERIA DI HOGWARTS Uniforme Gli studenti del primo anno dovranno avere:
HPitb1ch05-0092	divisa	Tre divise da lavoro in tinta unita (nero) Un cappello a punta in tinta unita (nero) da giorno Un paio di guanti di protezione (in pelle di drago o simili) Un mantello invernale (nero con alamari d’argento)
HPitb1ch05-0093	tinta	Tre divise da lavoro in tinta unita (nero) Un cappello a punta in tinta unita (nero) da giorno Un paio di guanti di protezione (in pelle di drago o simili) Un mantello invernale (nero con alamari d’argento)
HPitb1ch05-0094	unito	Tre divise da lavoro in tinta unita (nero) Un cappello a punta in tinta unita (nero) da giorno Un paio di guanti di protezione (in pelle di drago o simili) Un mantello invernale (nero con alamari d’argento)
HPitb1ch05-0095	punta	Tre divise da lavoro in tinta unita (nero) Un cappello a punta in tinta unita (nero) da giorno Un paio di guanti di protezione (in pelle di drago o simili) Un mantello invernale (nero con alamari d’argento)
HPitb1ch05-0096	guanto	Tre divise da lavoro in tinta unita (nero) Un cappello a punta in tinta unita (nero) da giorno Un paio di guanti di protezione (in pelle di drago o simili) Un mantello invernale (nero con alamari d’argento)
HPitb1ch05-0097	protezione	Tre divise da lavoro in tinta unita (nero) Un cappello a punta in tinta unita (nero) da giorno Un paio di guanti di protezione (in pelle di drago o simili) Un mantello invernale (nero con alamari d’argento)
HPitb1ch05-0098	invernale	Tre divise da lavoro in tinta unita (nero) Un cappello a punta in tinta unita (nero) da giorno Un paio di guanti di protezione (in pelle di drago o simili) Un mantello invernale (nero con alamari d’argento)
HPitb1ch05-0099	alamaro	Tre divise da lavoro in tinta unita (nero) Un cappello a punta in tinta unita (nero) da giorno Un paio di guanti di protezione (in pelle di drago o simili) Un mantello invernale (nero con alamari d’argento)
HPitb1ch05-0100	indumento	N.B. Tutti gli indumenti degli allievi devono essere contrassegnati da una targhetta con il nome.
HPitb1ch05-0101	allievo	N.B. Tutti gli indumenti degli allievi devono essere contrassegnati da una targhetta con il nome.
HPitb1ch05-0102	contrassegnare	N.B. Tutti gli indumenti degli allievi devono essere contrassegnati da una targhetta con il nome.
HPitb1ch05-0103	targhetta	N.B. Tutti gli indumenti degli allievi devono essere contrassegnati da una targhetta con il nome.
HPitb1ch05-0104	copia	Libri di testo Tutti gli allievi dovranno avere una copia dei seguenti testi:
HPitb1ch05-0105	seguente	Libri di testo Tutti gli allievi dovranno avere una copia dei seguenti testi:
HPitb1ch05-0106	manuale	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
HPitb1ch05-0107	teoria	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
HPitb1ch05-0108	guida	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
HPitb1ch05-0109	trasfigurazione	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
HPitb1ch05-0110	principiante	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
HPitb1ch05-0111	erba	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
HPitb1ch05-0112	fungo	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
HPitb1ch05-0113	infuso	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
HPitb1ch05-0114	pozione	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
HPitb1ch05-0115	fantastico	Manuale degli Incantesimi, Volume primo, di Miranda Goshawk Storia della Magia, di Bathilda Bagshot Teoria della Magia, di Adalbert Waffling Guida pratica alla Trasfigurazione per principianti, di Emeric Switch Mille erbe e funghi magici, di Phyllida Spore Infusi e pozioni magiche, di Arsenius Jigger Gli Animali Fantastici:
HPitb1ch05-0116	trovare	dove trovarli, di Newt Scamander Le Forze Oscure:
HPitb1ch05-0117	autodifesa	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
HPitb1ch05-0118	accessorio	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
HPitb1ch05-0119	calderone	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
HPitb1ch05-0120	peltro	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
HPitb1ch05-0121	misura	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
HPitb1ch05-0122	standard	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
HPitb1ch05-0123	set	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
HPitb1ch05-0124	provetta	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
HPitb1ch05-0125	cristallo	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
HPitb1ch05-0126	telescopio	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
HPitb1ch05-0127	bilancia	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
HPitb1ch05-0128	oppure	guida all’autodifesa, di Quentin Trimble Altri accessori 1 bacchetta 1 calderone (in peltro, misura standard 2) 1 set di provette di vetro o cristallo 1 telescopio 1 bilancia d’ottone Gli allievi possono portare anche un gufo, OPPURE un gatto, OPPURE un rospo.
HPitb1ch05-0129	uso	CHE AGLI ALLIEVI DEL PRIMO ANNO NON È CONSENTITO L’USO DI SCOPE PERSONALI.
HPitb1ch05-0130	personale	CHE AGLI ALLIEVI DEL PRIMO ANNO NON È CONSENTITO L’USO DI SCOPE PERSONALI.
HPitb1ch05-0131	evidente	Per quanto fosse evidente che Hagrid sapesse dove stava andando, era altrettanto chiaro che non fosse abituato a girare per la città come un comune mortale.
HPitb1ch05-0132	incastrare	Rimaneva incastrato nei tornelli della metropolitana e si lamentava ad alta voce che i sedili delle vetture erano troppo piccoli e i treni troppo lenti.
HPitb1ch05-0133	tornello	Rimaneva incastrato nei tornelli della metropolitana e si lamentava ad alta voce che i sedili delle vetture erano troppo piccoli e i treni troppo lenti.
HPitb1ch05-0134	vettura	Rimaneva incastrato nei tornelli della metropolitana e si lamentava ad alta voce che i sedili delle vetture erano troppo piccoli e i treni troppo lenti.
HPitb1ch05-0135	cavare	«Non so proprio come fanno i Babbani a cavarsela senza magia» disse mentre si arrampicavano su per una scala mobile guasta che portava a una strada affollata e piena di negozi.
HPitb1ch05-0136	mobile	«Non so proprio come fanno i Babbani a cavarsela senza magia» disse mentre si arrampicavano su per una scala mobile guasta che portava a una strada affollata e piena di negozi.
HPitb1ch05-0137	guastare	«Non so proprio come fanno i Babbani a cavarsela senza magia» disse mentre si arrampicavano su per una scala mobile guasta che portava a una strada affollata e piena di negozi.
HPitb1ch05-0138	affollato	«Non so proprio come fanno i Babbani a cavarsela senza magia» disse mentre si arrampicavano su per una scala mobile guasta che portava a una strada affollata e piena di negozi.
HPitb1ch05-0139	facilmente	Hagrid era così grosso che riusciva facilmente a fendere la folla;
HPitb1ch05-0140	fendere	Hagrid era così grosso che riusciva facilmente a fendere la folla;
HPitb1ch05-0141	folla	Hagrid era così grosso che riusciva facilmente a fendere la folla;
HPitb1ch05-0142	musica	Passarono davanti a negozi di libri e di musica, a fast food e cinema, ma in nessuno pareva si vendessero bacchette magiche.
HPitb1ch05-0143	vendere	Passarono davanti a negozi di libri e di musica, a fast food e cinema, ma in nessuno pareva si vendessero bacchette magiche.
HPitb1ch05-0144	nascondere	Possibile che sepolti sotto i loro piedi si nascondessero mucchi d’oro appartenenti ai maghi?
HPitb1ch05-0145	appartenente	Possibile che sepolti sotto i loro piedi si nascondessero mucchi d’oro appartenenti ai maghi?
HPitb1ch05-0146	burla	Non poteva essere una burla monumentale architettata dai Dursley?
HPitb1ch05-0147	monumentale	Non poteva essere una burla monumentale architettata dai Dursley?
HPitb1ch05-0148	architettare	Non poteva essere una burla monumentale architettata dai Dursley?
HPitb1ch05-0149	privo	Se Harry non avesse saputo che i Dursley erano privi del benché minimo senso dell’umorismo ci avrebbe quasi creduto;
HPitb1ch05-0150	senso	Se Harry non avesse saputo che i Dursley erano privi del benché minimo senso dell’umorismo ci avrebbe quasi creduto;
HPitb1ch05-0151	umorismo	Se Harry non avesse saputo che i Dursley erano privi del benché minimo senso dell’umorismo ci avrebbe quasi creduto;
HPitb1ch05-0152	paiolo	«Il Paiolo Magico.
HPitb1ch05-0153	sordido	Era un piccolo pub, dall’aspetto sordido.
HPitb1ch05-0154	frettoloso	I passanti frettolosi non gli gettavano neanche un’occhiata.
HPitb1ch05-0155	libreria	Gli sguardi andavano dalla grossa libreria su un lato della strada al negozio di dischi sull’altro, come se per loro il Paiolo Magico fosse invisibile.
HPitb1ch05-0156	disco	Gli sguardi andavano dalla grossa libreria su un lato della strada al negozio di dischi sull’altro, come se per loro il Paiolo Magico fosse invisibile.
HPitb1ch05-0157	invisibile	Gli sguardi andavano dalla grossa libreria su un lato della strada al negozio di dischi sull’altro, come se per loro il Paiolo Magico fosse invisibile.
HPitb1ch05-0158	infatti	E infatti, Harry aveva la stranissima sensazione che solo lui e Hagrid lo vedessero.
HPitb1ch05-0159	spingere	Prima che potesse dire una parola, Hagrid lo spinse dentro.
HPitb1ch05-0160	malandato	Per essere un posto famoso, il Paiolo Magico era molto buio e malandato.
HPitb1ch05-0161	seduto	Alcune vecchie erano sedute in un angolo e sorseggiavano un bicchierino di sherry.
HPitb1ch05-0162	sherry	Alcune vecchie erano sedute in un angolo e sorseggiavano un bicchierino di sherry.
HPitb1ch05-0163	fumare	Una di loro fumava una lunga pipa.
HPitb1ch05-0164	pipa	Una di loro fumava una lunga pipa.
HPitb1ch05-0165	noce	Un ometto col cappello a cilindro stava parlando al vecchio barista che era calvo come una noce.
HPitb1ch05-0166	sordo	Il sordo brusio della conversazione si arrestò al loro ingresso.
HPitb1ch05-0167	brusio	Il sordo brusio della conversazione si arrestò al loro ingresso.
HPitb1ch05-0168	conversazione	Il sordo brusio della conversazione si arrestò al loro ingresso.
HPitb1ch05-0169	arrestarsi	Il sordo brusio della conversazione si arrestò al loro ingresso.
HPitb1ch05-0170	pacca	«Il solito, Hagrid?» «Non posso, Tom, sono in servizio, affari di Hogwarts» disse il gigante dando una grossa pacca con la manona sulla spalla di Harry, al quale si piegarono le ginocchia.
HPitb1ch05-0171	piegare	«Il solito, Hagrid?» «Non posso, Tom, sono in servizio, affari di Hogwarts» disse il gigante dando una grossa pacca con la manona sulla spalla di Harry, al quale si piegarono le ginocchia.
HPitb1ch05-0172	onore	Quale onore!» Uscì di corsa da dietro il bancone, si precipitò verso Harry e gli afferrò la mano con le lacrime agli occhi.
HPitb1ch05-0173	bentornato	«Bentornato, signor Potter, bentornato!» Harry non sapeva che cosa dire.
HPitb1ch05-0174	raggiante	Hagrid era raggiante.
HPitb1ch05-0175	tramestio	Ci fu un grande tramestio di sedie e subito dopo Harry si trovò a stringere la mano di tutti i presenti.
HPitb1ch05-0176	onorare	» «Sono così onorato, signor Potter, veramente onorato».
HPitb1ch05-0177	emozionato	«Ho sempre desiderato stringerle la mano... Sono così emozionato!» «Oh, signor Potter, non so dirle quanto piacere mi fa conoscerla!
HPitb1ch05-0178	emozione	«Ma io la conosco!» disse Harry, mentre a Dedalus Diggle per l’emozione cadeva il cappello a cilindro.
HPitb1ch05-0179	giovanotto	Si fece largo un giovanotto pallido dall’aria molto nervosa.
HPitb1ch05-0180	nervoso	Si fece largo un giovanotto pallido dall’aria molto nervosa.
HPitb1ch05-0181	tic	Aveva un tic a un occhio.
HPitb1ch05-0182	difesa	«Che tipo di magia insegna, professor Quirrell?» «D-difesa co-contro le Arti O-o-oscure» balbettò Quirrell come se avesse preferito non saperlo.
HPitb1ch05-0183	arte	«Che tipo di magia insegna, professor Quirrell?» «D-difesa co-contro le Arti O-o-oscure» balbettò Quirrell come se avesse preferito non saperlo.
HPitb1ch05-0184	rifornirsi	«Su-su-ppongo che s-s-starà ri-rifornendosi d-di tu-tu-tutto quel che le s-s-serve, v-vero, P-Potter?
HPitb1ch05-0185	vampiro	I-io devo p-prendere u-un nuovo li-libro s-sui va-va-vampiri».
HPitb1ch05-0186	liberarsi	Ci vollero almeno dieci minuti per liberarsi di tutti.
HPitb1ch05-0187	cicaleccio	Finalmente, Hagrid riuscì a farsi udire al di sopra del cicaleccio.
HPitb1ch05-0188	bar	Doris Crockford strinse un’ultima volta la mano a Harry e Hagrid gli fece strada attraverso il bar;
HPitb1ch05-0189	cortile	uscirono in un piccolo cortile circondato da un muro, dove non c’era altro che un bidone della spazzatura e qualche erbaccia.
HPitb1ch05-0190	erbaccia	uscirono in un piccolo cortile circondato da un muro, dove non c’era altro che un bidone della spazzatura e qualche erbaccia.
