capitolo          	capitolo          	CAPITOLO
allungarlo        	allungare         	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
oltre             	oltre             	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
siepe             	siepe             	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
giardino          	giardino          	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
per               	per               	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
spiare            	spiare            	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
vicini            	vicino            	La signora Dursley era magra, bionda e con un collo quasi due volte più lungo del normale, il che le tornava assai utile, dato che passava gran parte del tempo ad allungarlo oltre la siepe del giardino per spiare i vicini.
avevano           	avere             	I Dursley avevano un figlioletto di nome Dudley e secondo loro non esisteva al mondo un bambino più bello.
figlioletto       	figlio            	I Dursley avevano un figlioletto di nome Dudley e secondo loro non esisteva al mondo un bambino più bello.
secondo           	secondo           	I Dursley avevano un figlioletto di nome Dudley e secondo loro non esisteva al mondo un bambino più bello.
loro              	loro              	I Dursley avevano un figlioletto di nome Dudley e secondo loro non esisteva al mondo un bambino più bello.
esisteva          	esistere          	I Dursley avevano un figlioletto di nome Dudley e secondo loro non esisteva al mondo un bambino più bello.
bello             	bello             	I Dursley avevano un figlioletto di nome Dudley e secondo loro non esisteva al mondo un bambino più bello.
possedevano       	possedere         	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
tutto             	tutto             	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
quel              	quello            	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
si                	si                	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
poteva            	potere            	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
desiderare        	desiderare        	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
ma                	ma                	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
anche             	anche             	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
segreto           	segreto           	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
timore            	timore            	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
qualcuno          	qualcuno          	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
scoprirlo         	scoprire          	Possedevano tutto quel che si poteva desiderare, ma avevano anche un segreto, e il loro più grande timore era che qualcuno potesse scoprirlo.
credevano         	credere           	Non credevano di poter sopportare che qualcuno venisse a sapere dei Potter.
sopportare        	sopportare        	Non credevano di poter sopportare che qualcuno venisse a sapere dei Potter.
venisse           	venire            	Non credevano di poter sopportare che qualcuno venisse a sapere dei Potter.
sapere            	sapere            	Non credevano di poter sopportare che qualcuno venisse a sapere dei Potter.
sorella           	sorella           	La signora Potter era la sorella della signora Dursley, ma non si vedevano da anni.
vedevano          	vedersi           	La signora Potter era la sorella della signora Dursley, ma non si vedevano da anni.
anni              	anno              	La signora Potter era la sorella della signora Dursley, ma non si vedevano da anni.
anzi              	anzi              	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
faceva            	fare              	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
addirittura       	addirittura       	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
finta             	finta             	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
buono             	buono             	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
nulla             	nulla             	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
marito            	marito            	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
diversi           	diverso           	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
così              	così              	Anzi, la signora Dursley faceva addirittura finta di non avere sorelle, perché la signora Potter e quel buono a nulla del marito non avrebbero potuto essere più diversi da loro di così.
rabbrividivano    	rabbrividire      	I Dursley rabbrividivano al solo pensiero di quel che avrebbero detto i vicini se i Potter si fossero fatti vedere nei paraggi.
solo              	solo              	I Dursley rabbrividivano al solo pensiero di quel che avrebbero detto i vicini se i Potter si fossero fatti vedere nei paraggi.
pensiero          	pensiero          	I Dursley rabbrividivano al solo pensiero di quel che avrebbero detto i vicini se i Potter si fossero fatti vedere nei paraggi.
detto             	dire              	I Dursley rabbrividivano al solo pensiero di quel che avrebbero detto i vicini se i Potter si fossero fatti vedere nei paraggi.
se                	se                	I Dursley rabbrividivano al solo pensiero di quel che avrebbero detto i vicini se i Potter si fossero fatti vedere nei paraggi.
nei               	in                	I Dursley rabbrividivano al solo pensiero di quel che avrebbero detto i vicini se i Potter si fossero fatti vedere nei paraggi.
paraggi           	paraggi           	I Dursley rabbrividivano al solo pensiero di quel che avrebbero detto i vicini se i Potter si fossero fatti vedere nei paraggi.
piccolo           	piccolo           	Sapevano che i Potter avevano anche loro un figlio piccolo, ma non lo avevano mai visto.
lo                	lo                	Sapevano che i Potter avevano anche loro un figlio piccolo, ma non lo avevano mai visto.
mai               	mai               	Sapevano che i Potter avevano anche loro un figlio piccolo, ma non lo avevano mai visto.
questa            	questo            	E questa era un’altra buona ragione per tenere i Potter a distanza:
altra             	altro             	E questa era un’altra buona ragione per tenere i Potter a distanza:
ragione           	ragione           	E questa era un’altra buona ragione per tenere i Potter a distanza:
tenere            	tenere            	E questa era un’altra buona ragione per tenere i Potter a distanza:
distanza          	distanza          	E questa era un’altra buona ragione per tenere i Potter a distanza:
volevano          	volere            	non volevano che Dudley avesse a che fare con un bambino di quel genere.
quando            	quando            	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
coniugi           	coniuge           	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
svegliarono       	svegliarsi        	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
mattina           	mattina           	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
martedì           	martedì           	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
grigio            	grigio            	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
nuvoloso          	nuvoloso          	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
inizia            	iniziare          	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
nostra            	nostro            	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
storia            	storia            	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
cielo             	cielo             	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
coperto           	coperto           	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
presagire         	presagire         	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
lì                	lì                	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
poco              	poco              	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
accadute          	accadere          	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
paese             	paese             	Quando i coniugi Dursley si svegliarono, la mattina di quel martedì grigio e nuvoloso in cui inizia la nostra storia, nel cielo coperto non c’era nulla che facesse presagire le cose strane e misteriose che di lì a poco sarebbero accadute in tutto il Paese.
scelse            	scegliere         	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
canticchiando     	canticchiare      	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
cravatta          	cravatta          	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
anonima           	anonimo           	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
suo               	suo               	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
guardaroba        	guardaroba        	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
continuò          	continuare        	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
chiacchierare     	chiacchierare     	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
ininterrottamente 	ininterrottamente 	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
mentre            	mentre            	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
sforzo            	sforzo            	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
costringeva       	costringere       	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
sul               	su                	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
seggiolone        	seggiolone        	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
urlava            	urlare            	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
squarciagola      	squarciagola      	Il signor Dursley scelse canticchiando la cravatta più anonima del suo guardaroba e la signora Dursley continuò a chiacchierare ininterrottamente, mentre con grande sforzo costringeva sul seggiolone Dudley che urlava a squarciagola.
nessuno           	nessuno           	Nessuno notò il grosso gufo bruno che passò con un frullo d’ali davanti alla finestra.
notò              	notare            	Nessuno notò il grosso gufo bruno che passò con un frullo d’ali davanti alla finestra.
gufo              	gufo              	Nessuno notò il grosso gufo bruno che passò con un frullo d’ali davanti alla finestra.
bruno             	bruno             	Nessuno notò il grosso gufo bruno che passò con un frullo d’ali davanti alla finestra.
frullo            	frullo            	Nessuno notò il grosso gufo bruno che passò con un frullo d’ali davanti alla finestra.
ali               	ala               	Nessuno notò il grosso gufo bruno che passò con un frullo d’ali davanti alla finestra.
davanti           	davanti           	Nessuno notò il grosso gufo bruno che passò con un frullo d’ali davanti alla finestra.
finestra          	finestra          	Nessuno notò il grosso gufo bruno che passò con un frullo d’ali davanti alla finestra.
otto              	otto              	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
mezzo             	mezzo             	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
prese             	prendere          	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
valigetta         	valigetta         	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
sfiorò            	sfiorare          	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
labbra            	labbro            	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
guancia           	guancia           	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
moglie            	moglie            	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
tentò             	tentare           	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
bacio             	bacio             	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
mancò             	mancare           	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
momento           	momento           	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
preda             	preda             	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
furioso           	furioso           	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
capriccio         	capriccio         	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
stava             	stare             	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
