chiavi          	chiave          	DELLE CHIAVI BUM!
ingiungo        	ingiungere      	«Le ingiungo di andarsene immediatamente, signore!» disse.
effrazione      	effrazione      	«Questa è un’effrazione bella e buona!» «Ma chiudi il becco, scemo d’un Dursley!» esclamò il gigante;
becco           	becco           	«Questa è un’effrazione bella e buona!» «Ma chiudi il becco, scemo d’un Dursley!» esclamò il gigante;
scemo           	scemo           	«Questa è un’effrazione bella e buona!» «Ma chiudi il becco, scemo d’un Dursley!» esclamò il gigante;
schienale       	schienale       	allungò la mano oltre lo schienale del divano, strappò il fucile dalle mani di zio Vernon, annodò la canna con la massima facilità come fosse stata di gomma e lo scaraventò in un angolo.
annodò          	annodare        	allungò la mano oltre lo schienale del divano, strappò il fucile dalle mani di zio Vernon, annodò la canna con la massima facilità come fosse stata di gomma e lo scaraventò in un angolo.
canna           	canna           	allungò la mano oltre lo schienale del divano, strappò il fucile dalle mani di zio Vernon, annodò la canna con la massima facilità come fosse stata di gomma e lo scaraventò in un angolo.
facilità        	facilità        	allungò la mano oltre lo schienale del divano, strappò il fucile dalle mani di zio Vernon, annodò la canna con la massima facilità come fosse stata di gomma e lo scaraventò in un angolo.
gomma           	gomma           	allungò la mano oltre lo schienale del divano, strappò il fucile dalle mani di zio Vernon, annodò la canna con la massima facilità come fosse stata di gomma e lo scaraventò in un angolo.
calpestato      	calpestare      	Zio Vernon emise un altro rumore strano, come un topo che viene calpestato.
sapore          	sapore          	Ho una cosetta per te... mi sa che a un certo punto mi ci sono seduto sopra, ma il sapore sarà ancora buono».
pastrano        	pastrano        	Da una tasca interna del suo pastrano nero estrasse una scatola leggermente schiacciata.
leggermente     	leggermente     	Da una tasca interna del suo pastrano nero estrasse una scatola leggermente schiacciata.
schiacciata     	schiacciato     	Da una tasca interna del suo pastrano nero estrasse una scatola leggermente schiacciata.
appiccicosa     	appiccicoso     	Dentro c’era una torta al cioccolato grossa e appiccicosa con su scritto, a lettere verdi di glassa:
scritto         	scritto         	Dentro c’era una torta al cioccolato grossa e appiccicosa con su scritto, a lettere verdi di glassa:
glassa          	glassa          	Dentro c’era una torta al cioccolato grossa e appiccicosa con su scritto, a lettere verdi di glassa:
persero         	perdersi        	Voleva dirgli grazie, ma le parole si persero prima di arrivargli alle labbra, e quel che invece gli uscì fu:
presentato      	presentarsi     	«Giusto, va’, non mi sono presentato.
sfregandosi     	sfregare        	«Allora, ’sto tè?» disse poi sfregandosi le mani.
focolare        	focolare        	Lo sguardo gli cadde sul focolare vuoto, a eccezione dei pacchetti di patatine accartocciati, e sbuffò.
eccezione       	eccezione       	Lo sguardo gli cadde sul focolare vuoto, a eccezione dei pacchetti di patatine accartocciati, e sbuffò.
accartocciati   	accartocciato   	Lo sguardo gli cadde sul focolare vuoto, a eccezione dei pacchetti di patatine accartocciati, e sbuffò.
ritrasse        	ritrarsi        	gli altri non potevano vedere quel che faceva, ma quando si ritrasse, un attimo dopo, il fuoco scoppiettava, illuminando l’umida catapecchia di un tremulo bagliore.
scoppiettava    	scoppiettare    	gli altri non potevano vedere quel che faceva, ma quando si ritrasse, un attimo dopo, il fuoco scoppiettava, illuminando l’umida catapecchia di un tremulo bagliore.
tremulo         	tremulo         	gli altri non potevano vedere quel che faceva, ma quando si ritrasse, un attimo dopo, il fuoco scoppiettava, illuminando l’umida catapecchia di un tremulo bagliore.
calore          	calore          	Harry sentì il calore inondarlo come se si fosse immerso in un bagno caldo.
immerso         	immergersi      	Harry sentì il calore inondarlo come se si fosse immerso in un bagno caldo.
caldo           	caldo           	Harry sentì il calore inondarlo come se si fosse immerso in un bagno caldo.
cedette         	cedere          	Il gigante tornò a sedersi sul divano che cedette sotto il suo peso e cominciò a tirare fuori dalle tasche del pastrano ogni sorta di oggetti:
peso            	peso            	Il gigante tornò a sedersi sul divano che cedette sotto il suo peso e cominciò a tirare fuori dalle tasche del pastrano ogni sorta di oggetti:
sorta           	sorta           	Il gigante tornò a sedersi sul divano che cedette sotto il suo peso e cominciò a tirare fuori dalle tasche del pastrano ogni sorta di oggetti:
oggetti         	oggetto         	Il gigante tornò a sedersi sul divano che cedette sotto il suo peso e cominciò a tirare fuori dalle tasche del pastrano ogni sorta di oggetti:
bollitore       	bollitore       	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
rame            	rame            	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
salsicce        	salsiccia       	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
attizzatoio     	attizzatoio     	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
teiera          	teiera          	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
sbeccate        	sbeccare        	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
liquido         	liquido         	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
ambra           	ambra           	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
sorsata         	sorsata         	un bollitore di rame, un pacchetto di salsicce tutto molle, un attizzatoio, una teiera, alcune tazze sbeccate e una bottiglietta contenente un liquido color ambra da cui bevve una sorsata prima di cominciare a fare il tè.
sfrigolio       	sfrigolare      	Ben presto la catapecchia fu piena dello sfrigolio e dell’odore di salsiccia.
succulente      	succulento      	Nessuno disse una parola mentre il gigante si dava da fare, ma non appena ebbe fatto scivolare dall’attizzatoio le prime sei salsicce, grasse, succulente e leggermente abbrustolite, Dudley diede segni di irrequietezza.
abbrustolite    	abbrustolire    	Nessuno disse una parola mentre il gigante si dava da fare, ma non appena ebbe fatto scivolare dall’attizzatoio le prime sei salsicce, grasse, succulente e leggermente abbrustolite, Dudley diede segni di irrequietezza.
irrequietezza   	irrequietezza   	Nessuno disse una parola mentre il gigante si dava da fare, ma non appena ebbe fatto scivolare dall’attizzatoio le prime sei salsicce, grasse, succulente e leggermente abbrustolite, Dudley diede segni di irrequietezza.
beffardo        	beffardo        	«Non toccare niente di quel che ti dà, Dudley!» Il gigante ridacchiò beffardo.
preoccuparti    	preoccuparsi    	«Non preoccuparti, Dursley, quel ciccione di tuo figlio non ha bisogno di ingrassare ancora».
bisogno         	bisogno         	«Non preoccuparti, Dursley, quel ciccione di tuo figlio non ha bisogno di ingrassare ancora».
ingrassare      	ingrassare      	«Non preoccuparti, Dursley, quel ciccione di tuo figlio non ha bisogno di ingrassare ancora».
affamato        	affamato        	il ragazzo era talmente affamato che gli parve di non aver mai assaggiato niente di così squisito;
assaggiato      	assaggiare      	il ragazzo era talmente affamato che gli parve di non aver mai assaggiato niente di così squisito;
squisito        	squisito        	il ragazzo era talmente affamato che gli parve di non aver mai assaggiato niente di così squisito;
dosso           	dosso           	intanto, non riusciva a togliere gli occhi di dosso al gigante.
spiegazioni     	spiegazione     	Infine, visto che nessuno si decideva a dare spiegazioni, disse:
sorso           	sorso           	Il gigante bevve un sorso di tè e si asciugò la bocca col dorso della mano.
dorso           	dorso           	Il gigante bevve un sorso di tè e si asciugò la bocca col dorso della mano.
spiace          	spiacere        	«Mi spiace» si affrettò a dire Harry.
abbaiò          	abbaiare        	» abbaiò Hagrid voltandosi a guardare i Dursley che si ritrassero in un angolo buio.
dispiacere      	dispiacere      	«È a loro che deve dispiacere!
diamine         	diamine         	Sapevo che non ti davano le lettere, ma... che non sapevi niente di Hogwarts... diamine!
tuonò           	tuonare         	!» tuonò Hagrid.
appiattiti      	appiattire      	I Dursley erano appiattiti contro la parete.
dopotutto       	dopotutto       	Dopotutto, era andato a scuola e i suoi voti non erano poi tanto male.
voti            	voto            	Dopotutto, era andato a scuola e i suoi voti non erano poi tanto male.
tabelline       	tabellina       	«So le tabelline e altre cose del genere».
gesto           	gesto           	Ma Hagrid fece un gesto impaziente con la mano e disse:
pallidissimo    	pallido         	Zio Vernon, che si era fatto pallidissimo, biascicò qualcosa che suonò come un pio pio.
biascicò        	biascicare      	Zio Vernon, che si era fatto pallidissimo, biascicò qualcosa che suonò come un pio pio.
pio             	pio             	Zio Vernon, che si era fatto pallidissimo, biascicò qualcosa che suonò come un pio pio.
incredulo       	incredulo       	» «Tu non sai... non sai...» Hagrid si passò le dita tra i capelli, fissando Harry con uno sguardo incredulo.
coraggioso      	coraggioso      	Anche un uomo più coraggioso di Vernon Dursley avrebbe tremato di paura allo sguardo furibondo che Hagrid gli lanciò.
tremato         	tremare         	Anche un uomo più coraggioso di Vernon Dursley avrebbe tremato di paura allo sguardo furibondo che Hagrid gli lanciò.
sillaba         	sillaba         	Quando il gigante parlò, ogni sillaba fu uno scoppio di rabbia.
scoppio         	scoppio         	Quando il gigante parlò, ogni sillaba fu uno scoppio di rabbia.
appiccicato     	appiccicare     	Non gli hai mai detto che cosa c’era scritto nella lettera che Silente gli ha appiccicato addosso?
avido           	avido           	» «Che cosa mi ha tenuto nascosto?» chiese Harry avido di sapere.
proibisco       	proibire        	GLIELO PROIBISCO!» gridò zio Vernon in preda al panico.
panico          	panico          	GLIELO PROIBISCO!» gridò zio Vernon in preda al panico.
rantolo         	rantolo         	Zia Petunia emise un rantolo d’orrore.
mago            	mago            	«Harry... tu sei un mago».
frangersi       	frangere        	Si sentiva solo il frangersi delle onde e l’ululato del vento.
ululato         	ululato         	Si sentiva solo il frangersi delle onde e l’ululato del vento.
gemette         	gemere          	» disse Hagrid tornando a sedersi sul divano che gemette e si affossò ancora di più.
affossò         	affossare       	» disse Hagrid tornando a sedersi sul divano che gemette e si affossò ancora di più.
fiocchi         	fiocco          	«Anzi, un mago coi fiocchi, direi, una volta che avrai studiato un pochetto.
magia           	magia           	SCUOLA DI MAGIA E STREGONERIA DI HOGWARTS Preside:
stregoneria     	stregoneria     	SCUOLA DI MAGIA E STREGONERIA DI HOGWARTS Preside:
preside         	preside         	SCUOLA DI MAGIA E STREGONERIA DI HOGWARTS Preside:
stregone        	stregone        	Albus Silente (Ordine di Merlino, Prima Classe, Grande Mago, Stregone Capo, Supremo Pezzo Grosso, Confed.
supremo         	supremo         	Albus Silente (Ordine di Merlino, Prima Classe, Grande Mago, Stregone Capo, Supremo Pezzo Grosso, Confed.
confed          	confederazione  	Albus Silente (Ordine di Merlino, Prima Classe, Grande Mago, Stregone Capo, Supremo Pezzo Grosso, Confed.
internaz        	internazionale  	Internaz.
lieti           	lieto           	dei Maghi) Caro signor Potter, siamo lieti di informarLa che Lei ha diritto a frequentare la Scuola di Magia e Stregoneria di Hogwarts.
diritto         	diritto         	dei Maghi) Caro signor Potter, siamo lieti di informarLa che Lei ha diritto a frequentare la Scuola di Magia e Stregoneria di Hogwarts.
frequentare     	frequentare     	dei Maghi) Caro signor Potter, siamo lieti di informarLa che Lei ha diritto a frequentare la Scuola di Magia e Stregoneria di Hogwarts.
accluso         	accluso         	Qui accluso troverà l’elenco di tutti i libri di testo e delle attrezzature necessarie.
elenco          	elenco          	Qui accluso troverà l’elenco di tutti i libri di testo e delle attrezzature necessarie.
testo           	testo           	Qui accluso troverà l’elenco di tutti i libri di testo e delle attrezzature necessarie.
attrezzature    	attrezzatura    	Qui accluso troverà l’elenco di tutti i libri di testo e delle attrezzature necessarie.
necessarie      	necessario      	Qui accluso troverà l’elenco di tutti i libri di testo e delle attrezzature necessarie.
inizio          	inizio          	L’anno scolastico avrà inizio il 1º settembre.
entro           	entro           	Restiamo in attesa del Suo gufo entro e non oltre il 31 luglio p.v.
distinti        	distinto        	Distinti saluti, Minerva McGonagall Vicepreside Harry sentì una ridda di domande che gli esplodeva nella testa come un fuoco d’artificio, ma non riusciva a decidere da quale cominciare.
vicepreside     	vicepreside     	Distinti saluti, Minerva McGonagall Vicepreside Harry sentì una ridda di domande che gli esplodeva nella testa come un fuoco d’artificio, ma non riusciva a decidere da quale cominciare.
ridda           	ridda           	Distinti saluti, Minerva McGonagall Vicepreside Harry sentì una ridda di domande che gli esplodeva nella testa come un fuoco d’artificio, ma non riusciva a decidere da quale cominciare.
artificio       	artificio       	Distinti saluti, Minerva McGonagall Vicepreside Harry sentì una ridda di domande che gli esplodeva nella testa come un fuoco d’artificio, ma non riusciva a decidere da quale cominciare.
mille           	mille           	» «Per mille Gorgoni!
zampe           	zampa           	L’avevo dimenticato» disse Hagrid battendosi una mano sulla fronte così forte che avrebbe mandato a zampe all’aria un cavallo da tiro, e dall’ennesima tasca interna del pastrano estrasse un gufo – un gufo in carne e ossa, con le penne tutte arruffate – una lunga penna d’oca e un rotolo di pergamena.
cavallo         	cavallo         	L’avevo dimenticato» disse Hagrid battendosi una mano sulla fronte così forte che avrebbe mandato a zampe all’aria un cavallo da tiro, e dall’ennesima tasca interna del pastrano estrasse un gufo – un gufo in carne e ossa, con le penne tutte arruffate – una lunga penna d’oca e un rotolo di pergamena.
ennesima        	ennesimo        	L’avevo dimenticato» disse Hagrid battendosi una mano sulla fronte così forte che avrebbe mandato a zampe all’aria un cavallo da tiro, e dall’ennesima tasca interna del pastrano estrasse un gufo – un gufo in carne e ossa, con le penne tutte arruffate – una lunga penna d’oca e un rotolo di pergamena.
carne           	carne           	L’avevo dimenticato» disse Hagrid battendosi una mano sulla fronte così forte che avrebbe mandato a zampe all’aria un cavallo da tiro, e dall’ennesima tasca interna del pastrano estrasse un gufo – un gufo in carne e ossa, con le penne tutte arruffate – una lunga penna d’oca e un rotolo di pergamena.
penne           	penna           	L’avevo dimenticato» disse Hagrid battendosi una mano sulla fronte così forte che avrebbe mandato a zampe all’aria un cavallo da tiro, e dall’ennesima tasca interna del pastrano estrasse un gufo – un gufo in carne e ossa, con le penne tutte arruffate – una lunga penna d’oca e un rotolo di pergamena.
arruffate       	arruffato       	L’avevo dimenticato» disse Hagrid battendosi una mano sulla fronte così forte che avrebbe mandato a zampe all’aria un cavallo da tiro, e dall’ennesima tasca interna del pastrano estrasse un gufo – un gufo in carne e ossa, con le penne tutte arruffate – una lunga penna d’oca e un rotolo di pergamena.
oca             	oca             	L’avevo dimenticato» disse Hagrid battendosi una mano sulla fronte così forte che avrebbe mandato a zampe all’aria un cavallo da tiro, e dall’ennesima tasca interna del pastrano estrasse un gufo – un gufo in carne e ossa, con le penne tutte arruffate – una lunga penna d’oca e un rotolo di pergamena.
rotolo          	rotolo          	L’avevo dimenticato» disse Hagrid battendosi una mano sulla fronte così forte che avrebbe mandato a zampe all’aria un cavallo da tiro, e dall’ennesima tasca interna del pastrano estrasse un gufo – un gufo in carne e ossa, con le penne tutte arruffate – una lunga penna d’oca e un rotolo di pergamena.
lingua          	lingua          	Con la lingua tra i denti per lo sforzo, buttò giù un biglietto che Harry riuscì a leggere all’incontrario:
denti           	dente           	Con la lingua tra i denti per lo sforzo, buttò giù un biglietto che Harry riuscì a leggere all’incontrario:
biglietto       	biglietto       	Con la lingua tra i denti per lo sforzo, buttò giù un biglietto che Harry riuscì a leggere all’incontrario:
incontrario     	incontrario     	Con la lingua tra i denti per lo sforzo, buttò giù un biglietto che Harry riuscì a leggere all’incontrario:
domani          	domani          	Domani lo porto a comprare la roba che gli serve.
porse           	porgere         	Hagrid Poi arrotolò la pergamena, la porse al gufo che l’afferrò col becco, si diresse verso la porta e lanciò il volatile nella bufera.
volatile        	volatile        	Hagrid Poi arrotolò la pergamena, la porse al gufo che l’afferrò col becco, si diresse verso la porta e lanciò il volatile nella bufera.
bufera          	bufera          	Hagrid Poi arrotolò la pergamena, la porse al gufo che l’afferrò col becco, si diresse verso la porta e lanciò il volatile nella bufera.
stupore         	stupore         	Harry, rendendosi conto che aveva la bocca aperta per lo stupore, si affrettò a richiuderla.
richiuderla     	richiudere      	Harry, rendendosi conto che aveva la bocca aperta per lo stupore, si affrettò a richiuderla.
terreo          	terreo          	«Dove ero arrivato?» riprese Hagrid, ma in quello stesso momento zio Vernon, ancora terreo in volto ma con espressione molto arrabbiata, si avvicinò al fuoco.
espressione     	espressione     	«Dove ero arrivato?» riprese Hagrid, ma in quello stesso momento zio Vernon, ancora terreo in volto ma con espressione molto arrabbiata, si avvicinò al fuoco.
grugnì          	grugnire        	Hagrid grugnì.
interessato     	interessato     	«Un che cosa?» chiese Harry interessato.
magici          	magico          	«È così che chiamiamo le persone senza poteri magici, come loro.
sfortuna        	sfortuna        	E per tua sfortuna sei cresciuto nella famiglia dei peggio Babbani che ho mai visto».
figuriamoci     	figurare        	Figuriamoci!» «Lo sapevate?
strillò         	strillare       	» «Se lo sapevamo!» strillò zia Petunia.
dannazione      	dannazione      	Come avresti potuto sfuggire a questa dannazione, visto che tipo era mia sorella?
tipo            	tipo            	Come avresti potuto sfuggire a questa dannazione, visto che tipo era mia sorella?
inghiottita     	inghiottire     	Ricevette una lettera proprio come la tua e sparì, inghiottita in quella... in quella scuola... e ogni volta che tornava a casa per le vacanze, aveva le tasche piene di uova di rana, e trasformava le tazze da tè in topi.
rana            	rana            	Ricevette una lettera proprio come la tua e sparì, inghiottita in quella... in quella scuola... e ogni volta che tornava a casa per le vacanze, aveva le tasche piene di uova di rana, e trasformava le tazze da tè in topi.
trasformava     	trasformare     	Ricevette una lettera proprio come la tua e sparì, inghiottita in quella... in quella scuola... e ogni volta che tornava a casa per le vacanze, aveva le tasche piene di uova di rana, e trasformava le tazze da tè in topi.
balorda         	balordo         	una balorda!
fieri           	fiero           	Erano tutti fieri di avere una strega in famiglia!» Si interruppe per riprendere fiato e poi ricominciò a sbraitare.
strega          	strega          	Erano tutti fieri di avere una strega in famiglia!» Si interruppe per riprendere fiato e poi ricominciò a sbraitare.
interruppe      	interrompere    	Erano tutti fieri di avere una strega in famiglia!» Si interruppe per riprendere fiato e poi ricominciò a sbraitare.
ricominciò      	ricominciare    	Erano tutti fieri di avere una strega in famiglia!» Si interruppe per riprendere fiato e poi ricominciò a sbraitare.
atteso          	attendere       	Sembrava che avesse atteso per anni il momento di sputar fuori tutto.
sputar          	sputare         	Sembrava che avesse atteso per anni il momento di sputar fuori tutto.
sposarono       	sposarsi        	Se ne andarono insieme, si sposarono e nascesti tu, e naturalmente sapevo benissimo che tu saresti stato identico a loro, altrettanto strampalato, altrettanto... balordo... e poi, se permetti, hanno avuto la bella idea di saltare in aria, ed ecco che tu ci sei piombato tra capo e collo!
altrettanto     	altrettanto     	Se ne andarono insieme, si sposarono e nascesti tu, e naturalmente sapevo benissimo che tu saresti stato identico a loro, altrettanto strampalato, altrettanto... balordo... e poi, se permetti, hanno avuto la bella idea di saltare in aria, ed ecco che tu ci sei piombato tra capo e collo!
sbiancato       	sbiancare       	» Harry era sbiancato.
infuriato       	infuriato       	» tuonò Hagrid saltando su così infuriato che i Dursley corsero a rintanarsi nel loro cantone.
rintanarsi      	rintanarsi      	» tuonò Hagrid saltando su così infuriato che i Dursley corsero a rintanarsi nel loro cantone.
cantone         	cantone         	» tuonò Hagrid saltando su così infuriato che i Dursley corsero a rintanarsi nel loro cantone.
pazzesco        	pazzesco        	È pazzesco!
scandalo        	scandalo        	È uno scandalo che Harry Potter non sa la sua storia, quando non c’è marmocchio nel nostro mondo che non conosce il suo nome!» «Ma perché?
marmocchio      	marmocchio      	È uno scandalo che Harry Potter non sa la sua storia, quando non c’è marmocchio nel nostro mondo che non conosce il suo nome!» «Ma perché?
ira             	ira             	L’ira svanì dal viso di Hagrid.
angustiata      	angustiare      	«Proprio non me lo aspettavo» disse con voce bassa e angustiata.
fifa            	fifa            	«E perché?» «Per tutti i gargoyle, Harry, la gente ha ancora una fifa nera.
miseriaccia     	miseria         	Miseriaccia, quant’è difficile!
ripetere        	ripetere        	Voldemort» Hagrid rabbrividì, «ma non farmelo ripetere.
fa              	fa              	Insomma, circa vent’anni fa, questo mago cominciò a cercare seguaci.
seguaci         	seguace         	Insomma, circa vent’anni fa, questo mago cominciò a cercare seguaci.
briciola        	briciola        	Qualcuno lo seguì per paura, altri perché volevano una briciola del suo potere:
conquistando    	conquistare     	perché lui, di potere, ne stava conquistando parecchio.
parecchio       	parecchio       	perché lui, di potere, ne stava conquistando parecchio.
fidarti         	fidarsi         	Non sapevi di chi fidarti, non potevi metterti a fare amicizia con maghi e streghe sconosciuti... Sono successe cose terribili.
metterti        	mettersi        	Non sapevi di chi fidarti, non potevi metterti a fare amicizia con maghi e streghe sconosciuti... Sono successe cose terribili.
amicizia        	amicizia        	Non sapevi di chi fidarti, non potevi metterti a fare amicizia con maghi e streghe sconosciuti... Sono successe cose terribili.
sopravvento     	sopravvento     	Lui stava prendendo il sopravvento.
impadronirsi    	impadronirsi    	Non ha osato impadronirsi della scuola, in ogni caso non allora.
capiscuola      	caposcuola      	Ai loro tempi erano Capiscuola a Hogwarts.
lato            	lato            	Il mistero è perché Tu-Sai-Chi non aveva mai cercato di tirarli dalla sua parte prima... Forse sapeva che erano troppo vicini a Silente e non volevano avere niente a che fare con il Lato Oscuro.
oscuro          	oscuro          	Il mistero è perché Tu-Sai-Chi non aveva mai cercato di tirarli dalla sua parte prima... Forse sapeva che erano troppo vicini a Silente e non volevano avere niente a che fare con il Lato Oscuro.
villaggio       	villaggio       	Tutto quel che si sa è che dieci anni fa, il giorno di Halloween, spuntò nel villaggio dove abitavate voi.
sirena          	sirena          	Lui entrò in casa e... e...» D’un tratto Hagrid tirò fuori un fazzoletto a pallini tutto sporco e si soffiò il naso con il fragore di una sirena da nebbia.
nebbia          	nebbia          	Lui entrò in casa e... e...» D’un tratto Hagrid tirò fuori un fazzoletto a pallini tutto sporco e si soffiò il naso con il fragore di una sirena da nebbia.
piazza          	piazza          	Chissà, voleva fare piazza pulita, o forse a quel tempo ammazzava solo per il gusto di farlo.
pulita          	pulito          	Chissà, voleva fare piazza pulita, o forse a quel tempo ammazzava solo per il gusto di farlo.
gusto           	gusto           	Chissà, voleva fare piazza pulita, o forse a quel tempo ammazzava solo per il gusto di farlo.
maledizione     	maledizione     	Quello è il segno che ti rimane quando vieni colpito da una maledizione potente:
potente         	potente         	Quello è il segno che ti rimane quando vieni colpito da una maledizione potente:
risparmiato     	risparmiare     	non ha risparmiato tua mamma e tuo papà, e neanche la casa, ma su di te non ha funzionato, e questo è il motivo per cui sei famoso, Harry.
franca          	franco          	Nessuno di quelli che lui aveva deciso di uccidere l’ha fatta franca, nessuno, solo tu.
doloroso        	doloroso        	In quel momento Harry ricordò qualcosa di molto doloroso.
racconto        	racconto        	Mentre il racconto di Hagrid si avviava alla conclusione, rivide il bagliore accecante di luce verde più chiaramente di quanto non fosse mai accaduto prima;
conclusione     	conclusione     	Mentre il racconto di Hagrid si avviava alla conclusione, rivide il bagliore accecante di luce verde più chiaramente di quanto non fosse mai accaduto prima;
rivide          	rivedere        	Mentre il racconto di Hagrid si avviava alla conclusione, rivide il bagliore accecante di luce verde più chiaramente di quanto non fosse mai accaduto prima;
chiaramente     	chiaramente     	Mentre il racconto di Hagrid si avviava alla conclusione, rivide il bagliore accecante di luce verde più chiaramente di quanto non fosse mai accaduto prima;
crudele         	crudele         	una risata lunga, fredda, crudele.
tristezza       	tristezza       	Hagrid lo guardava pieno di tristezza.
