parlante       	parlante        	CAPITOLO 7 IL CAPPELLO PARLANTE La porta si aprì all’istante.
trapunto       	trapungere      	Soprattutto per evitare tutti quegli occhi che li fissavano, Harry alzò lo sguardo in alto e vide un soffitto di un nero intenso trapunto di stelle.
collocava      	collocare       	Rapidamente Harry abbassò di nuovo lo sguardo, mentre la professoressa McGonagall, senza fare rumore, collocava uno sgabello a quattro gambe davanti agli allievi del primo anno.
rattoppato     	rattoppare      	Era un cappello tutto rattoppato, consunto e pieno di macchie.
consunto       	consunto        	Era un cappello tutto rattoppato, consunto e pieno di macchie.
macchie        	macchia         	Era un cappello tutto rattoppato, consunto e pieno di macchie.
coniglio       	coniglio        	Forse sarebbe stato chiesto loro di estrarne un coniglio, pensò Harry emozionato.
assoluto       	assoluto        	Per qualche secondo regnò il silenzio più assoluto.
contrasse      	contrarsi       	Poi il cappello si contrasse.
strappo        	strappo         	Uno strappo vicino al bordo si spalancò come una bocca, e lui cominciò a cantare:
cantare        	cantare         	Uno strappo vicino al bordo si spalancò come una bocca, e lui cominciò a cantare:
scappello      	scappellarsi    	io ve lo giuro che mi scappello se uno migliore ne troverete.
bombette       	bombetta        	Potete tenervi le vostre bombette, i vostri cilindri lucidi e alteri, son io quello che a posto vi mette e al mio confronto gli altri son zeri.
alteri         	altero          	Potete tenervi le vostre bombette, i vostri cilindri lucidi e alteri, son io quello che a posto vi mette e al mio confronto gli altri son zeri.
zeri           	zero            	Potete tenervi le vostre bombette, i vostri cilindri lucidi e alteri, son io quello che a posto vi mette e al mio confronto gli altri son zeri.
culla          	culla           	È forse Grifondoro la vostra via, culla dei coraggiosi di cuore:
audacia        	audacia         	audacia, fegato, cavalleria fan di quel luogo uno splendore.
cavalleria     	cavalleria      	audacia, fegato, cavalleria fan di quel luogo uno splendore.
splendore      	splendore       	audacia, fegato, cavalleria fan di quel luogo uno splendore.
alberga        	albergare       	O forse è a Tassofrasso la vostra vita, dove chi alberga è giusto e leale:
leale          	leale           	O forse è a Tassofrasso la vostra vita, dove chi alberga è giusto e leale:
pazienza       	pazienza        	qui la pazienza regna infinita e il duro lavoro non è innaturale.
infinita       	infinito        	qui la pazienza regna infinita e il duro lavoro non è innaturale.
innaturale     	innaturale      	qui la pazienza regna infinita e il duro lavoro non è innaturale.
sapienza       	sapienza        	Oppure Corvonero, il vecchio e il saggio, se siete svegli e pronti di mente, ragione e sapienza qui trovan linguaggio che si confà a simile gente.
linguaggio     	linguaggio      	Oppure Corvonero, il vecchio e il saggio, se siete svegli e pronti di mente, ragione e sapienza qui trovan linguaggio che si confà a simile gente.
confà          	confarsi        	Oppure Corvonero, il vecchio e il saggio, se siete svegli e pronti di mente, ragione e sapienza qui trovan linguaggio che si confà a simile gente.
astuti         	astuto          	O forse a Serpeverde, ragazzi miei, voi troverete gli amici migliori, quei tipi astuti e per niente babbei che qui raggiungono fini e onori!
dunque         	dunque          	Venite dunque senza paure e mettetemi in capo all’istante;
filastrocca    	filastrocca     	con me sarete in mani sicure perché io sono un Cappello Parlante!» Non appena ebbe terminato la sua filastrocca, tutta la sala scoppiò in un applauso fragoroso.
applauso       	applauso        	con me sarete in mani sicure perché io sono un Cappello Parlante!» Non appena ebbe terminato la sua filastrocca, tutta la sala scoppiò in un applauso fragoroso.
fragoroso      	fragoroso       	con me sarete in mani sicure perché io sono un Cappello Parlante!» Non appena ebbe terminato la sua filastrocca, tutta la sala scoppiò in un applauso fragoroso.
blaterare      	blaterare       	continuava a blaterare di un combattimento con un troll!» Harry sorrise debolmente.
combattimento  	combattimento   	continuava a blaterare di un combattimento con un troll!» Harry sorrise debolmente.
troll          	troll           	continuava a blaterare di un combattimento con un troll!» Harry sorrise debolmente.
separata       	separato        	Sì, indossare il cappello era molto meglio che dover fare un incantesimo, ma gli sarebbe piaciuto che la cosa avvenisse in separata sede, non sotto gli occhi di tutti.
sede           	sede            	Sì, indossare il cappello era molto meglio che dover fare un incantesimo, ma gli sarebbe piaciuto che la cosa avvenisse in separata sede, non sotto gli occhi di tutti.
salutarla      	salutare        	Harry vide il fantasma del Frate Grasso salutarla allegramente con la mano.
egli           	egli            	molti allievi della Casa di Corvonero si alzarono per stringere la mano a Terry, quando egli ebbe preso posto tra loro.
assegnata      	assegnare       	Anche «Brocklehurst Mandy» fu assegnata a Corvonero, ma «Brown Lavanda» fu la prima nuova Grifondoro e dal tavolo all’estrema sinistra si levò un evviva generale;
lavanda        	lavanda         	Anche «Brocklehurst Mandy» fu assegnata a Corvonero, ma «Brown Lavanda» fu la prima nuova Grifondoro e dal tavolo all’estrema sinistra si levò un evviva generale;
estrema        	estremo         	Anche «Brocklehurst Mandy» fu assegnata a Corvonero, ma «Brown Lavanda» fu la prima nuova Grifondoro e dal tavolo all’estrema sinistra si levò un evviva generale;
evviva         	evviva          	Anche «Brocklehurst Mandy» fu assegnata a Corvonero, ma «Brown Lavanda» fu la prima nuova Grifondoro e dal tavolo all’estrema sinistra si levò un evviva generale;
generale       	generale        	Anche «Brocklehurst Mandy» fu assegnata a Corvonero, ma «Brown Lavanda» fu la prima nuova Grifondoro e dal tavolo all’estrema sinistra si levò un evviva generale;
approvazione   	approvazione    	Harry notò che i gemelli, fratelli di Ron, fischiavano con approvazione.
pura           	puro            	Forse era una pura fantasia di Harry, dopo tutto quel che aveva sentito dire su quella Casa, ma gli venne da pensare che avevano tutti un aspetto sgradevole.
selezionato    	selezionare     	Ricordava quando, nella sua vecchia scuola, veniva selezionato per giocare in una squadra nelle ore di ginnastica.
dichiarato     	dichiarare      	«Finnigan Seamus», il ragazzo dai capelli rossicci che precedeva Harry nella fila, rimase seduto quasi per un minuto prima di venire dichiarato un Grifondoro.
continuamente  	continuamente   	Poi fu chiamato il ragazzo che perdeva continuamente il suo rospo, Neville Longbottom, che, lungo il percorso verso lo sgabello, cadde.
percorso       	percorso        	Poi fu chiamato il ragazzo che perdeva continuamente il suo rospo, Neville Longbottom, che, lungo il percorso verso lo sgabello, cadde.
impiegò        	impiegare       	Con lui, il cappello impiegò molto tempo a decidere.
spavaldamente  	spavaldamente   	Quando venne chiamato il suo nome, Malfoy si presentò spavaldamente e fu esaudito all’istante:
esaudito       	esaudire        	Quando venne chiamato il suo nome, Malfoy si presentò spavaldamente e fu esaudito all’istante:
sussurri       	sussurro        	«Moon»... «Nott»... «Parkinson»... poi due gemelle, «Patil» e «Patil»... poi «Perks Sally-Anne»... e finalmente... «Potter Harry!» A un tratto, mentre Harry si avvicinava allo sgabello, la sala fu percorsa da sussurri simili allo scoppiettio di tanti piccoli fuochi.
scoppiettio    	scoppiettio     	«Moon»... «Nott»... «Parkinson»... poi due gemelle, «Patil» e «Patil»... poi «Perks Sally-Anne»... e finalmente... «Potter Harry!» A un tratto, mentre Harry si avvicinava allo sgabello, la sala fu percorsa da sussurri simili allo scoppiettio di tanti piccoli fuochi.
coprisse       	coprire         	«Ma proprio quell’Harry Potter...?» L’ultima cosa che Harry vide prima che il cappello gli coprisse gli occhi fu la sala piena di gente che allungava il collo per guardarlo meglio.
cervello       	cervello        	E anche un cervello niente male.
talento        	talento         	C’è talento, oh, accipicchia, sì... e un bel desiderio di mettersi alla prova.
accipicchia    	accipicchia     	C’è talento, oh, accipicchia, sì... e un bel desiderio di mettersi alla prova.
desiderio      	desiderio       	C’è talento, oh, accipicchia, sì... e un bel desiderio di mettersi alla prova.
aggrappò       	aggrapparsi     	» Harry si aggrappò forte ai bordi dello sgabello e pensò:
grandezza      	grandezza       	qui, nella tua testa, c’è di tutto, e Serpeverde ti aiuterebbe sulla via della grandezza, su questo non c’è dubbio... No?
dubbio         	dubbio          	qui, nella tua testa, c’è di tutto, e Serpeverde ti aiuterebbe sulla via della grandezza, su questo non c’è dubbio... No?
vacillante     	vacillante      	Se lo tolse e si avviò con passo vacillante verso il tavolo di Grifondoro.
vigorosamente  	vigorosamente   	Percy il prefetto si alzò in piedi e gli strinse vigorosamente la mano, mentre i gemelli Weasley si sgolavano:
sgolavano      	sgolarsi        	Percy il prefetto si alzò in piedi e gli strinse vigorosamente la mano, mentre i gemelli Weasley si sgolavano:
catino         	catino          	Questo gli batté un colpetto sul braccio, dandogli l’improvvisa, orribile sensazione di averlo appena immerso in un catino di acqua ghiacciata.
ghiacciata     	ghiacciato      	Questo gli batté un colpetto sul braccio, dandogli l’improvvisa, orribile sensazione di averlo appena immerso in un catino di acqua ghiacciata.
incrociò       	incrociare      	All’estremità più vicina a lui sedeva Hagrid che incrociò il suo sguardo e gli fece un segno di vittoria.
vittoria       	vittoria        	All’estremità più vicina a lui sedeva Hagrid che incrociò il suo sguardo e gli fece un segno di vittoria.
riconobbe      	riconoscere     	Harry lo riconobbe subito per via della figurina che aveva trovato nella Cioccorana, sul treno.
chioma         	chioma          	La chioma argentea di Silente era l’unica cosa, in tutta la sala, che luccicasse quanto i fantasmi.
intravide      	intravedere     	Harry intravide anche il professor Quirrell, il giovanotto nervoso che aveva incontrato al Paiolo Magico.
turbante       	turbante        	Aveva un’aria molto strana e in testa un gran turbante color porpora.
turno          	turno           	«Turpin Lisa» divenne una Corvonero e poi fu il turno di Ron.
verdognolo     	verdognolo      	Il ragazzo ormai aveva assunto un colorito verdognolo.
accasciava     	accasciarsi     	«GRIFONDORO!» Harry batté le mani forte con tutti gli altri, mentre Ron si accasciava sulla sedia vicino alla sua.
congratulò     	congratularsi   	«Ben fatto, Ron, ottimo!» si congratulò pomposamente Percy Weasley da sopra la testa di Harry, mentre «Zabini Blaise» veniva mandato a Serpeverde.
pomposamente   	pomposamente    	«Ben fatto, Ron, ottimo!» si congratulò pomposamente Percy Weasley da sopra la testa di Harry, mentre «Zabini Blaise» veniva mandato a Serpeverde.
riuniti        	riunire         	Sorrideva agli studenti con uno sguardo radioso, le braccia aperte, come se niente potesse fargli più piacere del vederli tutti lì riuniti.
imbecille      	imbecille       	E cioè: imbecille, medusa, scampolo, pizzicotto!
medusa         	medusa          	E cioè: imbecille, medusa, scampolo, pizzicotto!
scampolo       	scampolo        	E cioè: imbecille, medusa, scampolo, pizzicotto!
incerto        	incerto         	chiese incerto a Percy.
genio          	genio           	«È un genio!
patate         	patata          	Patate, Harry?
pietanze       	pietanza        	Di colpo, i piatti davanti a lui furono pieni zeppi di pietanze.
pollo          	pollo           	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
arrosto        	arrosto         	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
braciole       	braciola        	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
agnello        	agnello         	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
bistecche      	bistecca        	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
lesse          	lesso           	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
fritte         	fritto          	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
piselli        	pisello         	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
sugo           	sugo            	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
salsa          	salsa           	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
ketchup        	ketchup         	roast beef, pollo arrosto, braciole di maiale e di agnello, salsicce, bacon e bistecche, patate lesse, patate arrosto, patatine fritte, Yorkshire pudding, piselli, carote, sugo di carne, salsa ketchup e, per qualche strana ragione, caramelle alla menta.
sazietà        	sazietà         	Non si poteva dire che i Dursley lo lasciassero morire di fame, ma certo non gli veniva mai permesso di mangiare a sazietà.
costo          	costo           	Dudley prendeva sempre tutto quello che faceva gola a Harry, anche a costo di sentirsi male.
riempì         	riempirsi       	Harry si riempì il piatto di un po’ di tutto, tranne le caramelle alla menta, e cominciò a mangiare.
mancanza       	mancanza        	«Naturalmente, non ne ho bisogno, ma uno finisce col sentirne la mancanza.
impettito      	impettito       	«Preferirei che mi chiamaste Sir Nicholas de Mimsy...» cominciò a dire tutto impettito il fantasma, ma Seamus Finnigan, il ragazzo dai capelli rossicci, lo interruppe.
estremamente   	estremamente    	Sir Nicholas sembrava estremamente stizzito, come se la conversazione non stesse prendendo la piega da lui desiderata.
stizzito       	stizzire        	Sir Nicholas sembrava estremamente stizzito, come se la conversazione non stesse prendendo la piega da lui desiderata.
piega          	piega           	Sir Nicholas sembrava estremamente stizzito, come se la conversazione non stesse prendendo la piega da lui desiderata.
incernierata   	incernierato    	Tutta la testa gli si staccò dal collo e gli ricadde sulla spalla come se fosse incernierata.
decapitarlo    	decapitare      	Qualcuno aveva evidentemente provato a decapitarlo, ma non lo aveva fatto a dovere.
deciso         	deciso          	Tutto compiaciuto per gli sguardi sbalorditi che lesse sui loro volti, con un movimento deciso, Nick-Quasi-Senza-Testa si rimise la testa sul collo, tossì e disse:
tossì          	tossire         	Tutto compiaciuto per gli sguardi sbalorditi che lesse sui loro volti, con un movimento deciso, Nick-Quasi-Senza-Testa si rimise la testa sul collo, tossì e disse:
campionato     	campionato      	Spero che ci aiuterete a vincere il Campionato delle Case di quest’anno.
barone         	barone          	Il Barone Sanguinario sta diventando a dir poco insopportabile... ehm... lui è il fantasma di Serpeverde».
sanguinario    	sanguinario     	Il Barone Sanguinario sta diventando a dir poco insopportabile... ehm... lui è il fantasma di Serpeverde».
insopportabile 	insopportabile  	Il Barone Sanguinario sta diventando a dir poco insopportabile... ehm... lui è il fantasma di Serpeverde».
macilento      	macilento       	Harry gettò un’occhiata al tavolo di Serpeverde e vide, lì seduto, un orribile fantasma dallo sguardo fisso e vuoto, il volto macilento e gli abiti tutti imbrattati di sangue argentato.
imbrattati     	imbrattare      	Harry gettò un’occhiata al tavolo di Serpeverde e vide, lì seduto, un orribile fantasma dallo sguardo fisso e vuoto, il volto macilento e gli abiti tutti imbrattati di sangue argentato.
soddisfatto    	soddisfare      	Era seduto proprio vicino a Malfoy che – Harry notò con piacere – non sembrava molto soddisfatto per l’assegnazione dei posti.
assegnazione   	assegnazione    	Era seduto proprio vicino a Malfoy che – Harry notò con piacere – non sembrava molto soddisfatto per l’assegnazione dei posti.
coprirsi       	coprirsi        	«Come ha fatto a coprirsi tutto di sangue?
delicatezza    	delicatezza     	«Non gliel’ho mai chiesto» disse con delicatezza Nick-Quasi-Senza-Testa.
rimpinzati     	rimpinzarsi     	Quando tutti si furono rimpinzati a più non posso, gli avanzi del cibo scomparvero dai piatti lasciandoli puliti e splendenti come prima.
avanzi         	avanzo          	Quando tutti si furono rimpinzati a più non posso, gli avanzi del cibo scomparvero dai piatti lasciandoli puliti e splendenti come prima.
immaginabili   	immaginabile    	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
mele           	mela            	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
crostate       	crostata        	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
melassa        	melassa         	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
bignè          	bignè           	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
zuppa          	zuppa           	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
inglese        	inglese         	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
budini         	budino          	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
discorso       	discorso        	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
virò           	virare          	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
sposati        	sposato         	Mamma non gli ha detto di essere una strega fino a dopo sposati.
allevato       	allevare        	«E tu, Neville?» «Be’, io sono stato allevato da mia nonna, che è una strega» prese a raccontare Neville, «ma in famiglia per molto tempo hanno pensato che io fossi soltanto un Babbano.
prozio         	prozio          	Il mio prozio Algie ha cercato per anni di cogliermi alla sprovvista e di strapparmi qualche magia – una volta mi ha buttato in acqua dal molo di Blackpool e per poco non affogavo – ma non è successo niente fino a che non ho avuto otto anni.
molo           	molo            	Il mio prozio Algie ha cercato per anni di cogliermi alla sprovvista e di strapparmi qualche magia – una volta mi ha buttato in acqua dal molo di Blackpool e per poco non affogavo – ma non è successo niente fino a che non ho avuto otto anni.
affogavo       	affogare        	Il mio prozio Algie ha cercato per anni di cogliermi alla sprovvista e di strapparmi qualche magia – una volta mi ha buttato in acqua dal molo di Blackpool e per poco non affogavo – ma non è successo niente fino a che non ho avuto otto anni.
caviglie       	caviglia        	Zio Algie era venuto a prendere il tè e mi teneva appeso per le caviglie fuori da una finestra del secondo piano, quando zia Enid gli offrì una meringa e lui, senza farlo apposta, mi lasciò andare.
offrì          	offrire         	Zio Algie era venuto a prendere il tè e mi teneva appeso per le caviglie fuori da una finestra del secondo piano, quando zia Enid gli offrì una meringa e lui, senza farlo apposta, mi lasciò andare.
