HPitb1ch13-0001	impazzire	quello Specchio poteva farti impazzire» disse Ron quando Harry gli raccontò i suoi sogni.
HPitb1ch13-0031	difilato	«Restate lì!» disse, e corse difilato su per le scale diretta agli alloggi delle ragazze.
HPitb1ch13-0032	imbronciato	» «Adesso possiamo parlare?» fece Ron imbronciato.
HPitb1ch13-0033	filosofale	«Nicolas Flamel» mormorò in tono d’importanza, «che si sappia è l’unico ad aver prodotto la Pietra Filosofale!» Ma non sortì precisamente l’effetto che si aspettava.
HPitb1ch13-0034	sortire	«Nicolas Flamel» mormorò in tono d’importanza, «che si sappia è l’unico ad aver prodotto la Pietra Filosofale!» Ma non sortì precisamente l’effetto che si aspettava.
HPitb1ch13-0035	precisamente	«Nicolas Flamel» mormorò in tono d’importanza, «che si sappia è l’unico ad aver prodotto la Pietra Filosofale!» Ma non sortì precisamente l’effetto che si aspettava.
HPitb1ch13-0036	uffa	«Uffa, ma voi due non sapete leggere?
HPitb1ch13-0037	disciplina	L’antica disciplina dell’alchimia si occupa della produzione della Pietra Filosofale, una sostanza leggendaria dai poteri sbalorditivi.
HPitb1ch13-0038	produzione	L’antica disciplina dell’alchimia si occupa della produzione della Pietra Filosofale, una sostanza leggendaria dai poteri sbalorditivi.
HPitb1ch13-0039	sbalorditivo	L’antica disciplina dell’alchimia si occupa della produzione della Pietra Filosofale, una sostanza leggendaria dai poteri sbalorditivi.
HPitb1ch13-0040	elisir	La Pietra è in grado di trasformare qualsiasi metallo in oro puro e per giunta da essa si ottiene l’Elisir di Lunga Vita, che rende immortale chi lo beve.
HPitb1ch13-0041	immortale	La Pietra è in grado di trasformare qualsiasi metallo in oro puro e per giunta da essa si ottiene l’Elisir di Lunga Vita, che rende immortale chi lo beve.
HPitb1ch13-0042	attualmente	Nel corso dei secoli si è parlato molto della Pietra Filosofale, ma l’unica che esista attualmente appartiene a Nicolas Flamel, noto alchimista e appassionato di opera lirica.
HPitb1ch13-0043	alchimista	Nel corso dei secoli si è parlato molto della Pietra Filosofale, ma l’unica che esista attualmente appartiene a Nicolas Flamel, noto alchimista e appassionato di opera lirica.
HPitb1ch13-0044	appassionato	Nel corso dei secoli si è parlato molto della Pietra Filosofale, ma l’unica che esista attualmente appartiene a Nicolas Flamel, noto alchimista e appassionato di opera lirica.
HPitb1ch13-0045	lirico	Nel corso dei secoli si è parlato molto della Pietra Filosofale, ma l’unica che esista attualmente appartiene a Nicolas Flamel, noto alchimista e appassionato di opera lirica.
HPitb1ch13-0046	ricopiare	» La mattina seguente, a lezione di Difesa contro le Arti Oscure, mentre ricopiavano dalla lavagna diversi metodi per curare il morso di lupo mannaro, Harry e Ron continuarono a parlare di quel che avrebbero fatto con una Pietra Filosofale se l’avessero avuta.
HPitb1ch13-0047	metodo	» La mattina seguente, a lezione di Difesa contro le Arti Oscure, mentre ricopiavano dalla lavagna diversi metodi per curare il morso di lupo mannaro, Harry e Ron continuarono a parlare di quel che avrebbero fatto con una Pietra Filosofale se l’avessero avuta.
HPitb1ch13-0048	mannaro	» La mattina seguente, a lezione di Difesa contro le Arti Oscure, mentre ricopiavano dalla lavagna diversi metodi per curare il morso di lupo mannaro, Harry e Ron continuarono a parlare di quel che avrebbero fatto con una Pietra Filosofale se l’avessero avuta.
HPitb1ch13-0049	imminente	Solo quando Ron disse che ci si sarebbe comprato un’intera squadra di Quidditch, a Harry tornarono in mente Piton e la partita imminente.
HPitb1ch13-0050	aumentare	Tuttavia, mano a mano che si avvicinava il giorno della partita, il nervosismo di Harry non faceva che aumentare, nonostante quel che aveva detto a Ron e a Hermione.
HPitb1ch13-0051	tortura	Le lezioni di Pozioni si stavano trasformando in una specie di tortura settimanale, tanto il professore lo assillava.
HPitb1ch13-0052	settimanale	Le lezioni di Pozioni si stavano trasformando in una specie di tortura settimanale, tanto il professore lo assillava.
HPitb1ch13-0053	intuire	Era mai possibile che avesse intuito che avevano scoperto la storia della Pietra Filosofale?
HPitb1ch13-0054	agghiacciante	Harry non capiva come, ma a volte aveva l’agghiacciante sensazione che Piton sapesse leggere nel pensiero.
HPitb1ch13-0055	augurare	Il pomeriggio seguente, quando Ron e Hermione gli augurarono buona fortuna all’ingresso dello spogliatoio, Harry era ben consapevole che i due si stavano domandando se l’avrebbero mai rivisto vivo.
HPitb1ch13-0056	consapevole	Il pomeriggio seguente, quando Ron e Hermione gli augurarono buona fortuna all’ingresso dello spogliatoio, Harry era ben consapevole che i due si stavano domandando se l’avrebbero mai rivisto vivo.
HPitb1ch13-0057	consolante	E quel pensiero non era precisamente consolante.
HPitb1ch13-0058	incitamento	Mentre si infilava la divisa da Quidditch e inforcava la sua Nimbus Duemila, Harry non sentì quasi una parola del discorsetto d’incitamento pronunciato da Oliver Wood.
HPitb1ch13-0059	funerale	Nel frattempo, Ron e Hermione si erano trovati un posto a sedere sugli spalti vicino a Neville, che non riusciva a capire perché avessero quelle facce da funerale, né perché entrambi si fossero portati la bacchetta alla partita.
HPitb1ch13-0060	spunto	Avevano preso spunto da Malfoy che se n’era servito contro Neville, ed erano prontissimi a usarla anche con Piton, se avesse dato l’impressione di voler fare del male a Harry.
HPitb1ch13-0061	formula	«Allora, tieni bene a mente la formula magica:
HPitb1ch13-0062	pressione	«Non per metterti sotto pressione, Potter, ma mai come oggi abbiamo bisogno di acchiapparlo subito, quel Boccino.
HPitb1ch13-0063	vantaggio	Vedi di concludere il gioco prima che Piton riesca a regalare troppo vantaggio a Tassofrasso».
HPitb1ch13-0064	inconfondibile	quella barba argentea era inconfondibile.
HPitb1ch13-0065	inviperito	Forse era per quello che Piton aveva l’aria così inviperita quando le due squadre entrarono in campo.
HPitb1ch13-0066	confidare	«Non gli ho mai visto in faccia un’espressione tanto feroce» confidò a Hermione.
HPitb1ch13-0067	accettare	Si accettano scommesse!
HPitb1ch13-0068	scommessa	Si accettano scommesse!
HPitb1ch13-0069	quattrino	E difatti ci gioca Potter, che non ha i genitori, ci giocano i Weasley, che non hanno il becco d’un quattrino... anche tu dovresti far parte della squadra, Longbottom, visto che non hai cervello».
HPitb1ch13-0070	nervo	Ron aveva i nervi già abbastanza tesi, ansioso com’era per via di Harry.
HPitb1ch13-0071	teso	Ron aveva i nervi già abbastanza tesi, ansioso com’era per via di Harry.
HPitb1ch13-0072	mozzare	Che cosa, dove?» Harry si era appena gettato in una picchiata spettacolare che aveva mozzato il fiato ad alcuni e scatenato gli applausi di altri fra il pubblico.
HPitb1ch13-0073	manforte	Neville esitò, poi scavalcò il sedile per andare a dargli manforte.
HPitb1ch13-0074	trasformarsi	Non si accorse nemmeno di Malfoy e Ron che si rotolavano a terra sotto il suo sedile, né dei tonfi e delle grida provenienti da Neville, Crabbe e Goyle, trasformatisi in un unico vortice di pugni.
HPitb1ch13-0075	vortice	Non si accorse nemmeno di Malfoy e Ron che si rotolavano a terra sotto il suo sedile, né dei tonfi e delle grida provenienti da Neville, Crabbe e Goyle, trasformatisi in un unico vortice di pugni.
HPitb1ch13-0076	improvvisare	strillava Hermione, improvvisando un balletto sul suo sedile e abbracciando Parvati Patil, che sedeva nella fila davanti.
HPitb1ch13-0077	balletto	strillava Hermione, improvvisando un balletto sul suo sedile e abbracciando Parvati Patil, che sedeva nella fila davanti.
HPitb1ch13-0078	riversarsi	Mentre i Grifondoro si riversavano in campo, scorse Piton che atterrava lì accanto, livido e con le labbra serrate.
HPitb1ch13-0079	posarsi	Poi sentì una mano posarglisi sulla spalla e, quando levò lo sguardo, si trovò davanti il volto allegro di Silente.
HPitb1ch13-0080	eccellente	Eccellente!
HPitb1ch13-0081	rimessa	Harry uscì da solo dagli spogliatoi qualche tempo dopo, per riportare la sua Nimbus Duemila nella rimessa delle scope.
HPitb1ch13-0082	rivivere	Camminava sull’erba umida, rivivendo l’ora appena trascorsa nella sua mente piacevolmente confusa:
HPitb1ch13-0083	piacevolmente	Camminava sull’erba umida, rivivendo l’ora appena trascorsa nella sua mente piacevolmente confusa:
HPitb1ch13-0084	issare	i Grifondoro che gli correvano incontro e lo issavano sulle loro spalle;
HPitb1ch13-0085	emorragia	Hermione e Ron in lontananza che saltavano su e giù, con quest’ultimo che urlava di gioia, nonostante una forte emorragia dal naso.
HPitb1ch13-0086	tramonto	Si appoggiò alla porta di legno e alzò lo sguardo su Hogwarts, con le finestre che luccicavano nel rosso del tramonto.
HPitb1ch13-0087	figura	Ce l’aveva fatta, gliel’aveva fatta vedere lui a quel Piton... A proposito di Piton... Una figura incappucciata scendeva rapidamente i gradini all’entrata del castello.
HPitb1ch13-0088	incappucciare	Ce l’aveva fatta, gliel’aveva fatta vedere lui a quel Piton... A proposito di Piton... Una figura incappucciata scendeva rapidamente i gradini all’entrata del castello.
HPitb1ch13-0089	diretta	Camminava il più in fretta possibile, diretta alla Foresta Proibita, nel chiaro intento di non farsi vedere.
HPitb1ch13-0090	camminata	Il ragazzo riconobbe quella camminata furtiva.
HPitb1ch13-0091	cenare	Era Piton che sgattaiolava nella Foresta mentre tutti gli altri cenavano.
HPitb1ch13-0092	fronda	Volò verso di loro e atterrò senza fare rumore tra le fronde di un altissimo faggio.
HPitb1ch13-0093	foglia	Con circospezione, si aprì un varco fra i rami, sempre tenendo stretto il manico della sua scopa, nel tentativo di scorgere qualcosa fra le foglie.
HPitb1ch13-0094	radura	Sotto di lui, in una radura già immersa nell’ombra, c’era Piton ritto in piedi, ma non era solo.
HPitb1ch13-0095	stridio	In quel momento un gufo lanciò un forte stridio e Harry quasi cadde dall’albero.
HPitb1ch13-0096	abracadabra	«...quei tuoi abracadabra da quattro soldi.
HPitb1ch13-0097	chiacchierata	«Faremo presto un’altra bella chiacchierata, quando avrai avuto il tempo di pensarci su e di decidere da che parte stai».
HPitb1ch13-0098	ricoprire	E così dicendo, si ricoprì il capo con il mantello e si allontanò a grandi passi dalla radura.
HPitb1ch13-0099	sgraffignare	Fred e George hanno sgraffignato dalle cucine un po’ di dolci e altra roba buona».
HPitb1ch13-0100	allarmare	un sacco di incantesimi, probabilmente... e Quirrell deve aver fatto qualche incantesimo anti-Magia Oscura che Piton deve superare...» «Allora tu pensi che la Pietra sia al sicuro solo finché Quirrell resisterà a Piton...» fece Hermione in tono allarmato.
HPitb1ch13-0101	sentenziare	«Se è così, entro martedì prossimo sarà sparita» sentenziò Ron.
