HPitb1ch17-0001	muscolo	Non un solo muscolo gli si mosse sul volto.
HPitb1ch17-0039	distendere	PRENDILO!» gridò di nuovo Voldemort con voce stridula, e Quirrell fece un balzo in avanti mandando Harry lungo disteso per terra e afferrandogli il collo con entrambe le mani.
HPitb1ch17-0040	palma	«Padrone, non riesco a trattenerlo... le mie mani... le mie mani!» E Quirrell, pur continuando a tenere inchiodato il ragazzo a terra con le ginocchia, mollò la presa sul suo collo per contemplarsi sconcertato le palme delle mani.
HPitb1ch17-0041	bruciacchiare	erano bruciacchiate, con la carne viva, rossa e lucente.
HPitb1ch17-0042	eseguire	Quirrell alzò la mano per eseguire una maledizione mortale, ma Harry, istintivamente, gli afferrò la faccia... «Aaaaaaahhhhhh!» Quirrell gli rotolò via di dosso, il volto che cominciava a riempirsi di vesciche.
HPitb1ch17-0043	istintivamente	Quirrell alzò la mano per eseguire una maledizione mortale, ma Harry, istintivamente, gli afferrò la faccia... «Aaaaaaahhhhhh!» Quirrell gli rotolò via di dosso, il volto che cominciava a riempirsi di vesciche.
HPitb1ch17-0044	strido	ormai non ci vedeva più, udiva soltanto le terribili strida di Quirrell, Voldemort che gridava «UCCIDILO!
HPitb1ch17-0045	bruma	Lentamente, come attraverso una bruma, mise a fuoco il volto gaio di Albus Silente.
HPitb1ch17-0046	figliolo	Bisogna far presto, signore...» «Calmati, figliolo, sei rimasto un po’ indietro con gli avvenimenti» disse Silente.
HPitb1ch17-0047	adagiare	Era adagiato in un letto dalle candide lenzuola di lino e sul comodino accanto sembrava fosse stato trasferito un intero negozio di dolciumi.
HPitb1ch17-0048	lino	Era adagiato in un letto dalle candide lenzuola di lino e sul comodino accanto sembrava fosse stato trasferito un intero negozio di dolciumi.
HPitb1ch17-0049	comodino	Era adagiato in un letto dalle candide lenzuola di lino e sul comodino accanto sembrava fosse stato trasferito un intero negozio di dolciumi.
HPitb1ch17-0050	dolciumi	Era adagiato in un letto dalle candide lenzuola di lino e sul comodino accanto sembrava fosse stato trasferito un intero negozio di dolciumi.
HPitb1ch17-0051	ammiratore	«Quelli sono pegni di affetto dei tuoi amici e ammiratori» disse Silente illuminandosi in volto.
HPitb1ch17-0052	illuminarsi	«Quelli sono pegni di affetto dei tuoi amici e ammiratori» disse Silente illuminandosi in volto.
HPitb1ch17-0053	corrente	«Quel che è accaduto giù nei sotterranei tra te e il professor Quirrell è segretissimo, quindi naturalmente tutta la scuola ne è al corrente.
HPitb1ch17-0054	igienico	Ma Madame Pomfrey l’ha giudicata una cosa poco igienica e quindi l’ha confiscata».
HPitb1ch17-0055	confiscare	Ma Madame Pomfrey l’ha giudicata una cosa poco igienica e quindi l’ha confiscata».
HPitb1ch17-0056	deliziare	«Ma il suo amico, Nicolas Flamel...» «Ah, sai di Nicolas?» disse Silente con un tono di voce che sembrava deliziato.
HPitb1ch17-0057	sufficiente	«Ma questo significa che lui e sua moglie moriranno, non è così?» «Dispongono di una quantità sufficiente di Elisir per sistemare i loro affari, dopodiché... ebbene sì, moriranno».
HPitb1ch17-0058	ricchezza	tutta la ricchezza e tutta la vita che uno può volere... Sono le due cose che la maggior parte degli esseri umani desidera più di ogni altra... Ma il guaio è che le persone hanno una particolare abilità nello scegliere proprio le cose peggiori per loro».
HPitb1ch17-0059	abilità	tutta la ricchezza e tutta la vita che uno può volere... Sono le due cose che la maggior parte degli esseri umani desidera più di ogni altra... Ma il guaio è che le persone hanno una particolare abilità nello scegliere proprio le cose peggiori per loro».
HPitb1ch17-0060	compassione	la stessa poca compassione che ha per i nemici, ce l’ha per i suoi seguaci.
HPitb1ch17-0061	ritardare	Comunque, Harry, se tu hai ritardato il suo ritorno al potere, la prossima volta ci vorrà semplicemente qualcun altro che sia in grado di sostenere quella che sembra una battaglia persa... E se il suo desiderio di potere continuerà a venire ostacolato, forse non lo riconquisterà mai più».
HPitb1ch17-0062	riconquistare	Comunque, Harry, se tu hai ritardato il suo ritorno al potere, la prossima volta ci vorrà semplicemente qualcun altro che sia in grado di sostenere quella che sembra una battaglia persa... E se il suo desiderio di potere continuerà a venire ostacolato, forse non lo riconquisterà mai più».
HPitb1ch17-0063	concepire	Ora, se c’è una cosa che Voldemort non riesce a concepire, è l’amore.
HPitb1ch17-0064	amore	Ora, se c’è una cosa che Voldemort non riesce a concepire, è l’amore.
HPitb1ch17-0065	brama	Quirrell, che avendo ceduto l’anima a Voldemort era pieno di odio, di brama e di ambizione, non poteva toccarti per questa ragione.
HPitb1ch17-0066	ambizione	Quirrell, che avendo ceduto l’anima a Voldemort era pieno di odio, di brama e di ambizione, non poteva toccarti per questa ragione.
HPitb1ch17-0067	marchio	Per lui era una tortura toccare una persona segnata da un marchio di tanta bontà».
HPitb1ch17-0068	bontà	Per lui era una tortura toccare una persona segnata da un marchio di tanta bontà».
HPitb1ch17-0069	bocconcino	«Sono cose utili... Quando era qui, tuo padre lo usava soprattutto per sgattaiolare in cucina e farsi fuori qualche buon bocconcino».
HPitb1ch17-0070	sognante	» «Già...» fece Silente in tono sognante.
HPitb1ch17-0071	funzione	«Strano come funzioni la mente delle persone, non trovi?
HPitb1ch17-0072	concetto	Dopodiché, avrebbe potuto tranquillamente tornare a odiarne la memoria...» Harry cercò di capire quel difficile concetto, ma poiché gli faceva dolere la testa, ci rinunciò.
HPitb1ch17-0073	rimandare	Altrimenti lo Specchio gli avrebbe rimandato l’immagine di uno che fabbrica oro o che beve Elisir di Lunga Vita.
HPitb1ch17-0074	proporre	Propongo che tu cominci ad assaggiare qualcuno di questi dolci.
HPitb1ch17-0075	vomito	Da giovane ho avuto la sfortuna di trovarne una al gusto di vomito e da allora devo dire che per me hanno perso ogni attrattiva...
HPitb1ch17-0076	attrattiva	Da giovane ho avuto la sfortuna di trovarne una al gusto di vomito e da allora devo dire che per me hanno perso ogni attrattiva...
HPitb1ch17-0077	ambrato	Ma se prendo quella che sembra una bella caramella mou, non dovrei correre rischi... Tu che dici?» Sorrise e si cacciò in bocca una gelatina dal bel colore ambrato.
HPitb1ch17-0078	masticare	Appena l’ebbe masticata, esclamò:
HPitb1ch17-0079	cerume	Cerume!
HPitb1ch17-0080	infermiera	Madame Pomfrey, la capo infermiera, era una donna simpatica ma inflessibile.
HPitb1ch17-0081	inflessibile	Madame Pomfrey, la capo infermiera, era una donna simpatica ma inflessibile.
HPitb1ch17-0082	riposo	Hai bisogno di riposo».
HPitb1ch17-0083	appassionante	«Oh, Harry, eravamo sicuri che tu... Silente era talmente preoccupato...» «Tutta la scuola non parla d’altro» disse Ron, «ma che cosa è successo veramente?» Era uno dei rari casi in cui la storia vera è ancor più strana e appassionante dei pettegolezzi incontrollati.
HPitb1ch17-0084	pettegolezzo	«Oh, Harry, eravamo sicuri che tu... Silente era talmente preoccupato...» «Tutta la scuola non parla d’altro» disse Ron, «ma che cosa è successo veramente?» Era uno dei rari casi in cui la storia vera è ancor più strana e appassionante dei pettegolezzi incontrollati.
HPitb1ch17-0085	incontrollato	«Oh, Harry, eravamo sicuri che tu... Silente era talmente preoccupato...» «Tutta la scuola non parla d’altro» disse Ron, «ma che cosa è successo veramente?» Era uno dei rari casi in cui la storia vera è ancor più strana e appassionante dei pettegolezzi incontrollati.
HPitb1ch17-0086	follia	«Io l’ho sempre detto che è un po’ svitato» disse Ron, che pareva molto colpito dal livello di follia del suo eroe.
HPitb1ch17-0087	rinvenire	«Ho fatto rinvenire Ron, e c’è voluto un bel po’ di tempo... Stavamo correndo su alla guferia per mandare il messaggio a Silente quando lo abbiamo incontrato nella Sala d’Ingresso.
HPitb1ch17-0088	intenzionalmente	«Tu pensi che lui abbia voluto farti fare tutto questo intenzionalmente?
HPitb1ch17-0089	strombazzare	probabilmente ha pensato che era mio diritto affrontare Voldemort, se ce la facevo...» «Sì, Silente lo va strombazzando ai quattro venti» disse Ron tutto orgoglioso.
HPitb1ch17-0090	conteggio	Il conteggio dei punti è stato ultimato e naturalmente i Serpeverde hanno vinto:
HPitb1ch17-0091	ultimare	Il conteggio dei punti è stato ultimato e naturalmente i Serpeverde hanno vinto:
HPitb1ch17-0092	replica	«Siete rimasti quasi quindici minuti, e ora... FUORI!» disse in un tono che non ammetteva repliche.
HPitb1ch17-0093	normalità	Dopo una buona nottata di sonno, Harry si sentì quasi tornato alla normalità.
HPitb1ch17-0094	tavolino	«Voglio andare al banchetto» disse a Madame Pomfrey mentre questa era occupata a rimettere in ordine le molte scatole di dolci sul tavolino.
HPitb1ch17-0095	rischioso	«Posso, no?» «Il professor Silente dice che bisogna dartelo, questo permesso» disse in tono un po’ sdegnoso, come se a parer suo il professor Silente ignorasse quanto potessero essere rischiosi i banchetti.
HPitb1ch17-0096	rimorso	» «Hagrid!» disse Harry scosso, vedendo Hagrid tremare di pena e di rimorso, con i lucciconi che gli rotolavano giù per la barba.
HPitb1ch17-0097	luccicone	» «Hagrid!» disse Harry scosso, vedendo Hagrid tremare di pena e di rimorso, con i lucciconi che gli rotolavano giù per la barba.
HPitb1ch17-0098	sconvolgere	Hagrid rimase talmente sconvolto che smise di piangere.
HPitb1ch17-0099	consolato	Dai, Hagrid, consolati:
HPitb1ch17-0100	vagone	Su, prendi una Cioccorana, ne ho a vagoni...» Hagrid si asciugò il naso con il dorso della mano e disse:
HPitb1ch17-0101	rilegato	Ieri Silente mi ha dato una giornata di libertà per farlo... anche se naturalmente faceva bene a buttarmi fuori... A ogni modo, questo è per te...» Sembrava un bel libro rilegato in cuoio.
HPitb1ch17-0102	ugualmente	» Harry non riusciva a parlare, ma Hagrid capì ugualmente.
HPitb1ch17-0103	assiduo	Era stato trattenuto dalle assidue cure di Madame Pomfrey, che aveva insistito per dargli un’ultima controllata, quindi la Sala Grande era già piena.
HPitb1ch17-0104	controllata	Era stato trattenuto dalle assidue cure di Madame Pomfrey, che aveva insistito per dargli un’ultima controllata, quindi la Sala Grande era già piena.
HPitb1ch17-0105	addobbare	Era addobbata con i colori di Serpeverde, verde e argento, per festeggiare il fatto che aveva vinto la Coppa delle Case per il settimo anno di fila.
HPitb1ch17-0106	stendardo	Un immenso stendardo con il serpente di Serpeverde copriva la parete dietro al tavolo degli insegnanti.
HPitb1ch17-0107	tediare	«E io devo tediarvi con una chiacchierata da vecchio bacucco, prima che possiamo affondare i denti nelle nostre deliziose leccornie.
HPitb1ch17-0108	bacucco	«E io devo tediarvi con una chiacchierata da vecchio bacucco, prima che possiamo affondare i denti nelle nostre deliziose leccornie.
HPitb1ch17-0109	affondare	«E io devo tediarvi con una chiacchierata da vecchio bacucco, prima che possiamo affondare i denti nelle nostre deliziose leccornie.
HPitb1ch17-0110	scalpitio	Un boato di ovazioni e di scalpitio di piedi esplose dal tavolo di Serpeverde.
HPitb1ch17-0111	nausea	Harry vide Draco Malfoy che batteva il suo calice sul tavolo e quella visione gli fece venire la nausea.
HPitb1ch17-0112	considerazione	«Ma ci sono alcuni recenti avvenimenti che vanno presi in considerazione».
HPitb1ch17-0113	ravanello	sembrava un ravanello gravemente ustionato dal sole.
HPitb1ch17-0114	ustionato	sembrava un ravanello gravemente ustionato dal sole.
HPitb1ch17-0115	incantato	Gli applausi dei Grifondoro raggiunsero quasi il soffitto incantato;
HPitb1ch17-0116	eccezionale	«...per il suo sangue freddo e l’eccezionale coraggio, attribuisco a Grifondoro altri sessanta punti!» Il frastuono divenne assordante.
HPitb1ch17-0117	ardimento	«Affrontare i nemici richiede notevole ardimento.
HPitb1ch17-0118	pertanto	E pertanto... attribuisco dieci punti al signor Neville Longbottom».
HPitb1ch17-0119	esplosione	Chi si fosse trovato fuori dalla sala avrebbe potuto credere che ci fosse stata un’esplosione, tanto fu il baccano che scoppiò al tavolo di Grifondoro.
HPitb1ch17-0120	cencio	Harry, Ron e Hermione si erano alzati in piedi gridando e battendo le mani, mentre Neville, bianco come un cencio per lo choc, scompariva sotto un capannello di compagni che cercavano di abbracciarlo.
HPitb1ch17-0121	gomitata	Harry, che stava ancora applaudendo, diede qualche gomitata a Ron indicandogli Malfoy, il quale non avrebbe potuto apparire più stupefatto e inorridito se qualcuno gli avesse fatto la Maledizione Petrificus.
HPitb1ch17-0122	stupefatto	Harry, che stava ancora applaudendo, diede qualche gomitata a Ron indicandogli Malfoy, il quale non avrebbe potuto apparire più stupefatto e inorridito se qualcuno gli avesse fatto la Maledizione Petrificus.
HPitb1ch17-0123	ritoccare	«Ciò significa» riprese Silente sovrastando la tempesta di applausi dei Corvonero e dei Tassofrasso, anche loro al settimo cielo per la sconfitta di Serpeverde, «ciò significa che dovremo ritoccare un po’ quelle decorazioni!»
HPitb1ch17-0124	istantaneamente	Batté le mani e istantaneamente i parati verdi si fecero scarlatti e quelli d’argento divennero d’oro;
HPitb1ch17-0125	parati	Batté le mani e istantaneamente i parati verdi si fecero scarlatti e quelli d’argento divennero d’oro;
HPitb1ch17-0126	rampante	l’enorme serpente di Serpeverde scomparve, lasciando il posto al leone rampante di Grifondoro.
HPitb1ch17-0127	stiracchiato	Piton stringeva la mano alla professoressa McGonagall con stampato in volto un orribile sorriso stiracchiato.
HPitb1ch17-0128	sentimento	Il suo sguardo incrociò quello di Harry e il ragazzo capì all’istante che i sentimenti di Piton verso di lui non erano cambiati di una virgola.
HPitb1ch17-0129	virgola	Il suo sguardo incrociò quello di Harry e il ragazzo capì all’istante che i sentimenti di Piton verso di lui non erano cambiati di una virgola.
HPitb1ch17-0130	promuovere	Con loro grande sorpresa, sia lui che Ron erano stati promossi con buoni voti;
HPitb1ch17-0131	prevedibile	quanto a Hermione, com’era prevedibile, risultò l’alunna migliore dell’anno.
HPitb1ch17-0132	compensare	i buoni voti che aveva preso in Erbologia avevano compensato quelli disastrosi in Pozioni.
HPitb1ch17-0133	disastroso	i buoni voti che aveva preso in Erbologia avevano compensato quelli disastrosi in Pozioni.
HPitb1ch17-0134	acquattare	Improvvisamente poi, un bel giorno, i loro guardaroba si svuotarono, i bauli si riempirono, il rospo di Neville fu trovato acquattato in un angolo dei bagni, e a tutti gli studenti vennero distribuiti avvisi scritti di non usare la magia durante le vacanze («Spero sempre che si dimentichino di darceli» aveva detto Fred Weasley tutto triste).
HPitb1ch17-0135	flottiglia	Hagrid si presentò per accompagnarli giù al lago, dove li attendeva una flottiglia di barche per traghettarli;
HPitb1ch17-0136	traghettare	Hagrid si presentò per accompagnarli giù al lago, dove li attendeva una flottiglia di barche per traghettarli;
HPitb1ch17-0137	rimpinzare	Si rimpinzarono di Gelatine Tuttigusti+1 mentre fuori dal finestrino guardavano sfrecciare le città dei Babbani;
HPitb1ch17-0138	rattrappire	Al passaggio c’era un’anziana guardia rattrappita che li fece uscire a due o tre alla volta, in modo che non attirassero l’attenzione saltando fuori tutti insieme da una solida barriera suscitando allarme fra i Babbani.
HPitb1ch17-0139	allarme	Al passaggio c’era un’anziana guardia rattrappita che li fece uscire a due o tre alla volta, in modo che non attirassero l’attenzione saltando fuori tutti insieme da una solida barriera suscitando allarme fra i Babbani.
HPitb1ch17-0140	rientrare	La gente li urtava mentre procedevano verso il passaggio, pronti a rientrare nel mondo dei Babbani.
HPitb1ch17-0141	rimando	«Ma non dove sono diretto, sta’ pur certo» fece Harry di rimando.
HPitb1ch17-0142	maleducazione	«Guarda, mamma, lo vedo...» «Sta’ zitta, Ginny, è maleducazione segnare a dito le persone».
HPitb1ch17-0143	impegnativo	«Allora, è stato un anno impegnativo?» chiese.
HPitb1ch17-0144	baffuto	«Sei pronto?» Era zio Vernon, paonazzo in volto come sempre, baffuto come sempre, e come sempre arrabbiato per la faccia tosta di Harry, che nel bel mezzo di una stazione affollata di gente comune andava in giro con una civetta in gabbia.
HPitb1ch17-0145	dubbioso	«Spero che tu... ehm... faccia buone vacanze» disse Hermione lanciando un’occhiata dubbiosa a zio Vernon, ancora incredula che qualcuno potesse essere tanto antipatico.
HPitb1ch17-0146	meravigliare	«Ma sicuro» rispose Harry, e i due compagni rimasero meravigliati nel vedergli spuntare in volto un largo sorriso.
