schiaffeggiante  	schiaffeggiare   	IL SALICE SCHIAFFEGGIANTE
frastornato      	frastornato      	Tre secondi... due secondi... un secondo... «È andata» disse Ron frastornato.
paghetta         	paghetta         	«I Dursley non mi danno la paghetta da circa sei anni».
teso             	teso             	«Non si sente niente» disse tutto teso.
starnazzare      	starnazzare      	La gente li stava ancora osservando, soprattutto per via di Edvige che continuava a starnazzare.
aspettarli       	aspettare        	«Penso che sia meglio se andiamo ad aspettarli in macchina» disse Harry.
atten            	attenzion        	«Stiamo attirando troppo l’atten...» «Harry!» esclamò Ron con gli occhi che gli brillavano.
sbrighiamo       	sbrigarsi        	Se ci sbrighiamo riusciremo a seguire l’Hogwarts Express».
fendendo         	fendere          	Si avviarono fendendo la folla di Babbani incuriositi, uscirono dalla stazione e raggiunsero la strada laterale dove era parcheggiata la vecchia Ford Anglia.
incuriositi      	incuriosito      	Si avviarono fendendo la folla di Babbani incuriositi, uscirono dalla stazione e raggiunsero la strada laterale dove era parcheggiata la vecchia Ford Anglia.
capiente         	capiente         	Ron aprì il capiente portabagagli con qualche leggero colpetto di bacchetta.
portabagagli     	portabagagli     	Ron aprì il capiente portabagagli con qualche leggero colpetto di bacchetta.
caricarono       	caricare         	Caricarono di nuovo i bauli, misero Edvige sul sedile posteriore e salirono davanti.
premette         	premettere       	Ron premette un bottoncino d’argento sul cruscotto.
fluttuanti       	fluttuante       	Harry sentiva vibrare il sedile, sentiva il motore, si sentiva le mani poggiate sulle ginocchia e gli occhiali sul naso, ma a quel che poteva vedere era diventato un paio di pupille fluttuanti a pochi metri da terra, in una squallida strada piena di macchine parcheggiate.
parcheggiate     	parcheggiare     	Harry sentiva vibrare il sedile, sentiva il motore, si sentiva le mani poggiate sulle ginocchia e gli occhiali sul naso, ma a quel che poteva vedere era diventato un paio di pupille fluttuanti a pochi metri da terra, in una squallida strada piena di macchine parcheggiate.
anneriti         	annerire         	Il suolo e gli edifici anneriti su entrambi i lati si allontanarono man mano che l’auto si sollevava; nel giro di qualche secondo tutta Londra si stendeva ai loro piedi, fumosa e lucente.
fumosa           	fumoso           	Il suolo e gli edifici anneriti su entrambi i lati si allontanarono man mano che l’auto si sollevava; nel giro di qualche secondo tutta Londra si stendeva ai loro piedi, fumosa e lucente.
visibili         	visibile         	Poi ci fu uno scoppio e l’auto, Harry e Ron ritornarono visibili.
difettoso        	difettoso        	«È difettoso...» Entrambi lo presero a pugni.
riapparve        	riapparire       	Poi riapparve di nuovo.
acceleratore     	acceleratore     	«Tieniti forte!» gridò Ron e premette il piede sull’acceleratore; si infilarono sparati nelle nuvole basse e dense come lana, e tutto diventò opaco e brumoso.
opaco            	opaco            	«Tieniti forte!» gridò Ron e premette il piede sull’acceleratore; si infilarono sparati nelle nuvole basse e dense come lana, e tutto diventò opaco e brumoso.
brumoso          	brumoso          	«Tieniti forte!» gridò Ron e premette il piede sull’acceleratore; si infilarono sparati nelle nuvole basse e dense come lana, e tutto diventò opaco e brumoso.
massa            	massa            	«E ora?» disse Harry sbattendo gli occhi davanti alla massa di nuvole compatte che li avvolgeva da tutte le parti.
perlustrando     	perlustrare      	«Presto, giù in picchiata...» Scesero di nuovo sotto le nuvole e si guardarono intorno, perlustrando a terra.
nord             	nord             	«Rotta nord» disse Ron controllando la bussola sul cruscotto.
nubi             	nube             	Le ruote dell’auto sfioravano il mare di soffici nubi, il cielo era di un blu luminoso e infinito, sotto gli abbaglianti raggi del sole.
preoccuparci     	preoccuparsi     	«L’unica cosa di cui dobbiamo preoccuparci ora sono gli aeroplani» disse Ron.
mulinelli        	mulinello        	Questo, pensava Harry, era certamente il modo migliore di viaggiare: tra mulinelli e torri di nuvole bianche come la neve, comodamente seduti in un’auto baciata da un sole caldo e raggiante, con un pacco di caramelle nel cassetto del cruscotto e la prospettiva di far morire d’invidia Fred e George quando fossero atterrati trionfalmente sul grande prato davanti al castello di Hogwarts.
torri            	torre            	Questo, pensava Harry, era certamente il modo migliore di viaggiare: tra mulinelli e torri di nuvole bianche come la neve, comodamente seduti in un’auto baciata da un sole caldo e raggiante, con un pacco di caramelle nel cassetto del cruscotto e la prospettiva di far morire d’invidia Fred e George quando fossero atterrati trionfalmente sul grande prato davanti al castello di Hogwarts.
cassetto         	cassetto         	Questo, pensava Harry, era certamente il modo migliore di viaggiare: tra mulinelli e torri di nuvole bianche come la neve, comodamente seduti in un’auto baciata da un sole caldo e raggiante, con un pacco di caramelle nel cassetto del cruscotto e la prospettiva di far morire d’invidia Fred e George quando fossero atterrati trionfalmente sul grande prato davanti al castello di Hogwarts.
trionfalmente    	trionfalmente    	Questo, pensava Harry, era certamente il modo migliore di viaggiare: tra mulinelli e torri di nuvole bianche come la neve, comodamente seduti in un’auto baciata da un sole caldo e raggiante, con un pacco di caramelle nel cassetto del cruscotto e la prospettiva di far morire d’invidia Fred e George quando fossero atterrati trionfalmente sul grande prato davanti al castello di Hogwarts.
controllarono    	controllare      	Controllarono regolarmente il percorso del treno, mentre volavano sempre più a nord, e ogni immersione sotto le nuvole mostrava loro un paesaggio diverso.
immersione       	immersione       	Controllarono regolarmente il percorso del treno, mentre volavano sempre più a nord, e ogni immersione sotto le nuvole mostrava loro un paesaggio diverso.
contorni         	contorno         	A Londra, che fu ben presto lontana, si sostituirono i contorni nitidi dei campi verdi, che si avvicendavano alla brughiera selvaggia color violaceo, ai villaggi dalle chiese piccole come giocattoli e alla vista di una grande città brulicante di automobili, come tante formiche dai mille colori.
nitidi           	nitido           	A Londra, che fu ben presto lontana, si sostituirono i contorni nitidi dei campi verdi, che si avvicendavano alla brughiera selvaggia color violaceo, ai villaggi dalle chiese piccole come giocattoli e alla vista di una grande città brulicante di automobili, come tante formiche dai mille colori.
avvicendavano    	avvicendarsi     	A Londra, che fu ben presto lontana, si sostituirono i contorni nitidi dei campi verdi, che si avvicendavano alla brughiera selvaggia color violaceo, ai villaggi dalle chiese piccole come giocattoli e alla vista di una grande città brulicante di automobili, come tante formiche dai mille colori.
brughiera        	brughiera        	A Londra, che fu ben presto lontana, si sostituirono i contorni nitidi dei campi verdi, che si avvicendavano alla brughiera selvaggia color violaceo, ai villaggi dalle chiese piccole come giocattoli e alla vista di una grande città brulicante di automobili, come tante formiche dai mille colori.
chiese           	chiesa           	A Londra, che fu ben presto lontana, si sostituirono i contorni nitidi dei campi verdi, che si avvicendavano alla brughiera selvaggia color violaceo, ai villaggi dalle chiese piccole come giocattoli e alla vista di una grande città brulicante di automobili, come tante formiche dai mille colori.
brulicante       	brulicante       	A Londra, che fu ben presto lontana, si sostituirono i contorni nitidi dei campi verdi, che si avvicendavano alla brughiera selvaggia color violaceo, ai villaggi dalle chiese piccole come giocattoli e alla vista di una grande città brulicante di automobili, come tante formiche dai mille colori.
formiche         	formica          	A Londra, che fu ben presto lontana, si sostituirono i contorni nitidi dei campi verdi, che si avvicendavano alla brughiera selvaggia color violaceo, ai villaggi dalle chiese piccole come giocattoli e alla vista di una grande città brulicante di automobili, come tante formiche dai mille colori.
degni            	degno            	Ma dopo molte ore trascorse senza eventi degni di nota, Harry dovette ammettere che un po’ del divertimento era svanito.
sete             	sete             	Le caramelle gli avevano messo una gran sete e loro non avevano niente da bere.
paffutella       	paffuto          	Le forme fantastiche delle nuvole non gli interessavano più, e pensava con nostalgia al treno che correva qualche miglio sotto di loro, dove una strega paffutella spingeva un carrello da cui si poteva comprare succo di zucca ghiacciato.
succo            	succo            	Le forme fantastiche delle nuvole non gli interessavano più, e pensava con nostalgia al treno che correva qualche miglio sotto di loro, dove una strega paffutella spingeva un carrello da cui si poteva comprare succo di zucca ghiacciato.
ghiacciato       	ghiacciato       	Le forme fantastiche delle nuvole non gli interessavano più, e pensava con nostalgia al treno che correva qualche miglio sotto di loro, dove una strega paffutella spingeva un carrello da cui si poteva comprare succo di zucca ghiacciato.
arrochita        	arrochire        	«Non dovremmo essere molto lontani, non trovi?» disse Ron qualche ora più tardi con voce arrochita, mentre il sole cominciava a sprofondare nelle nuvole sotto di loro, colorandole di rosa intenso.
colorandole      	colorare         	«Non dovremmo essere molto lontani, non trovi?» disse Ron qualche ora più tardi con voce arrochita, mentre il sole cominciava a sprofondare nelle nuvole sotto di loro, colorandole di rosa intenso.
vetta            	vetta            	«Sei pronto per un altro controllo al treno?» L’Hogwarts Express era ancora sotto di loro e arrancava lungo il percorso tortuoso che oltrepassava una montagna con la vetta coperta di neve.
affaticato       	affaticato       	«Probabilmente è solo affaticato» disse Ron.
cigolio          	cigolio          	«Non ha mai percorso distanze di questo genere prima d’ora...» Ed entrambi finsero di non accorgersi del cigolio che andava aumentando, mentre il cielo si oscurava sempre più.
oscurava         	oscurare         	«Non ha mai percorso distanze di questo genere prima d’ora...» Ed entrambi finsero di non accorgersi del cigolio che andava aumentando, mentre il cielo si oscurava sempre più.
tergicristalli   	tergicristallo   	Harry si rimise il maglione, cercando di ignorare che ora i tergicristalli si muovevano debolmente, in segno di protesta.
manca            	manca            	«Manca poco» disse Ron più alla macchina che a Harry.
ripeté           	ripetere         	«Manca poco ormai» ripeté battendo nervosamente qualche colpetto sul cruscotto.
riferimento      	riferimento      	Qualche minuto dopo, quando scesero nuovamente sotto le nuvole, dovettero aguzzare la vista per intravedere nelle tenebre un punto di riferimento noto.
traballare       	traballare       	Ma l’auto aveva cominciato a traballare e a perdere velocità.
incitò           	incitare         	«Dai, su» la incitò Ron con fare persuasivo, dando una piccola scossa al volante, «dai, ci siamo quasi...» Il motore gemette.
persuasivo       	persuasivo       	«Dai, su» la incitò Ron con fare persuasivo, dando una piccola scossa al volante, «dai, ci siamo quasi...» Il motore gemette.
cofano           	cofano           	Da sotto il cofano uscivano sottili getti di vapore.

cristallina      	cristallino      	Guardando giù dal finestrino, a circa un chilometro e mezzo sotto di loro, Harry vide la superficie dell’acqua liscia, nera e cristallina.
sorvolavano      	sorvolavano      	Sorvolavano il lago... il castello era davanti a loro... Ron pigiò sull’acceleratore.
pigiò            	pigiare          	Sorvolavano il lago... il castello era davanti a loro... Ron pigiò sull’acceleratore.
ferraglie        	ferraglia        	Ci fu un rumore di ferraglie, un crepitio e il motore si spense del tutto.
crepitio         	crepitio         	Ci fu un rumore di ferraglie, un crepitio e il motore si spense del tutto.
spense           	spense           	Ci fu un rumore di ferraglie, un crepitio e il motore si spense del tutto.
precipitavano    	precipitavano    	Precipitavano e acquistavano velocità:
muraglia         	muraglia         	andavano dritti contro la massiccia muraglia del castello.
evitarono        	evitarono        	Evitarono per un pelo la muraglia di pietra nera e la macchina descrisse un grande arco, volteggiando sopra le serre, poi sopra l’orto e poi ancora più in là, sui prati bui, sempre perdendo quota.
descrisse        	descrirre        	Evitarono per un pelo la muraglia di pietra nera e la macchina descrisse un grande arco, volteggiando sopra le serre, poi sopra l’orto e poi ancora più in là, sui prati bui, sempre perdendo quota.
orto             	orto             	Evitarono per un pelo la muraglia di pietra nera e la macchina descrisse un grande arco, volteggiando sopra le serre, poi sopra l’orto e poi ancora più in là, sui prati bui, sempre perdendo quota.
colpendo         	colpere          	gridò colpendo il cruscotto e il parabrezza, ma la picchiata non si arrestò e il suolo sottostante continuò a venir loro incontro vorticosamente.
bang             	bang             	«ATTENTO A QUELL’ALBERO!» gridò Harry, cercando di afferrare il volante, ma troppo tardi... BANG!
colpirono        	colpirono        	Colpirono il grosso tronco con uno schianto metallico assordante e piombarono a terra con un gran sobbalzo.
fiotti           	fiotto           	Dal cofano accartocciato usciva vapore a fiotti;
scheggia         	scheggia         	la punta ciondolava inerte, tenuta insieme da qualche scheggia di legno.
aggiustargliela  	aggiustargliela  	Harry aprì bocca per dire che certamente a scuola avrebbero saputo aggiustargliela, ma non riuscì a pronunciare neanche una parola.
abbatteva        	abbattere        	» Ron sussultò guardando attraverso il parabrezza e Harry si voltò appena in tempo per vedere un ramo grosso quanto un pitone che si abbatteva sull’auto.
percuotevano     	percuotere       	Aveva il tronco piegato in due e i suoi rami nodosi percuotevano ogni centimetro quadrato dell’automobile.
quadrato         	quadrato         	Aveva il tronco piegato in due e i suoi rami nodosi percuotevano ogni centimetro quadrato dell’automobile.

ammaccava        	ammaccare        	«AAAH!» gridò Ron mentre un altro ramo contorto ammaccava malamente una portiera;
raffica          	raffica          	ora il parabrezza tremava sotto la raffica dei colpi e un secondo ramo grosso quanto un ariete martellava furiosamente il tetto, che sembrava sul punto di sfondarsi.
ariete           	ariete           	ora il parabrezza tremava sotto la raffica dei colpi e un secondo ramo grosso quanto un ariete martellava furiosamente il tetto, che sembrava sul punto di sfondarsi.
sfondarsi        	sfondare si      	ora il parabrezza tremava sotto la raffica dei colpi e un secondo ramo grosso quanto un ariete martellava furiosamente il tetto, che sembrava sul punto di sfondarsi.
diamocela        	diamocela        	«Diamocela a gambe!» gridò Ron buttandosi di peso contro la portiera dalla sua parte;
vigoroso         	vigoroso         	ma un attimo dopo era stato scagliato indietro tra le braccia di Harry da un pugno vigoroso sferratogli da un altro ramo.
sferratogli      	sferratoglio     	ma un attimo dopo era stato scagliato indietro tra le braccia di Harry da un pugno vigoroso sferratogli da un altro ramo.
pianale          	pianale          	ma tutt’a un tratto il pianale dell’auto cominciò a vibrare:
riacceso         	riaccendere      	il motore si era riacceso.
ingrana          	ingrana          	«Ingrana la retromarcia!
colpirli         	colpire li       	L’albero stava ancora cercando di colpirli;
svellersi        	svellere si      	udivano le sue radici scricchiolare come se avesse voluto svellersi dal suolo, e continuava a menare fendenti, mentre i ragazzi cercavano di mettersi in salvo.
fendenti         	fendento         	udivano le sue radici scricchiolare come se avesse voluto svellersi dal suolo, e continuava a menare fendenti, mentre i ragazzi cercavano di mettersi in salvo.
stremo           	stremo           	Ma l’auto era giunta ormai allo stremo.
sbalzato         	sbalzare         	Con due schiocchi le portiere si spalancarono e Harry sentì che il suo sedile veniva sbalzato di lato.
fumante          	fumante          	Poi, tutta ammaccata, scorticata e fumante, l’automobile si immerse rombando nell’oscurità, con le luci posteriori che lampeggiavano di collera.
immerse          	immerse          	Poi, tutta ammaccata, scorticata e fumante, l’automobile si immerse rombando nell’oscurità, con le luci posteriori che lampeggiavano di collera.
rombando         	rombira          	Poi, tutta ammaccata, scorticata e fumante, l’automobile si immerse rombando nell’oscurità, con le luci posteriori che lampeggiavano di collera.
collera          	collera          	Poi, tutta ammaccata, scorticata e fumante, l’automobile si immerse rombando nell’oscurità, con le luci posteriori che lampeggiavano di collera.
ammazzerà        	ammazziare       	«Papà mi ammazzerà!»
sbuffo           	sbuffo           	Ma quella scomparve con un ultimo sbuffo dal tubo di scappamento.
scappamento      	scappamento      	Ma quella scomparve con un ultimo sbuffo dal tubo di scappamento.
sardonico        	sardonico        	«Certo che siamo proprio fortunati!» disse Ron sardonico chinandosi a raccogliere Crosta, il suo topo.
schiantarci      	schiantare ci    	«Di tutti gli alberi contro cui potevamo schiantarci dovevamo scegliere proprio quello che poteva schiantare noi!» Si voltò a guardare l’annosa pianta che ancora agitava minacciosamente i suoi rami.
annosa           	annoso           	«Di tutti gli alberi contro cui potevamo schiantarci dovevamo scegliere proprio quello che poteva schiantare noi!» Si voltò a guardare l’annosa pianta che ancora agitava minacciosamente i suoi rami.
raggiungiamo     	raggiungiamo     	«Dai» disse Harry con voce stanca, «è meglio che raggiungiamo la scuola...» Non fu proprio l’arrivo trionfale che avevano immaginato.
trionfale        	trionfale        	«Dai» disse Harry con voce stanca, «è meglio che raggiungiamo la scuola...» Non fu proprio l’arrivo trionfale che avevano immaginato.
indolenziti      	indolenziti      	Indolenziti, infreddoliti e pieni di lividi, presero i loro bauli e cominciarono a trascinarli su per il pendio erboso, verso il portone di quercia dell’entrata principale.
trascinarli      	trascinare li    	Indolenziti, infreddoliti e pieni di lividi, presero i loro bauli e cominciarono a trascinarli su per il pendio erboso, verso il portone di quercia dell’entrata principale.
pendio           	pendio           	Indolenziti, infreddoliti e pieni di lividi, presero i loro bauli e cominciarono a trascinarli su per il pendio erboso, verso il portone di quercia dell’entrata principale.
sbirciarono      	sbirciarire      	Harry lo raggiunse di corsa e insieme sbirciarono nella Sala Grande.
innumerevoli     	innumerevoli     	Innumerevoli candele galleggiavano a mezz’aria sopra quattro lunghi tavoli riccamente apparecchiati;
apparecchiati    	apparecchiati    	Innumerevoli candele galleggiavano a mezz’aria sopra quattro lunghi tavoli riccamente apparecchiati;
incantato        	incantare        	In alto, il soffitto incantato che rispecchiava la volta celeste era tutto sfavillante di stelle.
rispecchiava     	rispecchiare     	In alto, il soffitto incantato che rispecchiava la volta celeste era tutto sfavillante di stelle.
sfavillante      	sfavillante      	In alto, il soffitto incantato che rispecchiava la volta celeste era tutto sfavillante di stelle.
spaurita         	spaurito         	Attraverso il mare di cappelli neri a punta dell’uniforme di Hogwarts, Harry vide una lunga fila di allievi del primo anno dall’aria spaurita che stava facendo il suo ingresso.
riconoscibile    	riconoscibile    	Tra questi c’era Ginny, riconoscibile per via dei capelli color rosso Weasley.
occhialuta       	occhialutare     	Nel frattempo la professoressa McGonagall, una strega occhialuta con i capelli raccolti in uno stretto chignon, sistemava il famoso Cappello Parlante su uno sgabello di fronte ai nuovi arrivati.
arrivati         	arrivato         	Nel frattempo la professoressa McGonagall, una strega occhialuta con i capelli raccolti in uno stretto chignon, sistemava il famoso Cappello Parlante su uno sgabello di fronte ai nuovi arrivati.
millenario       	millenario       	Ogni anno quel millenario cappello, tutto rappezzato, consunto e lercio, assegnava i nuovi studenti alle quattro Case di Hogwarts (Grifondoro, Tassofrasso, Corvonero e Serpeverde).
rappezzato       	rappezzare       	Ogni anno quel millenario cappello, tutto rappezzato, consunto e lercio, assegnava i nuovi studenti alle quattro Case di Hogwarts (Grifondoro, Tassofrasso, Corvonero e Serpeverde).
lercio           	lercio           	Ogni anno quel millenario cappello, tutto rappezzato, consunto e lercio, assegnava i nuovi studenti alle quattro Case di Hogwarts (Grifondoro, Tassofrasso, Corvonero e Serpeverde).
commenti         	commento         	Harry ricordava bene quando lo aveva indossato lui, esattamente un anno prima, ed era rimasto impalato, ad aspettare la sua decisione, mentre quello gli bofonchiava all’orecchio i suoi commenti.
acquamarina      	acquamarino      	Seduto qualche posto più in là, Harry vide Gilderoy Lockhart, che indossava una veste color acquamarina.
villoso          	villoso          	E all’estremità del tavolo c’era Hagrid, immenso e villoso, intento a bere avidamente dal suo calice.
malato           	malare           	«Forse è malato!» disse Ron tutto speranzoso.
echeggiante      	echeggiante      	Senza osare guardarsi, i due ragazzi lo seguirono su per le scale e poi nell’enorme echeggiante ingresso illuminato da torce fiammeggianti.
diffondeva       	diffondere       	Dalla Sala Grande si diffondeva un delizioso profumo di vivande, ma Piton li sottrasse al tepore e alla luce e li condusse giù per una stretta scala di pietra che portava ai sotterranei.
vivande          	vivanda          	Dalla Sala Grande si diffondeva un delizioso profumo di vivande, ma Piton li sottrasse al tepore e alla luce e li condusse giù per una stretta scala di pietra che portava ai sotterranei.
sottrasse        	sottrare         	Dalla Sala Grande si diffondeva un delizioso profumo di vivande, ma Piton li sottrasse al tepore e alla luce e li condusse giù per una stretta scala di pietra che portava ai sotterranei.
tepore           	tepore           	Dalla Sala Grande si diffondeva un delizioso profumo di vivande, ma Piton li sottrasse al tepore e alla luce e li condusse giù per una stretta scala di pietra che portava ai sotterranei.
aprendo          	aprere           	«Dentro!» ordinò aprendo una porta che si trovava a metà del gelido passaggio e facendo segno con la mano.
rabbrividendo    	rabbrividere     	Rabbrividendo, i due entrarono nell’ufficio di Piton.
spettrali        	spettrale        	Sulle pareti spettrali erano allineati scaffali carichi di grossi vasi di vetro nei quali galleggiavano oggetti rivoltanti di ogni genere, di cui, al momento, Harry non voleva proprio sapere il nome.
rivoltanti       	rivoltanto       	Sulle pareti spettrali erano allineati scaffali carichi di grossi vasi di vetro nei quali galleggiavano oggetti rivoltanti di ogni genere, di cui, al momento, Harry non voleva proprio sapere il nome.
squadrarli       	squadrare li     	Piton chiuse la porta e si voltò a squadrarli.
compare          	compare          	«E così» disse in tono mellifluo, «il treno non è degno di portare il famoso Harry Potter e il suo fedele compare Weasley.
volevamo         	volevamo         	Volevamo fare un arrivo spettacolare, non è vero, signorini?
edizione         	edizione         	Ma un attimo dopo, quando Piton aprì l’edizione serale della Gazzetta del Profeta, comprese tutto.
serale           	serale           	Ma un attimo dopo, quando Piton aprì l’edizione serale della Gazzetta del Profeta, comprese tutto.
sconcerta        	sconcerta        	UNA FORD ANGLIA VOLANTE SCONCERTA I BABBANI.
mezzogiorno      	mezzogiorno      	«‘Due Babbani, a Londra, affermano di aver visto una vecchia automobile volare sopra la torre dell’ufficio postale... a mezzogiorno, a Norfolk, la signora Hetty Bayliss, mentre stava stendendo il bucato... il signor Angus Fleet, di Peebles, ha riferito alla polizia...’ Sei o sette Babbani in tutto.
norfolk          	norfolk          	«‘Due Babbani, a Londra, affermano di aver visto una vecchia automobile volare sopra la torre dell’ufficio postale... a mezzogiorno, a Norfolk, la signora Hetty Bayliss, mentre stava stendendo il bucato... il signor Angus Fleet, di Peebles, ha riferito alla polizia...’ Sei o sette Babbani in tutto.
hetty            	hetty            	«‘Due Babbani, a Londra, affermano di aver visto una vecchia automobile volare sopra la torre dell’ufficio postale... a mezzogiorno, a Norfolk, la signora Hetty Bayliss, mentre stava stendendo il bucato... il signor Angus Fleet, di Peebles, ha riferito alla polizia...’ Sei o sette Babbani in tutto.
bayliss          	bayliss          	«‘Due Babbani, a Londra, affermano di aver visto una vecchia automobile volare sopra la torre dell’ufficio postale... a mezzogiorno, a Norfolk, la signora Hetty Bayliss, mentre stava stendendo il bucato... il signor Angus Fleet, di Peebles, ha riferito alla polizia...’ Sei o sette Babbani in tutto.
