HPitb2ch03-0001	tana	LA TANA
HPitb2ch03-0037	bussola	Stai virando troppo a ovest, Fred» soggiunse, indicando una bussola sul cruscotto.
HPitb2ch03-0038	cruscotto	Stai virando troppo a ovest, Fred» soggiunse, indicando una bussola sul cruscotto.
HPitb2ch03-0039	garage	Se siamo fortunati riusciremo a rimetterla in garage senza che mamma si accorga che l’abbiamo fatta volare».
HPitb2ch03-0040	divisione	«Lavora nella divisione più noiosa» disse Ron.
HPitb2ch03-0041	manufatto	«L’Ufficio per l’Uso Improprio dei Manufatti dei Babbani».
HPitb2ch03-0042	antiquariato	L’anno scorso, per esempio, è morta una vecchia strega e il suo servizio da tè è stato venduto a un negozio di antiquariato.
HPitb2ch03-0043	pinza	Un signore è finito in ospedale con le pinze per lo zucchero appese al naso.
HPitb2ch03-0044	capanno	«Sì, papà va matto per tutto quel che riguarda i Babbani; abbiamo il capanno pieno zeppo di aggeggi che provengono dal loro mondo.
HPitb2ch03-0045	smontare	Lui li smonta, ci mette dentro qualche incantesimo e poi li rimonta.
HPitb2ch03-0046	rimontare	Lui li smonta, ci mette dentro qualche incantesimo e poi li rimonta.
HPitb2ch03-0047	ispezione	Se facesse un’ispezione in casa nostra dovrebbe mettersi subito agli arresti.
HPitb2ch03-0048	arresto	Se facesse un’ispezione in casa nostra dovrebbe mettersi subito agli arresti.
HPitb2ch03-0049	parabrezza	«Quella è la strada principale» disse George guardando in giù attraverso il parabrezza.
HPitb2ch03-0050	albeggiare	«Tra dieci minuti siamo arrivati... meno male, sta albeggiando...» Un pallido bagliore rosato era visibile all’orizzonte, verso oriente.
HPitb2ch03-0051	rosato	«Tra dieci minuti siamo arrivati... meno male, sta albeggiando...» Un pallido bagliore rosato era visibile all’orizzonte, verso oriente.
HPitb2ch03-0052	oriente	«Tra dieci minuti siamo arrivati... meno male, sta albeggiando...» Un pallido bagliore rosato era visibile all’orizzonte, verso oriente.
HPitb2ch03-0053	mosaico	Fred scese di quota e Harry scorse nell’oscurità un mosaico di campi e boschi.
HPitb2ch03-0054	sobbalzo	«Ci siamo!» disse Fred quando, con un lieve sobbalzo, ebbero toccato il suolo.
HPitb2ch03-0055	porcile	Aveva l’aria di essere stata, un tempo, un grosso porcile di pietra, ma qua e là erano state aggiunte delle stanze per un’altezza di diversi piani e, così contorta, la costruzione sembrava proprio reggersi in piedi per magia (il che, come Harry rammentò a se stesso, era probabilmente vero).
HPitb2ch03-0056	costruzione	Aveva l’aria di essere stata, un tempo, un grosso porcile di pietra, ma qua e là erano state aggiunte delle stanze per un’altezza di diversi piani e, così contorta, la costruzione sembrava proprio reggersi in piedi per magia (il che, come Harry rammentò a se stesso, era probabilmente vero).
HPitb2ch03-0057	rammentare	Aveva l’aria di essere stata, un tempo, un grosso porcile di pietra, ma qua e là erano state aggiunte delle stanze per un’altezza di diversi piani e, così contorta, la costruzione sembrava proprio reggersi in piedi per magia (il che, come Harry rammentò a se stesso, era probabilmente vero).
HPitb2ch03-0058	sbilenco	Su un’insegna sbilenca fissata a terra, vicino all’entrata, si leggeva: ‘La Tana’.
HPitb2ch03-0059	rinfusa	Dietro alla porta principale, alla rinfusa, erano ammucchiati degli stivaloni di gomma e un calderone tutto arrugginito.
HPitb2ch03-0060	arrugginito	Dietro alla porta principale, alla rinfusa, erano ammucchiati degli stivaloni di gomma e un calderone tutto arrugginito.
HPitb2ch03-0061	pasciuto	Diverse galline marroni ben pasciute andavano beccando qua e là per l’aia.
HPitb2ch03-0062	aia	Diverse galline marroni ben pasciute andavano beccando qua e là per l’aia.
HPitb2ch03-0063	magnifico	«Ma è magnifica!» esclamò Harry felice, pensando a Privet Drive.
HPitb2ch03-0064	scompiglio	La signora Weasley stava attraversando il cortile a passo di marcia, gettando lo scompiglio tra i polli, e per quanto fosse una donna bassa, rotondetta e dal viso gentile, in quel momento assomigliava notevolmente a una tigre dai denti a sciabola.
HPitb2ch03-0065	notevolmente	La signora Weasley stava attraversando il cortile a passo di marcia, gettando lo scompiglio tra i polli, e per quanto fosse una donna bassa, rotondetta e dal viso gentile, in quel momento assomigliava notevolmente a una tigre dai denti a sciabola.
HPitb2ch03-0066	tigre	La signora Weasley stava attraversando il cortile a passo di marcia, gettando lo scompiglio tra i polli, e per quanto fosse una donna bassa, rotondetta e dal viso gentile, in quel momento assomigliava notevolmente a una tigre dai denti a sciabola.
HPitb2ch03-0067	sciabola	La signora Weasley stava attraversando il cortile a passo di marcia, gettando lo scompiglio tra i polli, e per quanto fosse una donna bassa, rotondetta e dal viso gentile, in quel momento assomigliava notevolmente a una tigre dai denti a sciabola.
HPitb2ch03-0068	grembiule	Indossava un grembiule a fiori e una bacchetta le sporgeva dalla tasca.
HPitb2ch03-0069	accattivare	«...’Giorno mamma» salutò George con quella che evidentemente considerava una voce disinvolta e accattivante.
HPitb2ch03-0070	schiantarsi	«Letti vuoti! Neanche un biglietto... L’auto sparita... Potevate esservi schiantati...
HPitb2ch03-0071	angoscia	Ero fuori di me dall’angoscia... Ma a voi cosa importava?
HPitb2ch03-0072	ingombro	La cucina era piccola e piuttosto ingombra.
HPitb2ch03-0073	accatastare	Sulla mensola del camino, uno sopra l’altro, erano accatastati libri con titoli come Incantate il vostro formaggio, Incantesimi da forno, e Banchetti in un minuto: questa sì che è magia!
HPitb2ch03-0074	incantare	Sulla mensola del camino, uno sopra l’altro, erano accatastati libri con titoli come Incantate il vostro formaggio, Incantesimi da forno, e Banchetti in un minuto: questa sì che è magia!
HPitb2ch03-0075	radio	E a meno che le orecchie di Harry non lo ingannassero, la vecchia radio vicino al lavandino aveva appena annunciato «L’ora della magia, con la maga del pop Celestina Warbeck».
HPitb2ch03-0076	maga	E a meno che le orecchie di Harry non lo ingannassero, la vecchia radio vicino al lavandino aveva appena annunciato «L’ora della magia, con la maga del pop Celestina Warbeck».
HPitb2ch03-0077	pop	E a meno che le orecchie di Harry non lo ingannassero, la vecchia radio vicino al lavandino aveva appena annunciato «L’ora della magia, con la maga del pop Celestina Warbeck».
HPitb2ch03-0078	regolamentare	«Volare con una macchina non regolamentare per tutto il Paese... chiunque avrebbe potuto vedervi...» Poi, con noncuranza, agitò la bacchetta verso i piatti da lavare nel lavandino e quelli cominciarono a pulirsi da soli, con un lieve tintinnio di sottofondo.
HPitb2ch03-0079	pulirsi	«Volare con una macchina non regolamentare per tutto il Paese... chiunque avrebbe potuto vedervi...» Poi, con noncuranza, agitò la bacchetta verso i piatti da lavare nel lavandino e quelli cominciarono a pulirsi da soli, con un lieve tintinnio di sottofondo.
HPitb2ch03-0080	sottofondo	«Volare con una macchina non regolamentare per tutto il Paese... chiunque avrebbe potuto vedervi...» Poi, con noncuranza, agitò la bacchetta verso i piatti da lavare nel lavandino e quelli cominciarono a pulirsi da soli, con un lieve tintinnio di sottofondo.
HPitb2ch03-0081	lievemente	«Lo stesso vale per te!» disse la signora Weasley, ma fu con un’espressione lievemente addolcita che cominciò a tagliare il pane per Harry e a imburrarglielo.
HPitb2ch03-0082	addolcire	«Lo stesso vale per te!» disse la signora Weasley, ma fu con un’espressione lievemente addolcita che cominciò a tagliare il pane per Harry e a imburrarglielo.
HPitb2ch03-0083	imburrare	«Lo stesso vale per te!» disse la signora Weasley, ma fu con un’espressione lievemente addolcita che cominciò a tagliare il pane per Harry e a imburrarglielo.
HPitb2ch03-0084	camicia	In quel momento una figuretta dai capelli rossi e dalla lunga camicia da notte comparve in cucina, lanciò un gridolino e corse via di nuovo.
HPitb2ch03-0085	autografo	«Sì, vedrai che ti chiederà l’autografo, Harry» commentò Fred ridendo, ma poi, cogliendo l’occhiata di sua madre, chinò la faccia sul piatto senza più dire una parola.
HPitb2ch03-0086	sorprendentemente	Regnò il silenzio fino a che tutti e quattro i piatti non furono puliti, il che richiese un tempo sorprendentemente breve.
HPitb2ch03-0087	coltello	«Mamma mia, quanto sono stanco» sbadigliò Fred posando coltello e forchetta.
HPitb2ch03-0088	forchetta	«Mamma mia, quanto sono stanco» sbadigliò Fred posando coltello e forchetta.
HPitb2ch03-0089	rottame	«Non sei stato tu a chiedergli di far volare quel rottame di macchina».
HPitb2ch03-0090	elaborato	In elaborate lettere d’oro c’era scritto: ‘Guida alla disinfestazione domestica, di Gilderoy Lockhart’.
HPitb2ch03-0091	disinfestazione	In elaborate lettere d’oro c’era scritto: ‘Guida alla disinfestazione domestica, di Gilderoy Lockhart’.
HPitb2ch03-0092	campeggiare	Vi campeggiava inoltre una grande foto di un mago molto avvenente, con i capelli biondi ondulati e due luminosi occhi azzurri.
HPitb2ch03-0093	avvenente	Vi campeggiava inoltre una grande foto di un mago molto avvenente, con i capelli biondi ondulati e due luminosi occhi azzurri.
HPitb2ch03-0094	ondulato	Vi campeggiava inoltre una grande foto di un mago molto avvenente, con i capelli biondi ondulati e due luminosi occhi azzurri.
HPitb2ch03-0095	sfrontato	Come sempre la foto era animata; il mago, che Harry immaginò essere Gilderoy Lockhart, ammiccava a tutti loro in modo sfrontato.
HPitb2ch03-0096	cotta	«Nessuno è più esperto di disinfestazioni, è un libro meraviglioso...» «Mamma ha una cotta per lui» disse Fred con un bisbiglio ben udibile.
HPitb2ch03-0097	udibile	«Nessuno è più esperto di disinfestazioni, è un libro meraviglioso...» «Mamma ha una cotta per lui» disse Fred con un bisbiglio ben udibile.
HPitb2ch03-0098	corrispondere	Harry li seguì: il giardino era grande e corrispondeva esattamente alla sua idea di giardino.
HPitb2ch03-0099	stagno	Ai Dursley non sarebbe piaciuto: era pieno di erbacce e aveva urgente bisogno di una sistemata, ma tutt’intorno al muro di cinta c’erano alberi nodosi, dalle aiuole spuntavano piante che Harry non aveva mai visto e c’era un grosso stagno verde pieno di ranocchie.
HPitb2ch03-0100	ranocchio	Ai Dursley non sarebbe piaciuto: era pieno di erbacce e aveva urgente bisogno di una sistemata, ma tutt’intorno al muro di cinta c’erano alberi nodosi, dalle aiuole spuntavano piante che Harry non aveva mai visto e c’era un grosso stagno verde pieno di ranocchie.
HPitb2ch03-0101	peonia	«Sì, li ho visti quei cosi che loro scambiano per gnomi» disse Ron con la testa infilata in un cespuglio di peonie.
HPitb2ch03-0102	babbo	«Come tanti piccoli e grassi Babbo Natale con la canna da pesca...» Si udì un violento rumore di zuffa, il cespuglio di peonie tremò tutto e Ron si raddrizzò:
HPitb2ch03-0103	pesca	«Come tanti piccoli e grassi Babbo Natale con la canna da pesca...» Si udì un violento rumore di zuffa, il cespuglio di peonie tremò tutto e Ron si raddrizzò:
HPitb2ch03-0104	zuffa	«Come tanti piccoli e grassi Babbo Natale con la canna da pesca...» Si udì un violento rumore di zuffa, il cespuglio di peonie tremò tutto e Ron si raddrizzò:
HPitb2ch03-0105	torvo	«Questo è uno gnomo» disse torvo.
HPitb2ch03-0106	coriaceo	Era piccolo e coriaceo, con una grossa testa calva e bitorzoluta, tale e quale a una patata.
HPitb2ch03-0107	lazo	Sollevò lo gnomo sopra la testa («Mollami!») e lo fece roteare in aria come un lazo, descrivendo grandi cerchi.
HPitb2ch03-0108	stordire	«Non si fanno male... Ma bisogna stordirli in modo che non ritrovino la strada per le loro tane».
HPitb2ch03-0109	ceppo	«Scommetto che io riesco a lanciare il mio oltre quel ceppo».
HPitb2ch03-0110	indecisione	Stava per lanciare al di là della siepe il primo che aveva preso, ma lo gnomo, avvertendo la sua indecisione, gli affondò i denti affilati come rasoi nel dito e Harry fece fatica a scrollarselo di dosso fino a che... «Ehi, Harry... devi averlo tirato a più di quindici metri...» Ben presto l’aria fu annebbiata da gnomi volanti.
HPitb2ch03-0111	rasoio	Stava per lanciare al di là della siepe il primo che aveva preso, ma lo gnomo, avvertendo la sua indecisione, gli affondò i denti affilati come rasoi nel dito e Harry fece fatica a scrollarselo di dosso fino a che... «Ehi, Harry... devi averlo tirato a più di quindici metri...» Ben presto l’aria fu annebbiata da gnomi volanti.
HPitb2ch03-0112	annebbiare	Stava per lanciare al di là della siepe il primo che aveva preso, ma lo gnomo, avvertendo la sua indecisione, gli affondò i denti affilati come rasoi nel dito e Harry fece fatica a scrollarselo di dosso fino a che... «Ehi, Harry... devi averlo tirato a più di quindici metri...» Ben presto l’aria fu annebbiata da gnomi volanti.
HPitb2ch03-0113	frotta	Poco dopo, frotte di gnomi con le piccole spalle ricurve cominciarono ad allontanarsi dal giardino in ordine sparso.
HPitb2ch03-0114	indulgente	«Ci stanno bene qui... Papà è troppo indulgente con loro, li trova divertenti...» In quel momento si udì sbattere la porta di ingresso.
HPitb2ch03-0115	impolverare	Indossava un lungo abito verde, tutto impolverato e sgualcito dal viaggio.
HPitb2ch03-0116	sgualcito	Indossava un lungo abito verde, tutto impolverato e sgualcito dal viaggio.
HPitb2ch03-0117	sopralluogo	«Nove sopralluoghi. Nove! E il vecchio Mundungus Fletcher ha cercato di scagliarmi addosso un maleficio mentre ero girato dall’altra parte...» Il signor Weasley bevve una lunga sorsata di tè e sospirò.
HPitb2ch03-0118	maleficio	«Nove sopralluoghi. Nove! E il vecchio Mundungus Fletcher ha cercato di scagliarmi addosso un maleficio mentre ero girato dall’altra parte...» Il signor Weasley bevve una lunga sorsata di tè e sospirò.
HPitb2ch03-0119	competenza	«Abbiamo visto anche roba molto sospetta, ma per fortuna non era di mia competenza.
HPitb2ch03-0120	furetto	Mortlake è stato portato via per essere interrogato su alcuni stranissimi furetti, ma questo, grazie al cielo, riguarda il Comitato per gli Incantesimi Sperimentali...» «Perché uno si dovrebbe prendere la briga di far rimpicciolire delle chiavi?» chiese George.
HPitb2ch03-0121	comitato	Mortlake è stato portato via per essere interrogato su alcuni stranissimi furetti, ma questo, grazie al cielo, riguarda il Comitato per gli Incantesimi Sperimentali...» «Perché uno si dovrebbe prendere la briga di far rimpicciolire delle chiavi?» chiese George.
HPitb2ch03-0122	sperimentale	Mortlake è stato portato via per essere interrogato su alcuni stranissimi furetti, ma questo, grazie al cielo, riguarda il Comitato per gli Incantesimi Sperimentali...» «Perché uno si dovrebbe prendere la briga di far rimpicciolire delle chiavi?» chiese George.
HPitb2ch03-0123	briga	Mortlake è stato portato via per essere interrogato su alcuni stranissimi furetti, ma questo, grazie al cielo, riguarda il Comitato per gli Incantesimi Sperimentali...» «Perché uno si dovrebbe prendere la briga di far rimpicciolire delle chiavi?» chiese George.
HPitb2ch03-0124	benedetto	Benedetta gente, farebbero qualsiasi cosa per far finta che la magia non esiste, anche quando ce l’hanno sotto il naso... D’altra parte, è da non credersi la roba su cui i nostri fanno gli incantesimi...» «COME LE AUTOMOBILI, PER ESEMPIO?» La signora Weasley era comparsa brandendo un lungo attizzatoio come fosse una spada.
HPitb2ch03-0125	dardeggiare	«Proprio così, macchine, Arthur» replicò la signora Weasley con gli occhi dardeggianti.
HPitb2ch03-0126	scappatoia	«Arthur Weasley, quando hai scritto quella legge hai fatto in modo che ci fosse una scappatoia!
HPitb2ch03-0127	armeggiare	«Così potevi continuare ad armeggiare nel tuo capanno con tutto quel ciarpame babbano!
HPitb2ch03-0128	ciarpame	«Così potevi continuare ad armeggiare nel tuo capanno con tutto quel ciarpame babbano!
HPitb2ch03-0129	favilla	«Ed è andato tutto bene? V-voglio dire» balbettò mentre gli occhi di sua moglie mandavano faville, «a-avete f-fatto m- molto male, ragazzi... molto molto male...» «Lasciamoli a sbrogliarsela da soli» bisbigliò Ron a Harry, mentre la signora Weasley si gonfiava come un tacchino.
HPitb2ch03-0130	sbrogliarsi	«Ed è andato tutto bene? V-voglio dire» balbettò mentre gli occhi di sua moglie mandavano faville, «a-avete f-fatto m- molto male, ragazzi... molto molto male...» «Lasciamoli a sbrogliarsela da soli» bisbigliò Ron a Harry, mentre la signora Weasley si gonfiava come un tacchino.
HPitb2ch03-0131	timido	«È strano che sia così timida. Di solito non sta mai zitta...»
HPitb2ch03-0132	scrostare	Salirono altre due rampe, fino a raggiungere una porta tutta scrostata con una targa che diceva ‘Stanza di Ronald’.
HPitb2ch03-0133	spiovente	Harry entrò, sfiorando con la testa il soffitto spiovente, e sbatté le palpebre: era come entrare in una fornace.
HPitb2ch03-0134	fornace	Harry entrò, sfiorando con la testa il soffitto spiovente, e sbatté le palpebre: era come entrare in una fornace.
HPitb2ch03-0135	arancio	Quasi tutto, nella stanza di Ron, sembrava essere di un violento color arancio: il copriletto, le pareti, perfino il soffitto.
HPitb2ch03-0136	animatamente	Poi Harry si rese conto che Ron aveva ricoperto quasi completamente la consunta carta da parati con poster delle stesse sette persone, che salutavano animatamente, tutti con indosso sgargianti abiti arancioni, e muniti di scope.
HPitb2ch03-0137	sgargiante	Poi Harry si rese conto che Ron aveva ricoperto quasi completamente la consunta carta da parati con poster delle stesse sette persone, che salutavano animatamente, tutti con indosso sgargianti abiti arancioni, e muniti di scope.
HPitb2ch03-0138	munire	Poi Harry si rese conto che Ron aveva ricoperto quasi completamente la consunta carta da parati con poster delle stesse sette persone, che salutavano animatamente, tutti con indosso sgargianti abiti arancioni, e muniti di scope.
HPitb2ch03-0139	nona	«Nona in campionato».
HPitb2ch03-0140	ammonticchiare	I libri di scuola di Ron erano ammonticchiati in un angolo, accanto a una pila di fumetti della serie Le avventure di Martin Miggs, il Babbano matto.
HPitb2ch03-0141	fumetto	I libri di scuola di Ron erano ammonticchiati in un angolo, accanto a una pila di fumetti della serie Le avventure di Martin Miggs, il Babbano matto.
HPitb2ch03-0142	acquario	La bacchetta di Ron era buttata sul davanzale della finestra, sopra un acquario pieno di uova di rana; in un angolino assolato dormiva beatamente Crosta, il topo grigio.
HPitb2ch03-0143	beatamente	La bacchetta di Ron era buttata sul davanzale della finestra, sopra un acquario pieno di uova di rana; in un angolino assolato dormiva beatamente Crosta, il topo grigio.
HPitb2ch03-0144	esercito	Nei campi, in lontananza, vide un esercito di gnomi ristrisciare furtivi, in fila indiana, sotto la siepe dei Weasley.
HPitb2ch03-0145	ristrisciare	Nei campi, in lontananza, vide un esercito di gnomi ristrisciare furtivi, in fila indiana, sotto la siepe dei Weasley.
HPitb2ch03-0146	indiano	Nei campi, in lontananza, vide un esercito di gnomi ristrisciare furtivi, in fila indiana, sotto la siepe dei Weasley.
HPitb2ch03-0147	opinione	Poi si voltò a guardare Ron, che lo stava osservando piuttosto nervoso, come in attesa della sua opinione.
HPitb2ch03-0148	tubatura	Non fa che picchiare sulle tubature e lamentarsi».
