HPitb1ch08-0001	maestro	MAESTRO DELLE POZIONI «Guarda lì!
HPitb1ch08-0048	appunto	Presero un mucchio di appunti complicati, dopodiché ricevettero un fiammifero ciascuno e iniziarono a provare a trasformarlo in un ago.
HPitb1ch08-0049	complicare	Presero un mucchio di appunti complicati, dopodiché ricevettero un fiammifero ciascuno e iniziarono a provare a trasformarlo in un ago.
HPitb1ch08-0050	dopodiché	Presero un mucchio di appunti complicati, dopodiché ricevettero un fiammifero ciascuno e iniziarono a provare a trasformarlo in un ago.
HPitb1ch08-0051	acuminato	la professoressa McGonagall mostrò alla classe che era diventato d’argento e acuminato, e gratificò Hermione con uno dei suoi rari sorrisi.
HPitb1ch08-0052	gratificare	la professoressa McGonagall mostrò alla classe che era diventato d’argento e acuminato, e gratificò Hermione con uno dei suoi rari sorrisi.
HPitb1ch08-0053	raro	la professoressa McGonagall mostrò alla classe che era diventato d’argento e acuminato, e gratificò Hermione con uno dei suoi rari sorrisi.
HPitb1ch08-0054	dimostrarsi	Il corso che tutti non vedevano l’ora di frequentare era Difesa contro le Arti Oscure, ma le lezioni di Quirrell si dimostrarono un po’ una barzelletta.
HPitb1ch08-0055	barzelletta	Il corso che tutti non vedevano l’ora di frequentare era Difesa contro le Arti Oscure, ma le lezioni di Quirrell si dimostrarono un po’ una barzelletta.
HPitb1ch08-0056	odorare	L’aula odorava fortemente di aglio:
HPitb1ch08-0057	fortemente	L’aula odorava fortemente di aglio:
HPitb1ch08-0058	aglio	L’aula odorava fortemente di aglio:
HPitb1ch08-0059	principe	Il turbante, così disse ai suoi allievi, lo aveva ricevuto in dono da un principe africano, come pegno di gratitudine per averlo liberato da un fastidioso zombie;
HPitb1ch08-0060	africano	Il turbante, così disse ai suoi allievi, lo aveva ricevuto in dono da un principe africano, come pegno di gratitudine per averlo liberato da un fastidioso zombie;
HPitb1ch08-0061	pegno	Il turbante, così disse ai suoi allievi, lo aveva ricevuto in dono da un principe africano, come pegno di gratitudine per averlo liberato da un fastidioso zombie;
HPitb1ch08-0062	gratitudine	Il turbante, così disse ai suoi allievi, lo aveva ricevuto in dono da un principe africano, come pegno di gratitudine per averlo liberato da un fastidioso zombie;
HPitb1ch08-0063	liberare	Il turbante, così disse ai suoi allievi, lo aveva ricevuto in dono da un principe africano, come pegno di gratitudine per averlo liberato da un fastidioso zombie;
HPitb1ch08-0064	aleggiare	E poi avevano notato che intorno al turbante aleggiava uno strano odore... I gemelli Weasley insistevano che anche quello era imbottito d’aglio, perché Quirrell fosse protetto ovunque andasse.
HPitb1ch08-0065	insistere	E poi avevano notato che intorno al turbante aleggiava uno strano odore... I gemelli Weasley insistevano che anche quello era imbottito d’aglio, perché Quirrell fosse protetto ovunque andasse.
HPitb1ch08-0066	imbottire	E poi avevano notato che intorno al turbante aleggiava uno strano odore... I gemelli Weasley insistevano che anche quello era imbottito d’aglio, perché Quirrell fosse protetto ovunque andasse.
HPitb1ch08-0067	protetto	E poi avevano notato che intorno al turbante aleggiava uno strano odore... I gemelli Weasley insistevano che anche quello era imbottito d’aglio, perché Quirrell fosse protetto ovunque andasse.
HPitb1ch08-0068	ovunque	E poi avevano notato che intorno al turbante aleggiava uno strano odore... I gemelli Weasley insistevano che anche quello era imbottito d’aglio, perché Quirrell fosse protetto ovunque andasse.
HPitb1ch08-0069	avvantaggiare	C’era così tanto da imparare che anche persone come Ron non erano poi molto avvantaggiate.
HPitb1ch08-0070	zuccherare	«Cosa abbiamo oggi?» chiese Harry a Ron mentre zuccherava il suo porridge.
HPitb1ch08-0071	favorire	«Piton è il direttore dei Serpeverde e si dice che lui favorisca sempre gli studenti della sua Casa... scopriremo se è vero».
HPitb1ch08-0072	abitudine	Ormai Harry ci aveva fatto l’abitudine, ma il primo giorno era rimasto alquanto impressionato quando un centinaio di gufi avevano fatto irruzione all’improvviso nella Sala Grande, durante la colazione, volando in cerchio sopra i tavoli finché, individuato il proprio padrone, non gli lasciavano cadere in grembo lettere e pacchi.
HPitb1ch08-0073	irruzione	Ormai Harry ci aveva fatto l’abitudine, ma il primo giorno era rimasto alquanto impressionato quando un centinaio di gufi avevano fatto irruzione all’improvviso nella Sala Grande, durante la colazione, volando in cerchio sopra i tavoli finché, individuato il proprio padrone, non gli lasciavano cadere in grembo lettere e pacchi.
HPitb1ch08-0074	cerchio	Ormai Harry ci aveva fatto l’abitudine, ma il primo giorno era rimasto alquanto impressionato quando un centinaio di gufi avevano fatto irruzione all’improvviso nella Sala Grande, durante la colazione, volando in cerchio sopra i tavoli finché, individuato il proprio padrone, non gli lasciavano cadere in grembo lettere e pacchi.
HPitb1ch08-0075	mordicchiare	Ogni tanto, veniva per mordicchiargli l’orecchio e farsi dare un pezzetto di pane tostato prima di tornare a dormire nella guferia insieme agli altri pennuti della scuola.
HPitb1ch08-0076	pennuto	Ogni tanto, veniva per mordicchiargli l’orecchio e farsi dare un pezzetto di pane tostato prima di tornare a dormire nella guferia insieme agli altri pennuti della scuola.
HPitb1ch08-0077	zuccheriera	Ma quella mattina si posò fra la zuccheriera e la coppetta della marmellata d’arancia, lasciando cadere un biglietto sul piatto di Harry.
HPitb1ch08-0078	calligrafia	Caro Harry, (c’era scritto con una calligrafia tutta scarabocchi) so che il venerdì hai il pomeriggio libero:
HPitb1ch08-0079	scarabocchio	Caro Harry, (c’era scritto con una calligrafia tutta scarabocchi) so che il venerdì hai il pomeriggio libero:
HPitb1ch08-0080	recapitare	E la consegnò a Edvige perché la recapitasse.
HPitb1ch08-0081	fortunatamente	Fortunatamente Harry aveva la piacevole aspettativa del tè con Hagrid, perché la lezione di Pozioni fu la peggior cosa che gli fosse capitata fino a quel momento.
HPitb1ch08-0082	inaugurale	Durante il banchetto inaugurale, Harry aveva avuto l’impressione di non piacere al professor Piton.
HPitb1ch08-0083	cella	Le lezioni di Pozioni si svolgevano in una delle celle sotterranee.
HPitb1ch08-0084	barattolo	Qui faceva più freddo che ai piani alti, il che sarebbe bastato a far venire loro la pelle d’oca anche senza tutti quegli animali che galleggiavano nei barattoli di vetro lungo le pareti.
HPitb1ch08-0085	mellifluo	«Ah, ecco» disse con voce melliflua, «Harry Potter.
HPitb1ch08-0086	celebrità	La nostra nuova... celebrità».
HPitb1ch08-0087	appello	Piton finì di fare l’appello e alzò lo sguardo sulla classe.
HPitb1ch08-0088	galleria	Erano gelidi e vuoti, e facevano pensare a due gallerie buie.
HPitb1ch08-0089	delicato	«Siete qui per imparare la delicata scienza e l’arte esatta delle Pozioni» cominciò.
HPitb1ch08-0090	scienza	«Siete qui per imparare la delicata scienza e l’arte esatta delle Pozioni» cominciò.
HPitb1ch08-0091	insulsamente	«Poiché qui non si agita insulsamente la bacchetta, molti di voi stenteranno a credere che si tratti di magia.
HPitb1ch08-0092	stentare	«Poiché qui non si agita insulsamente la bacchetta, molti di voi stenteranno a credere che si tratti di magia.
HPitb1ch08-0093	comprendere	Non mi aspetto che comprendiate a fondo la bellezza del calderone che sobbolle a fuoco lento, con i suoi vapori scintillanti, il delicato potere dei liquidi che si insinuano nelle vene umane, stregando la mente, irretendo i sensi... Io posso insegnarvi a imbottigliare la fama, distillare la gloria, addirittura mettere un freno alla morte... sempre che non siate una manica di teste di legno, come in genere sono tutti gli allievi con cui ho a che fare».
HPitb1ch08-0094	bellezza	Non mi aspetto che comprendiate a fondo la bellezza del calderone che sobbolle a fuoco lento, con i suoi vapori scintillanti, il delicato potere dei liquidi che si insinuano nelle vene umane, stregando la mente, irretendo i sensi... Io posso insegnarvi a imbottigliare la fama, distillare la gloria, addirittura mettere un freno alla morte... sempre che non siate una manica di teste di legno, come in genere sono tutti gli allievi con cui ho a che fare».
HPitb1ch08-0095	sobbollire	Non mi aspetto che comprendiate a fondo la bellezza del calderone che sobbolle a fuoco lento, con i suoi vapori scintillanti, il delicato potere dei liquidi che si insinuano nelle vene umane, stregando la mente, irretendo i sensi... Io posso insegnarvi a imbottigliare la fama, distillare la gloria, addirittura mettere un freno alla morte... sempre che non siate una manica di teste di legno, come in genere sono tutti gli allievi con cui ho a che fare».
HPitb1ch08-0096	irretire	Non mi aspetto che comprendiate a fondo la bellezza del calderone che sobbolle a fuoco lento, con i suoi vapori scintillanti, il delicato potere dei liquidi che si insinuano nelle vene umane, stregando la mente, irretendo i sensi... Io posso insegnarvi a imbottigliare la fama, distillare la gloria, addirittura mettere un freno alla morte... sempre che non siate una manica di teste di legno, come in genere sono tutti gli allievi con cui ho a che fare».
HPitb1ch08-0097	imbottigliare	Non mi aspetto che comprendiate a fondo la bellezza del calderone che sobbolle a fuoco lento, con i suoi vapori scintillanti, il delicato potere dei liquidi che si insinuano nelle vene umane, stregando la mente, irretendo i sensi... Io posso insegnarvi a imbottigliare la fama, distillare la gloria, addirittura mettere un freno alla morte... sempre che non siate una manica di teste di legno, come in genere sono tutti gli allievi con cui ho a che fare».
HPitb1ch08-0098	fama	Non mi aspetto che comprendiate a fondo la bellezza del calderone che sobbolle a fuoco lento, con i suoi vapori scintillanti, il delicato potere dei liquidi che si insinuano nelle vene umane, stregando la mente, irretendo i sensi... Io posso insegnarvi a imbottigliare la fama, distillare la gloria, addirittura mettere un freno alla morte... sempre che non siate una manica di teste di legno, come in genere sono tutti gli allievi con cui ho a che fare».
HPitb1ch08-0099	distillare	Non mi aspetto che comprendiate a fondo la bellezza del calderone che sobbolle a fuoco lento, con i suoi vapori scintillanti, il delicato potere dei liquidi che si insinuano nelle vene umane, stregando la mente, irretendo i sensi... Io posso insegnarvi a imbottigliare la fama, distillare la gloria, addirittura mettere un freno alla morte... sempre che non siate una manica di teste di legno, come in genere sono tutti gli allievi con cui ho a che fare».
HPitb1ch08-0100	gloria	Non mi aspetto che comprendiate a fondo la bellezza del calderone che sobbolle a fuoco lento, con i suoi vapori scintillanti, il delicato potere dei liquidi che si insinuano nelle vene umane, stregando la mente, irretendo i sensi... Io posso insegnarvi a imbottigliare la fama, distillare la gloria, addirittura mettere un freno alla morte... sempre che non siate una manica di teste di legno, come in genere sono tutti gli allievi con cui ho a che fare».
HPitb1ch08-0101	freno	Non mi aspetto che comprendiate a fondo la bellezza del calderone che sobbolle a fuoco lento, con i suoi vapori scintillanti, il delicato potere dei liquidi che si insinuano nelle vene umane, stregando la mente, irretendo i sensi... Io posso insegnarvi a imbottigliare la fama, distillare la gloria, addirittura mettere un freno alla morte... sempre che non siate una manica di teste di legno, come in genere sono tutti gli allievi con cui ho a che fare».
HPitb1ch08-0102	sconcertato	Harry lanciò un’occhiata a Ron, che appariva altrettanto sconcertato;
HPitb1ch08-0103	incresparsi	Le labbra di Piton si incresparono in un ghigno.
HPitb1ch08-0104	alzato	Ignorò la mano alzata di Hermione.
HPitb1ch08-0105	provare	«Proviamo ancora.
HPitb1ch08-0106	sbellicarsi	Cercò di ignorare Malfoy, Crabbe e Goyle che si sbellicavano dalle risate.
HPitb1ch08-0107	distogliere	Harry si costrinse a non distogliere lo sguardo da quegli occhi glaciali.
HPitb1ch08-0108	scorsa	In realtà aveva dato una scorsa ai libri, quando era ancora dai Dursley, ma Piton si aspettava forse che si ricordasse tutto quel che era scritto in Mille erbe e funghi magici?
HPitb1ch08-0109	fremente	Piton continuava a ignorare la mano fremente di Hermione.
HPitb1ch08-0110	luparia	«E... Potter, qual è la differenza tra napello e luparia?» A questo punto, Hermione si alzò in piedi con la mano protesa come a voler toccare il soffitto del sotterraneo.
HPitb1ch08-0111	protendere	«E... Potter, qual è la differenza tra napello e luparia?» A questo punto, Hermione si alzò in piedi con la mano protesa come a voler toccare il soffitto del sotterraneo.
HPitb1ch08-0112	ammiccare	Harry colse lo sguardo di Seamus che ammiccò in risposta.
HPitb1ch08-0113	informazione	«Per tua informazione, Potter, asfodelo e artemisia insieme fanno una pozione soporifera talmente potente da andare sotto il nome di Distillato della Morte Vivente.
HPitb1ch08-0114	soporifero	«Per tua informazione, Potter, asfodelo e artemisia insieme fanno una pozione soporifera talmente potente da andare sotto il nome di Distillato della Morte Vivente.
HPitb1ch08-0115	distillato	«Per tua informazione, Potter, asfodelo e artemisia insieme fanno una pozione soporifera talmente potente da andare sotto il nome di Distillato della Morte Vivente.
HPitb1ch08-0116	vivente	«Per tua informazione, Potter, asfodelo e artemisia insieme fanno una pozione soporifera talmente potente da andare sotto il nome di Distillato della Morte Vivente.
HPitb1ch08-0117	capra	Un bezoar è una pietra che si trova nella pancia delle capre e che salva da molti veleni.
HPitb1ch08-0118	veleno	Un bezoar è una pietra che si trova nella pancia delle capre e che salva da molti veleni.
HPitb1ch08-0119	curare	Piton li divise in coppie e li mise a preparare una semplice pozione per curare i brufoli.
HPitb1ch08-0120	brufolo	Piton li divise in coppie e li mise a preparare una semplice pozione per curare i brufoli.
HPitb1ch08-0121	ortica	Intanto, avvolto nel suo lungo mantello nero, si aggirava per la classe osservandoli pesare ortiche secche e schiacciare zanne di serpente, muovendo critiche praticamente a tutti tranne che a Malfoy, che sembrava piacergli.
HPitb1ch08-0122	critica	Intanto, avvolto nel suo lungo mantello nero, si aggirava per la classe osservandoli pesare ortiche secche e schiacciare zanne di serpente, muovendo critiche praticamente a tutti tranne che a Malfoy, che sembrava piacergli.
HPitb1ch08-0123	praticamente	Intanto, avvolto nel suo lungo mantello nero, si aggirava per la classe osservandoli pesare ortiche secche e schiacciare zanne di serpente, muovendo critiche praticamente a tutti tranne che a Malfoy, che sembrava piacergli.
HPitb1ch08-0124	stufare	Aveva appena cominciato ad attirare l’attenzione di tutti sul modo perfetto in cui Malfoy aveva stufato le sue lumache cornute, quando il sotterraneo fu invaso da una nube di fumo verde acido e da un sibilo potente.
HPitb1ch08-0125	cornuto	Aveva appena cominciato ad attirare l’attenzione di tutti sul modo perfetto in cui Malfoy aveva stufato le sue lumache cornute, quando il sotterraneo fu invaso da una nube di fumo verde acido e da un sibilo potente.
HPitb1ch08-0126	acido	Aveva appena cominciato ad attirare l’attenzione di tutti sul modo perfetto in cui Malfoy aveva stufato le sue lumache cornute, quando il sotterraneo fu invaso da una nube di fumo verde acido e da un sibilo potente.
HPitb1ch08-0127	sibilo	Aveva appena cominciato ad attirare l’attenzione di tutti sul modo perfetto in cui Malfoy aveva stufato le sue lumache cornute, quando il sotterraneo fu invaso da una nube di fumo verde acido e da un sibilo potente.
HPitb1ch08-0128	fondere	Non si sa come, Neville era riuscito a fondere il calderone di Seamus trasformandolo in un ammasso di metallo contorto, e la loro pozione, colando sul pavimento di pietra, corrodeva le scarpe degli astanti facendoci dei buchi.
HPitb1ch08-0129	ammasso	Non si sa come, Neville era riuscito a fondere il calderone di Seamus trasformandolo in un ammasso di metallo contorto, e la loro pozione, colando sul pavimento di pietra, corrodeva le scarpe degli astanti facendoci dei buchi.
HPitb1ch08-0130	colare	Non si sa come, Neville era riuscito a fondere il calderone di Seamus trasformandolo in un ammasso di metallo contorto, e la loro pozione, colando sul pavimento di pietra, corrodeva le scarpe degli astanti facendoci dei buchi.
HPitb1ch08-0131	corrodere	Non si sa come, Neville era riuscito a fondere il calderone di Seamus trasformandolo in un ammasso di metallo contorto, e la loro pozione, colando sul pavimento di pietra, corrodeva le scarpe degli astanti facendoci dei buchi.
HPitb1ch08-0132	astante	Non si sa come, Neville era riuscito a fondere il calderone di Seamus trasformandolo in un ammasso di metallo contorto, e la loro pozione, colando sul pavimento di pietra, corrodeva le scarpe degli astanti facendoci dei buchi.
HPitb1ch08-0133	bagnarsi	In pochi secondi, tutti i ragazzi erano saltati sugli sgabelli, salvo Neville, che si era bagnato con la pozione quando il calderone si era bucato e adesso piangeva di dolore, mentre sulle braccia e sulle gambe gli spuntavano brucianti pustole rosse.
HPitb1ch08-0134	pustola	In pochi secondi, tutti i ragazzi erano saltati sugli sgabelli, salvo Neville, che si era bagnato con la pozione quando il calderone si era bucato e adesso piangeva di dolore, mentre sulle braccia e sulle gambe gli spuntavano brucianti pustole rosse.
HPitb1ch08-0135	idiota	«Ragazzino idiota!» sbottò Piton mentre con un sol tocco della bacchetta ripuliva il pavimento dalla pozione versata.
HPitb1ch08-0136	tocco	«Ragazzino idiota!» sbottò Piton mentre con un sol tocco della bacchetta ripuliva il pavimento dalla pozione versata.
HPitb1ch08-0137	ripulire	«Ragazzino idiota!» sbottò Piton mentre con un sol tocco della bacchetta ripuliva il pavimento dalla pozione versata.
HPitb1ch08-0138	versato	«Ragazzino idiota!» sbottò Piton mentre con un sol tocco della bacchetta ripuliva il pavimento dalla pozione versata.
HPitb1ch08-0139	aculeo	«Suppongo che tu abbia aggiunto gli aculei di porcospino prima di togliere il calderone dal fuoco.
HPitb1ch08-0140	porcospino	«Suppongo che tu abbia aggiunto gli aculei di porcospino prima di togliere il calderone dal fuoco.
HPitb1ch08-0141	infermeria	«Portalo in infermeria!» intimò Piton a Seamus in tono sprezzante.
HPitb1ch08-0142	sprezzante	«Portalo in infermeria!» intimò Piton a Seamus in tono sprezzante.
HPitb1ch08-0143	ingiusto	La cosa era così ingiusta che Harry aprì bocca per ribattere, ma Ron gli diede un calcio dietro il calderone.
HPitb1ch08-0144	esagerare	«Non esagerare» mormorò.
HPitb1ch08-0145	morale	«Su col morale» disse Ron.
HPitb1ch08-0146	proibito	Hagrid viveva in una casetta di legno al limitare della Foresta Proibita.
HPitb1ch08-0147	balestra	Fuori dalla porta erano poggiati una balestra e un paio di stivali di gomma.
HPitb1ch08-0148	serie	Quando Harry bussò, dall’interno si udì un raspare frenetico e una serie di latrati sempre più forti.
HPitb1ch08-0149	latrato	Quando Harry bussò, dall’interno si udì un raspare frenetico e una serie di latrati sempre più forti.
HPitb1ch08-0150	socchiuso	«Qua, Zanna... qua!» La sua grossa faccia irsuta apparve da dietro la porta socchiusa, prima che la spalancasse.
HPitb1ch08-0151	collare	«Sta’ giù, Zanna!» Li fece entrare, cercando di trattenere per il collare un enorme danese nero.
HPitb1ch08-0152	danese	«Sta’ giù, Zanna!» Li fece entrare, cercando di trattenere per il collare un enorme danese nero.
HPitb1ch08-0153	prosciutto	Dal soffitto pendevano prosciutti e fagiani;
HPitb1ch08-0154	fagiano	Dal soffitto pendevano prosciutti e fagiani;
HPitb1ch08-0155	catasta	sopra una piccola catasta di legna già accesa c’era un bollitore di rame e, in un angolo, un letto imponente coperto con una trapunta patchwork.
HPitb1ch08-0156	legna	sopra una piccola catasta di legna già accesa c’era un bollitore di rame e, in un angolo, un letto imponente coperto con una trapunta patchwork.
HPitb1ch08-0157	acceso	sopra una piccola catasta di legna già accesa c’era un bollitore di rame e, in un angolo, un letto imponente coperto con una trapunta patchwork.
HPitb1ch08-0158	imponente	sopra una piccola catasta di legna già accesa c’era un bollitore di rame e, in un angolo, un letto imponente coperto con una trapunta patchwork.
HPitb1ch08-0159	trapunta	sopra una piccola catasta di legna già accesa c’era un bollitore di rame e, in un angolo, un letto imponente coperto con una trapunta patchwork.
HPitb1ch08-0160	avventarsi	«Fate come se foste a casa vostra» disse Hagrid lasciando andare Zanna che si avventò dritto dritto su Ron, cominciando a leccargli le orecchie.
HPitb1ch08-0161	pari	Al pari di Hagrid, Zanna non era poi così feroce come sembrava.
HPitb1ch08-0162	versare	«Ti presento Ron» disse Harry mentre Hagrid versava dell’acqua bollente in una grande teiera e disponeva alcuni biscotti su un piatto.
HPitb1ch08-0163	bollente	«Ti presento Ron» disse Harry mentre Hagrid versava dell’acqua bollente in una grande teiera e disponeva alcuni biscotti su un piatto.
HPitb1ch08-0164	fingere	Per poco i biscotti non gli spezzarono i denti, ma Harry e Ron finsero di gradirli moltissimo, mentre facevano a Hagrid il resoconto delle prime lezioni.
HPitb1ch08-0165	gradire	Per poco i biscotti non gli spezzarono i denti, ma Harry e Ron finsero di gradirli moltissimo, mentre facevano a Hagrid il resoconto delle prime lezioni.
HPitb1ch08-0166	resoconto	Per poco i biscotti non gli spezzarono i denti, ma Harry e Ron finsero di gradirli moltissimo, mentre facevano a Hagrid il resoconto delle prime lezioni.
HPitb1ch08-0167	sbavare	Zanna aveva poggiato la testa sulle ginocchia di Harry e gli stava sbavando su tutti i vestiti.
HPitb1ch08-0168	bearsi	Harry e Ron si bearono a sentire Hagrid chiamare Filch «quel vecchio scimunito».
HPitb1ch08-0169	scimunito	Harry e Ron si bearono a sentire Hagrid chiamare Filch «quel vecchio scimunito».
HPitb1ch08-0170	copriteiera	Mentre Ron raccontava a Hagrid che lavoro faceva Charlie con i draghi, Harry prese un pezzetto di carta che era sul tavolo, sotto il copriteiera.
HPitb1ch08-0171	ritaglio	Era il ritaglio di un trafiletto dalla Gazzetta del Profeta:
HPitb1ch08-0172	trafiletto	Era il ritaglio di un trafiletto dalla Gazzetta del Profeta:
