repisa         | repisa         | Sólo las fotos de la repisa de la chimenea eran testimonio del tiempo que había pasado.
rabieta        | rabieta        | Comieron en el restaurante del zoológico, y cuando Dudley tuvo una rabieta porque su bocadillo no era lo suficientemente grande, tío Vernon le compró otro y Harry tuvo permiso para terminarse el primero.
vidrieras      | vidriera       | Estaba oscuro y hacía frío, y había vidrieras iluminadas a lo largo de las paredes.
lagartos       | lagarto        | Detrás de los vidrios, toda clase de serpientes y lagartos se arrastraban y se deslizaban por las piedras y los troncos.
estrujaban     | estrujar       | Dudley y Piers querían ver las gigantescas cobras venenosas y las gruesas pitones que estrujaban a los hombres.
nudillos       | nudillo        | Tío Vernon golpeó con los nudillos, pero el animal siguió dormitando.
dormitando     | dormitar       | Tío Vernon golpeó con los nudillos, pero el animal siguió dormitando.
ojillos        | ojillos        | De pronto, la serpiente abrió sus ojillos, pequeños y brillantes como cuentas.
Guiñó          | guiñar         | Guiñó un ojo.
ensordecedor   | ensordecedor   | Mientras la serpiente negaba con la cabeza, un grito ensordecedor detrás de Harry los hizo saltar.
contoneándose  | contonearse    | Dudley se acercó contoneándose, lo más rápido que pudo.
incorporó      | incorporarse   | Harry se incorporó y se quedó boquiabierto: el vidrio que cerraba el cubículo de la boa constrictor había desaparecido.
desenrollado   | desenrollarse  | La descomunal serpiente se había desenrollado rápidamente y en aquel momento se arrastraba por el suelo.
conmocionado   | conmocionado   | El encargado de los reptiles se encontraba totalmente conmocionado.
trasero        | trasero        | Por lo que Harry había visto, la serpiente no había hecho más que darles un golpe juguetón en los pies, pero cuando volvieron al asiento trasero del coche de tío Vernon, Dudley les contó que casi lo había mordido en la pierna, mientras Piers juraba que había intentado estrangularlo.
desplomarse    | desplomarse    | —Ve... alacena... quédate... no hay comida —logró decir, antes de desplomarse en una silla.
desgraciados   | desgraciado    | Había vivido con los Dursley casi diez años, diez años desgraciados, hasta donde podía acordarse, desde que era un niño pequeño y sus padres habían muerto en un accidente de coche.
estrafalario   | estrafalario   | Una anciana con aspecto estrafalario, toda vestida de verde, también lo había saludado alegremente en un autobús.
estrechado     | estrechar      | Un hombre calvo, con un abrigo largo, color púrpura, le había estrechado la mano en la calle y se había alejado sin decir una palabra.
