rollizo      | rollizo      | Era un hombre corpulento y rollizo, casi sin cuello, aunque con un bigote inmenso.
cuadrada     | cuadrado     | En su lugar, le dirigía la sonrisa a una mujer de aspecto severo que llevaba gafas de montura cuadrada, idénticas a las líneas que había alrededor de los ojos del gato.
cabello      | cabello      | Su cabello negro estaba recogido en un moño.
tieso        | tieso        | —Mi querida profesora, nunca he visto a un gato tan tieso.
ladrillo     | ladrillo     | —Usted también estaría tieso si llevara todo el día sentado sobre un muro de ladrillo —respondió la profesora McGonagall.
resopló      | resoplar     | La profesora McGonagall resopló enfadada.
Torció       | torcer       | —Torció la cabeza en dirección a la ventana del oscuro salón de los Dursley—.
Bandadas     | bandada      | Bandadas de búhos, estrellas fugaces... Bueno, no son totalmente estúpidos.
afable       | afable       | —No puede reprochárselo —dijo Dumbledore con tono afable—.
soslayo      | soslayo      | Lanzó una mirada cortante y de soslayo hacia Dumbledore, como si esperara que éste le contestara algo.
frialdad     | frialdad     | —No, muchas gracias —respondió con frialdad la profesora McGonagall, como si considerara que aquél no era un momento apropiado para caramelos—.
sensata      | sensato      | Como le decía, aunque Quien-usted-sabe se haya ido... —Mi querida profesora, estoy seguro de que una persona sensata como usted puede llamarlo por su nombre, ¿verdad?
desenvolver  | desenvolver  | —La profesora McGonagall se echó hacia atrás con temor, pero Dumbledore, ocupado en desenvolver dos caramelos de limón, pareció no darse cuenta—.
ruborizaba   | ruborizarse  | No me ruborizaba tanto desde que la señora Pomfrey me dijo que le gustaban mis nuevas orejeras.
tapia        | tapia        | Parecía que la profesora McGonagall había llegado al punto que más deseosa estaba por discutir, la verdadera razón por la que había esperado todo el día en una fría tapia, pues, ni como gato ni como mujer, había mirado nunca a Dumbledore con tal intensidad como lo hacía en aquel momento.
asintió      | asentir      | Dumbledore asintió con la cabeza, apesadumbrado.
apesadumbrado| apesadumbrado| Dumbledore asintió con la cabeza, apesadumbrado.
tartamudeó   | tartamudear  | —tartamudeó la profesora McGonagall—.
puntilla     | puntilla     | La profesora McGonagall sacó un pañuelo con puntilla y se lo pasó por los ojos, por detrás de las gafas.
manecillas   | manecilla    | Tenía doce manecillas y ningún número; pequeños planetas se movían por el perímetro del círculo.
patadas      | patada       | Y ese hijo que tienen... Lo he visto dando patadas a su madre mientras subían por la escalera, pidiendo caramelos a gritos.
regañadientes| regañadientes| —No estoy diciendo que su corazón no esté donde debe estar —dijo a regañadientes la profesora McGonagall—.
calzada      | calzada      | Aumentó hasta ser un rugido mientras los dos miraban hacia el cielo, y entonces una pesada moto cayó del aire y aterrizó en la calzada, frente a ellos.
desaliñado   | desaliñado   | Se podía decir que era demasiado grande para que lo aceptaran y, además, tan desaliñado...
revuelto     | revuelto     | Cabello negro, largo y revuelto, y una barba que le cubría casi toda la cara.
bulto        | bulto        | En sus enormes brazos musculosos sostenía un bulto envuelto en mantas.
mantas       | manta        | En sus enormes brazos musculosos sostenía un bulto envuelto en mantas.
aliviado     | aliviado     | —Hagrid —dijo Dumbledore, aliviado—.
mata         | mata         | Bajo una mata de pelo negro azabache, sobre la frente, pudieron ver una cicatriz con una forma curiosa, como un relámpago.
azabache     | azabache     | Bajo una mata de pelo negro azabache, sobre la frente, pudieron ver una cicatriz con una forma curiosa, como un relámpago.
desgreñada   | desgreñado   | Inclinó la gran cabeza desgreñada sobre Harry y le dio un beso, raspándolo con la barba.
raspándolo   | raspar       | Inclinó la gran cabeza desgreñada sobre Harry y le dio un beso, raspándolo con la barba.
siseó        | sisear       | —¡Chist! —siseó la profesora McGonagall—.
lloriqueó    | lloriquear   | Lo... siento —lloriqueó Hagrid, y se limpió la cara con un gran pañuelo—.
domínate     | dominarse    | Pero no puedo soportarlo... Lily y James, muertos... y el pobrecito Harry tendrá que vivir con muggles... —Sí, sí, es todo muy triste, pero domínate, Hagrid, o van a descubrirnos —susurró la profesora McGonagall, dando una palmada en un brazo de Hagrid, mientras Dumbledore pasaba sobre la verja del jardín e iba hasta la puerta que había enfrente.
verja        | verja        | Pero no puedo soportarlo... Lily y James, muertos... y el pobrecito Harry tendrá que vivir con muggles... —Sí, sí, es todo muy triste, pero domínate, Hagrid, o van a descubrirnos —susurró la profesora McGonagall, dando una palmada en un brazo de Hagrid, mientras Dumbledore pasaba sobre la verja del jardín e iba hasta la puerta que había enfrente.
umbral       | umbral       | Dejó suavemente a Harry en el umbral, sacó la carta de su capa, la escondió entre las mantas del niño y luego volvió con los otros dos.
titilante    | titilante    | La luz titilante que los ojos de Dumbledore irradiaban habitualmente parecía haberlos abandonado.
irradiaban   | irradiar     | La luz titilante que los ojos de Dumbledore irradiaban habitualmente parecía haberlos abandonado.
ronca        | ronco        | —Ajá —respondió Hagrid con voz ronca—.
palanca      | palanca      | Hagrid se secó las lágrimas con la manga de la chaqueta, se subió a la moto y accionó con el pie la palanca para poner el motor en marcha.
estrépito    | estrépito    | Con un estrépito se elevó en el aire y desapareció en la noche.
sonó         | sonarse      | La profesora McGonagall se sonó la nariz por toda respuesta.
escabullía   | escabullirse | Lo hizo funcionar una vez y todas las luces de la calle se encendieron, de manera que Privet Drive se iluminó con un resplandor anaranjado, y pudo ver a un gato atigrado que se escabullía por una esquina, en el otro extremo de la calle.
pulcros      | pulcro       | Una brisa agitó los pulcros setos de Privet Drive, que se disponían silenciosos y ordenados bajo un cielo de color tinta.
setos        | seto         | Una brisa agitó los pulcros setos de Privet Drive, que se disponían silenciosos y ordenados bajo un cielo de color tinta.
tinta        | tinta        | Una brisa agitó los pulcros setos de Privet Drive, que se disponían silenciosos y ordenados bajo un cielo de color tinta.
pinchado     | pinchar      | Una mano pequeña se cerró sobre la carta y el niño siguió durmiendo, sin saber que era famoso, sin saber que al cabo de unas pocas horas lo despertaría el grito de la señora Dursley, cuando abriera la puerta principal para sacar las botellas de leche, ni que iba a pasar las próximas semanas pinchado y pellizcado por su primo Dudley...
pellizcado   | pellizcar    | Una mano pequeña se cerró sobre la carta y el niño siguió durmiendo, sin saber que era famoso, sin saber que al cabo de unas pocas horas lo despertaría el grito de la señora Dursley, cuando abriera la puerta principal para sacar las botellas de leche, ni que iba a pasar las próximas semanas pinchado y pellizcado por su primo Dudley...
quedas       | quedo        | No podía saber tampoco que, en aquel mismo momento, las personas que se reunían en secreto por todo el país estaban levantando sus copas y diciendo, con voces quedas:
