HPfrb1ch09-0001	duel           	DUEL À MINUIT
HPfrb1ch09-0075	sérieusement   	– Vous parlez sérieusement, professeur ?
HPfrb1ch09-0076	descente       	– Il a attrapé cette boule de verre après une descente en piqué de quinze mètres, dit le professeur McGonagall.
HPfrb1ch09-0077	piqué          	– Il a attrapé cette boule de verre après une descente en piqué de quinze mètres, dit le professeur McGonagall.
HPfrb1ch09-0078	quinze         	– Il a attrapé cette boule de verre après une descente en piqué de quinze mètres, dit le professeur McGonagall.
HPfrb1ch09-0079	égratignure    	Et il s’en est tiré sans la moindre égratignure.
HPfrb1ch09-0080	assister       	– Tu as déjà assisté à un match de Quidditch, Potter ?
HPfrb1ch09-0081	entorse        	– Je vais aller voir le professeur Dumbledore pour lui demander si on peut faire une entorse au règlement et fournir un balai à un élève de première année.
HPfrb1ch09-0082	littéralement  	Nous avons été littéralement écrasés par les Serpentard.
HPfrb1ch09-0083	intensif       	– Je veux que vous suiviez un entraînement intensif, Potter.
HPfrb1ch09-0084	jouer          	Mais les première année ne jouent jamais… Tu vas être le plus jeune joueur depuis… – Un siècle, acheva Harry.
HPfrb1ch09-0085	formidable     	On n’avait plus jamais gagné depuis le départ de Charlie, mais cette fois, on a une équipe formidable.
HPfrb1ch09-0086	sympathique    	Fred et George étaient à peine partis que quelqu’un de beaucoup moins sympathique apparut : c’était Malefoy, accompagné de Crabbe et Goyle.
HPfrb1ch09-0087	copain         	– Tu faisais moins le fier quand tu n’avais pas tes petits copains avec toi, répliqua Harry avec froideur.
HPfrb1ch09-0088	qualificatif   	Le qualificatif de « petit » ne convenait guère à Crabbe et à Goyle, mais les professeurs étaient nombreux autour de la Grande Table et ni l’un ni l’autre ne put faire grand-chose à part froncer les sourcils.
HPfrb1ch09-0089	vexer          	– Je te prends quand tu veux, dit Malefoy, vexé.
HPfrb1ch09-0090	évaluer        	Malefoy se tourna vers Crabbe et Goyle et les évalua du regard.
HPfrb1ch09-0091	trophée        	On se retrouve dans la salle des trophées, elle n’est jamais fermée.
HPfrb1ch09-0092	entamer        	– Le second est là pour prendre ta place si tu es tué, répondit Ron d’un ton dégagé en entamant enfin sa tourte refroidie.
HPfrb1ch09-0093	tourte         	– Le second est là pour prendre ta place si tu es tué, répondit Ron d’un ton dégagé en entamant enfin sa tourte refroidie.
HPfrb1ch09-0094	jetter         	– Jette-la par terre et donne un coup de poing sur le nez de Malefoy, suggéra Ron.
HPfrb1ch09-0095	paix           	– On ne peut pas dîner en paix ?
HPfrb1ch09-0096	forcément      	Et vous serez forcément pris.
HPfrb1ch09-0097	égoïste        	C’est vraiment très égoïste de votre part.
HPfrb1ch09-0098	repos          	La nuit promettait de ne pas être de tout repos, pensa Harry tandis qu’il attendait, allongé sur son lit, l’heure d’aller au rendez-vous.
HPfrb1ch09-0099	esquiver       	– S’il essaye de te jeter un sort, arrange-toi pour esquiver.
HPfrb1ch09-0100	neutraliser    	Je ne me souviens plus de ce qu’il faut faire pour les neutraliser.
HPfrb1ch09-0101	braise         	Quelques braises rougeoyaient encore dans l’âtre et les fauteuils avaient l’air de créatures informes, tapies dans la pénombre.
HPfrb1ch09-0102	rougeoyer      	Quelques braises rougeoyaient encore dans l’âtre et les fauteuils avaient l’air de créatures informes, tapies dans la pénombre.
HPfrb1ch09-0103	informe        	Quelques braises rougeoyaient encore dans l’âtre et les fauteuils avaient l’air de créatures informes, tapies dans la pénombre.
HPfrb1ch09-0104	tapir          	Quelques braises rougeoyaient encore dans l’âtre et les fauteuils avaient l’air de créatures informes, tapies dans la pénombre.
HPfrb1ch09-0105	obstination    	Harry n’avait jamais vu quelqu’un montrer une telle obstination à se mêler des affaires d’autrui.
HPfrb1ch09-0106	autrui         	Harry n’avait jamais vu quelqu’un montrer une telle obstination à se mêler des affaires d’autrui.
HPfrb1ch09-0107	ficher         	Vous vous en fichez de Gryffondor ?
HPfrb1ch09-0108	toile          	Vous êtes vraiment des… Mais ils ne surent pas ce qu’ils étaient car en voulant faire à nouveau pivoter le portrait de la grosse dame pour retourner dans son dortoir, Hermione s’aperçut que la toile était vide.
HPfrb1ch09-0109	rattraper      	Mais avant qu’ils aient atteint le bout du couloir, Hermione les avait rattrapés.
HPfrb1ch09-0110	témoigner      	Vous pourrez témoigner en ma faveur.
HPfrb1ch09-0111	faveur         	Vous pourrez témoigner en ma faveur.
HPfrb1ch09-0112	culot          	– Tu ne manques pas de culot !
HPfrb1ch09-0113	groin          	Le mot de passe, c’est Groin de porc, mais ça ne te servira à rien, la grosse dame est allée se promener.
HPfrb1ch09-0114	zébrer         	Ils parcoururent des couloirs zébrés de rayons de lune qui projetaient l’ombre des croisées sur le sol.
HPfrb1ch09-0115	croisée        	Ils parcoururent des couloirs zébrés de rayons de lune qui projetaient l’ombre des croisées sur le sol.
HPfrb1ch09-0116	encombre       	À chaque tournant, Harry s’attendait à se trouver nez à nez avec Rusard ou Miss Teigne, mais ils eurent de la chance et parvinrent à monter sans encombre au troisième étage où se trouvait la salle des trophées.
HPfrb1ch09-0117	écu            	Derrière les vitrines de cristal, des coupes, des écus, des plateaux, des statuettes d’or et d’argent étincelaient dans la pénombre, à la lueur du clair de lune.
HPfrb1ch09-0118	plateau        	Derrière les vitrines de cristal, des coupes, des écus, des plateaux, des statuettes d’or et d’argent étincelaient dans la pénombre, à la lueur du clair de lune.
HPfrb1ch09-0119	statuette      	Derrière les vitrines de cristal, des coupes, des écus, des plateaux, des statuettes d’or et d’argent étincelaient dans la pénombre, à la lueur du clair de lune.
HPfrb1ch09-0120	enfuir         	Frappé d’horreur, Harry fit des signes désespérés aux trois autres pour qu’ils s’enfuient le plus vite possible.
HPfrb1ch09-0121	apeuré         	Ils entendaient Rusard qui se rapprochait et Neville poussa brusquement un cri apeuré.
HPfrb1ch09-0122	saisissant     	Il se mit à courir, trébucha, essaya de se rattraper en saisissant Ron par la taille et tous deux tombèrent en renversant une armure.
HPfrb1ch09-0123	ensuivre       	Le vacarme qui s’ensuivit aurait suffi à réveiller tout le château.
HPfrb1ch09-0124	dédale         	Parvenus à l’extrémité de la galerie aux armures, ils prirent un virage serré et foncèrent à toutes jambes à travers un dédale de couloirs.
HPfrb1ch09-0125	ralentir       	Ils passèrent derrière une tapisserie et s’engouffrèrent dans un passage secret qu’ils parcoururent sans ralentir l’allure.
HPfrb1ch09-0126	haleine        	– Je crois bien qu’on l’a semé, dit Harry, hors d’haleine, s’appuyant contre un mur froid et s’essuyant le front.
HPfrb1ch09-0127	plier          	Neville, plié en deux par un point de côté, essayait de retrouver sa respiration en émettant toutes sortes de bruits bizarres.
HPfrb1ch09-0128	endolori       	– Je… vous… avais prévenus ! dit Hermione, le souffle court, la main sur sa poitrine endolorie.
HPfrb1ch09-0129	piège          	– Malefoy t’a tendu un piège, dit Hermione à Harry, j’espère que tu t’en rends compte.
HPfrb1ch09-0130	aigre          	– Alors, les petits nouveaux, on se promène dans les couloirs à minuit ? demanda-t-il de sa voix aigre.
HPfrb1ch09-0131	dénoncer       	– Ne nous dénonce pas, s’il te plaît, supplia Harry.
HPfrb1ch09-0132	supplier       	– Ne nous dénonce pas, s’il te plaît, supplia Harry.
HPfrb1ch09-0133	vertueux       	– Je devrais le dire à Rusard, déclara-t-il d’une voix vertueuse.
HPfrb1ch09-0134	malice         	Pour votre propre bien, ajouta-t-il, les yeux brillants de malice.
HPfrb1ch09-0135	écarter        	Fiche le camp, laisse-nous passer, lança Ron en faisant un geste pour écarter Peeves.
HPfrb1ch09-0136	vainement      	– On est fichus, gémit Ron tandis qu’ils essayaient vainement d’ouvrir la porte.
HPfrb1ch09-0137	provenir       	Ils entendaient les bruits de pas de Rusard qui courait le plus vite qu’il pouvait dans la direction d’où provenaient les cris de Peeves.
HPfrb1ch09-0138	déclic         	Il y eut alors un déclic et la porte pivota sur ses gonds.
HPfrb1ch09-0139	chantonner     	– Je dirai quelque chose quand on me dira s’il te plaît, chantonna Peeves de son ton le plus exaspérant.
HPfrb1ch09-0140	ha             	– QUELQUE CHOSE ! Ha ! Ha ! Ha ! Je vous avais prévenu.
HPfrb1ch09-0141	rafale         	Harry et les trois autres entendirent un bruit semblable à une rafale de vent.
HPfrb1ch09-0142	cauchemar      	Pendant un instant, il se demanda s’il ne faisait pas un cauchemar.
HPfrb1ch09-0143	monstrueux     	Devant leurs yeux, un chien monstrueux remplissait tout l’espace entre le sol et le plafond.
HPfrb1ch09-0144	dément         	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfrb1ch09-0145	museau         	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfrb1ch09-0146	flairer        	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfrb1ch09-0147	avidité        	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfrb1ch09-0148	gueule         	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfrb1ch09-0149	bavar          	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfrb1ch09-0150	croc           	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfrb1ch09-0151	jaunâtre       	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfrb1ch09-0152	filet          	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfrb1ch09-0153	corde          	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfrb1ch09-0154	tâtons         	Harry chercha à tâtons la poignée de la porte.
HPfrb1ch09-0155	reculons       	Ils sortirent à reculons, claquèrent la porte derrière eux et se mirent à courir le long du couloir à une telle vitesse qu’ils avaient presque l’impression de voler.
HPfrb1ch09-0156	maximum        	Rusard avait dû les chercher ailleurs, car ils ne l’aperçurent nulle part, mais peu leur importait, ils n’avaient plus qu’une idée en tête : mettre le maximum de distance entre le monstre et eux.
HPfrb1ch09-0157	septième       	Ils ne s’arrêtèrent de courir que lorsqu’ils furent revenus devant le portrait de la grosse dame, au septième étage.
HPfrb1ch09-0158	importance     	– Aucune importance, répliqua Harry, pantelant.
HPfrb1ch09-0159	pantelant      	– Aucune importance, répliqua Harry, pantelant.
HPfrb1ch09-0160	membre         	Ils s’engouffrèrent dans la salle commune et se laissèrent tomber dans des fauteuils, tremblant de tous leurs membres.
HPfrb1ch09-0161	trappe         	Non, il n’était pas par terre, il était sur une trappe.
HPfrb1ch09-0162	évident        	On l’a mis là pour garder quelque chose, c’est évident.
