duel           	DUEL À MINUIT
infliger       	Au petit déjeuner, elle leur infligea les stupides conseils en matière de vol qu’elle avait trouvés à la bibliothèque dans un livre intitulé Le Quidditch à travers les âges.
conférence     	Neville buvait ses paroles, dans l’espoir d’apprendre quelque chose qui pourrait l’aider à tenir sur un balai mais tous les autres furent ravis que l’arrivée du courrier interrompe la conférence d’Hermione.
colis          	Le hibou grand duc de celui-ci lui apportait sans cesse des colis de bonbons qu’il ouvrait avec jubilation à la table des Serpentard.
jubilation     	Le hibou grand duc de celui-ci lui apportait sans cesse des colis de bonbons qu’il ouvrait avec jubilation à la table des Serpentard.
fébrilement    	Il l’ouvrit fébrilement et montra à tout le monde une boule de verre de la taille d’une grosse bille qui semblait remplie d’une fumée blanche.
bille          	Il l’ouvrit fébrilement et montra à tout le monde une boule de verre de la taille d’une grosse bille qui semblait remplie d’une fumée blanche.
étourdir       	Ma grand-mère me l’a envoyé parce qu’elle trouve que je suis étourdi.
mécontent      	Ils n’auraient pas été mécontents d’avoir un prétexte pour se battre avec Malefoy, mais le professeur McGonagall accourut aussitôt.
prétexte       	Ils n’auraient pas été mécontents d’avoir un prétexte pour se battre avec Malefoy, mais le professeur McGonagall accourut aussitôt.
retomber       	Malefoy fit une grimace et laissa retomber la boule de verre sur la table.
brise          	Le ciel était clair et les vastes pelouses ondulaient sous une faible brise.
inquiétant     	Le terrain se trouvait du côté opposé à la Forêt interdite dont on voyait les arbres inquiétants se balancer au loin.
soigneusement  	Les Serpentard étaient déjà là, ainsi qu’une vingtaine de balais soigneusement alignés sur le sol.
vibrer         	Harry avait entendu Fred et George se plaindre de la qualité des balais de l’école qui se mettaient à vibrer quand on volait trop haut ou qui tiraient un peu trop à gauche.
faucon         	Elle avait des cheveux courts et gris et des yeux jaunes comme ceux d’un faucon.
tendre         	– Tendez la main droite au-dessus du balai, ordonna Madame Bibine, et dites : « Debout ! »
debout         	– DEBOUT ! crièrent les élèves à l’unisson.
unisson        	– DEBOUT ! crièrent les élèves à l’unisson.
tremblement    	Les balais étaient peut-être comme les chevaux, songea Harry, quand on avait peur, ils le sentaient et le tremblement dans la voix de Neville indiquait clairement qu’il aurait préféré garder les deux pieds sur terre.
clairement     	Les balais étaient peut-être comme les chevaux, songea Harry, quand on avait peur, ils le sentaient et le tremblement dans la voix de Neville indiquait clairement qu’il aurait préféré garder les deux pieds sur terre.
corriger       	Elle passa devant chacun pour corriger la position et Harry et Ron furent enchantés de l’entendre dire à Malefoy qu’il tenait très mal son balai.
frapper        	Frappez fort.
avant          	Vous tiendrez vos balais bien droits, vous vous élèverez d’un ou deux mètres et vous reviendrez immédiatement au sol en vous penchant légèrement en avant.
décoller       	Mais Neville était si nerveux et il avait si peur de ne pas réussir à décoller qu’il se lança avant que Madame Bibine ait eu le temps de porter le sifflet à ses lèvres.
redescendre    	– Redescends, mon garçon !
bouchon        	Mais Neville s’éleva dans les airs comme un bouchon de champagne.
champagne      	Mais Neville s’éleva dans les airs comme un bouchon de champagne.
décomposer     	Harry vit son visage se décomposer tandis qu’il regardait le sol s’éloigner.
dériver        	Son balai continua de s’élever de plus en plus haut, puis dériva lentement vers la Forêt interdite avant de disparaître à l’horizon.
poignet        	– Poignet cassé, murmura-t-elle.
garantir       	Et vous laissez les balais par terre, sinon, je vous garantis que vous ne resterez pas longtemps à Poudlard, avant même de prononcer le mot «
clopiner       	Neville, le visage ruisselant de larmes, la main crispée sur son poignet, clopina à côté de Madame Bibine qui le tenait par l’épaule.
mollasson      	– Vous avez vu sa tête, à ce mollasson ?
taire          	– Tais-toi, Malefoy, lança sèchement Parvati Patil.
pleurnichard   	Je ne savais pas que tu aimais les gros pleurnichards.
cime           	Si tu y tiens tellement, viens le chercher, Potter, cria-t-il en volant autour de la cime d’un chêne.
enfourcher     	Il enfourcha le balai, donna un grand coup de pied par terre et s’éleva à toute vitesse.
intense        	Il ressentit une joie intense en découvrant soudain qu’il savait faire voler un balai sans avoir eu besoin d’apprendre.
naturel        	C’était quelque chose qui lui paraissait très naturel, très facile, et qui lui donnait une sensation merveilleuse.
merveilleux    	C’était quelque chose qui lui paraissait très naturel, très facile, et qui lui donnait une sensation merveilleuse.
instinct       	D’instinct, Harry savait parfaitement ce qu’il fallait faire.
javelot        	Il se pencha en avant, serra les mains sur le manche et son balai fonça sur Malefoy comme un javelot.
épingle        	Malefoy parvint de justesse à éviter Harry qui prit un virage en épingle à cheveux et fondit à nouveau sur son adversaire.
mise           	Crabbe et Goyle ne sont plus là pour te sauver la mise ? lança Harry.
attraper       	– Attrape, si tu en es capable, cria-t-il.
film           	Comme dans un film au ralenti, Harry vit la boule s’élever dans les airs puis amorcer sa chute.
ralenti        	Comme dans un film au ralenti, Harry vit la boule s’élever dans les airs puis amorcer sa chute.
amorcer        	Comme dans un film au ralenti, Harry vit la boule s’élever dans les airs puis amorcer sa chute.
vertigineux    	Des cris se mêlaient au sifflement du vent dans ses oreilles, tandis qu’il fendait l’air à une vitesse vertigineuse.
cinquantaine   	Soudain, il tendit la main et réussit à attraper la boule à une cinquantaine de centimètres du sol, juste à temps pour pouvoir redresser le manche de son balai et atterrir en douceur sur la pelouse, en tenant le Rapeltout au creux de son poing.
creux          	Soudain, il tendit la main et réussit à attraper la boule à une cinquantaine de centimètres du sol, juste à temps pour pouvoir redresser le manche de son balai et atterrir en douceur sur la pelouse, en tenant le Rapeltout au creux de son poing.
arborer        	Harry aperçut Malefoy, Crabbe et Goyle qui arboraient un air triomphant en le regardant partir sur les talons du professeur McGonagall.
triomphant     	Harry aperçut Malefoy, Crabbe et Goyle qui arboraient un air triomphant en le regardant partir sur les talons du professeur McGonagall.
arpenter       	Elle ouvrait les portes à la volée et arpentait les couloirs, Harry sur ses talons.
assistant      	Peut-être pourrait-il devenir son assistant ?
bâton          	Avait-elle l’intention de lui donner des coups de bâton ?
cinquième      	Mais Dubois était en fait un élève de cinquième année, un garçon solide qui avait l’air très étonné d’être ainsi arraché à son cours.
juron          	Peeves lança la craie dans une corbeille et fila dans le couloir en poussant des jurons.
ravissement    	L’expression de Dubois passa de la surprise au ravissement.
sérieusement   	– Vous parlez sérieusement, professeur ?
descente       	– Il a attrapé cette boule de verre après une descente en piqué de quinze mètres, dit le professeur McGonagall.
piqué          	– Il a attrapé cette boule de verre après une descente en piqué de quinze mètres, dit le professeur McGonagall.
quinze         	– Il a attrapé cette boule de verre après une descente en piqué de quinze mètres, dit le professeur McGonagall.
égratignure    	Et il s’en est tiré sans la moindre égratignure.
assister       	– Tu as déjà assisté à un match de Quidditch, Potter ?
léger          	Léger, rapide… Il va falloir lui trouver un bon balai.
entorse        	– Je vais aller voir le professeur Dumbledore pour lui demander si on peut faire une entorse au règlement et fournir un balai à un élève de première année.
littéralement  	Nous avons été littéralement écrasés par les Serpentard.
intensif       	– Je veux que vous suiviez un entraînement intensif, Potter.
jouer          	Mais les première année ne jouent jamais… Tu vas être le plus jeune joueur depuis… – Un siècle, acheva Harry.
formidable     	On n’avait plus jamais gagné depuis le départ de Charlie, mais cette fois, on a une équipe formidable.
partir         	Fred et George étaient à peine partis que quelqu’un de beaucoup moins sympathique apparut : c’était Malefoy, accompagné de Crabbe et Goyle.
sympathique    	Fred et George étaient à peine partis que quelqu’un de beaucoup moins sympathique apparut : c’était Malefoy, accompagné de Crabbe et Goyle.
copain         	– Tu faisais moins le fier quand tu n’avais pas tes petits copains avec toi, répliqua Harry avec froideur.
qualificatif   	Le qualificatif de « petit » ne convenait guère à Crabbe et à Goyle, mais les professeurs étaient nombreux autour de la Grande Table et ni l’un ni l’autre ne put faire grand-chose à part froncer les sourcils.
vexer          	– Je te prends quand tu veux, dit Malefoy, vexé.
évaluer        	Malefoy se tourna vers Crabbe et Goyle et les évalua du regard.
trophée        	On se retrouve dans la salle des trophées, elle n’est jamais fermée.
entamer        	– Le second est là pour prendre ta place si tu es tué, répondit Ron d’un ton dégagé en entamant enfin sa tourte refroidie.
tourte         	– Le second est là pour prendre ta place si tu es tué, répondit Ron d’un ton dégagé en entamant enfin sa tourte refroidie.
refuser        	Je suis sûr qu’il s’attendait à ce que tu refuses.
jetter         	– Jette-la par terre et donne un coup de poing sur le nez de Malefoy, suggéra Ron.
paix           	– On ne peut pas dîner en paix ?
forcément      	Et vous serez forcément pris.
égoïste        	C’est vraiment très égoïste de votre part.
repos          	La nuit promettait de ne pas être de tout repos, pensa Harry tandis qu’il attendait, allongé sur son lit, l’heure d’aller au rendez-vous.
esquiver       	– S’il essaye de te jeter un sort, arrange-toi pour esquiver.
neutraliser    	Je ne me souviens plus de ce qu’il faut faire pour les neutraliser.
onze           	– Onze heures et demie, murmura Ron.
braise         	Quelques braises rougeoyaient encore dans l’âtre et les fauteuils avaient l’air de créatures informes, tapies dans la pénombre.
rougeoyer      	Quelques braises rougeoyaient encore dans l’âtre et les fauteuils avaient l’air de créatures informes, tapies dans la pénombre.
informe        	Quelques braises rougeoyaient encore dans l’âtre et les fauteuils avaient l’air de créatures informes, tapies dans la pénombre.
tapir          	Quelques braises rougeoyaient encore dans l’âtre et les fauteuils avaient l’air de créatures informes, tapies dans la pénombre.
trembloter     	La lueur d’une lampe tremblota dans l’obscurité et Hermione Granger apparut, vêtue d’une robe de chambre rose, les sourcils froncés.
froncer        	La lueur d’une lampe tremblota dans l’obscurité et Hermione Granger apparut, vêtue d’une robe de chambre rose, les sourcils froncés.
obstination    	Harry n’avait jamais vu quelqu’un montrer une telle obstination à se mêler des affaires d’autrui.
autrui         	Harry n’avait jamais vu quelqu’un montrer une telle obstination à se mêler des affaires d’autrui.
venir          	– Viens, dit-il à Ron.
ficher         	Vous vous en fichez de Gryffondor ?
prévenir       	– Très bien, mais je vous aurai prévenus.
toile          	Vous êtes vraiment des… Mais ils ne surent pas ce qu’ils étaient car en voulant faire à nouveau pivoter le portrait de la grosse dame pour retourner dans son dortoir, Hermione s’aperçut que la toile était vide.
rattraper      	Mais avant qu’ils aient atteint le bout du couloir, Hermione les avait rattrapés.
témoigner      	Vous pourrez témoigner en ma faveur.
faveur         	Vous pourrez témoigner en ma faveur.
culot          	– Tu ne manques pas de culot !
groin          	Le mot de passe, c’est Groin de porc, mais ça ne te servira à rien, la grosse dame est allée se promener.
taire          	Hermione s’apprêtait à répondre, mais Harry lui fit signe de se taire et se remit en chemin.
zébrer         	Ils parcoururent des couloirs zébrés de rayons de lune qui projetaient l’ombre des croisées sur le sol.
croisée        	Ils parcoururent des couloirs zébrés de rayons de lune qui projetaient l’ombre des croisées sur le sol.
encombre       	À chaque tournant, Harry s’attendait à se trouver nez à nez avec Rusard ou Miss Teigne, mais ils eurent de la chance et parvinrent à monter sans encombre au troisième étage où se trouvait la salle des trophées.
écu            	Derrière les vitrines de cristal, des coupes, des écus, des plateaux, des statuettes d’or et d’argent étincelaient dans la pénombre, à la lueur du clair de lune.
plateau        	Derrière les vitrines de cristal, des coupes, des écus, des plateaux, des statuettes d’or et d’argent étincelaient dans la pénombre, à la lueur du clair de lune.
statuette      	Derrière les vitrines de cristal, des coupes, des écus, des plateaux, des statuettes d’or et d’argent étincelaient dans la pénombre, à la lueur du clair de lune.
chercher       	– Cherche ma belle, cherche bien, ils doivent se cacher dans un coin. C’était Rusard qui parlait à Miss Teigne.
enfuir         	Frappé d’horreur, Harry fit des signes désespérés aux trois autres pour qu’ils s’enfuient le plus vite possible.
suivre         	Suivi des trois autres, Harry s’engagea dans une longue galerie où s’alignaient des armures.
apeuré         	Ils entendaient Rusard qui se rapprochait et Neville poussa brusquement un cri apeuré.
saisissant     	Il se mit à courir, trébucha, essaya de se rattraper en saisissant Ron par la taille et tous deux tombèrent en renversant une armure.
ensuivre       	Le vacarme qui s’ensuivit aurait suffi à réveiller tout le château.
on             	– ON FILE ! cria Harry et ils se mirent à courir sans se donner le temps de se retourner.
filer          	– ON FILE ! cria Harry et ils se mirent à courir sans se donner le temps de se retourner.
dédale         	Parvenus à l’extrémité de la galerie aux armures, ils prirent un virage serré et foncèrent à toutes jambes à travers un dédale de couloirs.
ralentir       	Ils passèrent derrière une tapisserie et s’engouffrèrent dans un passage secret qu’ils parcoururent sans ralentir l’allure.
haleine        	– Je crois bien qu’on l’a semé, dit Harry, hors d’haleine, s’appuyant contre un mur froid et s’essuyant le front.
plier          	Neville, plié en deux par un point de côté, essayait de retrouver sa respiration en émettant toutes sortes de bruits bizarres.
endolori       	– Je… vous… avais prévenus ! dit Hermione, le souffle court, la main sur sa poitrine endolorie.
piège          	– Malefoy t’a tendu un piège, dit Hermione à Harry, j’espère que tu t’en rends compte.
aigre          	– Alors, les petits nouveaux, on se promène dans les couloirs à minuit ? demanda-t-il de sa voix aigre.
dénoncer       	– Ne nous dénonce pas, s’il te plaît, supplia Harry.
supplier       	– Ne nous dénonce pas, s’il te plaît, supplia Harry.
vertueux       	– Je devrais le dire à Rusard, déclara-t-il d’une voix vertueuse.
malice         	Pour votre propre bien, ajouta-t-il, les yeux brillants de malice.
ficher         	Fiche le camp, laisse-nous passer, lança Ron en faisant un geste pour écarter Peeves.
écarter        	Fiche le camp, laisse-nous passer, lança Ron en faisant un geste pour écarter Peeves.
dortoir        	– ÉLÈVES HORS DU DORTOIR !
couloir        	ÉLÈVES HORS DU DORTOIR DANS LE COULOIR DES ENCHANTEMENTS !
fichu          	– On est fichus, gémit Ron tandis qu’ils essayaient vainement d’ouvrir la porte.
vainement      	– On est fichus, gémit Ron tandis qu’ils essayaient vainement d’ouvrir la porte.
provenir       	Ils entendaient les bruits de pas de Rusard qui courait le plus vite qu’il pouvait dans la direction d’où provenaient les cris de Peeves.
déclic         	Il y eut alors un déclic et la porte pivota sur ses gonds.
pivoter        	Il y eut alors un déclic et la porte pivota sur ses gonds.
chantonner     	– Je dirai quelque chose quand on me dira s’il te plaît, chantonna Peeves de son ton le plus exaspérant.
ha             	– QUELQUE CHOSE ! Ha ! Ha ! Ha ! Je vous avais prévenu.
rafale         	Harry et les trois autres entendirent un bruit semblable à une rafale de vent.
cauchemar      	Pendant un instant, il se demanda s’il ne faisait pas un cauchemar.
monstrueux     	Devant leurs yeux, un chien monstrueux remplissait tout l’espace entre le sol et le plafond.
dément         	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
museau         	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
flairer        	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
avidité        	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
gueule         	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
bavar          	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
croc           	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
jaunâtre       	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
filet          	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
corde          	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
tâtons         	Harry chercha à tâtons la poignée de la porte.
reculons       	Ils sortirent à reculons, claquèrent la porte derrière eux et se mirent à courir le long du couloir à une telle vitesse qu’ils avaient presque l’impression de voler.
maximum        	Rusard avait dû les chercher ailleurs, car ils ne l’aperçurent nulle part, mais peu leur importait, ils n’avaient plus qu’une idée en tête : mettre le maximum de distance entre le monstre et eux.
septième       	Ils ne s’arrêtèrent de courir que lorsqu’ils furent revenus devant le portrait de la grosse dame, au septième étage.
importance     	– Aucune importance, répliqua Harry, pantelant.
pantelant      	– Aucune importance, répliqua Harry, pantelant.
membre         	Ils s’engouffrèrent dans la salle commune et se laissèrent tomber dans des fauteuils, tremblant de tous leurs membres.
trappe         	Non, il n’était pas par terre, il était sur une trappe.
évident        	On l’a mis là pour garder quelque chose, c’est évident.
