vitre          	UNE VITRE DISPARAÎT
chaussette     	Harry se glissa lentement hors du lit et chercha ses chaussettes.
paire          	Il en trouva une paire sous le lit, et après avoir chassé l’araignée qui s’était installée dans l’une d’elles, il les enfila.
araignée       	Il en trouva une paire sous le lit, et après avoir chassé l’araignée qui s’était installée dans l’une d’elles, il les enfila.
enfiler        	Il en trouva une paire sous le lit, et après avoir chassé l’araignée qui s’était installée dans l’une d’elles, il les enfila.
habituer       	Harry était habitué aux araignées.
placard        	Le placard sous l’escalier en était plein.
couloir        	Lorsqu’il eut fini de s’habiller, il sortit dans le couloir et alla dans la cuisine.
table          	La table avait presque entièrement disparu sous une montagne de cadeaux.
montagne       	La table avait presque entièrement disparu sous une montagne de cadeaux.
cadeau         	La table avait presque entièrement disparu sous une montagne de cadeaux.
désirer        	Apparemment, Dudley avait eu le nouvel ordinateur qu’il désirait tant, sans parler de la deuxième télévision et du vélo de course.
course         	Apparemment, Dudley avait eu le nouvel ordinateur qu’il désirait tant, sans parler de la deuxième télévision et du vélo de course.
sport          	La raison pour laquelle Dudley voulait un vélo de course restait mystérieuse aux yeux de Harry, car Dudley était très gros et détestait faire du sport – sauf bien sûr lorsqu’il s’agissait de boxer quelqu’un.
sauf           	La raison pour laquelle Dudley voulait un vélo de course restait mystérieuse aux yeux de Harry, car Dudley était très gros et détestait faire du sport – sauf bien sûr lorsqu’il s’agissait de boxer quelqu’un.
boxer          	La raison pour laquelle Dudley voulait un vélo de course restait mystérieuse aux yeux de Harry, car Dudley était très gros et détestait faire du sport – sauf bien sûr lorsqu’il s’agissait de boxer quelqu’un.
punching-ball  	Son punching-ball, c’était Harry, mais il était rare qu’il parvienne à l’attraper.
attraper       	Son punching-ball, c’était Harry, mais il était rare qu’il parvienne à l’attraper.
rapide         	Même s’il n’en avait pas l’air, Harry était très rapide.
maigre         	Peut-être était-ce parce qu’il vivait dans un placard, en tout cas, Harry avait toujours été petit et maigre pour son âge.
obliger        	Il paraissait d’autant plus petit et maigre qu’il était obligé de porter les vieux vêtements de Dudley qui était à peu près quatre fois plus gros que lui.
vêtement       	Il paraissait d’autant plus petit et maigre qu’il était obligé de porter les vieux vêtements de Dudley qui était à peu près quatre fois plus gros que lui.
quatre         	Il paraissait d’autant plus petit et maigre qu’il était obligé de porter les vieux vêtements de Dudley qui était à peu près quatre fois plus gros que lui.
noueux         	Harry avait un visage mince, des genoux noueux, des cheveux noirs et des yeux d’un vert brillant.
rond           	Il portait des lunettes rondes qu’il avait fallu rafistoler avec du papier collant à cause des nombreux coups de poing que Dudley lui avait donnés sur le nez.
rafistoler     	Il portait des lunettes rondes qu’il avait fallu rafistoler avec du papier collant à cause des nombreux coups de poing que Dudley lui avait donnés sur le nez.
papier         	Il portait des lunettes rondes qu’il avait fallu rafistoler avec du papier collant à cause des nombreux coups de poing que Dudley lui avait donnés sur le nez.
collant        	Il portait des lunettes rondes qu’il avait fallu rafistoler avec du papier collant à cause des nombreux coups de poing que Dudley lui avait donnés sur le nez.
cause          	Il portait des lunettes rondes qu’il avait fallu rafistoler avec du papier collant à cause des nombreux coups de poing que Dudley lui avait donnés sur le nez.
poing          	Il portait des lunettes rondes qu’il avait fallu rafistoler avec du papier collant à cause des nombreux coups de poing que Dudley lui avait donnés sur le nez.
aimer          	La seule chose que Harry aimait bien dans son apparence physique, c’était la fine cicatrice qu’il portait sur le front et qui avait la forme d’un éclair.
apparence      	La seule chose que Harry aimait bien dans son apparence physique, c’était la fine cicatrice qu’il portait sur le front et qui avait la forme d’un éclair.
physique       	La seule chose que Harry aimait bien dans son apparence physique, c’était la fine cicatrice qu’il portait sur le front et qui avait la forme d’un éclair.
accident       	– Dans l’accident de voiture qui a tué tes parents, avait-elle répondu.
poser          	Et ne pose pas de questions.
règle          	Ne pose pas de questions – c’était la première règle à observer si l’on voulait vivre tranquille avec les Dursley.
tranche        	L’oncle Vernon entra dans la cuisine au moment où Harry retournait les tranches de bacon dans la poêle.
te             	– Va te peigner ! aboya Mr Dursley en guise de bonjour.
peigner        	– Va te peigner ! aboya Mr Dursley en guise de bonjour.
aboyer         	– Va te peigner ! aboya Mr Dursley en guise de bonjour.
guise          	– Va te peigner ! aboya Mr Dursley en guise de bonjour.
bonjour        	– Va te peigner ! aboya Mr Dursley en guise de bonjour.
environ        	Une fois par semaine environ, l’oncle Vernon levait les yeux de son journal pour crier haut et fort que Harry avait besoin de se faire couper les cheveux.
crier          	Une fois par semaine environ, l’oncle Vernon levait les yeux de son journal pour crier haut et fort que Harry avait besoin de se faire couper les cheveux.
besoin         	Une fois par semaine environ, l’oncle Vernon levait les yeux de son journal pour crier haut et fort que Harry avait besoin de se faire couper les cheveux.
couper         	Une fois par semaine environ, l’oncle Vernon levait les yeux de son journal pour crier haut et fort que Harry avait besoin de se faire couper les cheveux.
souvent        	Harry s’était fait couper les cheveux plus souvent que tous ses camarades de classe réunis, mais on ne voyait pas la différence, ils continuaient à pousser à leur guise –
camarade       	Harry s’était fait couper les cheveux plus souvent que tous ses camarades de classe réunis, mais on ne voyait pas la différence, ils continuaient à pousser à leur guise –
classe         	Harry s’était fait couper les cheveux plus souvent que tous ses camarades de classe réunis, mais on ne voyait pas la différence, ils continuaient à pousser à leur guise –
réunir         	Harry s’était fait couper les cheveux plus souvent que tous ses camarades de classe réunis, mais on ne voyait pas la différence, ils continuaient à pousser à leur guise –
différence     	Harry s’était fait couper les cheveux plus souvent que tous ses camarades de classe réunis, mais on ne voyait pas la différence, ils continuaient à pousser à leur guise –
cuire          	Harry était en train de faire cuire les œufs au plat lorsque Dudley arriva dans la cuisine en compagnie de sa mère.
œuf            	Harry était en train de faire cuire les œufs au plat lorsque Dudley arriva dans la cuisine en compagnie de sa mère.
plat           	Harry était en train de faire cuire les œufs au plat lorsque Dudley arriva dans la cuisine en compagnie de sa mère.
figure         	Il avait une grosse figure rose, un cou presque inexistant, de petits yeux bleus humides et d’épais cheveux blonds qui s’étalaient au sommet de sa tête épaisse et grasse.
inexistant     	Il avait une grosse figure rose, un cou presque inexistant, de petits yeux bleus humides et d’épais cheveux blonds qui s’étalaient au sommet de sa tête épaisse et grasse.
épais          	Il avait une grosse figure rose, un cou presque inexistant, de petits yeux bleus humides et d’épais cheveux blonds qui s’étalaient au sommet de sa tête épaisse et grasse.
étaler         	Il avait une grosse figure rose, un cou presque inexistant, de petits yeux bleus humides et d’épais cheveux blonds qui s’étalaient au sommet de sa tête épaisse et grasse.
sommet         	Il avait une grosse figure rose, un cou presque inexistant, de petits yeux bleus humides et d’épais cheveux blonds qui s’étalaient au sommet de sa tête épaisse et grasse.
gras           	Il avait une grosse figure rose, un cou presque inexistant, de petits yeux bleus humides et d’épais cheveux blonds qui s’étalaient au sommet de sa tête épaisse et grasse.
chérubin       	La tante Pétunia disait souvent que Dudley avait l’air d’un chérubin – et Harry disait souvent qu’il avait l’air d’un cochon avec une perruque.
cochon         	La tante Pétunia disait souvent que Dudley avait l’air d’un chérubin – et Harry disait souvent qu’il avait l’air d’un cochon avec une perruque.
perruque       	La tante Pétunia disait souvent que Dudley avait l’air d’un chérubin – et Harry disait souvent qu’il avait l’air d’un cochon avec une perruque.
remplir        	Harry essaya de disposer sur la table les assiettes remplies d’œufs au bacon, ce qui n’était pas facile en raison du peu de place qui restait.
facile         	Harry essaya de disposer sur la table les assiettes remplies d’œufs au bacon, ce qui n’était pas facile en raison du peu de place qui restait.
compter        	Pendant ce temps, Dudley comptait ses cadeaux.
terminer       	Lorsqu’il eut terminé, ses joues s’affaissèrent.
affaisser      	Lorsqu’il eut terminé, ses joues s’affaissèrent.
paquet         	– Mon petit chéri, tu n’as pas compté le cadeau de la tante Marge, regarde, il est là, sous ce gros paquet que Papa et Maman t’ont offert.
papa           	– Mon petit chéri, tu n’as pas compté le cadeau de la tante Marge, regarde, il est là, sous ce gros paquet que Papa et Maman t’ont offert.
maman          	– Mon petit chéri, tu n’as pas compté le cadeau de la tante Marge, regarde, il est là, sous ce gros paquet que Papa et Maman t’ont offert.
offrir         	– Mon petit chéri, tu n’as pas compté le cadeau de la tante Marge, regarde, il est là, sous ce gros paquet que Papa et Maman t’ont offert.
rouge          	– D’accord, ça fait trente-sept, dit Dudley qui commençait à devenir tout rouge.
empresser      	Harry, qui sentait venir une de ces grosses colères dont Dudley avait le secret, s’empressa d’engloutir ses œufs au bacon avant que l’idée vienne à son cousin de renverser la table.
engloutir      	Harry, qui sentait venir une de ces grosses colères dont Dudley avait le secret, s’empressa d’engloutir ses œufs au bacon avant que l’idée vienne à son cousin de renverser la table.
danger         	De toute évidence, la tante Pétunia avait également senti le danger.
précipitamment 	– Et nous allons encore t’acheter deux autres cadeaux, dit-elle précipitamment, quand nous sortirons tout à l’heure.
agneau         	Qu’est-ce que tu en dis, mon petit agneau ?
deux           	Deux autres cadeaux.
exercice       	Apparemment, c’était un exercice difficile.
trente         	Enfin, il dit lentement : – Donc, j’en aurai trente… trente… – Trente-neuf, mon canard adoré, dit la tante Pétunia.
canard         	Enfin, il dit lentement : – Donc, j’en aurai trente… trente… – Trente-neuf, mon canard adoré, dit la tante Pétunia.
adorer         	Enfin, il dit lentement : – Donc, j’en aurai trente… trente… – Trente-neuf, mon canard adoré, dit la tante Pétunia.
lourdement     	Dudley se laissa tomber lourdement sur une chaise et attrapa le paquet le plus proche.
ébouriffer     	dit-il en ébouriffant les cheveux de son fils.
sonner         	À ce moment, le téléphone sonna et la tante Pétunia alla répondre pendant que Harry et l’oncle Vernon regardaient Dudley déballer le vélo de course, un caméscope, un avion radio-commandé, seize nouveaux jeux vidéo et un magnétoscope.
déballer       	À ce moment, le téléphone sonna et la tante Pétunia alla répondre pendant que Harry et l’oncle Vernon regardaient Dudley déballer le vélo de course, un caméscope, un avion radio-commandé, seize nouveaux jeux vidéo et un magnétoscope.
caméscope      	À ce moment, le téléphone sonna et la tante Pétunia alla répondre pendant que Harry et l’oncle Vernon regardaient Dudley déballer le vélo de course, un caméscope, un avion radio-commandé, seize nouveaux jeux vidéo et un magnétoscope.
avion          	À ce moment, le téléphone sonna et la tante Pétunia alla répondre pendant que Harry et l’oncle Vernon regardaient Dudley déballer le vélo de course, un caméscope, un avion radio-commandé, seize nouveaux jeux vidéo et un magnétoscope.
seize          	À ce moment, le téléphone sonna et la tante Pétunia alla répondre pendant que Harry et l’oncle Vernon regardaient Dudley déballer le vélo de course, un caméscope, un avion radio-commandé, seize nouveaux jeux vidéo et un magnétoscope.
jeu            	À ce moment, le téléphone sonna et la tante Pétunia alla répondre pendant que Harry et l’oncle Vernon regardaient Dudley déballer le vélo de course, un caméscope, un avion radio-commandé, seize nouveaux jeux vidéo et un magnétoscope.
vidéo          	À ce moment, le téléphone sonna et la tante Pétunia alla répondre pendant que Harry et l’oncle Vernon regardaient Dudley déballer le vélo de course, un caméscope, un avion radio-commandé, seize nouveaux jeux vidéo et un magnétoscope.
magnétoscope   	À ce moment, le téléphone sonna et la tante Pétunia alla répondre pendant que Harry et l’oncle Vernon regardaient Dudley déballer le vélo de course, un caméscope, un avion radio-commandé, seize nouveaux jeux vidéo et un magnétoscope.
déchirer       	Il était occupé à déchirer le papier qui enveloppait une montre en or lorsque la tante Pétunia revint dans la cuisine, l’air à la fois furieux et inquiet.
inquiet        	Il était occupé à déchirer le papier qui enveloppait une montre en or lorsque la tante Pétunia revint dans la cuisine, l’air à la fois furieux et inquiet.
mauvais        	– Mauvaise nouvelle, Vernon.
casser         	Mrs Figg s’est cassé une jambe.
horrifier      	Horrifié, Dudley resta bouche bée.
bondir         	Harry, lui, sentit son cœur bondir de joie.
chaque         	Chaque année, le jour de l’anniversaire de Dudley, ses parents l’emmenaient avec un ami dans des parcs d’attractions, au cinéma ou dans des fast-foods où il pouvait se gaver de hamburgers.
emmener        	Chaque année, le jour de l’anniversaire de Dudley, ses parents l’emmenaient avec un ami dans des parcs d’attractions, au cinéma ou dans des fast-foods où il pouvait se gaver de hamburgers.
ami            	Chaque année, le jour de l’anniversaire de Dudley, ses parents l’emmenaient avec un ami dans des parcs d’attractions, au cinéma ou dans des fast-foods où il pouvait se gaver de hamburgers.
parc           	Chaque année, le jour de l’anniversaire de Dudley, ses parents l’emmenaient avec un ami dans des parcs d’attractions, au cinéma ou dans des fast-foods où il pouvait se gaver de hamburgers.
attraction     	Chaque année, le jour de l’anniversaire de Dudley, ses parents l’emmenaient avec un ami dans des parcs d’attractions, au cinéma ou dans des fast-foods où il pouvait se gaver de hamburgers.
cinéma         	Chaque année, le jour de l’anniversaire de Dudley, ses parents l’emmenaient avec un ami dans des parcs d’attractions, au cinéma ou dans des fast-foods où il pouvait se gaver de hamburgers.
gaver          	Chaque année, le jour de l’anniversaire de Dudley, ses parents l’emmenaient avec un ami dans des parcs d’attractions, au cinéma ou dans des fast-foods où il pouvait se gaver de hamburgers.
hamburger      	Chaque année, le jour de l’anniversaire de Dudley, ses parents l’emmenaient avec un ami dans des parcs d’attractions, au cinéma ou dans des fast-foods où il pouvait se gaver de hamburgers.
chou           	Toute la maison sentait le chou et Mrs Figg passait son temps à lui montrer les photos de tous les chats qu’elle avait eus.
malin          	– C’est malin ! dit la tante Pétunia en jetant un regard furieux à Harry comme si c’était lui qui était responsable de la situation.
responsable    	– C’est malin ! dit la tante Pétunia en jetant un regard furieux à Harry comme si c’était lui qui était responsable de la situation.
situation      	– C’est malin ! dit la tante Pétunia en jetant un regard furieux à Harry comme si c’était lui qui était responsable de la situation.
éprouver       	Harry savait bien qu’il aurait dû éprouver un peu de compassion pour cette pauvre Mrs Figg, mais ce n’était pas facile, car il pensait surtout qu’il s’écoulerait encore une année entière avant qu’il soit obligé de regarder à nouveau les photos de Pompom, Patounet, Mistigri et Mignonnette.
compassion     	Harry savait bien qu’il aurait dû éprouver un peu de compassion pour cette pauvre Mrs Figg, mais ce n’était pas facile, car il pensait surtout qu’il s’écoulerait encore une année entière avant qu’il soit obligé de regarder à nouveau les photos de Pompom, Patounet, Mistigri et Mignonnette.
entier         	Harry savait bien qu’il aurait dû éprouver un peu de compassion pour cette pauvre Mrs Figg, mais ce n’était pas facile, car il pensait surtout qu’il s’écoulerait encore une année entière avant qu’il soit obligé de regarder à nouveau les photos de Pompom, Patounet, Mistigri et Mignonnette.
suggérer       	– On pourrait peut-être téléphoner à Marge, suggéra l’oncle Vernon.
bêtise         	– Ne dis pas de bêtises, Vernon, tu sais bien qu’elle déteste cet enfant.
dégoûtant      	Les Dursley parlaient souvent de Harry de cette façon, en faisant comme s’il n’était pas là – ou plutôt comme s’il était un être dégoûtant, une sorte de limace incapable de comprendre ce qu’ils disaient.
sorte          	Les Dursley parlaient souvent de Harry de cette façon, en faisant comme s’il n’était pas là – ou plutôt comme s’il était un être dégoûtant, une sorte de limace incapable de comprendre ce qu’ils disaient.
limace         	Les Dursley parlaient souvent de Harry de cette façon, en faisant comme s’il n’était pas là – ou plutôt comme s’il était un être dégoûtant, une sorte de limace incapable de comprendre ce qu’ils disaient.
ami            	– Et ton amie… comment s’appelle-t-elle déjà ?
vacance        	Elle est en vacances à Majorque, répliqua sèchement la tante Pétunia.
intervenir     	– Vous n’avez qu’à me laisser ici, intervint Harry plein d’espoir.
espoir         	– Vous n’avez qu’à me laisser ici, intervint Harry plein d’espoir.
grincer        	– C’est ça, grinça-t-elle, et quand nous reviendrons, la maison sera en ruine ?
ruine          	– C’est ça, grinça-t-elle, et quand nous reviendrons, la maison sera en ruine ?
sauter         	– Je ne ferai pas sauter la maison, assura Harry, mais ils ne l’écoutaient plus.
écouter        	– Je ne ferai pas sauter la maison, assura Harry, mais ils ne l’écoutaient plus.
zoo            	Nous pourrions peut-être l’emmener au zoo, dit la tante Pétunia, et le laisser dans la voiture en nous attendant.
neuf           	– La voiture est toute neuve, pas question de le laisser tout seul dedans, trancha Mr Dursley.
dedans         	– La voiture est toute neuve, pas question de le laisser tout seul dedans, trancha Mr Dursley.
trancher       	– La voiture est toute neuve, pas question de le laisser tout seul dedans, trancha Mr Dursley.
pleurer        	Dudley se mit à pleurer bruyamment.
bruyamment     	Dudley se mit à pleurer bruyamment.
verser         	Il y avait des années qu’il ne versait plus de vraies larmes, mais il savait que dès qu’il commençait à se tordre le visage en gémissant, sa mère était prête à lui accorder tout ce qu’il voulait.
dès            	Il y avait des années qu’il ne versait plus de vraies larmes, mais il savait que dès qu’il commençait à se tordre le visage en gémissant, sa mère était prête à lui accorder tout ce qu’il voulait.
tordre         	Il y avait des années qu’il ne versait plus de vraies larmes, mais il savait que dès qu’il commençait à se tordre le visage en gémissant, sa mère était prête à lui accorder tout ce qu’il voulait.
gémir          	Il y avait des années qu’il ne versait plus de vraies larmes, mais il savait que dès qu’il commençait à se tordre le visage en gémissant, sa mère était prête à lui accorder tout ce qu’il voulait.
gâcher         	Maman ne va pas le laisser gâcher ta plus belle journée, s’écria Mrs Dursley en le serrant dans ses bras.
secouer        	– Je… veux… pas… qu’il… vienne ! hurla Dudley d’une voix secouée de faux sanglots.
faux           	– Je… veux… pas… qu’il… vienne ! hurla Dudley d’une voix secouée de faux sanglots.
sanglot        	– Je… veux… pas… qu’il… vienne ! hurla Dudley d’une voix secouée de faux sanglots.
horrible       	Dudley adressa alors à Harry un horrible sourire entre les bras de sa mère.
sonnette       	Au même moment, la sonnette de la porte d’entrée retentit.
retentir       	Au même moment, la sonnette de la porte d’entrée retentit.
dieu           	Oh, mon Dieu, les voilà ! dit précipitamment la tante Pétunia.
efflanquer     	Piers était un garçon efflanqué avec une tête de rat.
rat            	Piers était un garçon efflanqué avec une tête de rat.
taper          	Quand Dudley tapait sur quelqu’un, c’était toujours lui qui tenait par-derrière les mains de la victime, pour l’empêcher de se défendre.
défendre       	Quand Dudley tapait sur quelqu’un, c’était toujours lui qui tenait par-derrière les mains de la victime, pour l’empêcher de se défendre.
cesser         	Dudley cessa aussitôt sa comédie.
comédie        	Dudley cessa aussitôt sa comédie.
arrière        	Une demi-heure plus tard, Harry, qui n’en croyait pas sa chance, était assis à l’arrière de la voiture des Dursley, en compagnie de Piers et Dudley.
visiter        	Pour la première fois de sa vie, il allait visiter le zoo.
solution       	Son oncle et sa tante n’avaient pas trouvé d’autre solution que de l’emmener avec eux, mais avant de partir, l’oncle Vernon avait pris Harry à part.
prévenir       	– Je te préviens, avait-il dit, sa grosse figure rouge tout contre le visage de Harry, je te préviens que s’il se produit la moindre chose bizarre, tu ne sortiras pas de ce placard avant Noël.
Noël           	– Je te préviens, avait-il dit, sa grosse figure rouge tout contre le visage de Harry, je te préviens que s’il se produit la moindre chose bizarre, tu ne sortiras pas de ce placard avant Noël.
promettre      	– Je ne ferai rien, assura Harry, c’est promis.
refuser        	Le problème, c’était qu’il se passait souvent des choses étranges autour de Harry et les Dursley refusaient de croire qu’il n’y était pour rien.
fatigué        	Un jour, la tante Pétunia, fatiguée de voir Harry sortir de chez le coiffeur avec la même tête que s’il n’y était pas allé du tout, avait pris une paire de gros ciseaux et lui avait coupé les cheveux si court qu’il en était devenu presque chauve.
coiffeur       	Un jour, la tante Pétunia, fatiguée de voir Harry sortir de chez le coiffeur avec la même tête que s’il n’y était pas allé du tout, avait pris une paire de gros ciseaux et lui avait coupé les cheveux si court qu’il en était devenu presque chauve.
ciseau         	Un jour, la tante Pétunia, fatiguée de voir Harry sortir de chez le coiffeur avec la même tête que s’il n’y était pas allé du tout, avait pris une paire de gros ciseaux et lui avait coupé les cheveux si court qu’il en était devenu presque chauve.
