tennis       	 -souris, et des yeux verts globuleux de la taille d’une balle de tennis.
restriction  	 Comme vous le savez, les sorciers de premier cycle ne sont pas autorisés à jeter des sorts en dehors de l’école et toute récidive dans l’utilisation de tels sortilèges pourrait entraîner votre expulsion de ladite école (décret sur la Restriction de l’usage de la magie chez les sorciers de premier cycle, article 1875, alinéa C).
alinéa       	 Comme vous le savez, les sorciers de premier cycle ne sont pas autorisés à jeter des sorts en dehors de l’école et toute récidive dans l’utilisation de tels sortilèges pourrait entraîner votre expulsion de ladite école (décret sur la Restriction de l’usage de la magie chez les sorciers de premier cycle, article 1875, alinéa C).
susceptible  	 Nous vous rappelons également que toute pratique de sorcellerie susceptible d’être remarquée par des membres de la communauté non magique (Moldus) constitue un délit puni par l’article 13 du code du secret établi par la Confédération internationale des mages et sorciers.
communauté   	 Nous vous rappelons également que toute pratique de sorcellerie susceptible d’être remarquée par des membres de la communauté non magique (Moldus) constitue un délit puni par l’article 13 du code du secret établi par la Confédération internationale des mages et sorciers.
délit        	 Nous vous rappelons également que toute pratique de sorcellerie susceptible d’être remarquée par des membres de la communauté non magique (Moldus) constitue un délit puni par l’article 13 du code du secret établi par la Confédération internationale des mages et sorciers.
assurance    	 En vous souhaitant d’agréables vacances, nous vous prions de croire, cher Mr Potter, en l’assurance de nos sentiments distingués.
abusif       	 Service des Usages abusifs de la Magie.
déglutir     	 Harry releva la tête et déglutit avec difficulté.
bouledogue   	 Il avait l’air d’un énorme bouledogue toutes dents dehors.
boucler      	 Le reste du temps, il était bouclé dans sa chambre.
intraitable  	 Trois jours passèrent et les Dursley se montraient toujours aussi intraitables.
exclusion    	 À quoi bon essayer de s’échapper par la magie si cela devait entraîner son exclusion de Poudlard ?
soupe        	 La trappe aménagée dans la porte bascula et la main de la tante Pétunia apparut, poussant à l’intérieur de la chambre un bol rempli de soupe en boîte.
lampée       	 La soupe était froide, ce qui ne l’empêcha pas d’en avaler la moitié d’une seule lampée.
mangeoire    	 Il traversa alors la chambre et versa dans la mangeoire vide d’Hedwige les quelques morceaux de légumes détrempés restés au fond du bol.
détremper    	 Il traversa alors la chambre et versa dans la mangeoire vide d’Hedwige les quelques morceaux de légumes détrempés restés au fond du bol.
gargouiller  	 Épuisé, l’estomac gargouillant, tournant et retournant sans cesse dans sa tête les mêmes questions insolubles, Harry sombra dans un sommeil agité.
insoluble    	 Épuisé, l’estomac gargouillant, tournant et retournant sans cesse dans sa tête les mêmes questions insolubles, Harry sombra dans un sommeil agité.
litière      	 Allongé sur une litière de paille, faible et affamé, il voyait les visiteurs le regarder avec des yeux ronds.
paille       	 Allongé sur une litière de paille, faible et affamé, il voyait les visiteurs le regarder avec des yeux ronds.
lancinant    	 – Arrête, marmonnait Harry, tandis que le bruit lancinant des coups sur le métal martelait son cerveau douloureux.
consteller   	 Le clair de lune entrait par la fenêtre et quelqu’un l’observait véritablement à travers les barreaux : un visage constellé de taches de son, avec des cheveux roux et un long nez.
