octobre       	 Octobre
mimi          	 Vite, demi-tour, je ne veux pas parler à Mimi Geignarde…
inondation    	 Elles ont été inutilisables pendant toute l’année parce qu’elle n’arrêtait pas de piquer des crises en provoquant des inondations.
gourmand      	 Ils s’en approchèrent d’un air gourmand mais se figèrent soudain sur place avec une grimace horrifiée.
amoncellement 	 De gros poissons pourris s’étalaient sur des plats d’argent, entre des amoncellements de gâteaux brûlés comme du charbon.
grouillant    	 Il y avait aussi un énorme hachis grouillant de vers et un morceau de fromage couvert de moisissure verdâtre.
moisissure    	 Il y avait aussi un énorme hachis grouillant de vers et un morceau de fromage couvert de moisissure verdâtre.
tombal        	 Au milieu de la table, à la place d’honneur, se dressait un gigantesque gâteau en forme de pierre tombale sur lequel était écrit en lettres noires : Sir Nicholas de Mimsy-Porpington mort le 31 octobre 1492
corpulent     	 , Harry regarda un fantôme corpulent s’approcher de la table, s’accroupir et s’avancer, la bouche grande ouverte, pour traverser l’un des saumons pestilentiels.
docte         	 – J’imagine qu’ils ont tout laissé pourrir pour donner un goût plus fort, dit Hermione d’un air docte.
putride       	 Elle se pinça le nez et se pencha pour examiner le hachis putride.
aimablement   	 proposa-t-il aimablement en leur tendant un bol rempli de cacahuètes pourries.
trapu         	 Mimi était un fantôme de jeune fille, petite et trapue avec le visage le plus maussade qu’on puisse imaginer, à demi caché sous de longs cheveux pendants et une paire de lunettes aux verres épais.
faussement    	 demanda Hermione d’un ton faussement enjoué.
enjoué        	 demanda Hermione d’un ton faussement enjoué.
moche         	 Mimi la moche !
râleur        	 Mimi geignarde, Mimi râleuse, Mimi minable !
boutonneux   	 – Tu as oublié « boutonneuse », lui souffla Peeves à l’oreille.
veuf         	 La Veuve pleureuse est venue spécialement du Kent… Il va bientôt être l’heure de mon discours.
pleureur      	 La Veuve pleureuse est venue spécialement du Kent… Il va bientôt être l’heure de mon discours.
orchestre     	 Je vais prévenir l’orchestre.
cor           	 Le son d’un cor de chasse venait de retentir.
cabrer        	 Les chevaux galopèrent jusqu’à la piste de danse, puis s’arrêtèrent au milieu en se cabrant avec élégance.
élégance      	 Les chevaux galopèrent jusqu’à la piste de danse, puis s’arrêtèrent au milieu en se cabrant avec élégance.
stature       	 En tête de la troupe, un fantôme de haute stature tenait sous le bras sa tête qui sonnait du cor.
hilarité      	 Il fit semblant de sursauter et sa tête tomba à nouveau, provoquant l’hilarité générale.
hôte          	 – Moi, dit Harry, répondant à un coup d’œil appuyé de son hôte, je trouve que Nick est très… effrayant et, heu…
regretté      	 – Mes regrettés Lords, Mesdames et Messieurs, j’ai le très grand chagrin de… Mais personne n’en entendit davantage.
chagrin       	 – Mes regrettés Lords, Mesdames et Messieurs, j’ai le très grand chagrin de… Mais personne n’en entendit davantage.
compagnon     	 Sir Patrick et ses compagnons venaient de se lancer dans une partie de hockey en utilisant leur tête en guise de balle.
hockey        	 Sir Patrick et ses compagnons venaient de se lancer dans une partie de hockey en utilisant leur tête en guise de balle.
montant       	 Il entendait la voix qui continuait de s’éloigner en montant dans les étages.
meurtre       	 – Il va y avoir un meurtre !
martèlement   	 Sans prêter attention à Ron et à Hermione qui le regardaient avec stupéfaction, il monta les marches quatre à quatre, en essayant d’entendre la voix malgré le martèlement de ses pas.
héritier      	 ENNEMIS DE L’HÉRITIER, PRENEZ GARDE.
flaque        	 Lorsqu’ils s’approchèrent un peu plus, Harry faillit tomber en glissant dans une flaque d’eau, mais Ron et Hermione le rattrapèrent de justesse.
torchère      	 Miss Teigne, la chatte du concierge, était pendue par la queue à une torchère.
repu          	 De chaque extrémité du couloir leur parvenaient les conversations joyeuses des élèves repus et le bruit de centaines de pieds qui montaient les escaliers.
empourprer    	 Ses yeux froids flamboyaient et son visage habituellement pâle s’était empourpré.
