HPfrb1ch03-0001	nulle              	LES LETTRES DE NULLE PART
HPfrb1ch03-0053	bassine            	Le lendemain matin, au petit déjeuner, une odeur pestilentielle se dégageait d’une grande bassine posée dans l’évier de la cuisine.
HPfrb1ch03-0054	évier              	Le lendemain matin, au petit déjeuner, une odeur pestilentielle se dégageait d’une grande bassine posée dans l’évier de la cuisine.
HPfrb1ch03-0055	guenille           	Harry s’approcha et vit de vieilles guenilles qui flottaient dans une eau grisâtre.
HPfrb1ch03-0056	flotter            	Harry s’approcha et vit de vieilles guenilles qui flottaient dans une eau grisâtre.
HPfrb1ch03-0057	eau                	Harry s’approcha et vit de vieilles guenilles qui flottaient dans une eau grisâtre.
HPfrb1ch03-0058	grisâtre           	Harry s’approcha et vit de vieilles guenilles qui flottaient dans une eau grisâtre.
HPfrb1ch03-0059	audace             	Elle pinça les lèvres, choquée qu’il ait l’audace de poser la question.
HPfrb1ch03-0060	tremper            	Je ne savais pas qu’il fallait le faire tremper dans l’eau.
HPfrb1ch03-0061	teindre            	J’ai teint en gris des vieilles affaires de Dudley.
HPfrb1ch03-0062	affaire            	J’ai teint en gris des vieilles affaires de Dudley.
HPfrb1ch03-0063	suffire            	Ça te suffira bien comme uniforme, il ne sera guère différent des autres.
HPfrb1ch03-0064	guère              	Ça te suffira bien comme uniforme, il ne sera guère différent des autres.
HPfrb1ch03-0065	discuter           	Harry en doutait, mais il était inutile de discuter.
HPfrb1ch03-0066	rentrée            	Il se demanda à quoi il ressemblerait, là-dedans, le jour de la rentrée.
HPfrb1ch03-0067	peau               	On aurait dit des morceaux de peau arrachés à un vieil éléphant.
HPfrb1ch03-0068	éléphant           	On aurait dit des morceaux de peau arrachés à un vieil éléphant.
HPfrb1ch03-0069	froncer            	Dudley et l’oncle Vernon entrèrent dans la cuisine en fronçant le nez à cause de l’odeur que répandait la bassine.
HPfrb1ch03-0070	répandre           	Dudley et l’oncle Vernon entrèrent dans la cuisine en fronçant le nez à cause de l’odeur que répandait la bassine.
HPfrb1ch03-0071	séparer            	L’oncle Vernon ouvrit son journal comme à l’ordinaire et Dudley donna sur la table un coup de sa canne dont il ne se séparait plus.
HPfrb1ch03-0072	facteur            	Ils entendirent alors le facteur glisser le courrier dans la boîte aux lettres de la porte d’entrée.
HPfrb1ch03-0073	courrier           	Ils entendirent alors le facteur glisser le courrier dans la boîte aux lettres de la porte d’entrée.
HPfrb1ch03-0074	donner             	– Donne-lui un coup de canne, Dudley.
HPfrb1ch03-0075	postal             	Il y avait trois lettres : une carte postale de Marge, la sœur de l’oncle Vernon, qui était en vacances à l’île de Wight, une enveloppe de papier kraft qui devait être une facture et… une lettre pour Harry !
HPfrb1ch03-0076	île                	Il y avait trois lettres : une carte postale de Marge, la sœur de l’oncle Vernon, qui était en vacances à l’île de Wight, une enveloppe de papier kraft qui devait être une facture et… une lettre pour Harry !
HPfrb1ch03-0077	enveloppe          	Il y avait trois lettres : une carte postale de Marge, la sœur de l’oncle Vernon, qui était en vacances à l’île de Wight, une enveloppe de papier kraft qui devait être une facture et… une lettre pour Harry !
HPfrb1ch03-0078	kraft              	Il y avait trois lettres : une carte postale de Marge, la sœur de l’oncle Vernon, qui était en vacances à l’île de Wight, une enveloppe de papier kraft qui devait être une facture et… une lettre pour Harry !
HPfrb1ch03-0079	facture            	Il y avait trois lettres : une carte postale de Marge, la sœur de l’oncle Vernon, qui était en vacances à l’île de Wight, une enveloppe de papier kraft qui devait être une facture et… une lettre pour Harry !
HPfrb1ch03-0080	poitrine           	Son cœur faisait de grands bonds dans sa poitrine, comme une balle en caoutchouc.
HPfrb1ch03-0081	balle              	Son cœur faisait de grands bonds dans sa poitrine, comme une balle en caoutchouc.
HPfrb1ch03-0082	caoutchouc         	Son cœur faisait de grands bonds dans sa poitrine, comme une balle en caoutchouc.
HPfrb1ch03-0083	bibliothèque       	Il n’avait pas d’amis, pas de parents autres que son oncle et sa tante, il n’était même pas inscrit à la bibliothèque, ce qui lui évitait de recevoir des mots désagréables exigeant le retour de livres empruntés.
HPfrb1ch03-0084	exiger             	Il n’avait pas d’amis, pas de parents autres que son oncle et sa tante, il n’était même pas inscrit à la bibliothèque, ce qui lui évitait de recevoir des mots désagréables exigeant le retour de livres empruntés.
HPfrb1ch03-0085	retour             	Il n’avait pas d’amis, pas de parents autres que son oncle et sa tante, il n’était même pas inscrit à la bibliothèque, ce qui lui évitait de recevoir des mots désagréables exigeant le retour de livres empruntés.
HPfrb1ch03-0086	adresse            	Et pourtant, il avait entre les mains une lettre dont l’adresse ne pouvait prêter à confusion : Mr H. Potter Dans le placard sous l’escalier 4, Privet Drive Little Whinging Surrey L’enveloppe, lourde et épaisse, était faite d’un parchemin jauni et l’adresse était écrite à l’encre vert émeraude.
HPfrb1ch03-0087	lourd              	Et pourtant, il avait entre les mains une lettre dont l’adresse ne pouvait prêter à confusion : Mr H. Potter Dans le placard sous l’escalier 4, Privet Drive Little Whinging Surrey L’enveloppe, lourde et épaisse, était faite d’un parchemin jauni et l’adresse était écrite à l’encre vert émeraude.
HPfrb1ch03-0088	épais              	Et pourtant, il avait entre les mains une lettre dont l’adresse ne pouvait prêter à confusion : Mr H. Potter Dans le placard sous l’escalier 4, Privet Drive Little Whinging Surrey L’enveloppe, lourde et épaisse, était faite d’un parchemin jauni et l’adresse était écrite à l’encre vert émeraude.
HPfrb1ch03-0089	parchemin          	Et pourtant, il avait entre les mains une lettre dont l’adresse ne pouvait prêter à confusion : Mr H. Potter Dans le placard sous l’escalier 4, Privet Drive Little Whinging Surrey L’enveloppe, lourde et épaisse, était faite d’un parchemin jauni et l’adresse était écrite à l’encre vert émeraude.
HPfrb1ch03-0090	jaunir             	Et pourtant, il avait entre les mains une lettre dont l’adresse ne pouvait prêter à confusion : Mr H. Potter Dans le placard sous l’escalier 4, Privet Drive Little Whinging Surrey L’enveloppe, lourde et épaisse, était faite d’un parchemin jauni et l’adresse était écrite à l’encre vert émeraude.
HPfrb1ch03-0091	timbre             	Il n’y avait pas de timbre.
HPfrb1ch03-0092	sceau              	En retournant l’enveloppe, les mains tremblantes, Harry vit un sceau de cire frappé d’un écusson qui représentait un aigle, un lion, un blaireau et un serpent entourant la lettre « P ».
HPfrb1ch03-0093	cire               	En retournant l’enveloppe, les mains tremblantes, Harry vit un sceau de cire frappé d’un écusson qui représentait un aigle, un lion, un blaireau et un serpent entourant la lettre « P ».
HPfrb1ch03-0094	frapper            	En retournant l’enveloppe, les mains tremblantes, Harry vit un sceau de cire frappé d’un écusson qui représentait un aigle, un lion, un blaireau et un serpent entourant la lettre « P ».
HPfrb1ch03-0095	écusson            	En retournant l’enveloppe, les mains tremblantes, Harry vit un sceau de cire frappé d’un écusson qui représentait un aigle, un lion, un blaireau et un serpent entourant la lettre « P ».
HPfrb1ch03-0096	aigle              	En retournant l’enveloppe, les mains tremblantes, Harry vit un sceau de cire frappé d’un écusson qui représentait un aigle, un lion, un blaireau et un serpent entourant la lettre « P ».
HPfrb1ch03-0097	lion               	En retournant l’enveloppe, les mains tremblantes, Harry vit un sceau de cire frappé d’un écusson qui représentait un aigle, un lion, un blaireau et un serpent entourant la lettre « P ».
HPfrb1ch03-0098	blaireau           	En retournant l’enveloppe, les mains tremblantes, Harry vit un sceau de cire frappé d’un écusson qui représentait un aigle, un lion, un blaireau et un serpent entourant la lettre « P ».
HPfrb1ch03-0099	entourer           	En retournant l’enveloppe, les mains tremblantes, Harry vit un sceau de cire frappé d’un écusson qui représentait un aigle, un lion, un blaireau et un serpent entourant la lettre « P ».
HPfrb1ch03-0100	piéger             	Tu regardes s’il n’y a pas de lettre piégée ?
HPfrb1ch03-0101	plaisanterie       	Sa plaisanterie le fit éclater de rire.
HPfrb1ch03-0102	entreprendre       	Il donna à l’oncle Vernon la carte postale et la facture puis il s’assit et entreprit de décacheter l’enveloppe jaune.
HPfrb1ch03-0103	décacheter         	Il donna à l’oncle Vernon la carte postale et la facture puis il s’assit et entreprit de décacheter l’enveloppe jaune.
HPfrb1ch03-0104	jaune              	Il donna à l’oncle Vernon la carte postale et la facture puis il s’assit et entreprit de décacheter l’enveloppe jaune.
HPfrb1ch03-0105	dégoûter           	L’oncle Vernon poussa un grognement dégoûté en ouvrant l’enveloppe de la facture et lut ce qui était écrit au dos de la carte postale.
HPfrb1ch03-0106	coquillage         	Elle a mangé un drôle de coquillage.
HPfrb1ch03-0107	papa               	– Papa !
HPfrb1ch03-0108	déplier            	Harry était sur le point de déplier sa lettre, écrite sur un parchemin semblable à celui de l’enveloppe, lorsque l’oncle Vernon la lui arracha des mains.
HPfrb1ch03-0109	protester          	protesta Harry en essayant de la reprendre.
HPfrb1ch03-0110	mépris             	dit l’oncle Vernon d’un ton plein de mépris.
HPfrb1ch03-0111	signalisation      	Son teint passa alors du rouge au vert plus vite qu’un feu de signalisation.
HPfrb1ch03-0112	pâle               	En quelques secondes, il était devenu d’un gris pâle de vieux porridge.
HPfrb1ch03-0113	porridge           	En quelques secondes, il était devenu d’un gris pâle de vieux porridge.
HPfrb1ch03-0114	balbutier          	– P…P…Pétunia ! balbutia l’oncle Vernon.
HPfrb1ch03-0115	emparer            	Dudley essaya de s’emparer de la lettre, mais l’oncle Vernon la tenait hors de portée.
HPfrb1ch03-0116	portée             	Dudley essaya de s’emparer de la lettre, mais l’oncle Vernon la tenait hors de portée.
HPfrb1ch03-0117	ligne              	Il la donna à la tante Pétunia qui en lut la première ligne d’un air intrigué.
HPfrb1ch03-0118	intriguer          	Il la donna à la tante Pétunia qui en lut la première ligne d’un air intrigué.
HPfrb1ch03-0119	évanouir           	Pendant un instant, elle sembla sur le point de s’évanouir et porta la main à sa gorge d’où s’échappa un borborygme étouffé.
HPfrb1ch03-0120	borborygme         	Pendant un instant, elle sembla sur le point de s’évanouir et porta la main à sa gorge d’où s’échappa un borborygme étouffé.
HPfrb1ch03-0121	oh                 	Oh, mon Dieu, Vernon !
HPfrb1ch03-0122	manifester         	Dudley n’avait pas l’habitude qu’on lui manifeste une telle indifférence et il donna un coup sec de sa canne sur la tête de son père.
HPfrb1ch03-0123	indifférence       	Dudley n’avait pas l’habitude qu’on lui manifeste une telle indifférence et il donna un coup sec de sa canne sur la tête de son père.
HPfrb1ch03-0124	grinçant           	– Sortez d’ici, tous les deux, dit l’oncle Vernon d’une voix grinçante en remettant la lettre dans l’enveloppe.
HPfrb1ch03-0125	rugir              	– DEHORS ! rugit l’oncle Vernon.
HPfrb1ch03-0126	combat             	Harry et Dudley engagèrent aussitôt un combat féroce mais silencieux pour savoir qui écouterait au trou de la serrure ce qui allait se dire dans la cuisine.
HPfrb1ch03-0127	féroce             	Harry et Dudley engagèrent aussitôt un combat féroce mais silencieux pour savoir qui écouterait au trou de la serrure ce qui allait se dire dans la cuisine.
HPfrb1ch03-0128	serrure            	Harry et Dudley engagèrent aussitôt un combat féroce mais silencieux pour savoir qui écouterait au trou de la serrure ce qui allait se dire dans la cuisine.
HPfrb1ch03-0129	bataille           	Harry, les lunettes en bataille, s’allongea alors à plat ventre pour écouter par l’interstice entre le bas de la porte et le sol.
HPfrb1ch03-0130	ventre             	Harry, les lunettes en bataille, s’allongea alors à plat ventre pour écouter par l’interstice entre le bas de la porte et le sol.
HPfrb1ch03-0131	interstice         	Harry, les lunettes en bataille, s’allongea alors à plat ventre pour écouter par l’interstice entre le bas de la porte et le sol.
HPfrb1ch03-0132	coucher            	Comment ont-ils pu savoir où il couche ?
HPfrb1ch03-0133	surveiller         	Tu crois qu’ils surveillent la maison ?
HPfrb1ch03-0134	furieusement       	– Ils nous surveillent, ils nous espionnent, peut-être même qu’ils nous suivent, marmonna furieusement l’oncle Vernon.
HPfrb1ch03-0135	chaussure          	Leur dire que nous ne voulons pas… Harry apercevait les chaussures noires bien cirées de l’oncle Vernon qui faisait les cent pas dans la cuisine.
HPfrb1ch03-0136	cirer              	Leur dire que nous ne voulons pas… Harry apercevait les chaussures noires bien cirées de l’oncle Vernon qui faisait les cent pas dans la cuisine.
HPfrb1ch03-0137	cent               	Leur dire que nous ne voulons pas… Harry apercevait les chaussures noires bien cirées de l’oncle Vernon qui faisait les cent pas dans la cuisine.
HPfrb1ch03-0138	attention          	On ne va pas y faire attention.
HPfrb1ch03-0139	souvenir           	Souviens-toi, quand nous l’avons pris avec nous, nous nous sommes juré de refuser toutes ces idioties.
HPfrb1ch03-0140	jurer              	Souviens-toi, quand nous l’avons pris avec nous, nous nous sommes juré de refuser toutes ces idioties.
HPfrb1ch03-0141	idiotie            	Souviens-toi, quand nous l’avons pris avec nous, nous nous sommes juré de refuser toutes ces idioties.
HPfrb1ch03-0142	travail            	Le soir, en revenant du travail, l’oncle Vernon fit quelque chose qu’il n’avait encore jamais fait : il alla voir Harry dans son placard.
HPfrb1ch03-0143	faufiler           	demanda Harry au moment même où l’oncle Vernon se faufilait dans le placard.
HPfrb1ch03-0144	erreur             	La lettre t’a été adressée par erreur, répondit l’oncle Vernon.
HPfrb1ch03-0145	respirer           	Il respira profondément à plusieurs reprises puis il se força à sourire, d’un sourire qui avait l’air singulièrement douloureux.
HPfrb1ch03-0146	reprise            	Il respira profondément à plusieurs reprises puis il se força à sourire, d’un sourire qui avait l’air singulièrement douloureux.
HPfrb1ch03-0147	justement          	– Justement, Harry… au sujet de ce placard.
HPfrb1ch03-0148	commencer          	Tu commences à devenir un peu trop grand pour rester ici… Nous avons pensé qu’il serait peut-être préférable que tu déménages dans la deuxième chambre de Dudley.
HPfrb1ch03-0149	préférable         	Tu commences à devenir un peu trop grand pour rester ici… Nous avons pensé qu’il serait peut-être préférable que tu déménages dans la deuxième chambre de Dudley.
HPfrb1ch03-0150	déménager          	Tu commences à devenir un peu trop grand pour rester ici… Nous avons pensé qu’il serait peut-être préférable que tu déménages dans la deuxième chambre de Dudley.
HPfrb1ch03-0151	prendre            	Prends tes affaires et monte là-haut.
HPfrb1ch03-0152	généralement       	Il y avait quatre chambres dans la maison des Dursley : une pour l’oncle Vernon et la tante Pétunia, une chambre d’amis (qui servait généralement à Marge, la sœur de Vernon), une où Dudley dormait et une autre où Dudley mettait ses jouets et tout ce qui n’entrait pas dans la première.
HPfrb1ch03-0153	jouet              	Il y avait quatre chambres dans la maison des Dursley : une pour l’oncle Vernon et la tante Pétunia, une chambre d’amis (qui servait généralement à Marge, la sœur de Vernon), une où Dudley dormait et une autre où Dudley mettait ses jouets et tout ce qui n’entrait pas dans la première.
HPfrb1ch03-0154	voyage             	Un seul voyage suffit à Harry pour transporter toutes ses affaires dans la chambre.
HPfrb1ch03-0155	transporter        	Un seul voyage suffit à Harry pour transporter toutes ses affaires dans la chambre.
HPfrb1ch03-0156	char               	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
HPfrb1ch03-0157	assaut             	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
HPfrb1ch03-0158	fonctionner        	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
HPfrb1ch03-0159	éventrer           	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
HPfrb1ch03-0160	émission           	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
HPfrb1ch03-0161	annuler            	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
HPfrb1ch03-0162	autrefois          	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
HPfrb1ch03-0163	perroquet          	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
HPfrb1ch03-0164	carabine           	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
HPfrb1ch03-0165	comprimer          	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
HPfrb1ch03-0166	étagère            	La carabine, posée sur une étagère, était complètement tordue depuis le jour où Dudley s’était assis dessus.
HPfrb1ch03-0167	toucher            	C’étaient les seules choses auxquelles il semblait n’avoir jamais touché.
HPfrb1ch03-0168	soupirer           	Harry soupira et s’étendit sur le lit.
HPfrb1ch03-0169	étendre            	Harry soupira et s’étendit sur le lit.
HPfrb1ch03-0170	veille             	La veille, il aurait donné n’importe quoi pour avoir cette chambre.
HPfrb1ch03-0171	égosiller          	Il s’était égosillé, avait frappé son père avec sa canne, s’était fait vomir exprès, avait donné des coups de pied à sa mère et jeté sa tortue à travers le toit de la serre, sans parvenir à récupérer sa chambre.
HPfrb1ch03-0172	vomir              	Il s’était égosillé, avait frappé son père avec sa canne, s’était fait vomir exprès, avait donné des coups de pied à sa mère et jeté sa tortue à travers le toit de la serre, sans parvenir à récupérer sa chambre.
HPfrb1ch03-0173	exprès             	Il s’était égosillé, avait frappé son père avec sa canne, s’était fait vomir exprès, avait donné des coups de pied à sa mère et jeté sa tortue à travers le toit de la serre, sans parvenir à récupérer sa chambre.
