traverse        	LE CHEMIN DE TRAVERSE Harry se réveilla de bonne heure le lendemain matin.
produit         	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
pelote          	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
ficelle         	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
menthe          	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
sachet          	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
poignée         	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
monnaie         	Le manteau du géant semblait être constitué uniquement de poches – on y trouvait des trousseaux de clés, du produit contre les limaces, des pelotes de ficelle, des bonbons à la menthe, des sachets de thé… Harry finit par dénicher une poignée de pièces de monnaie qui lui semblèrent bizarres.
ensommeiller    	– Donne-lui cinq Noises, dit Hagrid d’une voix ensommeillée.
bronze          	– Les petites pièces en bronze.
bourse          	L’oiseau tendit une patte et Harry déposa cinq Noises dans la petite bourse en cuir qui y était attachée.
attacher        	L’oiseau tendit une patte et Harry déposa cinq Noises dans la petite bourse en cuir qui y était attachée.
envoler         	Le hibou s’envola aussitôt par la fenêtre.
bâillement      	– On ferait bien d’y aller, dit Hagrid qui se redressa avec un bâillement sonore.
crever          	Il avait l’air soudain préoccupé, comme si le bonheur qu’il avait ressenti venait de crever comme un ballon.
heu             	– Heu… Hagrid ?
chausser        	Oui, répondit le géant en chaussant ses immenses bottes.
banque          	C’est la banque des sorciers.
mange           	Mange donc une saucisse.
clair           	Le ciel était clair, à présent et la mer étincelait sous le soleil.
louer           	La barque que l’oncle Vernon avait louée était toujours là, inondée d’eau de pluie.
embarcation     	demanda Harry en cherchant des yeux une autre embarcation.
ramer           	– C’est quand même un peu idiot de ramer, dit le géant en lançant à Harry un regard de côté.
accélérer       	Si je m’arrange pour… accélérer un peu les choses, tu n’en parleras pas quand tu seras à Poudlard ?
pointe          	Hagrid tapota alors de la pointe de son parapluie rose le bord de la barque et le bateau fila aussitôt vers le rivage.
rivage          	Hagrid tapota alors de la pointe de son parapluie rose le bord de la barque et le bateau fila aussitôt vers le rivage.
sort            	– Ils n’ont pas leur pareil pour jeter des sorts, répondit Hagrid en dépliant son journal.
dragon          	On dit même que ce sont des dragons qui gardent la salle des coffres.
coffre          	On dit même que ce sont des dragons qui gardent la salle des coffres.
kilomètre       	Et en plus, ce n’est pas facile d’y retrouver son chemin – Gringotts est à des kilomètres en sous-sol, bien plus bas que le métro de Londres.
gazette         	Harry resta assis en silence pendant que Hagrid lisait son journal, La Gazette du sorcier.
contact         	Harry avait appris au contact de l’oncle Vernon qu’il ne fallait jamais déranger quelqu’un qui lit son journal, mais il avait tant de questions à poser qu’il était très difficile de résister.
ministère       	Le ministère de la Magie a encore fait des bêtises, comme d’habitude, marmonna Hagrid en tournant les pages.
page            	Le ministère de la Magie a encore fait des bêtises, comme d’habitude, marmonna Hagrid en tournant les pages.
spontanément    	demanda spontanément Harry.
ministre        	Ils voulaient nommer Dumbledore ministre, mais il ne quitterait Poudlard pour rien au monde et c’est ce vieux gâteux de Cornelius Fudge qui a hérité du poste.
gâteux          	Ils voulaient nommer Dumbledore ministre, mais il ne quitterait Poudlard pour rien au monde et c’est ce vieux gâteux de Cornelius Fudge qui a hérité du poste.
gaffeur         	Un vrai gaffeur, celui-là.
conseil         	Chaque matin, il envoie un hibou à Dumbledore pour lui demander conseil.
appel           	Sinon, ils essaieraient de faire appel à nous pour résoudre leurs problèmes.
résoudre        	Sinon, ils essaieraient de faire appel à nous pour résoudre leurs problèmes.
quai            	À ce moment, le bateau heurta en douceur le quai du port.
port            	À ce moment, le bateau heurta en douceur le quai du port.
replier         	Hagrid replia son journal et ils montèrent l’escalier de pierre qui menait à la rue.
gare            	Tout au long du chemin qui conduisait à la gare, les passants se retournaient sur Hagrid : il était deux fois plus grand que la moyenne et ne cessait de faire des commentaires à haute voix sur tout ce qu’il voyait.
commentaire     	Tout au long du chemin qui conduisait à la gare, les passants se retournaient sur Hagrid : il était deux fois plus grand que la moyenne et ne cessait de faire des commentaires à haute voix sur tout ce qu’il voyait.
regarder        	– Regarde ça, disait-il en montrant des parcmètres.
ça              	– Regarde ça, disait-il en montrant des parcmètres.
parcmètre       	– Regarde ça, disait-il en montrant des parcmètres.
inventer        	Les Moldus ont vraiment l’esprit tordu pour inventer des trucs pareils !
essouffler      	demanda-t-il, un peu essoufflé.
méduse          	Sac à méduses, j’aimerais bien avoir un dragon !
soin            	Hagrid, qui ne comprenait rien à « l’argent des Moldus » confia à Harry le soin d’acheter les billets.
passager        	Dans le train, les passagers ouvraient des yeux ronds en voyant Hagrid.
siège           	Il occupait deux sièges à lui tout seul et tricotait quelque chose qui ressemblait à un chapiteau de cirque jaune canari.
tricoter        	Il occupait deux sièges à lui tout seul et tricotait quelque chose qui ressemblait à un chapiteau de cirque jaune canari.
chapiteau       	Il occupait deux sièges à lui tout seul et tricotait quelque chose qui ressemblait à un chapiteau de cirque jaune canari.
cirque          	Il occupait deux sièges à lui tout seul et tricotait quelque chose qui ressemblait à un chapiteau de cirque jaune canari.
canari          	Il occupait deux sièges à lui tout seul et tricotait quelque chose qui ressemblait à un chapiteau de cirque jaune canari.
maille          	– Tu as toujours ta lettre, Harry ? demanda-t-il en comptant les mailles.
fourniture      	Regarde un peu la liste des fournitures.
feuille         	Elle contenait une autre feuille qu’il n’avait pas remarquée auparavant.
obligatoirement 	Liste des vêtements dont les élèves de première année devront obligatoirement être équipés :
équiper         	Liste des vêtements dont les élèves de première année devront obligatoirement être équipés :
modèle          	1) Trois robes de travail (noires), modèle normal
pointu          	2) Un chapeau pointu (noir)
protecteur      	3) Une paire de gants protecteurs (en cuir de dragon ou autre matière semblable)
matière         	3) Une paire de gants protecteurs (en cuir de dragon ou autre matière semblable)
hiver           	4) Une cape d’hiver (noire avec attaches d’argent)
noire           	4) Une cape d’hiver (noire avec attaches d’argent)
attache         	4) Une cape d’hiver (noire avec attaches d’argent)
étiquette       	Chaque vêtement devra porter une étiquette indiquant le nom de l’élève.
manuel          	Livres et manuels
procurer        	Chaque élève devra se procurer un exemplaire des ouvrages suivants :
exemplaire      	Chaque élève devra se procurer un exemplaire des ouvrages suivants :
enchantement    	Le Livre des sorts et enchantements (niveau 1), de Miranda Fauconnette
théorique       	Magie théorique, de Adalbert Lasornette
métamorphose    	Manuel de métamorphose à l’usage des débutants, de Emeric G. Changé
débutant        	Manuel de métamorphose à l’usage des débutants, de Emeric G. Changé
mille           	Mille herbes et champignons magiques, de Phyllida Augirolle
herbe           	Mille herbes et champignons magiques, de Phyllida Augirolle
champignon      	Mille herbes et champignons magiques, de Phyllida Augirolle
potion          	Potions magiques, de Arsenius Beaulitron                                                                                                                                                                                                                                                                         	
habitat         	Vie et habitat des animaux fantastiques, de Norbert Dragonneau
fantastique     	Vie et habitat des animaux fantastiques, de Norbert Dragonneau
obscur          	Forces obscures : comment s’en protéger, de Quentin Jentremble
chaudron        	1 chaudron (modèle standard en étain, taille 2)
standard        	1 chaudron (modèle standard en étain, taille 2)
étain           	1 chaudron (modèle standard en étain, taille 2)
fiole           	1 boîte de fioles en verre ou cristal
cristal         	1 boîte de fioles en verre ou cristal
télescope       	1 télescope
balance         	1 balance en cuivre
posséder        	IL EST RAPPELÉ AUX PARENTS QUE LES ÉLÈVES DE PREMIÈRE ANNÉE NE SONT PAS AUTORISÉS À POSSÉDER LEUR PROPRE BALAI.
balai           	IL EST RAPPELÉ AUX PARENTS QUE LES ÉLÈVES DE PREMIÈRE ANNÉE NE SONT PAS AUTORISÉS À POSSÉDER LEUR PROPRE BALAI.
transport       	Hagrid semblait connaître son chemin mais, de toute évidence, il n’avait pas l’habitude de se déplacer dans les transports en commun.
commun          	Hagrid semblait connaître son chemin mais, de toute évidence, il n’avait pas l’habitude de se déplacer dans les transports en commun.
coincer         	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
portillon       	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
automatique     	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
tonitruant      	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
rame            	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
lent            	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
roulant         	– Je ne sais pas comment font les Moldus sans la magie, dit-il tandis qu’ils escaladaient un escalier roulant en panne qui menait à une rue animée, bordée de magasins.
panne           	– Je ne sais pas comment font les Moldus sans la magie, dit-il tandis qu’ils escaladaient un escalier roulant en panne qui menait à une rue animée, bordée de magasins.
border          	– Je ne sais pas comment font les Moldus sans la magie, dit-il tandis qu’ils escaladaient un escalier roulant en panne qui menait à une rue animée, bordée de magasins.
dense           	Sur les trottoirs, la foule était dense, mais Hagrid était si grand qu’il n’avait aucun mal à se frayer un chemin et Harry restait prudemment dans son sillage.
frayer          	Sur les trottoirs, la foule était dense, mais Hagrid était si grand qu’il n’avait aucun mal à se frayer un chemin et Harry restait prudemment dans son sillage.
prudemment      	Sur les trottoirs, la foule était dense, mais Hagrid était si grand qu’il n’avait aucun mal à se frayer un chemin et Harry restait prudemment dans son sillage.
sillage         	Sur les trottoirs, la foule était dense, mais Hagrid était si grand qu’il n’avait aucun mal à se frayer un chemin et Harry restait prudemment dans son sillage.
librairie       	Ils passèrent devant des librairies, des magasins de disques, des stands de hamburgers et des cinémas, mais aucune boutique ne semblait vendre des baguettes magiques.
disque          	Ils passèrent devant des librairies, des magasins de disques, des stands de hamburgers et des cinémas, mais aucune boutique ne semblait vendre des baguettes magiques.
stand           	Ils passèrent devant des librairies, des magasins de disques, des stands de hamburgers et des cinémas, mais aucune boutique ne semblait vendre des baguettes magiques.
enterrer        	Y avait-il vraiment des montagnes d’or magique enterrées à des kilomètres sous leurs pieds ?
balai           	Y avait-il vraiment des boutiques qui vendaient des grimoires et des balais volants ?
farce           	N’était-ce pas plutôt une farce énorme que lui avaient faite les Dursley ?
humour          	Si Harry n’avait pas su que les Dursley ne possédaient pas le moindre sens de l’humour, il aurait pu le penser.
net             	Soudain, Hagrid s’arrêta net.
pub             	C’était un pub minuscule et miteux, coincé entre une grande librairie et une boutique de disques.
miteux          	C’était un pub minuscule et miteux, coincé entre une grande librairie et une boutique de disques.
paraître        	Lorsque le géant le fit entrer à l’intérieur, Harry fut surpris qu’un endroit célèbre paraisse aussi sombre et misérable.
xérès           	De vieilles femmes étaient assises dans un coin et buvaient de petits verres de xérès.
fumer           	L’une d’elles fumait une longue pipe.
pipe            	L’une d’elles fumait une longue pipe.
barman          	Un petit homme en chapeau haut de forme parlait à un vieux barman chauve dont la tête ressemblait à une noix scintillante.
noix            	Un petit homme en chapeau haut de forme parlait à un vieux barman chauve dont la tête ressemblait à une noix scintillante.
scintillant     	Un petit homme en chapeau haut de forme parlait à un vieux barman chauve dont la tête ressemblait à une noix scintillante.
rangée          	– Comme d’habitude, Hagrid ? demanda le barman en tendant la main vers une rangée de verres.
fléchir         	Je suis en mission pour Poudlard, répondit le géant en donnant une tape sur l’épaule de Harry dont les genoux fléchirent sous le choc.
seigneur        	– Seigneur Dieu, dit le barman en regardant Harry.
client          	C’est… Est-ce que c’est vraiment ?… Soudain, les clients du Chaudron Baveur ne dirent plus un mot, ne firent plus un geste.
honneur         	Harry Potter… Quel honneur !
contourner      	Il se hâta de contourner le comptoir et se précipita sur Harry pour lui serrer la main.
comptoir        	Il se hâta de contourner le comptoir et se précipita sur Harry pour lui serrer la main.
bienvenu        	– Soyez le bienvenu, Mr Potter.
racler          	Puis on entendit les chaises racler le plancher et, l’instant suivant, Harry se trouva entouré de gens qui tenaient à tout prix à lui serrer la main.
bar             	Pas un seul client du bar n’était resté assis.
connaissance    	– Je suis très fier de faire votre connaissance, dit quelqu’un d’autre.
émouvoir        	Je suis si ému.
honorer         	– Je suis si honoré de faire votre connaissance, Mr Potter, dit un quatrième.
quatrième       	– Je suis si honoré de faire votre connaissance, Mr Potter, dit un quatrième.
saluer          	Vous m’avez salué un jour dans un magasin.
visiblement     	Un jeune homme au teint pâle s’avança, visiblement nerveux.
tic             	L’une de ses paupières était agitée de tics.
présenter       	Harry, je te présente le professeur Quirrell qui sera un de tes maîtres à Poudlard.
enseigner       	– Quelle matière enseignez-vous, professeur ?
défense         	– La dé… défense contre les for… forces du Mal, marmonna le professeur Quirrell comme s’il eût préféré ne pas en parler.
vampire         	Je… je dois moi-même a… acheter un nouveau li… livre sur les vampires.
accaparer       	Les autres clients du bar n’avaient pas l’intention de laisser le professeur accaparer Harry, et Hagrid eut toutes les peines du monde à se faire entendre.
remarquer       	Remarque, il n’arrête pas de trembler.
remarquable     	C’est un esprit remarquable.
harpie          	Il allait très bien tant qu’il étudiait dans les livres mais depuis qu’il est allé rencontrer des vampires et des harpies dans la Forêt noire, il a peur de tout, même de ses élèves.
voir            	Voyons, qu’est-ce que j’ai fait de mon parapluie ?
trembloter      	La brique se mit alors à trembloter et un petit trou apparut en son milieu.
élargir         	Le trou s’élargit de plus en plus et se transforma bientôt en une arcade suffisamment grande pour permettre même à Hagrid de passer.
arcade          	Le trou s’élargit de plus en plus et se transforma bientôt en une arcade suffisamment grande pour permettre même à Hagrid de passer.
au-delà         	Au-delà, une rue pavée serpentait devant eux à perte de vue.
paver           	Au-delà, une rue pavée serpentait devant eux à perte de vue.
serpenter       	Au-delà, une rue pavée serpentait devant eux à perte de vue.
perte           	Au-delà, une rue pavée serpentait devant eux à perte de vue.
traverse        	Bienvenue sur le Chemin de Traverse, dit Hagrid.
stupéfaction    	La stupéfaction de Harry le fit sourire.
franchir        	Ils franchirent l’arcade qui disparut aussitôt sur leur passage pour ne laisser derrière eux que le mur de pierre.
passage         	Ils franchirent l’arcade qui disparut aussitôt sur leur passage pour ne laisser derrière eux que le mur de pierre.
étalage         	Le soleil brillait sur un étalage de chaudrons, devant un magasin.
pancarte        	Une pancarte annonçait : « Chaudrons – toutes tailles – cuivre, étain, argent – touillage automatique – modèles pliables. »
touiller        	Une pancarte annonçait : « Chaudrons – toutes tailles – cuivre, étain, argent – touillage automatique – modèles pliables. »
pliable         	Une pancarte annonçait : « Chaudrons – toutes tailles – cuivre, étain, argent – touillage automatique – modèles pliables. »
étal            	Harry aurait voulu avoir une demi-douzaine d’yeux supplémentaires, il regardait de tous côtés, en essayant de tout voir à la fois : les magasins, les étals, les gens qui faisaient leurs courses.
rondelet        	Une petite femme rondelette regardait la vitrine d’un apothicaire en hochant la tête :
vitrine         	Une petite femme rondelette regardait la vitrine d’un apothicaire en hochant la tête :
apothicaire     	Une petite femme rondelette regardait la vitrine d’un apothicaire en hochant la tête :
gramme          	– Dix-sept Mornilles pour trente grammes de foie de dragon, c’est de la folie… marmonna-t-elle.
foie            	– Dix-sept Mornilles pour trente grammes de foie de dragon, c’est de la folie… marmonna-t-elle.
folie           	– Dix-sept Mornilles pour trente grammes de foie de dragon, c’est de la folie… marmonna-t-elle.
ululement       	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones. »
enseigne        	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones. »
royaume         	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones. »
hibou           	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones. »
effraie         	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones.
duc             	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones.
lapon           	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones.
chauve-souris   	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
anguille        	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
conserver       	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
baril           	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
pile            	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
chancelant      	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
globe           	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
lunaire         	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
instrument      	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
blancheur       	Ils se trouvaient devant un grand bâtiment d’une blancheur de neige, qui dominait les boutiques alentour.
neige           	Ils se trouvaient devant un grand bâtiment d’une blancheur de neige, qui dominait les boutiques alentour.
dominer         	Ils se trouvaient devant un grand bâtiment d’une blancheur de neige, qui dominait les boutiques alentour.
alentour        	Ils se trouvaient devant un grand bâtiment d’une blancheur de neige, qui dominait les boutiques alentour.
portail         	Debout à côté du portail en bronze étincelant, vêtu d’un uniforme écarlate, se tenait un…
étincelant      	Debout à côté du portail en bronze étincelant, vêtu d’un uniforme écarlate, se tenait un…
écarlate        	Debout à côté du portail en bronze étincelant, vêtu d’un uniforme écarlate, se tenait un…
eh              	Eh oui, c’est un gobelin, dit calmement Hagrid tandis qu’ils montaient les marches de pierre blanche qui menaient au portail.
calmement       	Eh oui, c’est un gobelin, dit calmement Hagrid tandis qu’ils montaient les marches de pierre blanche qui menaient au portail.
marche          	Eh oui, c’est un gobelin, dit calmement Hagrid tandis qu’ils montaient les marches de pierre blanche qui menaient au portail.
blanc           	Eh oui, c’est un gobelin, dit calmement Hagrid tandis qu’ils montaient les marches de pierre blanche qui menaient au portail.
intelligent     	Il avait le teint sombre, un visage intelligent, une barbe en pointe, des pieds et des doigts longs et fins.
graver          	Ils se retrouvèrent devant une autre porte, en argent cette fois, sur laquelle étaient gravés ces mots :
étranger        	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
désir           	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
appât           	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
gain            	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
renoncer        	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
obéir           	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
gagner          	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
cupidité        	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
souterrain      	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
trésor          	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
convoiter       	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
voleur          	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
richesse        	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
châtiment       	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
hardiesse       	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
vaste           	Deux autres gobelins s’inclinèrent devant eux et ils entrèrent dans un vaste hall tout en marbre.
marbre          	Deux autres gobelins s’inclinèrent devant eux et ils entrèrent dans un vaste hall tout en marbre.
tabouret        	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
registre        	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
pesant          	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
examiner        	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
précieux        	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
loupe           	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
aménager        	Il y avait tant de portes aménagées dans le hall qu’il était inutile d’essayer de les compter.
certain         	Certaines d’entre elles s’ouvraient de temps en temps pour laisser passer des clients escortés par d’autres gobelins.
escorter        	Certaines d’entre elles s’ouvraient de temps en temps pour laisser passer des clients escortés par d’autres gobelins.
bonjour         	– Bonjour, dit Hagrid à un gobelin.
vider           	Hagrid commença à vider ses poches, répandant quelques biscuits pour chiens moisis sur le livre de comptes du gobelin.
biscuit         	Hagrid commença à vider ses poches, répandant quelques biscuits pour chiens moisis sur le livre de comptes du gobelin.
moisir          	Hagrid commença à vider ses poches, répandant quelques biscuits pour chiens moisis sur le livre de comptes du gobelin.
droite          	Harry regarda à droite : un gobelin pesait une pile de rubis aussi gros que des morceaux de charbons ardents.
peser           	Harry regarda à droite : un gobelin pesait une pile de rubis aussi gros que des morceaux de charbons ardents.
rubis           	Harry regarda à droite : un gobelin pesait une pile de rubis aussi gros que des morceaux de charbons ardents.
charbon         	Harry regarda à droite : un gobelin pesait une pile de rubis aussi gros que des morceaux de charbons ardents.
