HPfrb1ch07-0001	contrarier      	Elle avait le visage sévère des gens qu’il vaut mieux éviter de contrarier, pensa aussitôt Harry.
HPfrb1ch07-0049	parsemer        	Gêné par les regards fixés sur les nouveaux, Harry leva la tête vers un plafond d’un noir de velours, parsemé d’étoiles.
HPfrb1ch07-0050	râpé            	Le chapeau était râpé, sale, rapiécé.
HPfrb1ch07-0051	rapiécer        	Le chapeau était râpé, sale, rapiécé.
HPfrb1ch07-0052	lapin           	Peut-être allait-on leur demander d’en faire sortir un lapin ?
HPfrb1ch07-0053	total           	Pendant quelques instants, il régna un silence total.
HPfrb1ch07-0054	remuer          	Puis, tout à coup, le chapeau remua.
HPfrb1ch07-0055	déchirure       	Une déchirure, tout près du bord, s’ouvrit en grand, comme une bouche, et le chapeau se mit à chanter : Je n’suis pas d’une beauté suprême Mais faut pas s’fier à ce qu’on voit Je veux bien me manger moi-même Si vous trouvez plus malin qu’moi.
HPfrb1ch07-0056	chanter         	Une déchirure, tout près du bord, s’ouvrit en grand, comme une bouche, et le chapeau se mit à chanter : Je n’suis pas d’une beauté suprême Mais faut pas s’fier à ce qu’on voit Je veux bien me manger moi-même Si vous trouvez plus malin qu’moi.
HPfrb1ch07-0057	beauté          	Une déchirure, tout près du bord, s’ouvrit en grand, comme une bouche, et le chapeau se mit à chanter : Je n’suis pas d’une beauté suprême Mais faut pas s’fier à ce qu’on voit Je veux bien me manger moi-même Si vous trouvez plus malin qu’moi.
HPfrb1ch07-0058	splendide       	Les hauts-d’forme, les chapeaux splendides Font pâl’figure auprès de moi Car à Poudlard, quand je décide, Chacun se soumet à mon choix.
HPfrb1ch07-0059	figurer         	Les hauts-d’forme, les chapeaux splendides Font pâl’figure auprès de moi Car à Poudlard, quand je décide, Chacun se soumet à mon choix.
HPfrb1ch07-0060	soumettre       	Les hauts-d’forme, les chapeaux splendides Font pâl’figure auprès de moi Car à Poudlard, quand je décide, Chacun se soumet à mon choix.
HPfrb1ch07-0061	choix           	Les hauts-d’forme, les chapeaux splendides Font pâl’figure auprès de moi Car à Poudlard, quand je décide, Chacun se soumet à mon choix.
HPfrb1ch07-0062	échapper        	Rien ne m’échapp’ rien ne m’arrête Le Choixpeau a toujours raison Mettez-moi donc sur votre tête Pour connaître votre maison.
HPfrb1ch07-0063	hardi           	Si vous allez à Gryffondor Vous rejoindrez les courageux, Les plus hardis et les plus forts Sont rassemblés en ce haut lieu.
HPfrb1ch07-0064	loyal           	Si à Poufsouffle vous allez, Comme eux vous s’rez juste et loyal Ceux de Poufsouffle aiment travailler Et leur patience est proverbiale.
HPfrb1ch07-0065	patience        	Si à Poufsouffle vous allez, Comme eux vous s’rez juste et loyal Ceux de Poufsouffle aiment travailler Et leur patience est proverbiale.
HPfrb1ch07-0066	proverbial      	Si à Poufsouffle vous allez, Comme eux vous s’rez juste et loyal Ceux de Poufsouffle aiment travailler Et leur patience est proverbiale.
HPfrb1ch07-0067	accueillir      	Si vous êtes sage et réfléchi Serdaigle vous accueillera peut-être
HPfrb1ch07-0068	érudit          	-bas, ce sont des érudits Qui ont envie de tout connaître.
HPfrb1ch07-0069	roublard        	Vous finirez à Serpentard Si vous êtes plutôt malin, Car ceux-là sont de vrais roublards Qui parviennent toujours à leurs fins.
HPfrb1ch07-0070	serein          	Sur ta tête pose-moi un instant Et n’aie pas peur, reste serein Tu seras en de bonnes mains Car je suis un chapeau pensant !
HPfrb1ch07-0071	chanson         	Lorsqu’il eut terminé sa chanson, des applaudissements éclatèrent dans toute la salle.
HPfrb1ch07-0072	applaudissement 	Lorsqu’il eut terminé sa chanson, des applaudissements éclatèrent dans toute la salle.
HPfrb1ch07-0073	impressionner   	Le chapeau l’impressionnait et Harry ne se sentait plus le moindre courage.
HPfrb1ch07-0074	nausée          	S’il avait existé une maison pour les élèves au bord de la nausée, il y serait allé tout de suite.
HPfrb1ch07-0075	natte           	Une fille au teint rose avec des nattes blondes sortit du rang d’un pas mal assuré.
HPfrb1ch07-0076	acclamation     	Des acclamations et des applaudissements s’élevèrent de la table située à droite et Hannah alla s’y asseoir, parmi les autres étudiants de Poufsouffle.
HPfrb1ch07-0077	ovation         	Une ovation monta de la table située à l’extrême gauche.
HPfrb1ch07-0078	extrême         	Une ovation monta de la table située à l’extrême gauche.
HPfrb1ch07-0079	séance          	Il se souvenait des séances pendant lesquelles on composait les équipes sportives dans son ancienne école.
HPfrb1ch07-0080	sportif         	Il se souvenait des séances pendant lesquelles on composait les équipes sportives dans son ancienne école.
HPfrb1ch07-0081	ancien          	Il se souvenait des séances pendant lesquelles on composait les équipes sportives dans son ancienne école.
HPfrb1ch07-0082	risque          	Il était toujours le dernier à être choisi, non parce qu’il était le plus mauvais, mais parce que personne ne voulait prendre le risque de lui manifester la moindre sympathie en présence de Dudley.
HPfrb1ch07-0083	manifester      	Il était toujours le dernier à être choisi, non parce qu’il était le plus mauvais, mais parce que personne ne voulait prendre le risque de lui manifester la moindre sympathie en présence de Dudley.
HPfrb1ch07-0084	réflexion       	Harry remarqua que le chapeau prenait parfois le temps de la réflexion avant de se décider.
HPfrb1ch07-0085	frénétiquement  	Hermione courut presque jusqu’au tabouret et enfonça frénétiquement le chapeau sur sa tête.
HPfrb1ch07-0086	éclat           	» Neville se précipita aussitôt vers ses camarades sans enlever le chapeau de sa tête et dut revenir le donner à MacDougal, Morag, sous les éclats de rire.
HPfrb1ch07-0087	conquérir       	Lorsque son nom fut appelé, Malefoy s’avança d’un pas conquérant vers le tabouret.
HPfrb1ch07-0088	frôler          	Dès qu’il lui eut frôlé la tête, le chapeau s’écria :
HPfrb1ch07-0089	mine            	La mine satisfaite, Malefoy alla rejoindre ses amis Crabbe et Goyle qui avaient été envoyés à Serpentard, eux aussi.
HPfrb1ch07-0090	jumeau          	Parkinson… les jumelles Patil… Perks, Sally-Anne… et, enfin…
HPfrb1ch07-0091	absolu          	Avant que le chapeau lui tombe devant les yeux en le plongeant dans le noir absolu, Harry eut le temps de voir les têtes qui se tendaient pour mieux le regarder.
HPfrb1ch07-0092	hum             	– Hum, ce n’est pas facile, dit une petite voix à son oreille.
HPfrb1ch07-0093	qualité         	Des qualités intellectuelles, également.
HPfrb1ch07-0094	intellectuel    	Des qualités intellectuelles, également.
HPfrb1ch07-0095	talent          	Il y a du talent et… ho !
HPfrb1ch07-0096	preuve          	mon garçon, tu es avide de faire tes preuves, voilà qui est intéressant… Voyons, où vais-je te mettre ?
HPfrb1ch07-0097	intéressant     	mon garçon, tu es avide de faire tes preuves, voilà qui est intéressant… Voyons, où vais-je te mettre ?
HPfrb1ch07-0098	grandeur        	Je le vois dans ta tête et Serpentard t’aiderait singulièrement sur le chemin de la grandeur, ça ne fait aucun doute.
HPfrb1ch07-0099	résonner        	Harry entendit le dernier mot résonner dans la Grande Salle.
HPfrb1ch07-0100	bruyant         	Soulagé d’avoir échappé à Serpentard, il remarqua à peine qu’on lui réservait la plus longue et la plus bruyante ovation de la soirée.
HPfrb1ch07-0101	vigoureusement  	Percy le Préfet se leva et lui serra vigoureusement la main tandis que les jumeaux Weasley scandaient : – Potter avec nous ! Potter avec nous !
HPfrb1ch07-0102	scander         	Percy le Préfet se leva et lui serra vigoureusement la main tandis que les jumeaux Weasley scandaient : – Potter avec nous ! Potter avec nous !
HPfrb1ch07-0103	amicalement     	Le spectre lui tapota amicalement le bras et Harry eut soudain l’horrible impression d’avoir plongé la main jusqu’au coude dans un seau d’eau glacée.
HPfrb1ch07-0104	seau            	Le spectre lui tapota amicalement le bras et Harry eut soudain l’horrible impression d’avoir plongé la main jusqu’au coude dans un seau d’eau glacée.
HPfrb1ch07-0105	pouce           	Hagrid, qui était assis à l’une des extrémités, lui fit un clin d’œil en levant le pouce.
HPfrb1ch07-0106	centre          	Au centre de la table, trônait dans un large fauteuil d’or massif Albus Dumbledore en personne.
HPfrb1ch07-0107	trôner          	Au centre de la table, trônait dans un large fauteuil d’or massif Albus Dumbledore en personne.
HPfrb1ch07-0108	grâce           	Harry le reconnut immédiatement, grâce à la carte qu’il avait trouvée dans le Chocogrenouille.
HPfrb1ch07-0109	émotif          	Harry reconnut également le professeur Quirrell, le jeune homme émotif qu’il avait rencontré au Chaudron Baveur.
HPfrb1ch07-0110	turban          	Il portait un grand turban violet qui lui donnait un air bizarre.
HPfrb1ch07-0111	pompeux         	– Bravo, Ron, très bien vraiment, dit Percy d’un ton pompeux tandis que Zabini, Blaise, était envoyé à Serpentard.
HPfrb1ch07-0112	désespérément   	Harry contempla alors son assiette d’or désespérément vide et se rendit compte à quel point il était affamé.
HPfrb1ch07-0113	largement       	Albus Dumbledore s’était levé, le visage rayonnant, les bras largement ouverts.
HPfrb1ch07-0114	bienvenue       	– Bienvenue, dit-il.
HPfrb1ch07-0115	nigaud          	Les voici : Nigaud ! Grasdouble ! Bizarre ! Pinçon ! Je vous remercie !
HPfrb1ch07-0116	bizarre         	Les voici : Nigaud ! Grasdouble ! Bizarre ! Pinçon ! Je vous remercie !
HPfrb1ch07-0117	pinçon          	Les voici : Nigaud ! Grasdouble ! Bizarre ! Pinçon ! Je vous remercie !
HPfrb1ch07-0118	remercier       	Les voici : Nigaud ! Grasdouble ! Bizarre ! Pinçon ! Je vous remercie !
HPfrb1ch07-0119	léger           	– Fou ? dit Percy d’un ton léger.
HPfrb1ch07-0120	génie           	C’est un génie !
HPfrb1ch07-0121	pomme           	Tu veux des pommes de terre ?
HPfrb1ch07-0122	déborder        	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfrb1ch07-0123	victuailles     	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfrb1ch07-0124	poulet          	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfrb1ch07-0125	côtelette       	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfrb1ch07-0126	porc            	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfrb1ch07-0127	steak           	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfrb1ch07-0128	gratin          	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfrb1ch07-0129	frite           	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfrb1ch07-0130	légume          	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfrb1ch07-0131	sauce           	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfrb1ch07-0132	onctueux        	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfrb1ch07-0133	ketchup         	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfrb1ch07-0134	nourriture      	Les Dursley n’avaient jamais privé Harry de nourriture, mais il n’avait pas vraiment le droit de manger à sa faim.
HPfrb1ch07-0135	appétit         	Harry remplit son assiette d’un peu de tout, sauf de bonbons à la menthe, et se mit à manger avec appétit.
HPfrb1ch07-0136	appétissant     	– Tout ça me paraît bien appétissant, soupira le fantôme à fraise en regardant Harry trancher son steak.
HPfrb1ch07-0137	résident        	Fantôme résident à la tour de Gryffondor.
HPfrb1ch07-0138	interrompre     	– Quasi-Sans-Tête ? l’interrompit Seamus Finnigan, le garçon aux cheveux blonds.
HPfrb1ch07-0139	quasi           	Comment peut-on être quasi sans tête ?
HPfrb1ch07-0140	offenser        	Sir Nicholas sembla offensé.
HPfrb1ch07-0141	vœu             	Visiblement, la conversation ne se déroulait pas selon ses vœux.
HPfrb1ch07-0142	ceci            	– Comme ceci, dit-il d’une voix agacée.
HPfrb1ch07-0143	basculer        	Sa tête bascula alors vers la droite et tomba sur son épaule comme si elle était rattachée à son cou par une charnière.
HPfrb1ch07-0144	rattacher       	Sa tête bascula alors vers la droite et tomba sur son épaule comme si elle était rattachée à son cou par une charnière.
HPfrb1ch07-0145	charnière       	Sa tête bascula alors vers la droite et tomba sur son épaule comme si elle était rattachée à son cou par une charnière.
HPfrb1ch07-0146	décapiter       	Apparemment, quelqu’un avait essayé de le décapiter, sans réussir à terminer le travail.
HPfrb1ch07-0147	ébahir          	Satisfait de voir les regards ébahis des nouveaux élèves, Nick Quasi-Sans-Tête remit son chef en place et toussa.
HPfrb1ch07-0148	tousser         	Satisfait de voir les regards ébahis des nouveaux élèves, Nick Quasi-Sans-Tête remit son chef en place et toussa.
HPfrb1ch07-0149	remporter       	Les Serpentard l’ont remportée six fois de suite !
HPfrb1ch07-0150	baron           	Le Baron Sanglant en est devenu insupportable de prétention.
HPfrb1ch07-0151	sanglant        	Le Baron Sanglant en est devenu insupportable de prétention.
HPfrb1ch07-0152	insupportable   	Le Baron Sanglant en est devenu insupportable de prétention.
HPfrb1ch07-0153	prétention      	Le Baron Sanglant en est devenu insupportable de prétention.
HPfrb1ch07-0154	émacié          	Harry jeta un coup d’œil à la table des Serpentard et aperçut un horrible fantôme, les yeux vides, le visage émacié, les vêtements maculés de taches de sang aux reflets d’argent.
HPfrb1ch07-0155	maculer         	Harry jeta un coup d’œil à la table des Serpentard et aperçut un horrible fantôme, les yeux vides, le visage émacié, les vêtements maculés de taches de sang aux reflets d’argent.
HPfrb1ch07-0156	satisfaction    	Il était assis à côté de Malefoy qui, à la grande satisfaction de Harry, n’avait pas l’air enchanté d’occuper cette place.
HPfrb1ch07-0157	enchanter       	Il était assis à côté de Malefoy qui, à la grande satisfaction de Harry, n’avait pas l’air enchanté d’occuper cette place.
HPfrb1ch07-0158	délicatesse     	– Je ne le lui ai jamais demandé, répondit Quasi-Sans-Tête avec délicatesse.
HPfrb1ch07-0159	vaisselle       	Lorsque tout le monde se fut bien rempli l’estomac, ce qui restait dans les plats disparut peu à peu et la vaisselle redevint étincelante de propreté.
HPfrb1ch07-0160	redevenir       	Lorsque tout le monde se fut bien rempli l’estomac, ce qui restait dans les plats disparut peu à peu et la vaisselle redevint étincelante de propreté.
HPfrb1ch07-0161	propreté        	Lorsque tout le monde se fut bien rempli l’estomac, ce qui restait dans les plats disparut peu à peu et la vaisselle redevint étincelante de propreté.
HPfrb1ch07-0162	dessert         	Ce fut alors le moment du dessert : crèmes glacées à tous les parfums possibles, tartes aux pommes, éclairs au chocolat, beignets, babas, fraises, gâteau de riz… Harry se servit.
HPfrb1ch07-0163	tarte           	Ce fut alors le moment du dessert : crèmes glacées à tous les parfums possibles, tartes aux pommes, éclairs au chocolat, beignets, babas, fraises, gâteau de riz… Harry se servit.
HPfrb1ch07-0164	baba            	Ce fut alors le moment du dessert : crèmes glacées à tous les parfums possibles, tartes aux pommes, éclairs au chocolat, beignets, babas, fraises, gâteau de riz… Harry se servit.
HPfrb1ch07-0165	riz             	Ce fut alors le moment du dessert : crèmes glacées à tous les parfums possibles, tartes aux pommes, éclairs au chocolat, beignets, babas, fraises, gâteau de riz… Harry se servit.
HPfrb1ch07-0166	mélasse         	Tandis qu’il prenait un morceau de tarte à la mélasse, les autres se mirent à parler de leurs familles.
HPfrb1ch07-0167	moitié          	– Moi, je suis moitié-moitié, expliqua Seamus.
HPfrb1ch07-0168	élever          	– C’est ma grand-mère qui m’a élevé et c’est une sorcière, répondit Neville.
HPfrb1ch07-0169	jetée           	Un jour, il m’a poussé dans l’eau, au bout de la jetée de Blackpool et j’ai failli me noyer.
HPfrb1ch07-0170	noyer           	Un jour, il m’a poussé dans l’eau, au bout de la jetée de Blackpool et j’ai failli me noyer.
HPfrb1ch07-0171	don             	Jusqu’à l’âge de huit ans, je n’avais montré aucun don pour la magie.
HPfrb1ch07-0172	cheville        	Et puis, un jour, mon grand-oncle qui était venu prendre le thé à la maison m’a pris par les chevilles et s’est amusé à me pendre par une fenêtre du premier étage.
HPfrb1ch07-0173	meringue        	Ma grand-tante Enid est venue lui apporter une meringue et il m’a lâché sans le faire exprès.
HPfrb1ch07-0174	jusque          	Mais au lieu de tomber normalement, j’ai rebondi dans le jardin jusque sur la route et tout le monde était ravi.
HPfrb1ch07-0175	passionnant     	Ça doit être passionnant de transformer quelque chose en quelque chose d’autre.
HPfrb1ch07-0176	allumette       	– Il faudra commencer avec de petits objets, par exemple changer une allumette en aiguille… expliqua Percy.
HPfrb1ch07-0177	collègue        	Hagrid vidait son gobelet, le professeur McGonagall bavardait avec Albus Dumbledore et le professeur Quirrell, avec son turban ridicule, parlait à l’un de ses collègues, un homme aux cheveux noirs et gras, le nez crochu, le teint cireux.
HPfrb1ch07-0178	cireux          	Hagrid vidait son gobelet, le professeur McGonagall bavardait avec Albus Dumbledore et le professeur Quirrell, avec son turban ridicule, parlait à l’un de ses collègues, un homme aux cheveux noirs et gras, le nez crochu, le teint cireux.
HPfrb1ch07-0179	fulgurant       	celui-ci ressentit aussitôt une douleur aiguë, fulgurante, à l’endroit de sa cicatrice.
HPfrb1ch07-0180	aïe             	– Aïe !
HPfrb1ch07-0181	prof            	– Qui c’est, le prof qui parle avec Quirrell ?
HPfrb1ch07-0182	rayon           	Il en connaît un rayon en magie noire, ce Rogue.
HPfrb1ch07-0183	rassasier       	– Maintenant que nous avons rassasié notre appétit et étanché notre soif, je voudrais encore dire quelques mots en ce qui concerne le règlement intérieur de l’école.
HPfrb1ch07-0184	étancher        	– Maintenant que nous avons rassasié notre appétit et étanché notre soif, je voudrais encore dire quelques mots en ce qui concerne le règlement intérieur de l’école.
HPfrb1ch07-0185	soif            	– Maintenant que nous avons rassasié notre appétit et étanché notre soif, je voudrais encore dire quelques mots en ce qui concerne le règlement intérieur de l’école.
HPfrb1ch07-0186	règlement       	– Maintenant que nous avons rassasié notre appétit et étanché notre soif, je voudrais encore dire quelques mots en ce qui concerne le règlement intérieur de l’école.
HPfrb1ch07-0187	exception       	Les première année doivent savoir qu’il est interdit à tous les élèves sans exception de pénétrer dans la forêt qui entoure le collège.
HPfrb1ch07-0188	concierge       	– Mr Rusard, le concierge, m’a également demandé de vous rappeler qu’il est interdit de faire des tours de magie dans les couloirs entre les cours.
HPfrb1ch07-0189	sélection       	La sélection des joueurs de Quidditch se fera au cours de la deuxième semaine.
HPfrb1ch07-0190	avertir         	Enfin, je dois vous avertir que cette année, l’accès au couloir du troisième étage de l’aile droite est formellement interdit, à moins que vous teniez absolument à mourir dans d’atroces souffrances.
HPfrb1ch07-0191	accès           	Enfin, je dois vous avertir que cette année, l’accès au couloir du troisième étage de l’aile droite est formellement interdit, à moins que vous teniez absolument à mourir dans d’atroces souffrances.
HPfrb1ch07-0192	formellement    	Enfin, je dois vous avertir que cette année, l’accès au couloir du troisième étage de l’aile droite est formellement interdit, à moins que vous teniez absolument à mourir dans d’atroces souffrances.
HPfrb1ch07-0193	souffrance      	Enfin, je dois vous avertir que cette année, l’accès au couloir du troisième étage de l’aile droite est formellement interdit, à moins que vous teniez absolument à mourir dans d’atroces souffrances.
HPfrb1ch07-0194	imiter          	Harry éclata de rire, mais il ne fut guère imité.
