HPfrb1ch12-0001	miroir            	LE MIROIR DU RISÉD
HPfrb1ch12-0020	gaieté            	– Allons, un peu de gaieté, c’est bientôt Noël, dit Hagrid.
HPfrb1ch12-0021	merveille         	Venez un peu avec moi, on va aller voir la Grande Salle, c’est une merveille.
HPfrb1ch12-0022	décoration        	Tous trois suivirent Hagrid et son arbre jusqu’à la Grande Salle où le professeur McGonagall et le professeur Flitwick s’affairaient à installer les décorations.
HPfrb1ch12-0023	guirlande         	Des guirlandes de gui et de houx étaient suspendues aux murs et pas moins d’une douzaine d’arbres de Noël se dressaient tout autour de la salle, certains recouverts de glaçons scintillants, d’autres de centaines de chandelles allumées.
HPfrb1ch12-0024	gui               	Des guirlandes de gui et de houx étaient suspendues aux murs et pas moins d’une douzaine d’arbres de Noël se dressaient tout autour de la salle, certains recouverts de glaçons scintillants, d’autres de centaines de chandelles allumées.
HPfrb1ch12-0025	glaçon            	Des guirlandes de gui et de houx étaient suspendues aux murs et pas moins d’une douzaine d’arbres de Noël se dressaient tout autour de la salle, certains recouverts de glaçons scintillants, d’autres de centaines de chandelles allumées.
HPfrb1ch12-0026	branche           	– Tu as raison, dit Ron, s’arrachant à la contemplation du professeur Flitwick qui faisait apparaître au bout de sa baguette magique des boules d’or qu’il accrochait aux branches du nouveau sapin.
HPfrb1ch12-0027	passionner        	Vous êtes vraiment passionnés !
HPfrb1ch12-0028	interloquer       	– Quoi ? s’exclama Hagrid, interloqué.
HPfrb1ch12-0029	garder            	Ce que le chien garde, ce n’est pas votre affaire.
HPfrb1ch12-0030	épargner          	– À moins que vous ne vouliez nous le dire vous-même pour nous épargner d’autres recherches, ajouta Harry.
HPfrb1ch12-0031	contemporain      	Il n’était pas dans Les Grands Sorciers du XXe siècle ni dans Les noms célèbres du monde magique contemporain, ni dans Les Grandes Découvertes magiques, encore moins dans Étude des récents progrès de la sorcellerie.
HPfrb1ch12-0032	récent            	Il n’était pas dans Les Grands Sorciers du XXe siècle ni dans Les noms célèbres du monde magique contemporain, ni dans Les Grandes Découvertes magiques, encore moins dans Étude des récents progrès de la sorcellerie.
HPfrb1ch12-0033	progrès           	Il n’était pas dans Les Grands Sorciers du XXe siècle ni dans Les noms célèbres du monde magique contemporain, ni dans Les Grandes Découvertes magiques, encore moins dans Étude des récents progrès de la sorcellerie.
HPfrb1ch12-0034	feuilleter        	Feuilleter tous ces volumes représentait une tâche immense, mais ils n’avaient pas renoncé pour autant.
HPfrb1ch12-0035	volume            	Feuilleter tous ces volumes représentait une tâche immense, mais ils n’avaient pas renoncé pour autant.
HPfrb1ch12-0036	titre             	Hermione étudia une liste de titres et de thèmes qui pouvaient faire allusion à Nicolas Flamel tandis que Ron se promenait le long des étagères en prenant des livres au hasard.
HPfrb1ch12-0037	thème             	Hermione étudia une liste de titres et de thèmes qui pouvaient faire allusion à Nicolas Flamel tandis que Ron se promenait le long des étagères en prenant des livres au hasard.
HPfrb1ch12-0038	aventurer         	Harry, lui, s’était aventuré du côté de la Réserve, mais il fallait un mot de l’un des professeurs pour avoir accès aux ouvrages qu’on y conservait et il savait bien qu’il n’obtiendrait jamais une telle autorisation.
HPfrb1ch12-0039	réserve           	Harry, lui, s’était aventuré du côté de la Réserve, mais il fallait un mot de l’un des professeurs pour avoir accès aux ouvrages qu’on y conservait et il savait bien qu’il n’obtiendrait jamais une telle autorisation.
HPfrb1ch12-0040	bibliothécaire    	Madame Pince, la bibliothécaire, le menaça d’un plumeau.
HPfrb1ch12-0041	plumeau           	Madame Pince, la bibliothécaire, le menaça d’un plumeau.
HPfrb1ch12-0042	plausible         	N’ayant trouvé aucun prétexte plausible pour justifier sa présence, Harry se résigna à quitter la bibliothèque.
HPfrb1ch12-0043	renseignement     	Avec Ron et Hermione, ils avaient décidé qu’il valait mieux ne pas demander à Madame Pince où ils pourraient dénicher des renseignements sur Nicolas Flamel.
HPfrb1ch12-0044	surprenant        	Leurs recherches avaient duré quinze jours mais comme ils n’avaient pu y consacrer que quelques moments par-ci par-là entre deux cours, il n’était pas surprenant qu’ils aient fait chou blanc.
HPfrb1ch12-0045	continuellement   	Ils auraient eu besoin de rester beaucoup plus longtemps à la bibliothèque sans avoir continuellement Madame Pince sur le dos.
HPfrb1ch12-0046	dentiste          	Ils sont dentistes.
HPfrb1ch12-0047	broche            	Ils restaient assis des heures entières à manger tout ce qu’ils trouvaient à faire cuire à la broche – du pain, des pancakes, des marshmallows – tout en échafaudant des stratégies pour faire renvoyer Malefoy de l’école.
HPfrb1ch12-0048	pain              	Ils restaient assis des heures entières à manger tout ce qu’ils trouvaient à faire cuire à la broche – du pain, des pancakes, des marshmallows – tout en échafaudant des stratégies pour faire renvoyer Malefoy de l’école.
HPfrb1ch12-0049	échafauder        	Ils restaient assis des heures entières à manger tout ce qu’ils trouvaient à faire cuire à la broche – du pain, des pancakes, des marshmallows – tout en échafaudant des stratégies pour faire renvoyer Malefoy de l’école.
HPfrb1ch12-0050	stratégie         	Ils restaient assis des heures entières à manger tout ce qu’ils trouvaient à faire cuire à la broche – du pain, des pancakes, des marshmallows – tout en échafaudant des stratégies pour faire renvoyer Malefoy de l’école.
HPfrb1ch12-0051	irréalisable      	Leurs plans étaient sans doute irréalisables, mais c’était toujours amusant d’en parler.
HPfrb1ch12-0052	échec             	Ron apprit également à Harry le jeu d’échecs, version sorcier.
HPfrb1ch12-0053	version           	Ron apprit également à Harry le jeu d’échecs, version sorcier.
HPfrb1ch12-0054	armée             	Les règles étaient les mêmes que chez les Moldus, sauf que les pièces étaient vivantes, ce qui leur donnait l’air d’une armée partant à la bataille.
HPfrb1ch12-0055	échiquier         	L’échiquier de Ron était vieux et tout abîmé.
HPfrb1ch12-0056	abîmer            	L’échiquier de Ron était vieux et tout abîmé.
HPfrb1ch12-0057	occurrence        	– son grand-père en l’occurrence.
HPfrb1ch12-0058	contester         	Il ne savait pas très bien jouer et les pièces contestaient sans cesse ses décisions, ce qui jetait la confusion dans le jeu.
HPfrb1ch12-0059	cavalier          	Tu n’as donc pas vu son cavalier ?
HPfrb1ch12-0060	réveillon         	Ce serait une bonne journée et il y aurait un réveillon, mais il ne s’attendait pas à recevoir de cadeaux.
HPfrb1ch12-0061	joyeux            	– Joyeux Noël, dit Ron d’une voix ensommeillée tandis que Harry s’extrayait du lit et passait sa robe de chambre.
HPfrb1ch12-0062	extraire          	– Joyeux Noël, dit Ron d’une voix ensommeillée tandis que Harry s’extrayait du lit et passait sa robe de chambre.
HPfrb1ch12-0063	flûte             	À l’intérieur, il y avait une flûte en bois grossièrement taillée.
HPfrb1ch12-0064	adhésif           	Une pièce de cinquante pence était collée au papier à l’aide d’un morceau de ruban adhésif.
HPfrb1ch12-0065	épai              	Harry sortit du paquet un épais pull-over de laine vert émeraude, grossièrement tricoté, et une grosse boîte de fondants faits maison.
HPfrb1ch12-0066	pull-over         	Harry sortit du paquet un épais pull-over de laine vert émeraude, grossièrement tricoté, et une grosse boîte de fondants faits maison.
HPfrb1ch12-0067	laine             	Harry sortit du paquet un épais pull-over de laine vert émeraude, grossièrement tricoté, et une grosse boîte de fondants faits maison.
HPfrb1ch12-0068	tricoter          	Harry sortit du paquet un épais pull-over de laine vert émeraude, grossièrement tricoté, et une grosse boîte de fondants faits maison.
HPfrb1ch12-0069	mien              	Et le mien est toujours bordeaux.
HPfrb1ch12-0070	bordeaux          	Et le mien est toujours bordeaux.
HPfrb1ch12-0071	tissu             	Harry déchira le papier et un morceau de tissu très léger, d’une teinte argentée, glissa sur le sol où il forma un petit tas aux reflets luisants.
HPfrb1ch12-0072	teinte            	Harry déchira le papier et un morceau de tissu très léger, d’une teinte argentée, glissa sur le sol où il forma un petit tas aux reflets luisants.
HPfrb1ch12-0073	étoffe            	En le prenant entre ses doigts, il eut l’impression de toucher de l’eau qu’on aurait transformée en étoffe.
HPfrb1ch12-0074	invisibilité      	– C’est une cape d’invisibilité, dit Ron, impressionné.
HPfrb1ch12-0075	invisible         	Son corps, lui, était devenu invisible.
HPfrb1ch12-0076	effacer           	Il remonta la cape sur sa tête et son reflet s’effaça complètement.
HPfrb1ch12-0077	écriture          	Harry enleva la cape et lut ce qui était écrit d’une écriture serrée et arrondie qu’il n’avait jamais vue auparavant.
HPfrb1ch12-0078	arrondi           	Harry enleva la cape et lut ce qui était écrit d’une écriture serrée et arrondie qu’il n’avait jamais vue auparavant.
HPfrb1ch12-0079	signature         	Il n’y avait pas de signature.
HPfrb1ch12-0080	réprobateur       	Percy Weasley passa la tête par l’entrebâillement de la porte, l’air réprobateur.
HPfrb1ch12-0081	mettre            	Mets-le, Percy, nous, on les a déjà mis.
HPfrb1ch12-0082	dinde             	Dindes rôties, saucisses grillées, sauces onctueuses, confiture d’airelles et partout sur les tables, des pochettes-surprises avec des pétards qui explosaient en faisant jaillir des cadeaux.
HPfrb1ch12-0083	rôtir             	Dindes rôties, saucisses grillées, sauces onctueuses, confiture d’airelles et partout sur les tables, des pochettes-surprises avec des pétards qui explosaient en faisant jaillir des cadeaux.
HPfrb1ch12-0084	airelle           	Dindes rôties, saucisses grillées, sauces onctueuses, confiture d’airelles et partout sur les tables, des pochettes-surprises avec des pétards qui explosaient en faisant jaillir des cadeaux.
HPfrb1ch12-0085	pochette-surprise 	Dindes rôties, saucisses grillées, sauces onctueuses, confiture d’airelles et partout sur les tables, des pochettes-surprises avec des pétards qui explosaient en faisant jaillir des cadeaux.
HPfrb1ch12-0086	crépon            	Ils n’étaient pas remplis de petits jouets en plastique et de chapeaux en papier crépon.
HPfrb1ch12-0087	envelopper        	Celui que Harry partagea avec Fred ne se contenta pas de produire une petite détonation, il explosa comme un canon en les enveloppant d’un nuage de fumée bleue et il en sortit un chapeau de contre-amiral ainsi que plusieurs souris blanches vivantes.
HPfrb1ch12-0088	pudding           	Des bûches de Noël et du pudding suivirent les dindes.
HPfrb1ch12-0089	troquer           	Le professeur Dumbledore avait troqué son chapeau pointu de sorcier pour un bonnet à fleurs qu’il avait trouvé dans une pochette-surprise et il riait en écoutant Flitwick lui raconter une histoire drôle.
HPfrb1ch12-0090	fleur             	Le professeur Dumbledore avait troqué son chapeau pointu de sorcier pour un bonnet à fleurs qu’il avait trouvé dans une pochette-surprise et il riait en écoutant Flitwick lui raconter une histoire drôle.
HPfrb1ch12-0091	vin               	Il réclama une nouvelle bouteille de vin, puis il embrassa sur la joue le professeur McGonagall qui, à la grande surprise de Harry, gloussa de contentement, les joues soudain écarlates, le chapeau de travers.
HPfrb1ch12-0092	glousser          	Il réclama une nouvelle bouteille de vin, puis il embrassa sur la joue le professeur McGonagall qui, à la grande surprise de Harry, gloussa de contentement, les joues soudain écarlates, le chapeau de travers.
HPfrb1ch12-0093	contentement      	Il réclama une nouvelle bouteille de vin, puis il embrassa sur la joue le professeur McGonagall qui, à la grande surprise de Harry, gloussa de contentement, les joues soudain écarlates, le chapeau de travers.
HPfrb1ch12-0094	encombrer         	Lorsque Harry quitta la table, il avait les bras encombrés de cadeaux découverts dans les pétards surprises, notamment des ballons lumineux increvables, un kit pour faire pousser des verrues et un jeu d’échecs version sorcier.
HPfrb1ch12-0095	increvable        	Lorsque Harry quitta la table, il avait les bras encombrés de cadeaux découverts dans les pétards surprises, notamment des ballons lumineux increvables, un kit pour faire pousser des verrues et un jeu d’échecs version sorcier.
HPfrb1ch12-0096	kit               	Lorsque Harry quitta la table, il avait les bras encombrés de cadeaux découverts dans les pétards surprises, notamment des ballons lumineux increvables, un kit pour faire pousser des verrues et un jeu d’échecs version sorcier.
HPfrb1ch12-0097	mouiller          	Puis, frigorifiés, mouillés, essoufflés, ils retournèrent auprès du feu, devant la cheminée de la salle commune de Gryffondor où Harry étrenna son jeu d’échecs en se faisant battre à plate couture par Ron.
HPfrb1ch12-0098	essouffler        	Puis, frigorifiés, mouillés, essoufflés, ils retournèrent auprès du feu, devant la cheminée de la salle commune de Gryffondor où Harry étrenna son jeu d’échecs en se faisant battre à plate couture par Ron.
HPfrb1ch12-0099	étrenner          	Puis, frigorifiés, mouillés, essoufflés, ils retournèrent auprès du feu, devant la cheminée de la salle commune de Gryffondor où Harry étrenna son jeu d’échecs en se faisant battre à plate couture par Ron.
HPfrb1ch12-0100	couture           	Puis, frigorifiés, mouillés, essoufflés, ils retournèrent auprès du feu, devant la cheminée de la salle commune de Gryffondor où Harry étrenna son jeu d’échecs en se faisant battre à plate couture par Ron.
HPfrb1ch12-0101	acharné           	Il songea qu’il n’aurait pas perdu aussi facilement si Percy ne s’était pas autant acharné à l’aider.
HPfrb1ch12-0102	crêpe             	Ils allèrent ensuite prendre un thé accompagné de sandwiches à la dinde, de petites crêpes, de gâteaux à la confiture et de pudding de Noël.
HPfrb1ch12-0103	somnolent         	Somnolents et le ventre plein, ils regardèrent Percy se lancer à la poursuite de Fred et de George dans toute la tour de Gryffondor pour récupérer son insigne de préfet qu’ils lui avaient volé.
HPfrb1ch12-0104	expéditeur        	Pourtant, quelque chose n’avait cessé de lui tourner dans la tête tout au long de la journée : la cape d’invisibilité et son mystérieux expéditeur.
HPfrb1ch12-0105	rôtir             	Ron, le ventre plein de dinde rôtie, et libre de toute préoccupation, tomba endormi dès qu’il eut tiré les rideaux de son baldaquin.
HPfrb1ch12-0106	préoccupation     	Ron, le ventre plein de dinde rôtie, et libre de toute préoccupation, tomba endormi dès qu’il eut tiré les rideaux de son baldaquin.
HPfrb1ch12-0107	couler            	Plus douce que la soie, aussi légère qu’un souffle d’air, l’étoffe lui coulait entre les doigts comme l’eau d’un ruisseau.
HPfrb1ch12-0108	ruisseau          	Plus douce que la soie, aussi légère qu’un souffle d’air, l’étoffe lui coulait entre les doigts comme l’eau d’un ruisseau.
HPfrb1ch12-0109	atmosphère        	Il y régnait une atmosphère un peu effrayante.
HPfrb1ch12-0110	cordon            	Il enjamba avec précaution le cordon qui séparait les livres interdits du reste de la bibliothèque et tendit la lampe pour lire les titres des ouvrages alignés sur les étagères.
HPfrb1ch12-0111	ternir            	Leurs lettres dorées, ternies, usées, formaient des mots que Harry ne comprenait pas.
HPfrb1ch12-0112	user              	Leurs lettres dorées, ternies, usées, formaient des mots que Harry ne comprenait pas.
HPfrb1ch12-0113	chuchotement      	Peut-être son imagination lui jouait-elle des tours, peut-être pas, en tout cas, il crut entendre un faible chuchotement qui provenait des rangées de livres, comme s’ils savaient que quelqu’un se trouvait là qui n’aurait pas dû y être.
HPfrb1ch12-0114	équilibre         	Il le mit en équilibre sur ses genoux et le livre tomba ouvert sur le sol.
HPfrb1ch12-0115	instantanément    	Harry tomba en arrière, renversant sa lampe qui s’éteignit instantanément.
HPfrb1ch12-0116	regarder          	Les yeux pâles et furieux du gardien le regardèrent sans le voir.
HPfrb1ch12-0117	rôder             	– Vous m’avez demandé de vous avertir directement si quelqu’un venait rôder la nuit dans la bibliothèque, professeur.
HPfrb1ch12-0118	raccourci         	Il ne savait pas où il était mais Rusard devait connaître un raccourci, car sa petite voix grasseyante se rapprochait.
HPfrb1ch12-0119	grasseyant        	Il ne savait pas où il était mais Rusard devait connaître un raccourci, car sa petite voix grasseyante se rapprochait.
HPfrb1ch12-0120	inévitablement    	Ils ne pouvaient pas le voir, bien sûr, mais le couloir était étroit et ils allaient inévitablement le heurter au passage.
HPfrb1ch12-0121	insu              	Retenant sa respiration, il se glissa par l’entrebâillement en essayant de ne pas faire bouger le panneau et parvint à son grand soulagement à entrer dans la pièce à l’insu de Rogue et de Rusard.
HPfrb1ch12-0122	adosser           	Tous deux passèrent devant la porte sans s’arrêter et Harry s’adossa au mur en respirant profondément, écoutant le bruit de leurs pas s’éloigner puis s’évanouir.
HPfrb1ch12-0123	désaffecter       	La pièce dans laquelle il se trouvait avait l’air d’une salle de classe désaffectée.
HPfrb1ch12-0124	pupitre           	Il voyait la forme sombre de pupitres et de chaises entassés contre les murs.
HPfrb1ch12-0125	mobilier          	Il remarqua aussi, appuyé contre le mur d’en face, quelque chose qui ne semblait pas appartenir au mobilier habituel d’une salle de classe, quelque chose que quelqu’un avait dû ranger là pour s’en débarrasser.
HPfrb1ch12-0126	cadre             	C’était un miroir magnifique qui montait jusqu’au plafond avec un cadre d’or sculpté, posé sur deux pieds pourvus de griffes, comme des pattes d’animal.
HPfrb1ch12-0127	sculpter          	C’était un miroir magnifique qui montait jusqu’au plafond avec un cadre d’or sculpté, posé sur deux pieds pourvus de griffes, comme des pattes d’animal.
HPfrb1ch12-0128	griffe            	C’était un miroir magnifique qui montait jusqu’au plafond avec un cadre d’or sculpté, posé sur deux pieds pourvus de griffes, comme des pattes d’animal.
HPfrb1ch12-0129	déchiffrer        	Harry déchiffra : « riséd elrue ocnot edsi amega siv notsap ert nomen ej. »
HPfrb1ch12-0130	apeuré            	Il vit à nouveau son reflet, livide, apeuré, et derrière lui au moins dix autres personnes.
HPfrb1ch12-0131	faculté           	Ou alors, eux aussi étaient peut-être invisibles, mais ce miroir avait la faculté de les refléter quand même ?
HPfrb1ch12-0132	refléter          	Ou alors, eux aussi étaient peut-être invisibles, mais ce miroir avait la faculté de les refléter quand même ?
HPfrb1ch12-0133	épi               	Il avait des épis qui dépassaient à l’arrière de son crâne, tout comme Harry.
HPfrb1ch12-0134	détailler         	Lentement, Harry détailla les autres personnes qui se trouvaient dans le miroir.
HPfrb1ch12-0135	complet           	– Et moi, j’aimerais bien voir toute ta famille, tous les Weasley au complet.
HPfrb1ch12-0136	dommage           	C’est dommage que tu n’aies pas réussi à trouver ce Flamel.
HPfrb1ch12-0137	refaire           	Ils essayèrent de refaire le chemin que Harry avait suivi la veille en fuyant la bibliothèque et ils errèrent pendant une bonne heure dans les couloirs alentour.
HPfrb1ch12-0138	errer             	Ils essayèrent de refaire le chemin que Harry avait suivi la veille en fuyant la bibliothèque et ils errèrent pendant une bonne heure dans les couloirs alentour.
HPfrb1ch12-0139	mettre            	Mets-toi à ma place.
HPfrb1ch12-0140	provenance        	Un bruit soudain en provenance du couloir mit fin à leur discussion.
HPfrb1ch12-0141	méfier            	– Méfions-nous, elle est peut-être allée chercher Rusard.
HPfrb1ch12-0142	penser            	– Je sais à quoi tu penses… Le miroir, c’est ça ? N’y retourne pas cette nuit.
HPfrb1ch12-0143	myope             	– On dirait que l’invisibilité te rend myope, dit Dumbledore et Harry fut soulagé de voir qu’il souriait.
HPfrb1ch12-0144	dépérir           	Des hommes ont dépéri ou sont devenus fous en contemplant ce qu’ils y voyaient, car ils ne savaient pas si ce que le miroir leur montrait était réel, ou même possible.
HPfrb1ch12-0145	réel              	Des hommes ont dépéri ou sont devenus fous en contemplant ce qu’ils y voyaient, car ils ne savaient pas si ce que le miroir leur montrait était réel, ou même possible.
HPfrb1ch12-0146	ébahir            	Harry ouvrit des yeux ébahis.
HPfrb1ch12-0147	obstiner          	Les gens s’obstinent à m’offrir des livres.
HPfrb1ch12-0148	personnel         	Mais après tout, c’était peut-être une question un peu trop personnelle.
