nulle              	LES LETTRES DE NULLE PART
forger             	C’était, paraît-il, une façon de se forger le caractère.
caractère          	C’était, paraît-il, une façon de se forger le caractère.
accoutrer          	En contemplant son fils ainsi accoutré, l’oncle Vernon déclara que c’était le plus beau jour de sa vie et la tante Pétunia éclata en sanglots en disant qu’elle n’arrivait pas à croire que ce garçon si grand, si élégant était son petit Dudlinouchet adoré.
éclater            	En contemplant son fils ainsi accoutré, l’oncle Vernon déclara que c’était le plus beau jour de sa vie et la tante Pétunia éclata en sanglots en disant qu’elle n’arrivait pas à croire que ce garçon si grand, si élégant était son petit Dudlinouchet adoré.
élégant            	En contemplant son fils ainsi accoutré, l’oncle Vernon déclara que c’était le plus beau jour de sa vie et la tante Pétunia éclata en sanglots en disant qu’elle n’arrivait pas à croire que ce garçon si grand, si élégant était son petit Dudlinouchet adoré.
fêler              	Il avait l’impression de s’être déjà fêlé deux côtes à force de réprimer son fou rire.
réprimer           	Il avait l’impression de s’être déjà fêlé deux côtes à force de réprimer son fou rire.
pestilentiel       	Le lendemain matin, au petit déjeuner, une odeur pestilentielle se dégageait d’une grande bassine posée dans l’évier de la cuisine.
dégager            	Le lendemain matin, au petit déjeuner, une odeur pestilentielle se dégageait d’une grande bassine posée dans l’évier de la cuisine.
bassine            	Le lendemain matin, au petit déjeuner, une odeur pestilentielle se dégageait d’une grande bassine posée dans l’évier de la cuisine.
évier              	Le lendemain matin, au petit déjeuner, une odeur pestilentielle se dégageait d’une grande bassine posée dans l’évier de la cuisine.
guenille           	Harry s’approcha et vit de vieilles guenilles qui flottaient dans une eau grisâtre.
flotter            	Harry s’approcha et vit de vieilles guenilles qui flottaient dans une eau grisâtre.
eau                	Harry s’approcha et vit de vieilles guenilles qui flottaient dans une eau grisâtre.
grisâtre           	Harry s’approcha et vit de vieilles guenilles qui flottaient dans une eau grisâtre.
audace             	Elle pinça les lèvres, choquée qu’il ait l’audace de poser la question.
tremper            	Je ne savais pas qu’il fallait le faire tremper dans l’eau.
teindre            	J’ai teint en gris des vieilles affaires de Dudley.
affaire            	J’ai teint en gris des vieilles affaires de Dudley.
suffire            	Ça te suffira bien comme uniforme, il ne sera guère différent des autres.
guère              	Ça te suffira bien comme uniforme, il ne sera guère différent des autres.
discuter           	Harry en doutait, mais il était inutile de discuter.
rentrée            	Il se demanda à quoi il ressemblerait, là-dedans, le jour de la rentrée.
peau               	On aurait dit des morceaux de peau arrachés à un vieil éléphant.
éléphant           	On aurait dit des morceaux de peau arrachés à un vieil éléphant.
froncer            	Dudley et l’oncle Vernon entrèrent dans la cuisine en fronçant le nez à cause de l’odeur que répandait la bassine.
répandre           	Dudley et l’oncle Vernon entrèrent dans la cuisine en fronçant le nez à cause de l’odeur que répandait la bassine.
séparer            	L’oncle Vernon ouvrit son journal comme à l’ordinaire et Dudley donna sur la table un coup de sa canne dont il ne se séparait plus.
facteur            	Ils entendirent alors le facteur glisser le courrier dans la boîte aux lettres de la porte d’entrée.
courrier           	Ils entendirent alors le facteur glisser le courrier dans la boîte aux lettres de la porte d’entrée.
donner             	– Donne-lui un coup de canne, Dudley.
postal             	Il y avait trois lettres : une carte postale de Marge, la sœur de l’oncle Vernon, qui était en vacances à l’île de Wight, une enveloppe de papier kraft qui devait être une facture et… une lettre pour Harry !
île                	Il y avait trois lettres : une carte postale de Marge, la sœur de l’oncle Vernon, qui était en vacances à l’île de Wight, une enveloppe de papier kraft qui devait être une facture et… une lettre pour Harry !
enveloppe          	Il y avait trois lettres : une carte postale de Marge, la sœur de l’oncle Vernon, qui était en vacances à l’île de Wight, une enveloppe de papier kraft qui devait être une facture et… une lettre pour Harry !
kraft              	Il y avait trois lettres : une carte postale de Marge, la sœur de l’oncle Vernon, qui était en vacances à l’île de Wight, une enveloppe de papier kraft qui devait être une facture et… une lettre pour Harry !
facture            	Il y avait trois lettres : une carte postale de Marge, la sœur de l’oncle Vernon, qui était en vacances à l’île de Wight, une enveloppe de papier kraft qui devait être une facture et… une lettre pour Harry !
poitrine           	Son cœur faisait de grands bonds dans sa poitrine, comme une balle en caoutchouc.
balle              	Son cœur faisait de grands bonds dans sa poitrine, comme une balle en caoutchouc.
caoutchouc         	Son cœur faisait de grands bonds dans sa poitrine, comme une balle en caoutchouc.
bibliothèque       	Il n’avait pas d’amis, pas de parents autres que son oncle et sa tante, il n’était même pas inscrit à la bibliothèque, ce qui lui évitait de recevoir des mots désagréables exigeant le retour de livres empruntés.
exiger             	Il n’avait pas d’amis, pas de parents autres que son oncle et sa tante, il n’était même pas inscrit à la bibliothèque, ce qui lui évitait de recevoir des mots désagréables exigeant le retour de livres empruntés.
retour             	Il n’avait pas d’amis, pas de parents autres que son oncle et sa tante, il n’était même pas inscrit à la bibliothèque, ce qui lui évitait de recevoir des mots désagréables exigeant le retour de livres empruntés.
adresse            	Et pourtant, il avait entre les mains une lettre dont l’adresse ne pouvait prêter à confusion : Mr H. Potter Dans le placard sous l’escalier 4, Privet Drive Little Whinging Surrey L’enveloppe, lourde et épaisse, était faite d’un parchemin jauni et l’adresse était écrite à l’encre vert émeraude.
lourd              	Et pourtant, il avait entre les mains une lettre dont l’adresse ne pouvait prêter à confusion : Mr H. Potter Dans le placard sous l’escalier 4, Privet Drive Little Whinging Surrey L’enveloppe, lourde et épaisse, était faite d’un parchemin jauni et l’adresse était écrite à l’encre vert émeraude.
épais              	Et pourtant, il avait entre les mains une lettre dont l’adresse ne pouvait prêter à confusion : Mr H. Potter Dans le placard sous l’escalier 4, Privet Drive Little Whinging Surrey L’enveloppe, lourde et épaisse, était faite d’un parchemin jauni et l’adresse était écrite à l’encre vert émeraude.
parchemin          	Et pourtant, il avait entre les mains une lettre dont l’adresse ne pouvait prêter à confusion : Mr H. Potter Dans le placard sous l’escalier 4, Privet Drive Little Whinging Surrey L’enveloppe, lourde et épaisse, était faite d’un parchemin jauni et l’adresse était écrite à l’encre vert émeraude.
jaunir             	Et pourtant, il avait entre les mains une lettre dont l’adresse ne pouvait prêter à confusion : Mr H. Potter Dans le placard sous l’escalier 4, Privet Drive Little Whinging Surrey L’enveloppe, lourde et épaisse, était faite d’un parchemin jauni et l’adresse était écrite à l’encre vert émeraude.
timbre             	Il n’y avait pas de timbre.
sceau              	En retournant l’enveloppe, les mains tremblantes, Harry vit un sceau de cire frappé d’un écusson qui représentait un aigle, un lion, un blaireau et un serpent entourant la lettre « P ».
cire               	En retournant l’enveloppe, les mains tremblantes, Harry vit un sceau de cire frappé d’un écusson qui représentait un aigle, un lion, un blaireau et un serpent entourant la lettre « P ».
frapper            	En retournant l’enveloppe, les mains tremblantes, Harry vit un sceau de cire frappé d’un écusson qui représentait un aigle, un lion, un blaireau et un serpent entourant la lettre « P ».
écusson            	En retournant l’enveloppe, les mains tremblantes, Harry vit un sceau de cire frappé d’un écusson qui représentait un aigle, un lion, un blaireau et un serpent entourant la lettre « P ».
aigle              	En retournant l’enveloppe, les mains tremblantes, Harry vit un sceau de cire frappé d’un écusson qui représentait un aigle, un lion, un blaireau et un serpent entourant la lettre « P ».
lion               	En retournant l’enveloppe, les mains tremblantes, Harry vit un sceau de cire frappé d’un écusson qui représentait un aigle, un lion, un blaireau et un serpent entourant la lettre « P ».
blaireau           	En retournant l’enveloppe, les mains tremblantes, Harry vit un sceau de cire frappé d’un écusson qui représentait un aigle, un lion, un blaireau et un serpent entourant la lettre « P ».
entourer           	En retournant l’enveloppe, les mains tremblantes, Harry vit un sceau de cire frappé d’un écusson qui représentait un aigle, un lion, un blaireau et un serpent entourant la lettre « P ».
piéger             	Tu regardes s’il n’y a pas de lettre piégée ?
plaisanterie       	Sa plaisanterie le fit éclater de rire.
entreprendre       	Il donna à l’oncle Vernon la carte postale et la facture puis il s’assit et entreprit de décacheter l’enveloppe jaune.
décacheter         	Il donna à l’oncle Vernon la carte postale et la facture puis il s’assit et entreprit de décacheter l’enveloppe jaune.
jaune              	Il donna à l’oncle Vernon la carte postale et la facture puis il s’assit et entreprit de décacheter l’enveloppe jaune.
dégoûter           	L’oncle Vernon poussa un grognement dégoûté en ouvrant l’enveloppe de la facture et lut ce qui était écrit au dos de la carte postale.
coquillage         	Elle a mangé un drôle de coquillage.
papa               	– Papa !
déplier            	Harry était sur le point de déplier sa lettre, écrite sur un parchemin semblable à celui de l’enveloppe, lorsque l’oncle Vernon la lui arracha des mains.
protester          	protesta Harry en essayant de la reprendre.
mépris             	dit l’oncle Vernon d’un ton plein de mépris.
signalisation      	Son teint passa alors du rouge au vert plus vite qu’un feu de signalisation.
pâle               	En quelques secondes, il était devenu d’un gris pâle de vieux porridge.
porridge           	En quelques secondes, il était devenu d’un gris pâle de vieux porridge.
balbutier          	– P…P…Pétunia ! balbutia l’oncle Vernon.
emparer            	Dudley essaya de s’emparer de la lettre, mais l’oncle Vernon la tenait hors de portée.
portée             	Dudley essaya de s’emparer de la lettre, mais l’oncle Vernon la tenait hors de portée.
ligne              	Il la donna à la tante Pétunia qui en lut la première ligne d’un air intrigué.
intriguer          	Il la donna à la tante Pétunia qui en lut la première ligne d’un air intrigué.
évanouir           	Pendant un instant, elle sembla sur le point de s’évanouir et porta la main à sa gorge d’où s’échappa un borborygme étouffé.
borborygme         	Pendant un instant, elle sembla sur le point de s’évanouir et porta la main à sa gorge d’où s’échappa un borborygme étouffé.
oh                 	Oh, mon Dieu, Vernon !
manifester         	Dudley n’avait pas l’habitude qu’on lui manifeste une telle indifférence et il donna un coup sec de sa canne sur la tête de son père.
indifférence       	Dudley n’avait pas l’habitude qu’on lui manifeste une telle indifférence et il donna un coup sec de sa canne sur la tête de son père.
grinçant           	– Sortez d’ici, tous les deux, dit l’oncle Vernon d’une voix grinçante en remettant la lettre dans l’enveloppe.
rugir              	– DEHORS ! rugit l’oncle Vernon.
combat             	Harry et Dudley engagèrent aussitôt un combat féroce mais silencieux pour savoir qui écouterait au trou de la serrure ce qui allait se dire dans la cuisine.
féroce             	Harry et Dudley engagèrent aussitôt un combat féroce mais silencieux pour savoir qui écouterait au trou de la serrure ce qui allait se dire dans la cuisine.
serrure            	Harry et Dudley engagèrent aussitôt un combat féroce mais silencieux pour savoir qui écouterait au trou de la serrure ce qui allait se dire dans la cuisine.
bataille           	Harry, les lunettes en bataille, s’allongea alors à plat ventre pour écouter par l’interstice entre le bas de la porte et le sol.
ventre             	Harry, les lunettes en bataille, s’allongea alors à plat ventre pour écouter par l’interstice entre le bas de la porte et le sol.
interstice         	Harry, les lunettes en bataille, s’allongea alors à plat ventre pour écouter par l’interstice entre le bas de la porte et le sol.
coucher            	Comment ont-ils pu savoir où il couche ?
surveiller         	Tu crois qu’ils surveillent la maison ?
furieusement       	– Ils nous surveillent, ils nous espionnent, peut-être même qu’ils nous suivent, marmonna furieusement l’oncle Vernon.
chaussure          	Leur dire que nous ne voulons pas… Harry apercevait les chaussures noires bien cirées de l’oncle Vernon qui faisait les cent pas dans la cuisine.
cirer              	Leur dire que nous ne voulons pas… Harry apercevait les chaussures noires bien cirées de l’oncle Vernon qui faisait les cent pas dans la cuisine.
cent               	Leur dire que nous ne voulons pas… Harry apercevait les chaussures noires bien cirées de l’oncle Vernon qui faisait les cent pas dans la cuisine.
attention          	On ne va pas y faire attention.
souvenir           	Souviens-toi, quand nous l’avons pris avec nous, nous nous sommes juré de refuser toutes ces idioties.
jurer              	Souviens-toi, quand nous l’avons pris avec nous, nous nous sommes juré de refuser toutes ces idioties.
idiotie            	Souviens-toi, quand nous l’avons pris avec nous, nous nous sommes juré de refuser toutes ces idioties.
travail            	Le soir, en revenant du travail, l’oncle Vernon fit quelque chose qu’il n’avait encore jamais fait : il alla voir Harry dans son placard.
faufiler           	demanda Harry au moment même où l’oncle Vernon se faufilait dans le placard.
erreur             	La lettre t’a été adressée par erreur, répondit l’oncle Vernon.
respirer           	Il respira profondément à plusieurs reprises puis il se força à sourire, d’un sourire qui avait l’air singulièrement douloureux.
reprise            	Il respira profondément à plusieurs reprises puis il se força à sourire, d’un sourire qui avait l’air singulièrement douloureux.
justement          	– Justement, Harry… au sujet de ce placard.
commencer          	Tu commences à devenir un peu trop grand pour rester ici… Nous avons pensé qu’il serait peut-être préférable que tu déménages dans la deuxième chambre de Dudley.
préférable         	Tu commences à devenir un peu trop grand pour rester ici… Nous avons pensé qu’il serait peut-être préférable que tu déménages dans la deuxième chambre de Dudley.
déménager          	Tu commences à devenir un peu trop grand pour rester ici… Nous avons pensé qu’il serait peut-être préférable que tu déménages dans la deuxième chambre de Dudley.
prendre            	Prends tes affaires et monte là-haut.
généralement       	Il y avait quatre chambres dans la maison des Dursley : une pour l’oncle Vernon et la tante Pétunia, une chambre d’amis (qui servait généralement à Marge, la sœur de Vernon), une où Dudley dormait et une autre où Dudley mettait ses jouets et tout ce qui n’entrait pas dans la première.
jouet              	Il y avait quatre chambres dans la maison des Dursley : une pour l’oncle Vernon et la tante Pétunia, une chambre d’amis (qui servait généralement à Marge, la sœur de Vernon), une où Dudley dormait et une autre où Dudley mettait ses jouets et tout ce qui n’entrait pas dans la première.
voyage             	Un seul voyage suffit à Harry pour transporter toutes ses affaires dans la chambre.
transporter        	Un seul voyage suffit à Harry pour transporter toutes ses affaires dans la chambre.
char               	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
assaut             	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
fonctionner        	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
éventrer           	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
émission           	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
annuler            	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
autrefois          	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
perroquet          	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
carabine           	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
comprimer          	Le caméscope était posé sur un petit char d’assaut qui fonctionnait toujours, avec lequel Dudley avait écrasé le chien du voisin ; dans un coin, il y avait la première télévision de Dudley qu’il avait éventrée d’un coup de pied un jour où son émission préférée avait été annulée ; il y avait aussi une grande cage dans laquelle avait vécu autrefois un perroquet que Dudley avait échangé à l’école contre une carabine à air comprimé.
étagère            	La carabine, posée sur une étagère, était complètement tordue depuis le jour où Dudley s’était assis dessus.
toucher            	C’étaient les seules choses auxquelles il semblait n’avoir jamais touché.
soupirer           	Harry soupira et s’étendit sur le lit.
étendre            	Harry soupira et s’étendit sur le lit.
veille             	La veille, il aurait donné n’importe quoi pour avoir cette chambre.
égosiller          	Il s’était égosillé, avait frappé son père avec sa canne, s’était fait vomir exprès, avait donné des coups de pied à sa mère et jeté sa tortue à travers le toit de la serre, sans parvenir à récupérer sa chambre.
vomir              	Il s’était égosillé, avait frappé son père avec sa canne, s’était fait vomir exprès, avait donné des coups de pied à sa mère et jeté sa tortue à travers le toit de la serre, sans parvenir à récupérer sa chambre.
exprès             	Il s’était égosillé, avait frappé son père avec sa canne, s’était fait vomir exprès, avait donné des coups de pied à sa mère et jeté sa tortue à travers le toit de la serre, sans parvenir à récupérer sa chambre.
tortue             	Il s’était égosillé, avait frappé son père avec sa canne, s’était fait vomir exprès, avait donné des coups de pied à sa mère et jeté sa tortue à travers le toit de la serre, sans parvenir à récupérer sa chambre.
serre              	Il s’était égosillé, avait frappé son père avec sa canne, s’était fait vomir exprès, avait donné des coups de pied à sa mère et jeté sa tortue à travers le toit de la serre, sans parvenir à récupérer sa chambre.
récupérer          	Il s’était égosillé, avait frappé son père avec sa canne, s’était fait vomir exprès, avait donné des coups de pied à sa mère et jeté sa tortue à travers le toit de la serre, sans parvenir à récupérer sa chambre.
amèrement          	Harry repensait à ce qui s’était passé la veille à la même heure et il regrettait amèrement de n’avoir pas ouvert sa lettre pendant qu’il était encore dans le hall d’entrée.
ouvrir             	Harry repensait à ce qui s’était passé la veille à la même heure et il regrettait amèrement de n’avoir pas ouvert sa lettre pendant qu’il était encore dans le hall d’entrée.
hall               	Harry repensait à ce qui s’était passé la veille à la même heure et il regrettait amèrement de n’avoir pas ouvert sa lettre pendant qu’il était encore dans le hall d’entrée.
aimable            	Lorsque le courrier arriva, l’oncle Vernon, qui s’était efforcé de se montrer aimable avec Harry, envoya Dudley le chercher.
envoyer            	Lorsque le courrier arriva, l’oncle Vernon, qui s’était efforcé de se montrer aimable avec Harry, envoya Dudley le chercher.
étranglé           	Mr H. Potter, dans la plus petite chambre du 4, Privet Drive… L’oncle Vernon poussa un cri étranglé et se précipita dans le hall d’entrée, Harry sur ses talons.
terre              	L’oncle Vernon dut se battre avec Dudley et le faire tomber par terre pour essayer de lui arracher la lettre, ce qui était d’autant plus difficile que Harry avait attrapé l’oncle Vernon par-derrière en lui serrant le cou.
chacun             	Après quelques instants d’un furieux combat au cours duquel chacun prit de nombreux coups de canne, l’oncle Vernon se releva, le souffle court, la main crispée sur la lettre destinée à Harry.
crisper            	Après quelques instants d’un furieux combat au cours duquel chacun prit de nombreux coups de canne, l’oncle Vernon se releva, le souffle court, la main crispée sur la lettre destinée à Harry.
rauque             	Je veux dire, dans ta chambre, dit-il à Harry d’une voix rauque.
inlassablement     	Inlassablement, Harry faisait les cent pas autour de sa chambre.
déménager          	Quelqu’un savait qu’il avait déménagé de son placard et semblait également savoir qu’il n’avait pas reçu la première lettre.
signifier          	Cela signifiait sûrement qu’il essaierait encore.
réveil             	Le lendemain matin, le vieux réveil rafistolé sonna à six heures.
six                	Le lendemain matin, le vieux réveil rafistolé sonna à six heures.
sonnerie           	Harry arrêta aussitôt la sonnerie et s’habilla en silence pour ne pas réveiller les Dursley.
mou                	Il venait de marcher sur une grosse chose molle étalée devant la porte, une chose vivante !
réalité            	Des lumières s’allumèrent au premier étage et il se rendit compte avec horreur que la grosse chose molle était en réalité la tête de son oncle.
couchage           	L’oncle Vernon avait passé la nuit devant la porte, dans un sac de couchage, pour empêcher Harry de réussir ce qu’il avait tenté de faire.
traiter            	Après l’avoir traité de tous les noms pendant près d’une demi-heure, l’oncle Vernon ordonna à Harry d’aller lui préparer une tasse de thé.
préparer           	Après l’avoir traité de tous les noms pendant près d’une demi-heure, l’oncle Vernon ordonna à Harry d’aller lui préparer une tasse de thé.
décourager         	Découragé, Harry s’en alla dans la cuisine en traînant des pieds, et lorsqu’il revint, le courrier était déjà entre les mains de son oncle.
planche            	Il resta à la maison et cloua une planche devant la boîte aux lettres.
clou               	– S’ils n’arrivent pas à nous les faire parvenir, ils finiront par laisser tomber, dit-il à la tante Pétunia, la bouche pleine de clous.
raisonner          	– Pétunia, ces gens-là sont très différents de nous, ils ne raisonnent pas comme toi et moi, répliqua-t-il en essayant de planter un clou avec le morceau de cake que la tante Pétunia venait de lui apporter.
planter            	– Pétunia, ces gens-là sont très différents de nous, ils ne raisonnent pas comme toi et moi, répliqua-t-il en essayant de planter un clou avec le morceau de cake que la tante Pétunia venait de lui apporter.
cake               	– Pétunia, ces gens-là sont très différents de nous, ils ne raisonnent pas comme toi et moi, répliqua-t-il en essayant de planter un clou avec le morceau de cake que la tante Pétunia venait de lui apporter.
apporter           	– Pétunia, ces gens-là sont très différents de nous, ils ne raisonnent pas comme toi et moi, répliqua-t-il en essayant de planter un clou avec le morceau de cake que la tante Pétunia venait de lui apporter.
vendredi           	Le vendredi, douze lettres pour Harry arrivèrent.
inutilisable       	Comme la boîte aux lettres était inutilisable, elles avaient été glissées tout autour de la porte et l’une d’elles avait même été introduite à travers un vasistas dans les toilettes du rez-de-chaussée.
