HPfr07.txt-0001	contrarier      	Elle avait le visage sévère des gens qu’il vaut mieux éviter de contrarier, pensa aussitôt Harry.
HPfr07.txt-0051	beauté          	Une déchirure, tout près du bord, s’ouvrit en grand, comme une bouche, et le chapeau se mit à chanter : Je n’suis pas d’une beauté suprême Mais faut pas s’fier à ce qu’on voit Je veux bien me manger moi-même Si vous trouvez plus malin qu’moi.
HPfr07.txt-0052	splendide       	Les hauts-d’forme, les chapeaux splendides Font pâl’figure auprès de moi Car à Poudlard, quand je décide, Chacun se soumet à mon choix.
HPfr07.txt-0053	figurer         	Les hauts-d’forme, les chapeaux splendides Font pâl’figure auprès de moi Car à Poudlard, quand je décide, Chacun se soumet à mon choix.
HPfr07.txt-0054	soumettre       	Les hauts-d’forme, les chapeaux splendides Font pâl’figure auprès de moi Car à Poudlard, quand je décide, Chacun se soumet à mon choix.
HPfr07.txt-0055	choix           	Les hauts-d’forme, les chapeaux splendides Font pâl’figure auprès de moi Car à Poudlard, quand je décide, Chacun se soumet à mon choix.
HPfr07.txt-0056	hardi           	Si vous allez à Gryffondor Vous rejoindrez les courageux, Les plus hardis et les plus forts Sont rassemblés en ce haut lieu.
HPfr07.txt-0057	loyal           	Si à Poufsouffle vous allez, Comme eux vous s’rez juste et loyal Ceux de Poufsouffle aiment travailler Et leur patience est proverbiale.
HPfr07.txt-0058	patience        	Si à Poufsouffle vous allez, Comme eux vous s’rez juste et loyal Ceux de Poufsouffle aiment travailler Et leur patience est proverbiale.
HPfr07.txt-0059	proverbial      	Si à Poufsouffle vous allez, Comme eux vous s’rez juste et loyal Ceux de Poufsouffle aiment travailler Et leur patience est proverbiale.
HPfr07.txt-0060	accueillir      	Si vous êtes sage et réfléchi Serdaigle vous accueillera peut-être
HPfr07.txt-0061	érudit          	-bas, ce sont des érudits Qui ont envie de tout connaître.
HPfr07.txt-0062	roublard        	Vous finirez à Serpentard Si vous êtes plutôt malin, Car ceux-là sont de vrais roublards Qui parviennent toujours à leurs fins.
HPfr07.txt-0063	serein          	Sur ta tête pose-moi un instant Et n’aie pas peur, reste serein Tu seras en de bonnes mains Car je suis un chapeau pensant !
HPfr07.txt-0064	chanson         	Lorsqu’il eut terminé sa chanson, des applaudissements éclatèrent dans toute la salle.
HPfr07.txt-0065	applaudissement 	Lorsqu’il eut terminé sa chanson, des applaudissements éclatèrent dans toute la salle.
HPfr07.txt-0066	impressionner   	Le chapeau l’impressionnait et Harry ne se sentait plus le moindre courage.
HPfr07.txt-0067	nausée          	S’il avait existé une maison pour les élèves au bord de la nausée, il y serait allé tout de suite.
HPfr07.txt-0068	natte           	Une fille au teint rose avec des nattes blondes sortit du rang d’un pas mal assuré.
HPfr07.txt-0069	acclamation     	Des acclamations et des applaudissements s’élevèrent de la table située à droite et Hannah alla s’y asseoir, parmi les autres étudiants de Poufsouffle.
HPfr07.txt-0070	ovation         	Une ovation monta de la table située à l’extrême gauche.
HPfr07.txt-0071	extrême         	Une ovation monta de la table située à l’extrême gauche.
HPfr07.txt-0072	séance          	Il se souvenait des séances pendant lesquelles on composait les équipes sportives dans son ancienne école.
HPfr07.txt-0073	sportif         	Il se souvenait des séances pendant lesquelles on composait les équipes sportives dans son ancienne école.
HPfr07.txt-0074	ancien          	Il se souvenait des séances pendant lesquelles on composait les équipes sportives dans son ancienne école.
HPfr07.txt-0075	risque          	Il était toujours le dernier à être choisi, non parce qu’il était le plus mauvais, mais parce que personne ne voulait prendre le risque de lui manifester la moindre sympathie en présence de Dudley.
HPfr07.txt-0076	réflexion       	Harry remarqua que le chapeau prenait parfois le temps de la réflexion avant de se décider.
HPfr07.txt-0077	frénétiquement  	Hermione courut presque jusqu’au tabouret et enfonça frénétiquement le chapeau sur sa tête.
HPfr07.txt-0078	éclat           	» Neville se précipita aussitôt vers ses camarades sans enlever le chapeau de sa tête et dut revenir le donner à MacDougal, Morag, sous les éclats de rire.
HPfr07.txt-0079	conquérir       	Lorsque son nom fut appelé, Malefoy s’avança d’un pas conquérant vers le tabouret.
HPfr07.txt-0080	frôler          	Dès qu’il lui eut frôlé la tête, le chapeau s’écria :
HPfr07.txt-0081	mine            	La mine satisfaite, Malefoy alla rejoindre ses amis Crabbe et Goyle qui avaient été envoyés à Serpentard, eux aussi.
HPfr07.txt-0082	absolu          	Avant que le chapeau lui tombe devant les yeux en le plongeant dans le noir absolu, Harry eut le temps de voir les têtes qui se tendaient pour mieux le regarder.
HPfr07.txt-0083	hum             	– Hum, ce n’est pas facile, dit une petite voix à son oreille.
HPfr07.txt-0084	qualité         	Des qualités intellectuelles, également.
HPfr07.txt-0085	intellectuel    	Des qualités intellectuelles, également.
HPfr07.txt-0086	talent          	Il y a du talent et… ho !
HPfr07.txt-0087	preuve          	mon garçon, tu es avide de faire tes preuves, voilà qui est intéressant… Voyons, où vais-je te mettre ?
HPfr07.txt-0088	intéressant     	mon garçon, tu es avide de faire tes preuves, voilà qui est intéressant… Voyons, où vais-je te mettre ?
HPfr07.txt-0089	résonner        	Harry entendit le dernier mot résonner dans la Grande Salle.
HPfr07.txt-0090	bruyant         	Soulagé d’avoir échappé à Serpentard, il remarqua à peine qu’on lui réservait la plus longue et la plus bruyante ovation de la soirée.
HPfr07.txt-0091	vigoureusement  	Percy le Préfet se leva et lui serra vigoureusement la main tandis que les jumeaux Weasley scandaient : – Potter avec nous ! Potter avec nous !
HPfr07.txt-0092	scander         	Percy le Préfet se leva et lui serra vigoureusement la main tandis que les jumeaux Weasley scandaient : – Potter avec nous ! Potter avec nous !
HPfr07.txt-0093	amicalement     	Le spectre lui tapota amicalement le bras et Harry eut soudain l’horrible impression d’avoir plongé la main jusqu’au coude dans un seau d’eau glacée.
HPfr07.txt-0094	seau            	Le spectre lui tapota amicalement le bras et Harry eut soudain l’horrible impression d’avoir plongé la main jusqu’au coude dans un seau d’eau glacée.
HPfr07.txt-0095	pouce           	Hagrid, qui était assis à l’une des extrémités, lui fit un clin d’œil en levant le pouce.
HPfr07.txt-0096	centre          	Au centre de la table, trônait dans un large fauteuil d’or massif Albus Dumbledore en personne.
HPfr07.txt-0097	trôner          	Au centre de la table, trônait dans un large fauteuil d’or massif Albus Dumbledore en personne.
HPfr07.txt-0098	grâce           	Harry le reconnut immédiatement, grâce à la carte qu’il avait trouvée dans le Chocogrenouille.
HPfr07.txt-0099	émotif          	Harry reconnut également le professeur Quirrell, le jeune homme émotif qu’il avait rencontré au Chaudron Baveur.
HPfr07.txt-0100	turban          	Il portait un grand turban violet qui lui donnait un air bizarre.
HPfr07.txt-0101	pompeux         	– Bravo, Ron, très bien vraiment, dit Percy d’un ton pompeux tandis que Zabini, Blaise, était envoyé à Serpentard.
HPfr07.txt-0102	désespérément   	Harry contempla alors son assiette d’or désespérément vide et se rendit compte à quel point il était affamé.
HPfr07.txt-0103	largement       	Albus Dumbledore s’était levé, le visage rayonnant, les bras largement ouverts.
HPfr07.txt-0104	bienvenue       	– Bienvenue, dit-il.
HPfr07.txt-0105	nigaud          	Les voici : Nigaud ! Grasdouble ! Bizarre ! Pinçon ! Je vous remercie !
HPfr07.txt-0106	pinçon          	Les voici : Nigaud ! Grasdouble ! Bizarre ! Pinçon ! Je vous remercie !
HPfr07.txt-0107	remercier       	Les voici : Nigaud ! Grasdouble ! Bizarre ! Pinçon ! Je vous remercie !
HPfr07.txt-0108	léger           	– Fou ? dit Percy d’un ton léger.
HPfr07.txt-0109	génie           	C’est un génie !
HPfr07.txt-0110	pomme           	Tu veux des pommes de terre ?
HPfr07.txt-0111	déborder        	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfr07.txt-0112	victuailles     	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfr07.txt-0113	poulet          	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfr07.txt-0114	côtelette       	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfr07.txt-0115	porc            	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfr07.txt-0116	steak           	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfr07.txt-0117	gratin          	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfr07.txt-0118	frite           	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfr07.txt-0119	légume          	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfr07.txt-0120	sauce           	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfr07.txt-0121	onctueux        	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfr07.txt-0122	ketchup         	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
HPfr07.txt-0123	nourriture      	Les Dursley n’avaient jamais privé Harry de nourriture, mais il n’avait pas vraiment le droit de manger à sa faim.
HPfr07.txt-0124	appétit         	Harry remplit son assiette d’un peu de tout, sauf de bonbons à la menthe, et se mit à manger avec appétit.
HPfr07.txt-0125	appétissant     	– Tout ça me paraît bien appétissant, soupira le fantôme à fraise en regardant Harry trancher son steak.
HPfr07.txt-0126	résident        	Fantôme résident à la tour de Gryffondor.
HPfr07.txt-0127	quasi           	Comment peut-on être quasi sans tête ?
HPfr07.txt-0128	offenser        	Sir Nicholas sembla offensé.
HPfr07.txt-0129	vœu             	Visiblement, la conversation ne se déroulait pas selon ses vœux.
HPfr07.txt-0130	ceci            	– Comme ceci, dit-il d’une voix agacée.
HPfr07.txt-0131	basculer        	Sa tête bascula alors vers la droite et tomba sur son épaule comme si elle était rattachée à son cou par une charnière.
HPfr07.txt-0132	rattacher       	Sa tête bascula alors vers la droite et tomba sur son épaule comme si elle était rattachée à son cou par une charnière.
HPfr07.txt-0133	charnière       	Sa tête bascula alors vers la droite et tomba sur son épaule comme si elle était rattachée à son cou par une charnière.
HPfr07.txt-0134	décapiter       	Apparemment, quelqu’un avait essayé de le décapiter, sans réussir à terminer le travail.
HPfr07.txt-0135	ébahir          	Satisfait de voir les regards ébahis des nouveaux élèves, Nick Quasi-Sans-Tête remit son chef en place et toussa.
HPfr07.txt-0136	tousser         	Satisfait de voir les regards ébahis des nouveaux élèves, Nick Quasi-Sans-Tête remit son chef en place et toussa.
HPfr07.txt-0137	remporter       	Les Serpentard l’ont remportée six fois de suite !
HPfr07.txt-0138	baron           	Le Baron Sanglant en est devenu insupportable de prétention.
HPfr07.txt-0139	sanglant        	Le Baron Sanglant en est devenu insupportable de prétention.
HPfr07.txt-0140	insupportable   	Le Baron Sanglant en est devenu insupportable de prétention.
HPfr07.txt-0141	prétention      	Le Baron Sanglant en est devenu insupportable de prétention.
HPfr07.txt-0142	émacié          	Harry jeta un coup d’œil à la table des Serpentard et aperçut un horrible fantôme, les yeux vides, le visage émacié, les vêtements maculés de taches de sang aux reflets d’argent.
HPfr07.txt-0143	maculer         	Harry jeta un coup d’œil à la table des Serpentard et aperçut un horrible fantôme, les yeux vides, le visage émacié, les vêtements maculés de taches de sang aux reflets d’argent.
HPfr07.txt-0144	satisfaction    	Il était assis à côté de Malefoy qui, à la grande satisfaction de Harry, n’avait pas l’air enchanté d’occuper cette place.
HPfr07.txt-0145	enchanter       	Il était assis à côté de Malefoy qui, à la grande satisfaction de Harry, n’avait pas l’air enchanté d’occuper cette place.
HPfr07.txt-0146	délicatesse     	– Je ne le lui ai jamais demandé, répondit Quasi-Sans-Tête avec délicatesse.
HPfr07.txt-0147	vaisselle       	Lorsque tout le monde se fut bien rempli l’estomac, ce qui restait dans les plats disparut peu à peu et la vaisselle redevint étincelante de propreté.
HPfr07.txt-0148	redevenir       	Lorsque tout le monde se fut bien rempli l’estomac, ce qui restait dans les plats disparut peu à peu et la vaisselle redevint étincelante de propreté.
HPfr07.txt-0149	propreté        	Lorsque tout le monde se fut bien rempli l’estomac, ce qui restait dans les plats disparut peu à peu et la vaisselle redevint étincelante de propreté.
HPfr07.txt-0150	dessert         	Ce fut alors le moment du dessert : crèmes glacées à tous les parfums possibles, tartes aux pommes, éclairs au chocolat, beignets, babas, fraises, gâteau de riz… Harry se servit.
HPfr07.txt-0151	tarte           	Ce fut alors le moment du dessert : crèmes glacées à tous les parfums possibles, tartes aux pommes, éclairs au chocolat, beignets, babas, fraises, gâteau de riz… Harry se servit.
HPfr07.txt-0152	baba            	Ce fut alors le moment du dessert : crèmes glacées à tous les parfums possibles, tartes aux pommes, éclairs au chocolat, beignets, babas, fraises, gâteau de riz… Harry se servit.
HPfr07.txt-0153	riz             	Ce fut alors le moment du dessert : crèmes glacées à tous les parfums possibles, tartes aux pommes, éclairs au chocolat, beignets, babas, fraises, gâteau de riz… Harry se servit.
HPfr07.txt-0154	mélasse         	Tandis qu’il prenait un morceau de tarte à la mélasse, les autres se mirent à parler de leurs familles.
HPfr07.txt-0155	jetée           	Un jour, il m’a poussé dans l’eau, au bout de la jetée de Blackpool et j’ai failli me noyer.
HPfr07.txt-0156	noyer           	Un jour, il m’a poussé dans l’eau, au bout de la jetée de Blackpool et j’ai failli me noyer.
HPfr07.txt-0157	don             	Jusqu’à l’âge de huit ans, je n’avais montré aucun don pour la magie.
HPfr07.txt-0158	cheville        	Et puis, un jour, mon grand-oncle qui était venu prendre le thé à la maison m’a pris par les chevilles et s’est amusé à me pendre par une fenêtre du premier étage.
HPfr07.txt-0159	meringue        	Ma grand-tante Enid est venue lui apporter une meringue et il m’a lâché sans le faire exprès.
HPfr07.txt-0160	jusque          	Mais au lieu de tomber normalement, j’ai rebondi dans le jardin jusque sur la route et tout le monde était ravi.
HPfr07.txt-0161	passionnant     	Ça doit être passionnant de transformer quelque chose en quelque chose d’autre.
HPfr07.txt-0162	allumette       	– Il faudra commencer avec de petits objets, par exemple changer une allumette en aiguille… expliqua Percy.
HPfr07.txt-0163	collègue        	Hagrid vidait son gobelet, le professeur McGonagall bavardait avec Albus Dumbledore et le professeur Quirrell, avec son turban ridicule, parlait à l’un de ses collègues, un homme aux cheveux noirs et gras, le nez crochu, le teint cireux.
HPfr07.txt-0164	cireux          	Hagrid vidait son gobelet, le professeur McGonagall bavardait avec Albus Dumbledore et le professeur Quirrell, avec son turban ridicule, parlait à l’un de ses collègues, un homme aux cheveux noirs et gras, le nez crochu, le teint cireux.
HPfr07.txt-0165	fulgurant       	celui-ci ressentit aussitôt une douleur aiguë, fulgurante, à l’endroit de sa cicatrice.
HPfr07.txt-0166	aïe             	– Aïe !
HPfr07.txt-0167	prof            	– Qui c’est, le prof qui parle avec Quirrell ?
HPfr07.txt-0168	rayon           	Il en connaît un rayon en magie noire, ce Rogue.
HPfr07.txt-0169	rassasier       	– Maintenant que nous avons rassasié notre appétit et étanché notre soif, je voudrais encore dire quelques mots en ce qui concerne le règlement intérieur de l’école.
HPfr07.txt-0170	étancher        	– Maintenant que nous avons rassasié notre appétit et étanché notre soif, je voudrais encore dire quelques mots en ce qui concerne le règlement intérieur de l’école.
HPfr07.txt-0171	soif            	– Maintenant que nous avons rassasié notre appétit et étanché notre soif, je voudrais encore dire quelques mots en ce qui concerne le règlement intérieur de l’école.
HPfr07.txt-0172	règlement       	– Maintenant que nous avons rassasié notre appétit et étanché notre soif, je voudrais encore dire quelques mots en ce qui concerne le règlement intérieur de l’école.
HPfr07.txt-0173	exception       	Les première année doivent savoir qu’il est interdit à tous les élèves sans exception de pénétrer dans la forêt qui entoure le collège.
HPfr07.txt-0174	concierge       	– Mr Rusard, le concierge, m’a également demandé de vous rappeler qu’il est interdit de faire des tours de magie dans les couloirs entre les cours.
HPfr07.txt-0175	sélection       	La sélection des joueurs de Quidditch se fera au cours de la deuxième semaine.
HPfr07.txt-0176	avertir         	Enfin, je dois vous avertir que cette année, l’accès au couloir du troisième étage de l’aile droite est formellement interdit, à moins que vous teniez absolument à mourir dans d’atroces souffrances.
HPfr07.txt-0177	accès           	Enfin, je dois vous avertir que cette année, l’accès au couloir du troisième étage de l’aile droite est formellement interdit, à moins que vous teniez absolument à mourir dans d’atroces souffrances.
HPfr07.txt-0178	formellement    	Enfin, je dois vous avertir que cette année, l’accès au couloir du troisième étage de l’aile droite est formellement interdit, à moins que vous teniez absolument à mourir dans d’atroces souffrances.
HPfr07.txt-0179	souffrance      	Enfin, je dois vous avertir que cette année, l’accès au couloir du troisième étage de l’aile droite est formellement interdit, à moins que vous teniez absolument à mourir dans d’atroces souffrances.
HPfr07.txt-0180	imiter          	Harry éclata de rire, mais il ne fut guère imité.
HPfr07.txt-0181	ensemble        	– Et maintenant, avant d’aller nous coucher, chantons tous ensemble l’hymne du collège !
HPfr07.txt-0182	hymne           	– Et maintenant, avant d’aller nous coucher, chantons tous ensemble l’hymne du collège !
HPfr07.txt-0183	mouche          	Dumbledore donna un petit coup de baguette magique, comme s’il avait voulu faire partir une mouche posée à son extrémité, et il s’en échappa un long ruban d’or qui s’éleva au-dessus des tables en se tortillant comme un serpent pour former les paroles de la chanson.
HPfr07.txt-0184	tortiller       	Dumbledore donna un petit coup de baguette magique, comme s’il avait voulu faire partir une mouche posée à son extrémité, et il s’en échappa un long ruban d’or qui s’éleva au-dessus des tables en se tortillant comme un serpent pour former les paroles de la chanson.
HPfr07.txt-0185	pou             	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
HPfr07.txt-0186	guimauve        	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
