HPfr05.txt-0001	traverse        	LE CHEMIN DE TRAVERSE Harry se réveilla de bonne heure le lendemain matin.
HPfr05.txt-0025	attacher        	L’oiseau tendit une patte et Harry déposa cinq Noises dans la petite bourse en cuir qui y était attachée.
HPfr05.txt-0026	envoler         	Le hibou s’envola aussitôt par la fenêtre.
HPfr05.txt-0027	bâillement      	– On ferait bien d’y aller, dit Hagrid qui se redressa avec un bâillement sonore.
HPfr05.txt-0028	crever          	Il avait l’air soudain préoccupé, comme si le bonheur qu’il avait ressenti venait de crever comme un ballon.
HPfr05.txt-0029	heu             	– Heu… Hagrid ?
HPfr05.txt-0030	banque          	C’est la banque des sorciers.
HPfr05.txt-0031	mange           	Mange donc une saucisse.
HPfr05.txt-0032	clair           	Le ciel était clair, à présent et la mer étincelait sous le soleil.
HPfr05.txt-0033	louer           	La barque que l’oncle Vernon avait louée était toujours là, inondée d’eau de pluie.
HPfr05.txt-0034	embarcation     	demanda Harry en cherchant des yeux une autre embarcation.
HPfr05.txt-0035	ramer           	– C’est quand même un peu idiot de ramer, dit le géant en lançant à Harry un regard de côté.
HPfr05.txt-0036	accélérer       	Si je m’arrange pour… accélérer un peu les choses, tu n’en parleras pas quand tu seras à Poudlard ?
HPfr05.txt-0037	pointe          	Hagrid tapota alors de la pointe de son parapluie rose le bord de la barque et le bateau fila aussitôt vers le rivage.
HPfr05.txt-0038	rivage          	Hagrid tapota alors de la pointe de son parapluie rose le bord de la barque et le bateau fila aussitôt vers le rivage.
HPfr05.txt-0039	sort            	– Ils n’ont pas leur pareil pour jeter des sorts, répondit Hagrid en dépliant son journal.
HPfr05.txt-0040	dragon          	On dit même que ce sont des dragons qui gardent la salle des coffres.
HPfr05.txt-0041	coffre          	On dit même que ce sont des dragons qui gardent la salle des coffres.
HPfr05.txt-0042	kilomètre       	Et en plus, ce n’est pas facile d’y retrouver son chemin – Gringotts est à des kilomètres en sous-sol, bien plus bas que le métro de Londres.
HPfr05.txt-0043	gazette         	Harry resta assis en silence pendant que Hagrid lisait son journal, La Gazette du sorcier.
HPfr05.txt-0044	contact         	Harry avait appris au contact de l’oncle Vernon qu’il ne fallait jamais déranger quelqu’un qui lit son journal, mais il avait tant de questions à poser qu’il était très difficile de résister.
HPfr05.txt-0045	ministère       	Le ministère de la Magie a encore fait des bêtises, comme d’habitude, marmonna Hagrid en tournant les pages.
HPfr05.txt-0046	page            	Le ministère de la Magie a encore fait des bêtises, comme d’habitude, marmonna Hagrid en tournant les pages.
HPfr05.txt-0047	spontanément    	demanda spontanément Harry.
HPfr05.txt-0048	ministre        	Ils voulaient nommer Dumbledore ministre, mais il ne quitterait Poudlard pour rien au monde et c’est ce vieux gâteux de Cornelius Fudge qui a hérité du poste.
HPfr05.txt-0049	gâteux          	Ils voulaient nommer Dumbledore ministre, mais il ne quitterait Poudlard pour rien au monde et c’est ce vieux gâteux de Cornelius Fudge qui a hérité du poste.
HPfr05.txt-0050	gaffeur         	Un vrai gaffeur, celui-là.
HPfr05.txt-0051	conseil         	Chaque matin, il envoie un hibou à Dumbledore pour lui demander conseil.
HPfr05.txt-0052	appel           	Sinon, ils essaieraient de faire appel à nous pour résoudre leurs problèmes.
HPfr05.txt-0053	résoudre        	Sinon, ils essaieraient de faire appel à nous pour résoudre leurs problèmes.
HPfr05.txt-0054	quai            	À ce moment, le bateau heurta en douceur le quai du port.
HPfr05.txt-0055	port            	À ce moment, le bateau heurta en douceur le quai du port.
HPfr05.txt-0056	replier         	Hagrid replia son journal et ils montèrent l’escalier de pierre qui menait à la rue.
HPfr05.txt-0057	gare            	Tout au long du chemin qui conduisait à la gare, les passants se retournaient sur Hagrid : il était deux fois plus grand que la moyenne et ne cessait de faire des commentaires à haute voix sur tout ce qu’il voyait.
HPfr05.txt-0058	commentaire     	Tout au long du chemin qui conduisait à la gare, les passants se retournaient sur Hagrid : il était deux fois plus grand que la moyenne et ne cessait de faire des commentaires à haute voix sur tout ce qu’il voyait.
HPfr05.txt-0059	parcmètre       	– Regarde ça, disait-il en montrant des parcmètres.
HPfr05.txt-0060	inventer        	Les Moldus ont vraiment l’esprit tordu pour inventer des trucs pareils !
HPfr05.txt-0061	essouffler      	demanda-t-il, un peu essoufflé.
HPfr05.txt-0062	méduse          	Sac à méduses, j’aimerais bien avoir un dragon !
HPfr05.txt-0063	soin            	Hagrid, qui ne comprenait rien à « l’argent des Moldus » confia à Harry le soin d’acheter les billets.
HPfr05.txt-0064	passager        	Dans le train, les passagers ouvraient des yeux ronds en voyant Hagrid.
HPfr05.txt-0065	siège           	Il occupait deux sièges à lui tout seul et tricotait quelque chose qui ressemblait à un chapiteau de cirque jaune canari.
HPfr05.txt-0066	tricoter        	Il occupait deux sièges à lui tout seul et tricotait quelque chose qui ressemblait à un chapiteau de cirque jaune canari.
HPfr05.txt-0067	chapiteau       	Il occupait deux sièges à lui tout seul et tricotait quelque chose qui ressemblait à un chapiteau de cirque jaune canari.
HPfr05.txt-0068	cirque          	Il occupait deux sièges à lui tout seul et tricotait quelque chose qui ressemblait à un chapiteau de cirque jaune canari.
HPfr05.txt-0069	canari          	Il occupait deux sièges à lui tout seul et tricotait quelque chose qui ressemblait à un chapiteau de cirque jaune canari.
HPfr05.txt-0070	maille          	– Tu as toujours ta lettre, Harry ? demanda-t-il en comptant les mailles.
HPfr05.txt-0071	fourniture      	Regarde un peu la liste des fournitures.
HPfr05.txt-0072	feuille         	Elle contenait une autre feuille qu’il n’avait pas remarquée auparavant.
HPfr05.txt-0073	obligatoirement 	Liste des vêtements dont les élèves de première année devront obligatoirement être équipés :
HPfr05.txt-0074	équiper         	Liste des vêtements dont les élèves de première année devront obligatoirement être équipés :
HPfr05.txt-0075	modèle          	1) Trois robes de travail (noires), modèle normal
HPfr05.txt-0076	pointu          	2) Un chapeau pointu (noir)
HPfr05.txt-0077	protecteur      	3) Une paire de gants protecteurs (en cuir de dragon ou autre matière semblable)
HPfr05.txt-0078	matière         	3) Une paire de gants protecteurs (en cuir de dragon ou autre matière semblable)
HPfr05.txt-0079	hiver           	4) Une cape d’hiver (noire avec attaches d’argent)
HPfr05.txt-0080	noire           	4) Une cape d’hiver (noire avec attaches d’argent)
HPfr05.txt-0081	attache         	4) Une cape d’hiver (noire avec attaches d’argent)
HPfr05.txt-0082	étiquette       	Chaque vêtement devra porter une étiquette indiquant le nom de l’élève.
HPfr05.txt-0083	manuel          	Livres et manuels
HPfr05.txt-0084	procurer        	Chaque élève devra se procurer un exemplaire des ouvrages suivants :
HPfr05.txt-0085	exemplaire      	Chaque élève devra se procurer un exemplaire des ouvrages suivants :
HPfr05.txt-0086	enchantement    	Le Livre des sorts et enchantements (niveau 1), de Miranda Fauconnette
HPfr05.txt-0087	théorique       	Magie théorique, de Adalbert Lasornette
HPfr05.txt-0088	métamorphose    	Manuel de métamorphose à l’usage des débutants, de Emeric G. Changé
HPfr05.txt-0089	débutant        	Manuel de métamorphose à l’usage des débutants, de Emeric G. Changé
HPfr05.txt-0090	herbe           	Mille herbes et champignons magiques, de Phyllida Augirolle
HPfr05.txt-0091	champignon      	Mille herbes et champignons magiques, de Phyllida Augirolle
HPfr05.txt-0092	potion          	Potions magiques, de Arsenius Beaulitron
HPfr05.txt-0093	habitat         	Vie et habitat des animaux fantastiques, de Norbert Dragonneau
HPfr05.txt-0094	fantastique     	Vie et habitat des animaux fantastiques, de Norbert Dragonneau
HPfr05.txt-0095	obscur          	Forces obscures : comment s’en protéger, de Quentin Jentremble
HPfr05.txt-0096	chaudron        	1 chaudron (modèle standard en étain, taille 2)
HPfr05.txt-0097	standard        	1 chaudron (modèle standard en étain, taille 2)
HPfr05.txt-0098	étain           	1 chaudron (modèle standard en étain, taille 2)
HPfr05.txt-0099	fiole           	1 boîte de fioles en verre ou cristal
HPfr05.txt-0100	cristal         	1 boîte de fioles en verre ou cristal
HPfr05.txt-0101	télescope       	1 télescope
HPfr05.txt-0102	balance         	1 balance en cuivre
HPfr05.txt-0103	balai           	IL EST RAPPELÉ AUX PARENTS QUE LES ÉLÈVES DE PREMIÈRE ANNÉE NE SONT PAS AUTORISÉS À POSSÉDER LEUR PROPRE BALAI.
HPfr05.txt-0104	transport       	Hagrid semblait connaître son chemin mais, de toute évidence, il n’avait pas l’habitude de se déplacer dans les transports en commun.
HPfr05.txt-0105	commun          	Hagrid semblait connaître son chemin mais, de toute évidence, il n’avait pas l’habitude de se déplacer dans les transports en commun.
HPfr05.txt-0106	coincer         	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
HPfr05.txt-0107	portillon       	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
HPfr05.txt-0108	automatique     	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
HPfr05.txt-0109	tonitruant      	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
HPfr05.txt-0110	rame            	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
HPfr05.txt-0111	lent            	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
HPfr05.txt-0112	roulant         	– Je ne sais pas comment font les Moldus sans la magie, dit-il tandis qu’ils escaladaient un escalier roulant en panne qui menait à une rue animée, bordée de magasins.
HPfr05.txt-0113	panne           	– Je ne sais pas comment font les Moldus sans la magie, dit-il tandis qu’ils escaladaient un escalier roulant en panne qui menait à une rue animée, bordée de magasins.
HPfr05.txt-0114	border          	– Je ne sais pas comment font les Moldus sans la magie, dit-il tandis qu’ils escaladaient un escalier roulant en panne qui menait à une rue animée, bordée de magasins.
HPfr05.txt-0115	dense           	Sur les trottoirs, la foule était dense, mais Hagrid était si grand qu’il n’avait aucun mal à se frayer un chemin et Harry restait prudemment dans son sillage.
HPfr05.txt-0116	frayer          	Sur les trottoirs, la foule était dense, mais Hagrid était si grand qu’il n’avait aucun mal à se frayer un chemin et Harry restait prudemment dans son sillage.
HPfr05.txt-0117	prudemment      	Sur les trottoirs, la foule était dense, mais Hagrid était si grand qu’il n’avait aucun mal à se frayer un chemin et Harry restait prudemment dans son sillage.
HPfr05.txt-0118	sillage         	Sur les trottoirs, la foule était dense, mais Hagrid était si grand qu’il n’avait aucun mal à se frayer un chemin et Harry restait prudemment dans son sillage.
HPfr05.txt-0119	librairie       	Ils passèrent devant des librairies, des magasins de disques, des stands de hamburgers et des cinémas, mais aucune boutique ne semblait vendre des baguettes magiques.
HPfr05.txt-0120	disque          	Ils passèrent devant des librairies, des magasins de disques, des stands de hamburgers et des cinémas, mais aucune boutique ne semblait vendre des baguettes magiques.
HPfr05.txt-0121	stand           	Ils passèrent devant des librairies, des magasins de disques, des stands de hamburgers et des cinémas, mais aucune boutique ne semblait vendre des baguettes magiques.
HPfr05.txt-0122	enterrer        	Y avait-il vraiment des montagnes d’or magique enterrées à des kilomètres sous leurs pieds ?
HPfr05.txt-0123	farce           	N’était-ce pas plutôt une farce énorme que lui avaient faite les Dursley ?
HPfr05.txt-0124	humour          	Si Harry n’avait pas su que les Dursley ne possédaient pas le moindre sens de l’humour, il aurait pu le penser.
HPfr05.txt-0125	net             	Soudain, Hagrid s’arrêta net.
HPfr05.txt-0126	pub             	C’était un pub minuscule et miteux, coincé entre une grande librairie et une boutique de disques.
HPfr05.txt-0127	miteux          	C’était un pub minuscule et miteux, coincé entre une grande librairie et une boutique de disques.
HPfr05.txt-0128	xérès           	De vieilles femmes étaient assises dans un coin et buvaient de petits verres de xérès.
HPfr05.txt-0129	fumer           	L’une d’elles fumait une longue pipe.
HPfr05.txt-0130	pipe            	L’une d’elles fumait une longue pipe.
HPfr05.txt-0131	barman          	Un petit homme en chapeau haut de forme parlait à un vieux barman chauve dont la tête ressemblait à une noix scintillante.
HPfr05.txt-0132	noix            	Un petit homme en chapeau haut de forme parlait à un vieux barman chauve dont la tête ressemblait à une noix scintillante.
HPfr05.txt-0133	scintillant     	Un petit homme en chapeau haut de forme parlait à un vieux barman chauve dont la tête ressemblait à une noix scintillante.
HPfr05.txt-0134	rangée          	– Comme d’habitude, Hagrid ? demanda le barman en tendant la main vers une rangée de verres.
HPfr05.txt-0135	fléchir         	Je suis en mission pour Poudlard, répondit le géant en donnant une tape sur l’épaule de Harry dont les genoux fléchirent sous le choc.
HPfr05.txt-0136	seigneur        	– Seigneur Dieu, dit le barman en regardant Harry.
HPfr05.txt-0137	client          	C’est… Est-ce que c’est vraiment ?… Soudain, les clients du Chaudron Baveur ne dirent plus un mot, ne firent plus un geste.
HPfr05.txt-0138	honneur         	Harry Potter… Quel honneur !
HPfr05.txt-0139	contourner      	Il se hâta de contourner le comptoir et se précipita sur Harry pour lui serrer la main.
HPfr05.txt-0140	comptoir        	Il se hâta de contourner le comptoir et se précipita sur Harry pour lui serrer la main.
HPfr05.txt-0141	bienvenu        	– Soyez le bienvenu, Mr Potter.
HPfr05.txt-0142	racler          	Puis on entendit les chaises racler le plancher et, l’instant suivant, Harry se trouva entouré de gens qui tenaient à tout prix à lui serrer la main.
HPfr05.txt-0143	bar             	Pas un seul client du bar n’était resté assis.
HPfr05.txt-0144	connaissance    	– Je suis très fier de faire votre connaissance, dit quelqu’un d’autre.
HPfr05.txt-0145	émouvoir        	Je suis si ému.
HPfr05.txt-0146	honorer         	– Je suis si honoré de faire votre connaissance, Mr Potter, dit un quatrième.
HPfr05.txt-0147	quatrième       	– Je suis si honoré de faire votre connaissance, Mr Potter, dit un quatrième.
HPfr05.txt-0148	saluer          	Vous m’avez salué un jour dans un magasin.
HPfr05.txt-0149	visiblement     	Un jeune homme au teint pâle s’avança, visiblement nerveux.
HPfr05.txt-0150	tic             	L’une de ses paupières était agitée de tics.
HPfr05.txt-0151	enseigner       	– Quelle matière enseignez-vous, professeur ?
HPfr05.txt-0152	défense         	– La dé… défense contre les for… forces du Mal, marmonna le professeur Quirrell comme s’il eût préféré ne pas en parler.
HPfr05.txt-0153	vampire         	Je… je dois moi-même a… acheter un nouveau li… livre sur les vampires.
HPfr05.txt-0154	accaparer       	Les autres clients du bar n’avaient pas l’intention de laisser le professeur accaparer Harry, et Hagrid eut toutes les peines du monde à se faire entendre.
HPfr05.txt-0155	remarquable     	C’est un esprit remarquable.
HPfr05.txt-0156	harpie          	Il allait très bien tant qu’il étudiait dans les livres mais depuis qu’il est allé rencontrer des vampires et des harpies dans la Forêt noire, il a peur de tout, même de ses élèves.
HPfr05.txt-0157	trembloter      	La brique se mit alors à trembloter et un petit trou apparut en son milieu.
HPfr05.txt-0158	élargir         	Le trou s’élargit de plus en plus et se transforma bientôt en une arcade suffisamment grande pour permettre même à Hagrid de passer.
HPfr05.txt-0159	arcade          	Le trou s’élargit de plus en plus et se transforma bientôt en une arcade suffisamment grande pour permettre même à Hagrid de passer.
HPfr05.txt-0160	au-delà         	Au-delà, une rue pavée serpentait devant eux à perte de vue.
HPfr05.txt-0161	paver           	Au-delà, une rue pavée serpentait devant eux à perte de vue.
HPfr05.txt-0162	serpenter       	Au-delà, une rue pavée serpentait devant eux à perte de vue.
HPfr05.txt-0163	perte           	Au-delà, une rue pavée serpentait devant eux à perte de vue.
HPfr05.txt-0164	stupéfaction    	La stupéfaction de Harry le fit sourire.
HPfr05.txt-0165	franchir        	Ils franchirent l’arcade qui disparut aussitôt sur leur passage pour ne laisser derrière eux que le mur de pierre.
HPfr05.txt-0166	passage         	Ils franchirent l’arcade qui disparut aussitôt sur leur passage pour ne laisser derrière eux que le mur de pierre.
HPfr05.txt-0167	étalage         	Le soleil brillait sur un étalage de chaudrons, devant un magasin.
HPfr05.txt-0168	pancarte        	Une pancarte annonçait : « Chaudrons – toutes tailles – cuivre, étain, argent – touillage automatique – modèles pliables. »
HPfr05.txt-0169	touiller        	Une pancarte annonçait : « Chaudrons – toutes tailles – cuivre, étain, argent – touillage automatique – modèles pliables. »
HPfr05.txt-0170	pliable         	Une pancarte annonçait : « Chaudrons – toutes tailles – cuivre, étain, argent – touillage automatique – modèles pliables. »
HPfr05.txt-0171	étal            	Harry aurait voulu avoir une demi-douzaine d’yeux supplémentaires, il regardait de tous côtés, en essayant de tout voir à la fois : les magasins, les étals, les gens qui faisaient leurs courses.
HPfr05.txt-0172	rondelet        	Une petite femme rondelette regardait la vitrine d’un apothicaire en hochant la tête :
HPfr05.txt-0173	vitrine         	Une petite femme rondelette regardait la vitrine d’un apothicaire en hochant la tête :
HPfr05.txt-0174	apothicaire     	Une petite femme rondelette regardait la vitrine d’un apothicaire en hochant la tête :
HPfr05.txt-0175	gramme          	– Dix-sept Mornilles pour trente grammes de foie de dragon, c’est de la folie… marmonna-t-elle.
HPfr05.txt-0176	foie            	– Dix-sept Mornilles pour trente grammes de foie de dragon, c’est de la folie… marmonna-t-elle.
HPfr05.txt-0177	folie           	– Dix-sept Mornilles pour trente grammes de foie de dragon, c’est de la folie… marmonna-t-elle.
HPfr05.txt-0178	ululement       	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones. »
HPfr05.txt-0179	enseigne        	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones. »
HPfr05.txt-0180	royaume         	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones. »
HPfr05.txt-0181	effraie         	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones.
HPfr05.txt-0182	duc             	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones.
HPfr05.txt-0183	lapon           	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones.
HPfr05.txt-0184	chauve-souris   	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfr05.txt-0185	anguille        	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfr05.txt-0186	conserver       	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfr05.txt-0187	baril           	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfr05.txt-0188	pile            	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfr05.txt-0189	chancelant      	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfr05.txt-0190	globe           	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfr05.txt-0191	lunaire         	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfr05.txt-0192	instrument      	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfr05.txt-0193	blancheur       	Ils se trouvaient devant un grand bâtiment d’une blancheur de neige, qui dominait les boutiques alentour.
HPfr05.txt-0194	neige           	Ils se trouvaient devant un grand bâtiment d’une blancheur de neige, qui dominait les boutiques alentour.
HPfr05.txt-0195	dominer         	Ils se trouvaient devant un grand bâtiment d’une blancheur de neige, qui dominait les boutiques alentour.
HPfr05.txt-0196	alentour        	Ils se trouvaient devant un grand bâtiment d’une blancheur de neige, qui dominait les boutiques alentour.
HPfr05.txt-0197	portail         	Debout à côté du portail en bronze étincelant, vêtu d’un uniforme écarlate, se tenait un…
HPfr05.txt-0198	étincelant      	Debout à côté du portail en bronze étincelant, vêtu d’un uniforme écarlate, se tenait un…
HPfr05.txt-0199	écarlate        	Debout à côté du portail en bronze étincelant, vêtu d’un uniforme écarlate, se tenait un…
HPfr05.txt-0200	calmement       	Eh oui, c’est un gobelin, dit calmement Hagrid tandis qu’ils montaient les marches de pierre blanche qui menaient au portail.
HPfr05.txt-0201	marche          	Eh oui, c’est un gobelin, dit calmement Hagrid tandis qu’ils montaient les marches de pierre blanche qui menaient au portail.
HPfr05.txt-0202	blanc           	Eh oui, c’est un gobelin, dit calmement Hagrid tandis qu’ils montaient les marches de pierre blanche qui menaient au portail.
HPfr05.txt-0203	intelligent     	Il avait le teint sombre, un visage intelligent, une barbe en pointe, des pieds et des doigts longs et fins.
HPfr05.txt-0204	graver          	Ils se retrouvèrent devant une autre porte, en argent cette fois, sur laquelle étaient gravés ces mots :
HPfr05.txt-0205	étranger        	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
HPfr05.txt-0206	désir           	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
HPfr05.txt-0207	appât           	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
HPfr05.txt-0208	gain            	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
HPfr05.txt-0209	renoncer        	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
HPfr05.txt-0210	obéir           	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
HPfr05.txt-0211	gagner          	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
