HPfr06.txt-0001	rendez-vous      	RENDEZ-VOUS SUR LA VOIE 9 3/4
HPfr06.txt-0070	bavarder         	Certains, penchés aux fenêtres, bavardaient avec leurs parents pendant que d’autres se battaient pour une place assise.
HPfr06.txt-0071	recherche        	Harry poussa son chariot le long du quai, à la recherche d’une place libre.
HPfr06.txt-0072	libre            	Harry poussa son chariot le long du quai, à la recherche d’une place libre.
HPfr06.txt-0073	joufflu          	Il passa devant un garçon au visage joufflu qui disait : – Grand-mère, j’ai encore perdu mon crapaud.
HPfr06.txt-0074	dame             	– Neville ! soupira la vieille dame.
HPfr06.txt-0075	surgir           	Le garçon souleva le couvercle de la boîte qu’il tenait dans les mains et tout le monde se mit à hurler en voyant surgir une longue patte velue.
HPfr06.txt-0076	velu             	Le garçon souleva le couvercle de la boîte qu’il tenait dans les mains et tout le monde se mit à hurler en voyant surgir une longue patte velue.
HPfr06.txt-0077	compartiment     	Harry se fraya un chemin parmi la foule jusqu’au dernier wagon où il trouva enfin un compartiment vide.
HPfr06.txt-0078	hisser           	Il posa d’abord la cage d’Hedwige à l’intérieur du wagon, puis il essaya de hisser sa valise sur le marchepied mais il la fit tomber deux fois sur son pied.
HPfr06.txt-0079	marchepied       	Il posa d’abord la cage d’Hedwige à l’intérieur du wagon, puis il essaya de hisser sa valise sur le marchepied mais il la fit tomber deux fois sur son pied.
HPfr06.txt-0080	hé               	Hé, Fred, viens nous donner un coup de main.
HPfr06.txt-0081	mèche            	– Merci, dit Harry en relevant d’un doigt une mèche de cheveux trempés de sueur.
HPfr06.txt-0082	sueur            	– Merci, dit Harry en relevant d’un doigt une mèche de cheveux trempés de sueur.
HPfr06.txt-0083	chœur            	– Harry Potter, dirent en chœur les deux frères.
HPfr06.txt-0084	redescendre      	Après avoir jeté un dernier coup d’œil à Harry, les jumeaux se hâtèrent de redescendre sur le quai.
HPfr06.txt-0085	demi             	À demi caché, il pouvait observer et entendre la famille aux cheveux roux sans être vu.
HPfr06.txt-0086	dérober          	Le plus jeune des quatre frères essaya de se dérober mais sa mère l’attrapa par le bras et se mit à lui frotter le bout du nez.
HPfr06.txt-0087	démarche         	L’aîné des garçons apparut, la démarche décidée.
HPfr06.txt-0088	insigne          	Il avait déjà revêtu la grande robe noire de Poudlard et Harry remarqua, épinglé sur sa poitrine, un petit insigne brillant rouge et or qui portait la lettre P.
HPfr06.txt-0089	préfet           	Je dois aller à l’avant du train, les préfets ont un compartiment réservé.
HPfr06.txt-0090	été              	– Et même pendant tout l’été, à bien y réfléchir…
HPfr06.txt-0091	ému              	– Parce qu’il est préfet, répondit leur mère d’une voix émue.
HPfr06.txt-0092	blottir          	Harry se blottit un peu plus dans son coin pour être sûr qu’ils ne le voient pas.
HPfr06.txt-0093	brun             	– Le petit brun qui était à côté de nous, à la gare ?
HPfr06.txt-0094	flûté            	Harry entendit la voix flûtée de la petite fille.
HPfr06.txt-0095	poli             	Il était tellement poli quand il m’a demandé où se trouvait le quai.
HPfr06.txt-0096	sifflet          	Un sifflet retentit.
HPfr06.txt-0097	indigner         	– George ! s’indigna sa mère.
HPfr06.txt-0098	défiler          	Les maisons qui bordaient la voie défilaient devant la fenêtre du compartiment.
HPfr06.txt-0099	excitation       	Harry éprouvait un sentiment d’excitation : il ne savait pas ce qui l’attendait, mais c’était certainement mieux que ce qu’il laissait derrière lui.
HPfr06.txt-0100	indifférent      	Il jeta un coup d’œil à Harry puis se tourna du côté de la fenêtre d’un air indifférent.
HPfr06.txt-0101	tarentule        	Lee Jordan a une tarentule géante, on va aller voir ça.
HPfr06.txt-0102	blague           	– Je m’étais dit que c’était peut-être une blague de Fred ou George.
HPfr06.txt-0103	avidement        	demanda avidement Ron.
HPfr06.txt-0104	éblouissant      	– Je me souviens d’une lumière verte éblouissante, c’est tout.
HPfr06.txt-0105	comptable        	Il paraît que M’man a un cousin qui est comptable, mais on ne parle jamais de lui à la maison.
HPfr06.txt-0106	abominable       	En tout cas, ma tante, mon oncle et mon cousin sont abominables.
HPfr06.txt-0107	rectifier        	– Cinq, rectifia Ron.
HPfr06.txt-0108	assombrir        	Son visage s’était soudain assombri.
HPfr06.txt-0109	sixième          	– Je suis le sixième à aller à Poudlard, dans la famille.
HPfr06.txt-0110	intérêt          	J’ai intérêt à être à la hauteur.
HPfr06.txt-0111	capitaine        	Bill était Préfet en chef et Charlie capitaine de l’équipe de Quidditch.
HPfr06.txt-0112	maintenir        	– C’est un élève chargé de maintenir la discipline, répondit Ron.
HPfr06.txt-0113	discipline       	– C’est un élève chargé de maintenir la discipline, répondit Ron.
HPfr06.txt-0114	pion             	Une sorte de pion…
HPfr06.txt-0115	confesser        	– Je ne suis pas beaucoup sorti de chez moi, confessa Harry.
HPfr06.txt-0116	moyen            	Mon père a offert un hibou à Percy quand il a été nommé préfet, mais il n’avait pas les moyens de…
HPfr06.txt-0117	détourner        	Les oreilles de Ron devinrent écarlates, comme s’il avait eu le sentiment d’en avoir trop dit et il détourna la tête.
HPfr06.txt-0118	honteux          	Harry ne voyait pas pourquoi il aurait fallu se sentir honteux de n’avoir pas les moyens d’acheter un hibou.
HPfr06.txt-0119	réconforter      	Cela sembla réconforter Ron.
HPfr06.txt-0120	annonce          	– Jusqu’à ce que Hagrid me l’annonce, je ne savais pas que j’étais un sorcier, je ne savais même rien de mes parents, ni de Voldemort.
HPfr06.txt-0121	rassurant        	– Oh non, dit Ron d’un ton rassurant.
HPfr06.txt-0122	vache            	Pendant un long moment, ils restèrent silencieux, contemplant les vaches et les moutons qui paissaient dans les prés, le long de la voie.
HPfr06.txt-0123	mouton           	Pendant un long moment, ils restèrent silencieux, contemplant les vaches et les moutons qui paissaient dans les prés, le long de la voie.
HPfr06.txt-0124	paître           	Pendant un long moment, ils restèrent silencieux, contemplant les vaches et les moutons qui paissaient dans les prés, le long de la voie.
HPfr06.txt-0125	pré              	Pendant un long moment, ils restèrent silencieux, contemplant les vaches et les moutons qui paissaient dans les prés, le long de la voie.
HPfr06.txt-0126	midi             	Vers midi et demi, ils entendirent un chariot tintinnabuler dans le couloir du wagon et une jeune femme souriante fit glisser la porte du compartiment.
HPfr06.txt-0127	marchandise      	– Vous désirez quelque chose, les enfants ? demanda-t-elle en montrant les marchandises disposées sur le chariot.
HPfr06.txt-0128	sandwich         	Ron, les oreilles à nouveau écarlates, marmonna qu’il avait apporté des sandwiches.
HPfr06.txt-0129	barre            	Pour la première fois de sa vie, Harry avait les poches pleines d’argent et il était décidé à s’en servir pour s’acheter autant de barres de chocolat qu’il lui plairait.
HPfr06.txt-0130	totalement       	Mais en examinant les friandises que vendait la jeune femme, il s’aperçut qu’elles lui étaient totalement inconnues.
HPfr06.txt-0131	dragée           	Jamais il n’avait entendu parler des Dragées surprises de Bertie Crochue, des Ballongommes du Bullard, des Chocogrenouilles, des Patacitrouilles, des Fondants du Chaudron ou des Baguettes magiques à la réglisse.
HPfr06.txt-0132	fondant          	Jamais il n’avait entendu parler des Dragées surprises de Bertie Crochue, des Ballongommes du Bullard, des Chocogrenouilles, des Patacitrouilles, des Fondants du Chaudron ou des Baguettes magiques à la réglisse.
HPfr06.txt-0133	réglisse         	Jamais il n’avait entendu parler des Dragées surprises de Bertie Crochue, des Ballongommes du Bullard, des Chocogrenouilles, des Patacitrouilles, des Fondants du Chaudron ou des Baguettes magiques à la réglisse.
HPfr06.txt-0134	banquette        	Ron ouvrit de grands yeux lorsque Harry revint avec ses acquisitions et les étala sur la banquette.
HPfr06.txt-0135	affamer          	– Je suis affamé, dit Harry en mordant avidement dans un Patacitrouille.
HPfr06.txt-0136	mordre           	– Je suis affamé, dit Harry en mordant avidement dans un Patacitrouille.
HPfr06.txt-0137	échange          	– Si tu veux, je te l’échange contre ce qui te plaira.
HPfr06.txt-0138	proposer         	Vas-y, sers-toi, proposa Harry, ravi de pouvoir partager quelque chose avec quelqu’un pour la première fois de sa vie.
HPfr06.txt-0139	grenouille       	Ce ne sont pas de vraies grenouilles, j’espère ?
HPfr06.txt-0140	collection       	Non, mais regarde la carte qui est à l’intérieur, j’en fais collection.
HPfr06.txt-0141	aquilin          	Elle montrait la photo d’un homme avec des lunettes en demi-lune, un long nez aquilin, une chevelure argentée, une barbe et une moustache.
HPfr06.txt-0142	chevelure        	Elle montrait la photo d’un homme avec des lunettes en demi-lune, un long nez aquilin, une chevelure argentée, une barbe et une moustache.
HPfr06.txt-0143	portrait         	Sous le portrait était écrit le nom du personnage : Albus Dumbledore.
HPfr06.txt-0144	actuel           	Harry retourna la carte et lut : « Albus Dumbledore, actuel directeur du collège Poudlard.
HPfr06.txt-0145	considérer       	Considéré par beaucoup comme le plus grand sorcier des temps modernes, Dumbledore s’est notamment rendu célèbre en écrasant en 1945 le mage Grindelwald, de sinistre mémoire.
HPfr06.txt-0146	moderne          	Considéré par beaucoup comme le plus grand sorcier des temps modernes, Dumbledore s’est notamment rendu célèbre en écrasant en 1945 le mage Grindelwald, de sinistre mémoire.
HPfr06.txt-0147	collaboration    	Il travailla en étroite collaboration avec l’alchimiste Nicolas Flamel et on lui doit la découverte des douze propriétés du sang de dragon.
HPfr06.txt-0148	alchimiste       	Il travailla en étroite collaboration avec l’alchimiste Nicolas Flamel et on lui doit la découverte des douze propriétés du sang de dragon.
HPfr06.txt-0149	découverte       	Il travailla en étroite collaboration avec l’alchimiste Nicolas Flamel et on lui doit la découverte des douze propriétés du sang de dragon.
HPfr06.txt-0150	propriété        	Il travailla en étroite collaboration avec l’alchimiste Nicolas Flamel et on lui doit la découverte des douze propriétés du sang de dragon.
HPfr06.txt-0151	sang             	Il travailla en étroite collaboration avec l’alchimiste Nicolas Flamel et on lui doit la découverte des douze propriétés du sang de dragon.
HPfr06.txt-0152	passe-temps      	Les passe-temps préférés du professeur Dumbledore sont le bowling et la musique de chambre.
HPfr06.txt-0153	bowling          	Les passe-temps préférés du professeur Dumbledore sont le bowling et la musique de chambre.
HPfr06.txt-0154	musique          	Les passe-temps préférés du professeur Dumbledore sont le bowling et la musique de chambre.
HPfr06.txt-0155	stupéfaire       	Harry regarda à nouveau la photo et fut stupéfait de constater que Dumbledore avait disparu.
HPfr06.txt-0156	contemplation    	Il s’arracha enfin à la contemplation de la druidesse Cliodna qui se grattait le nez pour ouvrir un sachet de Dragées surprises de Bertie Crochue.
HPfr06.txt-0157	parfum           	Il y a toutes sortes de parfums.
HPfr06.txt-0158	épinard          	Si tu as de la chance, tu peux avoir chocolat, menthe ou orange, mais parfois, on tombe sur épinards ou foie et tripes.
HPfr06.txt-0159	tripe            	Si tu as de la chance, tu peux avoir chocolat, menthe ou orange, mais parfois, on tombe sur épinards ou foie et tripes.
HPfr06.txt-0160	coco             	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
HPfr06.txt-0161	haricot          	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
HPfr06.txt-0162	curry            	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
HPfr06.txt-0163	gazon            	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
HPfr06.txt-0164	café             	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
HPfr06.txt-0165	sardine          	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
HPfr06.txt-0166	goûter           	Il eut même le courage d’en goûter une qui avait une étrange couleur grise et que Ron refusa de toucher.
HPfr06.txt-0167	poivre           	C’était une dragée au poivre.
HPfr06.txt-0168	paysage          	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
HPfr06.txt-0169	campagne         	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
HPfr06.txt-0170	dessiner         	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
HPfr06.txt-0171	colline          	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
HPfr06.txt-0172	rivière          	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
HPfr06.txt-0173	arbre            	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
HPfr06.txt-0174	lamenter         	Je l’ai perdu, se lamenta le garçon.
HPfr06.txt-0175	accabler         	Oui, soupira le garçon d’un air accablé.
HPfr06.txt-0176	abîmer           	Il fouilla dans sa valise et en sortit une vieille baguette magique tout abîmée.
HPfr06.txt-0177	brandir          	Au moment où il brandissait sa baguette, le garçon qui avait perdu son crapaud revint à la porte du compartiment, accompagné d’une fille déjà vêtue de sa robe de Poudlard flambant neuve.
HPfr06.txt-0178	sien             	Neville a perdu le sien, dit la fille.
HPfr06.txt-0179	ébouriffé        	Elle avait d’épais cheveux bruns ébouriffés, de grandes dents et un ton autoritaire.
HPfr06.txt-0180	autoritaire      	Elle avait d’épais cheveux bruns ébouriffés, de grandes dents et un ton autoritaire.
HPfr06.txt-0181	dépourvu         	Ron sembla pris au dépourvu.
HPfr06.txt-0182	jonquille        	– Bon, dit-il, allons y : Soleil, jonquille et canari, Que ce gros gras rat gris En jaune soit colorié De la tête jusqu’aux pieds.
HPfr06.txt-0183	colorier         	– Bon, dit-il, allons y : Soleil, jonquille et canari, Que ce gros gras rat gris En jaune soit colorié De la tête jusqu’aux pieds.
HPfr06.txt-0184	suffisant        	J’ai déjà appris par cœur tous les livres qui sont au programme, j’espère que ce sera suffisant pour débuter.
HPfr06.txt-0185	débuter          	J’ai déjà appris par cœur tous les livres qui sont au programme, j’espère que ce sera suffisant pour débuter.
HPfr06.txt-0186	soulager         	Harry jeta un coup d’œil à Ron et fut soulagé.
HPfr06.txt-0187	stupéfait       	Son expression stupéfaite montrait que lui non plus n’avait pas appris par cœur tous les livres du programme.
HPfr06.txt-0188	culture          	Je sais tout sur toi, j’ai lu quelques livres supplémentaires pour ma culture générale et je peux te dire qu’on parle de toi dans Histoire de la magie moderne, Grandeur et décadence de la magie noire et Les Grands Événements de la sorcellerie au XXe siècle.
HPfr06.txt-0189	général          	Je sais tout sur toi, j’ai lu quelques livres supplémentaires pour ma culture générale et je peux te dire qu’on parle de toi dans Histoire de la magie moderne, Grandeur et décadence de la magie noire et Les Grands Événements de la sorcellerie au XXe siècle.
HPfr06.txt-0190	grandeur         	Je sais tout sur toi, j’ai lu quelques livres supplémentaires pour ma culture générale et je peux te dire qu’on parle de toi dans Histoire de la magie moderne, Grandeur et décadence de la magie noire et Les Grands Événements de la sorcellerie au XXe siècle.
HPfr06.txt-0191	décadence        	Je sais tout sur toi, j’ai lu quelques livres supplémentaires pour ma culture générale et je peux te dire qu’on parle de toi dans Histoire de la magie moderne, Grandeur et décadence de la magie noire et Les Grands Événements de la sorcellerie au XXe siècle.
HPfr06.txt-0192	siècle           	Je sais tout sur toi, j’ai lu quelques livres supplémentaires pour ma culture générale et je peux te dire qu’on parle de toi dans Histoire de la magie moderne, Grandeur et décadence de la magie noire et Les Grands Événements de la sorcellerie au XXe siècle.
HPfr06.txt-0193	tarder           	Vous feriez bien de mettre vos robes de sorcier, vous deux, on ne va pas tarder à arriver.
HPfr06.txt-0194	diviser          	– L’école est divisée en quatre maisons, répondit Ron.
HPfr06.txt-0195	répartir         	Les élèves sont répartis dans chaque maison selon leur personnalité.
HPfr06.txt-0196	selon            	Les élèves sont répartis dans chaque maison selon leur personnalité.
HPfr06.txt-0197	personnalité     	Les élèves sont répartis dans chaque maison selon leur personnalité.
HPfr06.txt-0198	démoraliser      	La conversation sur les maisons de Poudlard semblait le démoraliser complètement.
HPfr06.txt-0199	diplôme          	Il se demandait ce que pouvait bien devenir un sorcier une fois ses diplômes en poche.
HPfr06.txt-0200	propos           	À propos de Gringotts, tu es au courant de ce qui s’est passé ?
HPfr06.txt-0201	article          	Il y a tout un article dans La Gazette du sorcier, mais j’imagine qu’on ne lit pas ça chez les Moldus.
HPfr06.txt-0202	nouvelle         	Harry retourna dans sa tête la nouvelle qu’il venait d’apprendre.
HPfr06.txt-0203	crainte          	Il commençait à ressentir un frisson de crainte chaque fois qu’on lui parlait de Vous-Savez-Qui.
HPfr06.txt-0204	avouer           	Je ne connais pas les équipes, avoua Harry.
HPfr06.txt-0205	match            	Il lui raconta les plus beaux matches qu’il avait vus en compagnie de ses frères et lui décrivit en détail le balai volant qu’il aurait aimé acheter s’il avait eu assez d’argent pour ça.
HPfr06.txt-0206	décrire          	Il lui raconta les plus beaux matches qu’il avait vus en compagnie de ses frères et lui décrivit en détail le balai volant qu’il aurait aimé acheter s’il avait eu assez d’argent pour ça.
HPfr06.txt-0207	aspect           	Il était en train de lui expliquer les aspects les plus complexes du jeu lorsque la porte du compartiment s’ouvrit à nouveau.
HPfr06.txt-0208	complexe         	Il était en train de lui expliquer les aspects les plus complexes du jeu lorsque la porte du compartiment s’ouvrit à nouveau.
HPfr06.txt-0209	lors             	Cette fois, il regardait Harry avec beaucoup plus d’intérêt que lors de leur première rencontre.
HPfr06.txt-0210	rencontre        	Cette fois, il regardait Harry avec beaucoup plus d’intérêt que lors de leur première rencontre.
HPfr06.txt-0211	solidement       	Tous deux étaient solidement bâtis et avaient l’air féroce.
HPfr06.txt-0212	bâti             	Tous deux étaient solidement bâtis et avaient l’air féroce.
HPfr06.txt-0213	toux             	Ron eut une toux discrète qui ressemblait à un ricanement.
HPfr06.txt-0214	discret          	Ron eut une toux discrète qui ressemblait à un ricanement.
HPfr06.txt-0215	ricanement       	Ron eut une toux discrète qui ressemblait à un ricanement.
HPfr06.txt-0216	nourrir          	Mon père m’a dit que tous les Weasley ont les cheveux roux, des taches de rousseur et beaucoup trop d’enfants pour pouvoir les nourrir.
HPfr06.txt-0217	fréquent         	– Fais bien attention à qui tu fréquentes, Potter.
HPfr06.txt-0218	douteux          	Si tu veux éviter les gens douteux, je peux te donner des conseils.
HPfr06.txt-0219	rosir            	Les joues pâles du garçon rosirent légèrement.
HPfr06.txt-0220	prudence         	Eux aussi ont manqué de prudence.
