HPfrb1ch05-0001	traverse        	LE CHEMIN DE TRAVERSE Harry se réveilla de bonne heure le lendemain matin.
HPfrb1ch05-0116	tonitruant      	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
HPfrb1ch05-0117	rame            	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
HPfrb1ch05-0118	lent            	Il resta coincé dans le portillon automatique du métro et se plaignit d’une voix tonitruante que les sièges étaient trop petits et les rames trop lentes.
HPfrb1ch05-0119	roulant         	– Je ne sais pas comment font les Moldus sans la magie, dit-il tandis qu’ils escaladaient un escalier roulant en panne qui menait à une rue animée, bordée de magasins.
HPfrb1ch05-0120	panne           	– Je ne sais pas comment font les Moldus sans la magie, dit-il tandis qu’ils escaladaient un escalier roulant en panne qui menait à une rue animée, bordée de magasins.
HPfrb1ch05-0121	border          	– Je ne sais pas comment font les Moldus sans la magie, dit-il tandis qu’ils escaladaient un escalier roulant en panne qui menait à une rue animée, bordée de magasins.
HPfrb1ch05-0122	dense           	Sur les trottoirs, la foule était dense, mais Hagrid était si grand qu’il n’avait aucun mal à se frayer un chemin et Harry restait prudemment dans son sillage.
HPfrb1ch05-0123	frayer          	Sur les trottoirs, la foule était dense, mais Hagrid était si grand qu’il n’avait aucun mal à se frayer un chemin et Harry restait prudemment dans son sillage.
HPfrb1ch05-0124	prudemment      	Sur les trottoirs, la foule était dense, mais Hagrid était si grand qu’il n’avait aucun mal à se frayer un chemin et Harry restait prudemment dans son sillage.
HPfrb1ch05-0125	sillage         	Sur les trottoirs, la foule était dense, mais Hagrid était si grand qu’il n’avait aucun mal à se frayer un chemin et Harry restait prudemment dans son sillage.
HPfrb1ch05-0126	librairie       	Ils passèrent devant des librairies, des magasins de disques, des stands de hamburgers et des cinémas, mais aucune boutique ne semblait vendre des baguettes magiques.
HPfrb1ch05-0127	disque          	Ils passèrent devant des librairies, des magasins de disques, des stands de hamburgers et des cinémas, mais aucune boutique ne semblait vendre des baguettes magiques.
HPfrb1ch05-0128	stand           	Ils passèrent devant des librairies, des magasins de disques, des stands de hamburgers et des cinémas, mais aucune boutique ne semblait vendre des baguettes magiques.
HPfrb1ch05-0129	enterrer        	Y avait-il vraiment des montagnes d’or magique enterrées à des kilomètres sous leurs pieds ?
HPfrb1ch05-0130	balai           	Y avait-il vraiment des boutiques qui vendaient des grimoires et des balais volants ?
HPfrb1ch05-0131	farce           	N’était-ce pas plutôt une farce énorme que lui avaient faite les Dursley ?
HPfrb1ch05-0132	humour          	Si Harry n’avait pas su que les Dursley ne possédaient pas le moindre sens de l’humour, il aurait pu le penser.
HPfrb1ch05-0133	net             	Soudain, Hagrid s’arrêta net.
HPfrb1ch05-0134	pub             	C’était un pub minuscule et miteux, coincé entre une grande librairie et une boutique de disques.
HPfrb1ch05-0135	miteux          	C’était un pub minuscule et miteux, coincé entre une grande librairie et une boutique de disques.
HPfrb1ch05-0136	paraître        	Lorsque le géant le fit entrer à l’intérieur, Harry fut surpris qu’un endroit célèbre paraisse aussi sombre et misérable.
HPfrb1ch05-0137	xérès           	De vieilles femmes étaient assises dans un coin et buvaient de petits verres de xérès.
HPfrb1ch05-0138	fumer           	L’une d’elles fumait une longue pipe.
HPfrb1ch05-0139	pipe            	L’une d’elles fumait une longue pipe.
HPfrb1ch05-0140	barman          	Un petit homme en chapeau haut de forme parlait à un vieux barman chauve dont la tête ressemblait à une noix scintillante.
HPfrb1ch05-0141	noix            	Un petit homme en chapeau haut de forme parlait à un vieux barman chauve dont la tête ressemblait à une noix scintillante.
HPfrb1ch05-0142	scintillant     	Un petit homme en chapeau haut de forme parlait à un vieux barman chauve dont la tête ressemblait à une noix scintillante.
HPfrb1ch05-0143	rangée          	– Comme d’habitude, Hagrid ? demanda le barman en tendant la main vers une rangée de verres.
HPfrb1ch05-0144	fléchir         	Je suis en mission pour Poudlard, répondit le géant en donnant une tape sur l’épaule de Harry dont les genoux fléchirent sous le choc.
HPfrb1ch05-0145	seigneur        	– Seigneur Dieu, dit le barman en regardant Harry.
HPfrb1ch05-0146	client          	C’est… Est-ce que c’est vraiment ?… Soudain, les clients du Chaudron Baveur ne dirent plus un mot, ne firent plus un geste.
HPfrb1ch05-0147	honneur         	Harry Potter… Quel honneur !
HPfrb1ch05-0148	contourner      	Il se hâta de contourner le comptoir et se précipita sur Harry pour lui serrer la main.
HPfrb1ch05-0149	comptoir        	Il se hâta de contourner le comptoir et se précipita sur Harry pour lui serrer la main.
HPfrb1ch05-0150	bienvenu        	– Soyez le bienvenu, Mr Potter.
HPfrb1ch05-0151	racler          	Puis on entendit les chaises racler le plancher et, l’instant suivant, Harry se trouva entouré de gens qui tenaient à tout prix à lui serrer la main.
HPfrb1ch05-0152	bar             	Pas un seul client du bar n’était resté assis.
HPfrb1ch05-0153	connaissance    	– Je suis très fier de faire votre connaissance, dit quelqu’un d’autre.
HPfrb1ch05-0154	émouvoir        	Je suis si ému.
HPfrb1ch05-0155	honorer         	– Je suis si honoré de faire votre connaissance, Mr Potter, dit un quatrième.
HPfrb1ch05-0156	quatrième       	– Je suis si honoré de faire votre connaissance, Mr Potter, dit un quatrième.
HPfrb1ch05-0157	saluer          	Vous m’avez salué un jour dans un magasin.
HPfrb1ch05-0158	visiblement     	Un jeune homme au teint pâle s’avança, visiblement nerveux.
HPfrb1ch05-0159	tic             	L’une de ses paupières était agitée de tics.
HPfrb1ch05-0160	présenter       	Harry, je te présente le professeur Quirrell qui sera un de tes maîtres à Poudlard.
HPfrb1ch05-0161	enseigner       	– Quelle matière enseignez-vous, professeur ?
HPfrb1ch05-0162	défense         	– La dé… défense contre les for… forces du Mal, marmonna le professeur Quirrell comme s’il eût préféré ne pas en parler.
HPfrb1ch05-0163	vampire         	Je… je dois moi-même a… acheter un nouveau li… livre sur les vampires.
HPfrb1ch05-0164	accaparer       	Les autres clients du bar n’avaient pas l’intention de laisser le professeur accaparer Harry, et Hagrid eut toutes les peines du monde à se faire entendre.
HPfrb1ch05-0165	remarquer       	Remarque, il n’arrête pas de trembler.
HPfrb1ch05-0166	remarquable     	C’est un esprit remarquable.
HPfrb1ch05-0167	harpie          	Il allait très bien tant qu’il étudiait dans les livres mais depuis qu’il est allé rencontrer des vampires et des harpies dans la Forêt noire, il a peur de tout, même de ses élèves.
HPfrb1ch05-0168	voir            	Voyons, qu’est-ce que j’ai fait de mon parapluie ?
HPfrb1ch05-0169	trembloter      	La brique se mit alors à trembloter et un petit trou apparut en son milieu.
HPfrb1ch05-0170	élargir         	Le trou s’élargit de plus en plus et se transforma bientôt en une arcade suffisamment grande pour permettre même à Hagrid de passer.
HPfrb1ch05-0171	arcade          	Le trou s’élargit de plus en plus et se transforma bientôt en une arcade suffisamment grande pour permettre même à Hagrid de passer.
HPfrb1ch05-0172	au-delà         	Au-delà, une rue pavée serpentait devant eux à perte de vue.
HPfrb1ch05-0173	paver           	Au-delà, une rue pavée serpentait devant eux à perte de vue.
HPfrb1ch05-0174	serpenter       	Au-delà, une rue pavée serpentait devant eux à perte de vue.
HPfrb1ch05-0175	perte           	Au-delà, une rue pavée serpentait devant eux à perte de vue.
HPfrb1ch05-0176	traverse        	Bienvenue sur le Chemin de Traverse, dit Hagrid.
HPfrb1ch05-0177	stupéfaction    	La stupéfaction de Harry le fit sourire.
HPfrb1ch05-0178	franchir        	Ils franchirent l’arcade qui disparut aussitôt sur leur passage pour ne laisser derrière eux que le mur de pierre.
HPfrb1ch05-0179	passage         	Ils franchirent l’arcade qui disparut aussitôt sur leur passage pour ne laisser derrière eux que le mur de pierre.
HPfrb1ch05-0180	étalage         	Le soleil brillait sur un étalage de chaudrons, devant un magasin.
HPfrb1ch05-0181	pancarte        	Une pancarte annonçait : « Chaudrons – toutes tailles – cuivre, étain, argent – touillage automatique – modèles pliables. »
HPfrb1ch05-0182	touiller        	Une pancarte annonçait : « Chaudrons – toutes tailles – cuivre, étain, argent – touillage automatique – modèles pliables. »
HPfrb1ch05-0183	pliable         	Une pancarte annonçait : « Chaudrons – toutes tailles – cuivre, étain, argent – touillage automatique – modèles pliables. »
HPfrb1ch05-0184	étal            	Harry aurait voulu avoir une demi-douzaine d’yeux supplémentaires, il regardait de tous côtés, en essayant de tout voir à la fois : les magasins, les étals, les gens qui faisaient leurs courses.
HPfrb1ch05-0185	rondelet        	Une petite femme rondelette regardait la vitrine d’un apothicaire en hochant la tête :
HPfrb1ch05-0186	vitrine         	Une petite femme rondelette regardait la vitrine d’un apothicaire en hochant la tête :
HPfrb1ch05-0187	apothicaire     	Une petite femme rondelette regardait la vitrine d’un apothicaire en hochant la tête :
HPfrb1ch05-0188	gramme          	– Dix-sept Mornilles pour trente grammes de foie de dragon, c’est de la folie… marmonna-t-elle.
HPfrb1ch05-0189	foie            	– Dix-sept Mornilles pour trente grammes de foie de dragon, c’est de la folie… marmonna-t-elle.
HPfrb1ch05-0190	folie           	– Dix-sept Mornilles pour trente grammes de foie de dragon, c’est de la folie… marmonna-t-elle.
HPfrb1ch05-0191	ululement       	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones. »
HPfrb1ch05-0192	enseigne        	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones. »
HPfrb1ch05-0193	royaume         	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones. »
HPfrb1ch05-0194	hibou           	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones. »
HPfrb1ch05-0195	effraie         	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones.
HPfrb1ch05-0196	duc             	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones.
HPfrb1ch05-0197	lapon           	Un ululement sourd s’éleva d’une boutique sombre dont l’enseigne indiquait : « Au Royaume du Hibou – hulottes, chouettes effraies, grands ducs, chouettes lapones.
HPfrb1ch05-0198	chauve-souris   	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfrb1ch05-0199	anguille        	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfrb1ch05-0200	conserver       	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfrb1ch05-0201	baril           	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfrb1ch05-0202	pile            	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfrb1ch05-0203	chancelant      	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfrb1ch05-0204	globe           	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfrb1ch05-0205	lunaire         	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfrb1ch05-0206	instrument      	On vendait de tout dans les boutiques, des balais, des robes de sorcier, des télescopes, des foies de chauve-souris et des yeux d’anguille conservés dans des barils, des piles chancelantes de grimoires, des plumes d’oie, des parchemins, des potions, des globes lunaires, d’étranges instruments en argent.
HPfrb1ch05-0207	blancheur       	Ils se trouvaient devant un grand bâtiment d’une blancheur de neige, qui dominait les boutiques alentour.
HPfrb1ch05-0208	neige           	Ils se trouvaient devant un grand bâtiment d’une blancheur de neige, qui dominait les boutiques alentour.
HPfrb1ch05-0209	dominer         	Ils se trouvaient devant un grand bâtiment d’une blancheur de neige, qui dominait les boutiques alentour.
HPfrb1ch05-0210	alentour        	Ils se trouvaient devant un grand bâtiment d’une blancheur de neige, qui dominait les boutiques alentour.
HPfrb1ch05-0211	portail         	Debout à côté du portail en bronze étincelant, vêtu d’un uniforme écarlate, se tenait un…
HPfrb1ch05-0212	étincelant      	Debout à côté du portail en bronze étincelant, vêtu d’un uniforme écarlate, se tenait un…
HPfrb1ch05-0213	écarlate        	Debout à côté du portail en bronze étincelant, vêtu d’un uniforme écarlate, se tenait un…
