HPfrb1ch04-0001	clé            	LE GARDIEN DES CLÉS
HPfrb1ch04-0029	pruneau        	Ah, ça suffit, Dursley, espèce de vieux pruneau ! dit le géant.
HPfrb1ch04-0030	nœud           	Il tendit le bras, arracha le fusil des mains de l’oncle Vernon, fit un nœud avec le canon aussi facilement que s’il avait été en caoutchouc et le jeta dans un coin de la pièce.
HPfrb1ch04-0031	facilement     	Il tendit le bras, arracha le fusil des mains de l’oncle Vernon, fit un nœud avec le canon aussi facilement que s’il avait été en caoutchouc et le jeta dans un coin de la pièce.
HPfrb1ch04-0032	souris         	L’oncle Vernon émit à nouveau un drôle de bruit, comme une souris sur laquelle on aurait marché.
HPfrb1ch04-0033	souhaiter      	– Je te souhaite un bon anniversaire, Harry, dit le géant en tournant le dos aux Dursley.
HPfrb1ch04-0034	carton         	Il tira d’une poche intérieure de son manteau noir une boîte en carton légèrement aplatie.
HPfrb1ch04-0035	légèrement     	Il tira d’une poche intérieure de son manteau noir une boîte en carton légèrement aplatie.
HPfrb1ch04-0036	aplatir        	Il tira d’une poche intérieure de son manteau noir une boîte en carton légèrement aplatie.
HPfrb1ch04-0037	fondre         	Harry l’ouvrit en tremblant et découvrit à l’intérieur un gros gâteau au chocolat un peu fondu sur lequel était écrit avec un glaçage vert : « Joyeux anniversaire Harry ».
HPfrb1ch04-0038	glaçage        	Harry l’ouvrit en tremblant et découvrit à l’intérieur un gros gâteau au chocolat un peu fondu sur lequel était écrit avec un glaçage vert : « Joyeux anniversaire Harry ».
HPfrb1ch04-0039	présenter      	Ah, c’est vrai, je ne me suis pas présenté, dit-il.
HPfrb1ch04-0040	frotter        	Il faudrait peut-être y penser, dit-il en se frottant les mains.
HPfrb1ch04-0041	calciner       	En voyant les paquets de chips calcinés, il poussa un grognement et se pencha sur l’âtre.
HPfrb1ch04-0042	âtre           	En voyant les paquets de chips calcinés, il poussa un grognement et se pencha sur l’âtre.
HPfrb1ch04-0043	enfer          	Personne ne put voir ce qu’il faisait, mais quand il se releva un instant plus tard, un feu d’enfer ronflait dans la cheminée, projetant des lueurs dansantes dans la cabane humide.
HPfrb1ch04-0044	dansant        	Personne ne put voir ce qu’il faisait, mais quand il se releva un instant plus tard, un feu d’enfer ronflait dans la cheminée, projetant des lueurs dansantes dans la cabane humide.
HPfrb1ch04-0045	chaleur        	Harry sentit la chaleur se répandre autour de lui comme s’il venait de plonger dans un bain chaud.
HPfrb1ch04-0046	poids          	Le géant se rassit sur le canapé qui s’écrasa sous son poids et sortit toutes sortes d’objets des poches de son manteau : une bouilloire en cuivre, un paquet de saucisses ramolli, un tisonnier, une théière, des tasses ébréchées et une bouteille qui contenait un liquide ambré dont il avala une gorgée avant de préparer le thé.
HPfrb1ch04-0047	bouilloire     	Le géant se rassit sur le canapé qui s’écrasa sous son poids et sortit toutes sortes d’objets des poches de son manteau : une bouilloire en cuivre, un paquet de saucisses ramolli, un tisonnier, une théière, des tasses ébréchées et une bouteille qui contenait un liquide ambré dont il avala une gorgée avant de préparer le thé.
HPfrb1ch04-0048	saucisse       	Le géant se rassit sur le canapé qui s’écrasa sous son poids et sortit toutes sortes d’objets des poches de son manteau : une bouilloire en cuivre, un paquet de saucisses ramolli, un tisonnier, une théière, des tasses ébréchées et une bouteille qui contenait un liquide ambré dont il avala une gorgée avant de préparer le thé.
HPfrb1ch04-0049	ramollir       	Le géant se rassit sur le canapé qui s’écrasa sous son poids et sortit toutes sortes d’objets des poches de son manteau : une bouilloire en cuivre, un paquet de saucisses ramolli, un tisonnier, une théière, des tasses ébréchées et une bouteille qui contenait un liquide ambré dont il avala une gorgée avant de préparer le thé.
HPfrb1ch04-0050	tisonnier      	Le géant se rassit sur le canapé qui s’écrasa sous son poids et sortit toutes sortes d’objets des poches de son manteau : une bouilloire en cuivre, un paquet de saucisses ramolli, un tisonnier, une théière, des tasses ébréchées et une bouteille qui contenait un liquide ambré dont il avala une gorgée avant de préparer le thé.
HPfrb1ch04-0051	théière        	Le géant se rassit sur le canapé qui s’écrasa sous son poids et sortit toutes sortes d’objets des poches de son manteau : une bouilloire en cuivre, un paquet de saucisses ramolli, un tisonnier, une théière, des tasses ébréchées et une bouteille qui contenait un liquide ambré dont il avala une gorgée avant de préparer le thé.
HPfrb1ch04-0052	ébrécher       	Le géant se rassit sur le canapé qui s’écrasa sous son poids et sortit toutes sortes d’objets des poches de son manteau : une bouilloire en cuivre, un paquet de saucisses ramolli, un tisonnier, une théière, des tasses ébréchées et une bouteille qui contenait un liquide ambré dont il avala une gorgée avant de préparer le thé.
HPfrb1ch04-0053	liquide        	Le géant se rassit sur le canapé qui s’écrasa sous son poids et sortit toutes sortes d’objets des poches de son manteau : une bouilloire en cuivre, un paquet de saucisses ramolli, un tisonnier, une théière, des tasses ébréchées et une bouteille qui contenait un liquide ambré dont il avala une gorgée avant de préparer le thé.
HPfrb1ch04-0054	ambré          	Le géant se rassit sur le canapé qui s’écrasa sous son poids et sortit toutes sortes d’objets des poches de son manteau : une bouilloire en cuivre, un paquet de saucisses ramolli, un tisonnier, une théière, des tasses ébréchées et une bouteille qui contenait un liquide ambré dont il avala une gorgée avant de préparer le thé.
HPfrb1ch04-0055	griller        	Bientôt, l’odeur des saucisses grillées qu’on entendait grésiller dans la cheminée se répandit dans la cabane.
HPfrb1ch04-0056	grésiller      	Bientôt, l’odeur des saucisses grillées qu’on entendait grésiller dans la cheminée se répandit dans la cabane.
HPfrb1ch04-0057	affairer       	Tout le monde resta immobile et silencieux pendant que le géant s’affairait, mais lorsqu’il fit glisser du tisonnier six grosses saucisses bien juteuses et légèrement brûlées, Dudley commença à frétiller.
HPfrb1ch04-0058	juteux         	Tout le monde resta immobile et silencieux pendant que le géant s’affairait, mais lorsqu’il fit glisser du tisonnier six grosses saucisses bien juteuses et légèrement brûlées, Dudley commença à frétiller.
HPfrb1ch04-0059	frétiller      	Tout le monde resta immobile et silencieux pendant que le géant s’affairait, mais lorsqu’il fit glisser du tisonnier six grosses saucisses bien juteuses et légèrement brûlées, Dudley commença à frétiller.
HPfrb1ch04-0060	narquois       	Le géant eut un petit rire narquois.
HPfrb1ch04-0061	votre          	– Votre gros lard de fils n’a pas besoin d’engraisser davantage, Dursley, ne vous inquiétez pas.
HPfrb1ch04-0062	lard           	– Votre gros lard de fils n’a pas besoin d’engraisser davantage, Dursley, ne vous inquiétez pas.
HPfrb1ch04-0063	engraisser     	– Votre gros lard de fils n’a pas besoin d’engraisser davantage, Dursley, ne vous inquiétez pas.
HPfrb1ch04-0064	délicieux      	Il donna les saucisses à Harry qui avait tellement faim que rien ne lui avait jamais paru aussi délicieux, mais il n’arrivait pas à détacher ses yeux du géant.
HPfrb1ch04-0065	explication    	Finalement, comme personne ne semblait décidé à donner la moindre explication, il rompit le silence : – Je suis désolé, dit-il, mais je ne sais toujours pas qui vous êtes.
HPfrb1ch04-0066	scandaliser    	Hagrid parut scandalisé.
HPfrb1ch04-0067	tasser         	– Désolé ? aboya Hagrid en se tournant vers les Dursley qui se tassèrent sur eux-mêmes en essayant de disparaître dans la pénombre.
HPfrb1ch04-0068	pénombre       	– Désolé ? aboya Hagrid en se tournant vers les Dursley qui se tassèrent sur eux-mêmes en essayant de disparaître dans la pénombre.
HPfrb1ch04-0069	tonner         	TOUT ÇA QUOI ? tonna Hagrid.
HPfrb1ch04-0070	espace         	Sa colère était telle qu’il semblait remplir tout l’espace de la cabane.
HPfrb1ch04-0071	recroqueviller 	Les Dursley s’étaient recroquevillés contre le mur.
HPfrb1ch04-0072	exagérer       	Harry pensa qu’il exagérait.
HPfrb1ch04-0073	note           	Après tout, il était allé à l’école et il avait toujours eu de bonnes notes.
HPfrb1ch04-0074	mathématique   	J’ai fait des mathématiques et tout ça… Mais Hagrid eut un geste dédaigneux de la main.
HPfrb1ch04-0075	dédaigneux     	J’ai fait des mathématiques et tout ça… Mais Hagrid eut un geste dédaigneux de la main.
HPfrb1ch04-0076	livide         	L’oncle Vernon, le teint livide, marmonna quelque chose qui aurait pu vouloir dire : « Maisnonmaisquoimaispasdutout.
HPfrb1ch04-0077	effaré         	Hagrid regarda Harry d’un air effaré.
HPfrb1ch04-0078	parole         	L’oncle Vernon retrouva soudain l’usage de la parole.
HPfrb1ch04-0079	courageux      	Même un homme plus courageux que l’oncle Vernon aurait flanché devant le regard furieux que Hagrid lui adressa.
HPfrb1ch04-0080	flancher       	Même un homme plus courageux que l’oncle Vernon aurait flanché devant le regard furieux que Hagrid lui adressa.
HPfrb1ch04-0081	syllabe        	– Vous ne lui avez jamais rien dit ? reprit-il en détachant chaque syllabe d’une voix tremblante de rage.
HPfrb1ch04-0082	rage           	– Vous ne lui avez jamais rien dit ? reprit-il en détachant chaque syllabe d’une voix tremblante de rage.
HPfrb1ch04-0083	interdire      	– ÇA SUFFIT ! JE VOUS INTERDIS ! s’exclama l’oncle Vernon pris de panique.
HPfrb1ch04-0084	exclamation    	La tante Pétunia eut une exclamation d’horreur.
HPfrb1ch04-0085	pâté           	– Je vais vous transformer en pâté, tous les deux, lança Hagrid.
HPfrb1ch04-0086	sorcier        	Tu es un sorcier.
HPfrb1ch04-0087	abattre        	Un grand silence s’abattit soudain sur la cabane.
HPfrb1ch04-0088	appuyer        	– Un sorcier, bien sûr, dit Hagrid en s’appuyant contre le dossier du canapé qui craqua et s’écrasa un peu plus sous son poids.
HPfrb1ch04-0089	dossier        	– Un sorcier, bien sûr, dit Hagrid en s’appuyant contre le dossier du canapé qui craqua et s’écrasa un peu plus sous son poids.
HPfrb1ch04-0090	craquer        	– Un sorcier, bien sûr, dit Hagrid en s’appuyant contre le dossier du canapé qui craqua et s’écrasa un peu plus sous son poids.
HPfrb1ch04-0091	entraînement   	Et tu deviendras un sacré bon sorcier dès que tu auras un peu d’entraînement.
HPfrb1ch04-0092	tien           	Avec un père et une mère comme les tiens, ça ne peut pas être autrement.
HPfrb1ch04-0093	plancher       	Harry tendit la main et finit par prendre l’enveloppe de parchemin jauni sur laquelle était écrit à l’encre vert émeraude : « Mr H. Potter, sur le plancher de la cabane au sommet du rocher, en pleine mer. »
HPfrb1ch04-0094	sorcellerie    	Il ouvrit l’enveloppe et lut la lettre qu’elle contenait : COLLÈGE POUDLARD, ÉCOLE DE SORCELLERIE
HPfrb1ch04-0095	commandeur     	Directeur : Albus Dumbledore Commandeur du Grand-Ordre de Merlin
HPfrb1ch04-0096	docteur        	Docteur ès Sorcellerie, Enchanteur-en-chef, Manitou suprême de la Confédération internationale des Mages et Sorciers
HPfrb1ch04-0097	manitou        	Docteur ès Sorcellerie, Enchanteur-en-chef, Manitou suprême de la Confédération internationale des Mages et Sorciers
HPfrb1ch04-0098	suprême        	Docteur ès Sorcellerie, Enchanteur-en-chef, Manitou suprême de la Confédération internationale des Mages et Sorciers
HPfrb1ch04-0099	confédération  	Docteur ès Sorcellerie, Enchanteur-en-chef, Manitou suprême de la Confédération internationale des Mages et Sorciers
HPfrb1ch04-0100	international  	Docteur ès Sorcellerie, Enchanteur-en-chef, Manitou suprême de la Confédération internationale des Mages et Sorciers
HPfrb1ch04-0101	mage           	Docteur ès Sorcellerie, Enchanteur-en-chef, Manitou suprême de la Confédération internationale des Mages et Sorciers
HPfrb1ch04-0102	plaisir        	Cher Mr Potter, Nous avons le plaisir de vous informer que vous bénéficiez d’ores et déjà d’une inscription au collège Poudlard.
HPfrb1ch04-0103	informer       	Cher Mr Potter, Nous avons le plaisir de vous informer que vous bénéficiez d’ores et déjà d’une inscription au collège Poudlard.
HPfrb1ch04-0104	bénéficier     	Cher Mr Potter, Nous avons le plaisir de vous informer que vous bénéficiez d’ores et déjà d’une inscription au collège Poudlard.
HPfrb1ch04-0105	ores           	Cher Mr Potter, Nous avons le plaisir de vous informer que vous bénéficiez d’ores et déjà d’une inscription au collège Poudlard.
HPfrb1ch04-0106	inscription    	Cher Mr Potter, Nous avons le plaisir de vous informer que vous bénéficiez d’ores et déjà d’une inscription au collège Poudlard.
HPfrb1ch04-0107	joindre        	Vous trouverez ci-joint la liste des ouvrages et équipements nécessaires au bon déroulement de votre scolarité.
HPfrb1ch04-0108	liste          	Vous trouverez ci-joint la liste des ouvrages et équipements nécessaires au bon déroulement de votre scolarité.
HPfrb1ch04-0109	ouvrage        	Vous trouverez ci-joint la liste des ouvrages et équipements nécessaires au bon déroulement de votre scolarité.
HPfrb1ch04-0110	équipement     	Vous trouverez ci-joint la liste des ouvrages et équipements nécessaires au bon déroulement de votre scolarité.
HPfrb1ch04-0111	nécessaire     	Vous trouverez ci-joint la liste des ouvrages et équipements nécessaires au bon déroulement de votre scolarité.
HPfrb1ch04-0112	déroulement    	Vous trouverez ci-joint la liste des ouvrages et équipements nécessaires au bon déroulement de votre scolarité.
HPfrb1ch04-0113	scolarité      	Vous trouverez ci-joint la liste des ouvrages et équipements nécessaires au bon déroulement de votre scolarité.
HPfrb1ch04-0114	expression     	Mr Potter, en l’expression de nos sentiments distingués.
HPfrb1ch04-0115	sentiment      	Mr Potter, en l’expression de nos sentiments distingués.
HPfrb1ch04-0116	adjoint        	Directrice-adjointe
HPfrb1ch04-0117	artifice       	Harry avait tellement de questions à poser qu’elles explosaient dans sa tête comme un feu d’artifice.
HPfrb1ch04-0118	mille          	– Mille Gorgones, j’allais oublier ! s’exclama Hagrid en se donnant sur le front une tape de la main qui aurait suffi à renverser un cheval de trait.
HPfrb1ch04-0119	tape           	– Mille Gorgones, j’allais oublier ! s’exclama Hagrid en se donnant sur le front une tape de la main qui aurait suffi à renverser un cheval de trait.
HPfrb1ch04-0120	cheval         	– Mille Gorgones, j’allais oublier ! s’exclama Hagrid en se donnant sur le front une tape de la main qui aurait suffi à renverser un cheval de trait.
HPfrb1ch04-0121	second         	D’une seconde poche intérieure de son manteau, il tira alors un hibou – un vrai hibou bien vivant qui avait l’air un peu froissé –, une longue plume d’oie et un rouleau de parchemin.
HPfrb1ch04-0122	froisser       	D’une seconde poche intérieure de son manteau, il tira alors un hibou – un vrai hibou bien vivant qui avait l’air un peu froissé –, une longue plume d’oie et un rouleau de parchemin.
HPfrb1ch04-0123	plume          	D’une seconde poche intérieure de son manteau, il tira alors un hibou – un vrai hibou bien vivant qui avait l’air un peu froissé –, une longue plume d’oie et un rouleau de parchemin.
HPfrb1ch04-0124	oie            	D’une seconde poche intérieure de son manteau, il tira alors un hibou – un vrai hibou bien vivant qui avait l’air un peu froissé –, une longue plume d’oie et un rouleau de parchemin.
HPfrb1ch04-0125	rouleau        	D’une seconde poche intérieure de son manteau, il tira alors un hibou – un vrai hibou bien vivant qui avait l’air un peu froissé –, une longue plume d’oie et un rouleau de parchemin.
HPfrb1ch04-0126	langue         	La langue entre les dents, il se mit à griffonner un mot que Harry, face à lui, parvint à lire à l’envers : Monsieur le Directeur, J’ai donné sa lettre à Harry.
HPfrb1ch04-0127	dent           	La langue entre les dents, il se mit à griffonner un mot que Harry, face à lui, parvint à lire à l’envers : Monsieur le Directeur, J’ai donné sa lettre à Harry.
HPfrb1ch04-0128	griffonner     	La langue entre les dents, il se mit à griffonner un mot que Harry, face à lui, parvint à lire à l’envers : Monsieur le Directeur, J’ai donné sa lettre à Harry.
HPfrb1ch04-0129	envers         	La langue entre les dents, il se mit à griffonner un mot que Harry, face à lui, parvint à lire à l’envers : Monsieur le Directeur, J’ai donné sa lettre à Harry.
HPfrb1ch04-0130	demain         	Je l’emmène acheter ses affaires demain.
HPfrb1ch04-0131	affreux        	Le temps est affreux.
HPfrb1ch04-0132	billet         	Hagrid Hagrid roula le billet et le donna au hibou qui le prit dans son bec, puis il alla ouvrir la porte et jeta l’oiseau au-dehors, en pleine tempête.
HPfrb1ch04-0133	bec            	Hagrid Hagrid roula le billet et le donna au hibou qui le prit dans son bec, puis il alla ouvrir la porte et jeta l’oiseau au-dehors, en pleine tempête.
HPfrb1ch04-0134	poster         	À ce moment, l’oncle Vernon, le teint toujours grisâtre, mais l’air furieux, vint se poster devant la cheminée.
HPfrb1ch04-0135	aviser         	– J’aimerais bien voir qu’un Moldu dans votre genre s’avise de l’en empêcher, dit-il.
HPfrb1ch04-0136	intéresser     	– Un quoi ? demanda Harry, intéressé.
HPfrb1ch04-0137	magique        	– Un Moldu, dit Hagrid, c’est comme ça que nous appelons les gens qui n’ont pas de pouvoirs magiques.
HPfrb1ch04-0138	incroyable     	Et manque de chance, tu as grandi dans la plus incroyable famille de Moldus que j’aie jamais rencontrée.
HPfrb1ch04-0139	baliverne      	– Quand nous l’avons pris avec nous, nous nous sommes juré d’en finir avec ces balivernes, dit l’oncle Vernon.
HPfrb1ch04-0140	débarrasser    	Juré qu’on allait le débarrasser de tout ça.
HPfrb1ch04-0141	maudire        	Comment aurait-il pu en être autrement quand on sait ce qu’était ma maudite sœur !
HPfrb1ch04-0142	têtard         	Quand elle revenait à la maison pour les vacances, elle avait les poches pleines de têtards et elle changeait les tasses de thé en rats d’égout.
HPfrb1ch04-0143	égout          	Quand elle revenait à la maison pour les vacances, elle avait les poches pleines de têtards et elle changeait les tasses de thé en rats d’égout.
HPfrb1ch04-0144	monstre        	J’étais la seule à la voir telle qu’elle était : un monstre !
HPfrb1ch04-0145	fier           	Mais avec mon père et ma mère, il n’y en avait que pour elle, c’était Lily par-ci, Lily par-là, ils étaient si fiers d’avoir une sorcière dans la famille !
HPfrb1ch04-0146	sorcière       	Mais avec mon père et ma mère, il n’y en avait que pour elle, c’était Lily par-ci, Lily par-là, ils étaient si fiers d’avoir une sorcière dans la famille !
HPfrb1ch04-0147	interrompre    	Elle s’interrompit pour respirer profondément puis elle reprit sa tirade.
HPfrb1ch04-0148	tirade         	Elle s’interrompit pour respirer profondément puis elle reprit sa tirade.
HPfrb1ch04-0149	marier         	– Et puis, elle a rencontré ce Potter, à l’école, reprit-elle, ils se sont mariés et tu es arrivé.
HPfrb1ch04-0150	hériter        	Et pour finir, quelqu’un l’a fait exploser et on a hérité de toi !
HPfrb1ch04-0151	terrer         	– UN ACCIDENT DE VOITURE ? rugit Hagrid, en sursautant si violemment que les Dursley retournèrent se terrer dans un coin de la cabane.
HPfrb1ch04-0152	insulte        	C’est une insulte !
HPfrb1ch04-0153	scandale       	Un scandale !
HPfrb1ch04-0154	avide          	– Mais pourquoi ? Qu’est-ce qui s’est passé ? demanda Harry, avide de savoir.
HPfrb1ch04-0155	ramener        	Quand Dumbledore m’a prévenu qu’il ne serait peut-être pas facile de te ramener, je ne me doutais pas que tu n’étais au courant de rien.
HPfrb1ch04-0156	courant        	Quand Dumbledore m’a prévenu qu’il ne serait peut-être pas facile de te ramener, je ne me doutais pas que tu n’étais au courant de rien.
HPfrb1ch04-0157	mystère        	– Je vais essayer de te dire ce que je peux, mais je ne pourrai pas tout dire, il y a de trop grands mystères derrière tout ça…
HPfrb1ch04-0158	récit          	Il se laissa aller contre le dossier du canapé et contempla le feu pendant quelques instants avant de commencer son récit.
HPfrb1ch04-0159	personnage     	– Toute l’histoire commence à cause d’un personnage qui s’appelle… c’est vraiment incroyable que tu n’aies jamais entendu son nom alors que, dans notre monde, chacun connaît…
HPfrb1ch04-0160	gargouille     	– Nom d’une gargouille, Harry !
HPfrb1ch04-0161	bougre         	Ah, bougre de diable, c’est tellement difficile !
HPfrb1ch04-0162	diable         	Ah, bougre de diable, c’est tellement difficile !
HPfrb1ch04-0163	épeler         	Non, je ne peux pas l’épeler… Bon, allons-y, il s’appelait… Voldemort.
HPfrb1ch04-0164	corps          	L’immense corps du géant fut parcouru d’un frisson.
HPfrb1ch04-0165	parcourir      	L’immense corps du géant fut parcouru d’un frisson.
HPfrb1ch04-0166	frisson        	L’immense corps du géant fut parcouru d’un frisson.
HPfrb1ch04-0167	vingtaine      	Il y a une vingtaine d’années, ce… ce sorcier a commencé à chercher des adeptes.
HPfrb1ch04-0168	adepte         	Il y a une vingtaine d’années, ce… ce sorcier a commencé à chercher des adeptes.
HPfrb1ch04-0169	profiter       	Certains l’ont suivi parce qu’ils avaient peur, d’autres voulaient simplement profiter de son pouvoir, parce que, des pouvoirs, il en avait !
HPfrb1ch04-0170	époque         	C’était une sombre époque, Harry.
HPfrb1ch04-0171	lier           	On ne savait plus à qui faire confiance, on n’osait pas se lier d’amitié avec les sorciers ou les sorcières qu’on ne connaissait pas bien…
HPfrb1ch04-0172	amitié         	On ne savait plus à qui faire confiance, on n’osait pas se lier d’amitié avec les sorciers ou les sorcières qu’on ne connaissait pas bien…
HPfrb1ch04-0173	résister       	Oh, bien sûr, il y en avait encore qui lui résistaient… mais il les tuait.
HPfrb1ch04-0174	effroyable     	Et d’une manière effroyable.
HPfrb1ch04-0175	sécurité       	L’un des seuls endroits où on était encore en sécurité, c’était Poudlard.
HPfrb1ch04-0176	attaquer       	Il n’a jamais osé s’attaquer à l’école, pas à ce moment-là, en tout cas.
HPfrb1ch04-0177	étudiant       	Toujours premiers de la classe à Poudlard, à l’époque où ils étaient étudiants !
HPfrb1ch04-0178	camp           	Le mystère, c’est pourquoi Tu-Sais-Qui a attendu si longtemps pour essayer de les amener dans son camp… sans doute parce qu’ils étaient trop proches de Dumbledore pour avoir quelque chose à faire dans le monde des Ténèbres.
HPfrb1ch04-0179	ténèbres       	Le mystère, c’est pourquoi Tu-Sais-Qui a attendu si longtemps pour essayer de les amener dans son camp… sans doute parce qu’ils étaient trop proches de Dumbledore pour avoir quelque chose à faire dans le monde des Ténèbres.
HPfrb1ch04-0180	dizaine        	Tout ce qu’on sait, c’est qu’il y a une dizaine d’années, le jour de Halloween, il s’est rendu dans le village où vous habitiez tous les trois.
HPfrb1ch04-0181	sale           	Il est arrivé devant votre maison et… et… Hagrid sortit soudain un mouchoir à pois très sale et se moucha en faisant un bruit de corne de brume.
HPfrb1ch04-0182	corne          	Il est arrivé devant votre maison et… et… Hagrid sortit soudain un mouchoir à pois très sale et se moucha en faisant un bruit de corne de brume.
HPfrb1ch04-0183	brume          	Il est arrivé devant votre maison et… et… Hagrid sortit soudain un mouchoir à pois très sale et se moucha en faisant un bruit de corne de brume.
HPfrb1ch04-0184	excuser        	– Excuse-moi, dit-il, mais c’est tellement triste…
HPfrb1ch04-0185	charmant       	Je connaissais ton papa et ta maman et c’étaient les gens les plus charmants qu’on puisse imaginer…
HPfrb1ch04-0186	blessure       	Ce n’est pas une blessure ordinaire.
HPfrb1ch04-0187	puissant       	C’est la trace du mauvais sort qu’il a lancé contre toi, un mauvais sort si puissant qu’il a détruit tes parents et leur maison.
HPfrb1ch04-0188	nettement      	À mesure que Hagrid approchait de la fin de son récit, il revoyait l’éclair de lumière verte plus nettement que jamais – et pour la première fois de sa vie, il se rappelait aussi un rire cruel, sonore, glacé.
HPfrb1ch04-0189	cruel          	À mesure que Hagrid approchait de la fin de son récit, il revoyait l’éclair de lumière verte plus nettement que jamais – et pour la première fois de sa vie, il se rappelait aussi un rire cruel, sonore, glacé.
HPfrb1ch04-0190	tristesse      	Hagrid le regarda avec tristesse.
HPfrb1ch04-0191	mission        	– C’est à moi que Dumbledore a confié la mission d’aller te chercher dans la maison en ruine.
HPfrb1ch04-0192	monceau        	– Tout ça n’est qu’un monceau de fariboles, s’exclama l’oncle Vernon.
HPfrb1ch04-0193	faribole       	– Tout ça n’est qu’un monceau de fariboles, s’exclama l’oncle Vernon.
HPfrb1ch04-0194	courage        	L’oncle Vernon semblait avoir retrouvé tout son courage.
HPfrb1ch04-0195	bizarrerie     	Je veux bien qu’il y ait chez toi quelques bizarreries, mais il suffirait d’une bonne correction pour arranger tout ça.
HPfrb1ch04-0196	correction     	Je veux bien qu’il y ait chez toi quelques bizarreries, mais il suffirait d’une bonne correction pour arranger tout ça.
HPfrb1ch04-0197	magicien       	Ils ont eu ce qu’ils cherchaient, à force de fréquenter ces espèces de magiciens.
HPfrb1ch04-0198	parapluie      	J’étais sûr qu’ils finiraient mal… Hagrid bondit alors du canapé, tira de son manteau un vieux parapluie rose passablement délabré et le pointa sur l’oncle Vernon comme une épée.
HPfrb1ch04-0199	délabrer       	J’étais sûr qu’ils finiraient mal… Hagrid bondit alors du canapé, tira de son manteau un vieux parapluie rose passablement délabré et le pointa sur l’oncle Vernon comme une épée.
