HPfr17.txt-0001	tranquillement 	Oui, c’est moi, dit-il tranquillement.
HPfr17.txt-0040	ambition       	Quirrell était plein de haine, de cupidité, d’ambition, il partageait son âme avec Voldemort et c’est pour cela qu’il ne supportait pas de te toucher.
HPfr17.txt-0041	âme            	Quirrell était plein de haine, de cupidité, d’ambition, il partageait son âme avec Voldemort et c’est pour cela qu’il ne supportait pas de te toucher.
HPfr17.txt-0042	susciter       	Toucher quelqu’un qui a été marqué par quelque chose d’aussi beau ne pouvait susciter en lui que de la souffrance.
HPfr17.txt-0043	possession     	Il se trouve que ton père l’avait laissée en ma possession et j’ai pensé que tu aimerais peut-être l’avoir.
HPfr17.txt-0044	rêveur         	Oui, dit Dumbledore d’un air rêveur.
HPfr17.txt-0045	réagir         	C’est curieux comme les gens réagissent, n’est-ce pas ?
HPfr17.txt-0046	dette          	Le professeur Rogue ne supportait pas d’avoir une dette envers ton père…
HPfr17.txt-0047	intelligence   	Mon intelligence me surprend moi
HPfr17.txt-0048	priver         	Depuis, j’ai peur d’en manger, mais toi, ne t’en prive surtout pas !
HPfr17.txt-0049	caramel        	Enfin, je pense que je ne risque rien avec un caramel.
HPfr17.txt-0050	circonstance   	C’était une de ces rares circonstances où la vérité paraît encore plus étrange et plus passionnante que les rumeurs.
HPfr17.txt-0051	omettre        	Harry leur fit un récit détaillé, sans rien omettre : Quirrell, le miroir, la Pierre, Voldemort.
HPfr17.txt-0052	public         	Ron et Hermione, bon public, l’écoutaient en étouffant des exclamations aux bons moments.
HPfr17.txt-0053	ranimer        	J’ai ranimé Ron – il m’a fallu un bout de temps – et on s’est précipités vers la volière pour envoyer un mot à Dumbledore.
HPfr17.txt-0054	projet         	Il doit savoir à peu près tout ce qui se passe à l’école et je pense qu’il devait se douter de notre projet, mais au lieu d’essayer de nous arrêter, il a cherché à nous aider.
HPfr17.txt-0055	dingue         	– Décidément, Dumbledore est vraiment dingue, dit Ron avec fierté.
HPfr17.txt-0056	quart          	Ça fait presque un quart d’heure, maintenant.
HPfr17.txt-0057	réplique       	DEHORS ! dit-elle d’un ton sans réplique.
HPfr17.txt-0058	pincé          	– Le professeur Dumbledore a dit que tu avais le droit d’y assister, dit-elle d’un ton pincé, comme si elle était persuadée que Dumbledore ignorait les risques que peut présenter un festin.
HPfr17.txt-0059	rapport        	Comme d’habitude, il paraissait trop grand par rapport à la pièce.
HPfr17.txt-0060	chevet         	Il s’assit au chevet de Harry et fondit en larmes.
HPfr17.txt-0061	congé          	– Mais non, sourit Hagrid, Dumbledore m’a accordé un jour de congé hier pour le préparer.
HPfr17.txt-0062	reliure        	Il lui donna un beau livre à la reliure de cuir.
HPfr17.txt-0063	consécutif     	Elle était décorée aux couleurs vert et argent des Serpentard pour célébrer leur septième victoire consécutive.
HPfr17.txt-0064	importuner     	– Une autre année se termine, dit joyeusement Dumbledore, et je vais encore vous importuner avec des bavardages de vieillard avant que nous entamions enfin ce délicieux festin.
HPfr17.txt-0065	bavardage      	– Une autre année se termine, dit joyeusement Dumbledore, et je vais encore vous importuner avec des bavardages de vieillard avant que nous entamions enfin ce délicieux festin.
HPfr17.txt-0066	vieillard      	– Une autre année se termine, dit joyeusement Dumbledore, et je vais encore vous importuner avec des bavardages de vieillard avant que nous entamions enfin ce délicieux festin.
HPfr17.txt-0067	décerner       	Le moment est maintenant venu de décerner la coupe des Quatre Maisons.
HPfr17.txt-0068	décompte       	Le décompte des points nous donne le résultat suivant : en quatrième place, Gryffondor avec trois cent douze points.
HPfr17.txt-0069	trépignement   	Un tonnerre d’applaudissements, d’acclamations et de trépignements explosa à la table des Serpentard.
HPfr17.txt-0070	radis          	Il avait soudain l’air d’un radis qui aurait pris un coup de soleil.
HPfr17.txt-0071	addition       	Ceux qui étaient en état de faire des additions tout en s’égosillant savaient que Gryffondor avait à présent quatre cent soixante-douze points – exactement le même nombre que Serpentard.
HPfr17.txt-0072	ex aequo       	Ils étaient ex aequo.
HPfr17.txt-0073	extérieur      	Quelqu’un qui se serait trouvé à l’extérieur de la Grande Salle aurait pu penser qu’une terrible explosion venait de se produire, tant le vacarme qui s’éleva de la table des Gryffondor était assourdissant.
HPfr17.txt-0074	explosion      	Quelqu’un qui se serait trouvé à l’extérieur de la Grande Salle aurait pu penser qu’une terrible explosion venait de se produire, tant le vacarme qui s’éleva de la table des Gryffondor était assourdissant.
HPfr17.txt-0075	embrassade     	Harry, Ron et Hermione se levèrent pour acclamer Neville qui avait le teint livide et disparut bientôt sous les embrassades.
HPfr17.txt-0076	altier         	Il frappa dans ses mains et en un instant, le vert et argent se transforma en rouge et or, et le grand serpent disparut, remplacé par le lion altier des Gryffondor.
HPfr17.txt-0077	égard          	Harry croisa son regard et il sut aussitôt que les sentiments de Rogue à son égard n’avaient pas changé.
HPfr17.txt-0078	contrariété    	Mais il n’en éprouvait aucune contrariété.
HPfr17.txt-0079	catastrophique 	Hermione, bien entendu, avait été la meilleure et même Neville avait réussi à passer de justesse : sa bonne note en botanique rattrapait celle, catastrophique, qu’il avait obtenue en potions.
HPfr17.txt-0080	armoire        	Bientôt, leurs armoires se vidèrent, leur valises furent fin prêtes et le crapaud de Neville s’égara dans un coin des toilettes.
HPfr17.txt-0081	tristement     	On distribua aux élèves des avis qui les prévenaient que l’usage de la magie était interdit pendant les vacances (« Chaque année j’espère qu’ils vont oublier de nous les donner », dit tristement Fred).
HPfr17.txt-0082	verdoyant      	Tout le monde parlait et riait tandis que le paysage devenait de plus en plus verdoyant et soigné.
HPfr17.txt-0083	blouson        	On mangeait des Dragées surprises de Bertie Crochue et on enlevait les robes de sorcier pour remettre vestes et blousons.
HPfr17.txt-0084	rider          	Un vieux gardien ridé les faisait passer par groupes de deux ou trois pour qu’ils n’attirent pas l’attention en surgissant soudain au milieu de la barrière.
HPfr17.txt-0085	affoler        	Inutile d’affoler les Moldus.
HPfr17.txt-0086	fuser          	Harry entendait fuser autour de lui des « Au revoir, Harry, à bientôt, Potter ! »
HPfr17.txt-0087	malpoli        	– Tais-toi un peu Ginny, et ne montre pas du doigt, c’est malpoli.
HPfr17.txt-0088	moustachu      	C’était l’oncle Vernon, toujours moustachu, toujours écarlate, toujours furieux que Harry ait l’audace de se promener avec un hibou dans une cage au milieu d’une gare remplie de gens parfaitement normaux.
