contrarier      	Elle avait le visage sévère des gens qu’il vaut mieux éviter de contrarier, pensa aussitôt Harry.
fébrile         	D’un geste fébrile, Harry essaya d’aplatir ses cheveux.
test            	– J’imagine qu’ils vont nous faire passer des tests.
appréhension    	Jamais il n’avait ressenti une telle appréhension, même le jour où il avait dû rapporter à la maison son carnet scolaire dans lequel il était expliqué que la perruque d’un de ses professeurs avait mystérieusement pris une couleur bleu vif et qu’on le soupçonnait d’y être pour quelque chose.
carnet          	Jamais il n’avait ressenti une telle appréhension, même le jour où il avait dû rapporter à la maison son carnet scolaire dans lequel il était expliqué que la perruque d’un de ses professeurs avait mystérieusement pris une couleur bleu vif et qu’on le soupçonnait d’y être pour quelque chose.
mystérieusement 	Jamais il n’avait ressenti une telle appréhension, même le jour où il avait dû rapporter à la maison son carnet scolaire dans lequel il était expliqué que la perruque d’un de ses professeurs avait mystérieusement pris une couleur bleu vif et qu’on le soupçonnait d’y être pour quelque chose.
soupçonner      	Jamais il n’avait ressenti une telle appréhension, même le jour où il avait dû rapporter à la maison son carnet scolaire dans lequel il était expliqué que la perruque d’un de ses professeurs avait mystérieusement pris une couleur bleu vif et qu’on le soupçonnait d’y être pour quelque chose.
destin          	À tout moment, maintenant, le professeur McGonagall allait entrer et l’emmener vers son destin fatal.
fatal           	À tout moment, maintenant, le professeur McGonagall allait entrer et l’emmener vers son destin fatal.
fantôme         	Une vingtaine de fantômes venaient d’apparaître en traversant le mur du fond.
nacré           	D’un blanc nacré, légèrement transparents, ils flottaient à travers la salle sans accorder un regard aux élèves rassemblés.
transparent     	D’un blanc nacré, légèrement transparents, ils flottaient à travers la salle sans accorder un regard aux élèves rassemblés.
disputer        	Ils paraissaient se disputer.
moine           	L’un d’eux, qui ressemblait à un petit moine gras, lança : – Oublions et pardonnons.
pardonner       	L’un d’eux, qui ressemblait à un petit moine gras, lança : – Oublions et pardonnons.
mériter         	– Mon cher Frère, n’avons-nous pas donné à Peeves toutes les chances qu’il méritait ?
spectre         	– Mon cher Frère, n’avons-nous pas donné à Peeves toutes les chances qu’il méritait ? répondit un autre spectre, vêtu de hauts-de-chausse et le cou entouré d’une fraise.
brusque         	– Allons-y, maintenant, dit une voix brusque.
rang            	– Mettez-vous en rang et suivez-moi, dit le professeur aux élèves.
double          	Il se glissa entre Ron et un garçon aux cheveux blonds et la file des élèves quitta la salle, traversa à nouveau le hall, puis franchit une double porte qui ouvrait sur la Grande Salle.
chandelle       	Des milliers de chandelles suspendues dans les airs éclairaient quatre longues tables autour desquelles les autres étudiants étaient déjà assis, devant des assiettes et des gobelets d’or étincelants.
gobelet         	Des milliers de chandelles suspendues dans les airs éclairaient quatre longues tables autour desquelles les autres étudiants étaient déjà assis, devant des assiettes et des gobelets d’or étincelants.
clarté          	Dans la clarté incertaine des chandelles, les visages les observaient telles des lanternes aux lueurs pâles.
incertain       	Dans la clarté incertaine des chandelles, les visages les observaient telles des lanternes aux lueurs pâles.
lanterne        	Dans la clarté incertaine des chandelles, les visages les observaient telles des lanternes aux lueurs pâles.
disperser       	Dispersés parmi les étudiants, les fantômes brillaient comme des panaches de brume argentée.
gêné            	Gêné par les regards fixés sur les nouveaux, Harry leva la tête vers un plafond d’un noir de velours, parsemé d’étoiles.
velours         	Gêné par les regards fixés sur les nouveaux, Harry leva la tête vers un plafond d’un noir de velours, parsemé d’étoiles.
parsemer        	Gêné par les regards fixés sur les nouveaux, Harry leva la tête vers un plafond d’un noir de velours, parsemé d’étoiles.
rapiécer        	Le chapeau était râpé, sale, rapiécé.
lapin           	Peut-être allait-on leur demander d’en faire sortir un lapin ?
total           	Pendant quelques instants, il régna un silence total.
déchirure       	Une déchirure, tout près du bord, s’ouvrit en grand, comme une bouche, et le chapeau se mit à chanter : Je n’suis pas d’une beauté suprême Mais faut pas s’fier à ce qu’on voit Je veux bien me manger moi-même Si vous trouvez plus malin qu’moi.
chanter         	Une déchirure, tout près du bord, s’ouvrit en grand, comme une bouche, et le chapeau se mit à chanter : Je n’suis pas d’une beauté suprême Mais faut pas s’fier à ce qu’on voit Je veux bien me manger moi-même Si vous trouvez plus malin qu’moi.
beauté          	Une déchirure, tout près du bord, s’ouvrit en grand, comme une bouche, et le chapeau se mit à chanter : Je n’suis pas d’une beauté suprême Mais faut pas s’fier à ce qu’on voit Je veux bien me manger moi-même Si vous trouvez plus malin qu’moi.
splendide       	Les hauts-d’forme, les chapeaux splendides Font pâl’figure auprès de moi Car à Poudlard, quand je décide, Chacun se soumet à mon choix.
figurer         	Les hauts-d’forme, les chapeaux splendides Font pâl’figure auprès de moi Car à Poudlard, quand je décide, Chacun se soumet à mon choix.
soumettre       	Les hauts-d’forme, les chapeaux splendides Font pâl’figure auprès de moi Car à Poudlard, quand je décide, Chacun se soumet à mon choix.
choix           	Les hauts-d’forme, les chapeaux splendides Font pâl’figure auprès de moi Car à Poudlard, quand je décide, Chacun se soumet à mon choix.
hardi           	Si vous allez à Gryffondor Vous rejoindrez les courageux, Les plus hardis et les plus forts Sont rassemblés en ce haut lieu.
loyal           	Si à Poufsouffle vous allez, Comme eux vous s’rez juste et loyal Ceux de Poufsouffle aiment travailler Et leur patience est proverbiale.
patience        	Si à Poufsouffle vous allez, Comme eux vous s’rez juste et loyal Ceux de Poufsouffle aiment travailler Et leur patience est proverbiale.
proverbial      	Si à Poufsouffle vous allez, Comme eux vous s’rez juste et loyal Ceux de Poufsouffle aiment travailler Et leur patience est proverbiale.
accueillir      	Si vous êtes sage et réfléchi Serdaigle vous accueillera peut-être
érudit          	-bas, ce sont des érudits Qui ont envie de tout connaître.
roublard        	Vous finirez à Serpentard Si vous êtes plutôt malin, Car ceux-là sont de vrais roublards Qui parviennent toujours à leurs fins.
serein          	Sur ta tête pose-moi un instant Et n’aie pas peur, reste serein Tu seras en de bonnes mains Car je suis un chapeau pensant !
chanson         	Lorsqu’il eut terminé sa chanson, des applaudissements éclatèrent dans toute la salle.
applaudissement 	Lorsqu’il eut terminé sa chanson, des applaudissements éclatèrent dans toute la salle.
impressionner   	Le chapeau l’impressionnait et Harry ne se sentait plus le moindre courage.
nausée          	S’il avait existé une maison pour les élèves au bord de la nausée, il y serait allé tout de suite.
natte           	Une fille au teint rose avec des nattes blondes sortit du rang d’un pas mal assuré.
acclamation     	Des acclamations et des applaudissements s’élevèrent de la table située à droite et Hannah alla s’y asseoir, parmi les autres étudiants de Poufsouffle.
ovation         	Une ovation monta de la table située à l’extrême gauche.
extrême         	Une ovation monta de la table située à l’extrême gauche.
séance          	Il se souvenait des séances pendant lesquelles on composait les équipes sportives dans son ancienne école.
sportif         	Il se souvenait des séances pendant lesquelles on composait les équipes sportives dans son ancienne école.
ancien          	Il se souvenait des séances pendant lesquelles on composait les équipes sportives dans son ancienne école.
risque          	Il était toujours le dernier à être choisi, non parce qu’il était le plus mauvais, mais parce que personne ne voulait prendre le risque de lui manifester la moindre sympathie en présence de Dudley.
réflexion       	Harry remarqua que le chapeau prenait parfois le temps de la réflexion avant de se décider.
frénétiquement  	Hermione courut presque jusqu’au tabouret et enfonça frénétiquement le chapeau sur sa tête.
éclat           	» Neville se précipita aussitôt vers ses camarades sans enlever le chapeau de sa tête et dut revenir le donner à MacDougal, Morag, sous les éclats de rire.
conquérir       	Lorsque son nom fut appelé, Malefoy s’avança d’un pas conquérant vers le tabouret.
frôler          	Dès qu’il lui eut frôlé la tête, le chapeau s’écria :
mine            	La mine satisfaite, Malefoy alla rejoindre ses amis Crabbe et Goyle qui avaient été envoyés à Serpentard, eux aussi.
absolu          	Avant que le chapeau lui tombe devant les yeux en le plongeant dans le noir absolu, Harry eut le temps de voir les têtes qui se tendaient pour mieux le regarder.
hum             	– Hum, ce n’est pas facile, dit une petite voix à son oreille.
qualité         	Des qualités intellectuelles, également.
intellectuel    	Des qualités intellectuelles, également.
talent          	Il y a du talent et… ho !
preuve          	mon garçon, tu es avide de faire tes preuves, voilà qui est intéressant… Voyons, où vais-je te mettre ?
intéressant     	mon garçon, tu es avide de faire tes preuves, voilà qui est intéressant… Voyons, où vais-je te mettre ?
résonner        	Harry entendit le dernier mot résonner dans la Grande Salle.
bruyant         	Soulagé d’avoir échappé à Serpentard, il remarqua à peine qu’on lui réservait la plus longue et la plus bruyante ovation de la soirée.
vigoureusement  	Percy le Préfet se leva et lui serra vigoureusement la main tandis que les jumeaux Weasley scandaient : – Potter avec nous ! Potter avec nous !
scander         	Percy le Préfet se leva et lui serra vigoureusement la main tandis que les jumeaux Weasley scandaient : – Potter avec nous ! Potter avec nous !
amicalement     	Le spectre lui tapota amicalement le bras et Harry eut soudain l’horrible impression d’avoir plongé la main jusqu’au coude dans un seau d’eau glacée.
seau            	Le spectre lui tapota amicalement le bras et Harry eut soudain l’horrible impression d’avoir plongé la main jusqu’au coude dans un seau d’eau glacée.
pouce           	Hagrid, qui était assis à l’une des extrémités, lui fit un clin d’œil en levant le pouce.
centre          	Au centre de la table, trônait dans un large fauteuil d’or massif Albus Dumbledore en personne.
trôner          	Au centre de la table, trônait dans un large fauteuil d’or massif Albus Dumbledore en personne.
grâce           	Harry le reconnut immédiatement, grâce à la carte qu’il avait trouvée dans le Chocogrenouille.
émotif          	Harry reconnut également le professeur Quirrell, le jeune homme émotif qu’il avait rencontré au Chaudron Baveur.
turban          	Il portait un grand turban violet qui lui donnait un air bizarre.
pompeux         	– Bravo, Ron, très bien vraiment, dit Percy d’un ton pompeux tandis que Zabini, Blaise, était envoyé à Serpentard.
désespérément   	Harry contempla alors son assiette d’or désespérément vide et se rendit compte à quel point il était affamé.
largement       	Albus Dumbledore s’était levé, le visage rayonnant, les bras largement ouverts.
bienvenue       	– Bienvenue, dit-il.
nigaud          	Les voici : Nigaud ! Grasdouble ! Bizarre ! Pinçon ! Je vous remercie !
pinçon          	Les voici : Nigaud ! Grasdouble ! Bizarre ! Pinçon ! Je vous remercie !
remercier       	Les voici : Nigaud ! Grasdouble ! Bizarre ! Pinçon ! Je vous remercie !
léger           	– Fou ? dit Percy d’un ton léger.
génie           	C’est un génie !
pomme           	Tu veux des pommes de terre ?
déborder        	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
victuailles     	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
poulet          	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
côtelette       	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
porc            	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
steak           	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
gratin          	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
frite           	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
légume          	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
sauce           	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
onctueux        	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
ketchup         	Les plats disposés sur la table débordaient à présent de victuailles : roast-beef, poulet, côtelettes de porc et d’agneau, saucisses, lard, steaks, gratin, pommes de terre sautées, frites, légumes divers, sauces onctueuses, ketchup et, il ne savait pour quelle raison, des bonbons à la menthe.
nourriture      	Les Dursley n’avaient jamais privé Harry de nourriture, mais il n’avait pas vraiment le droit de manger à sa faim.
appétit         	Harry remplit son assiette d’un peu de tout, sauf de bonbons à la menthe, et se mit à manger avec appétit.
appétissant     	– Tout ça me paraît bien appétissant, soupira le fantôme à fraise en regardant Harry trancher son steak.
résident        	Fantôme résident à la tour de Gryffondor.
quasi           	Comment peut-on être quasi sans tête ?
offenser        	Sir Nicholas sembla offensé.
vœu             	Visiblement, la conversation ne se déroulait pas selon ses vœux.
ceci            	– Comme ceci, dit-il d’une voix agacée.
basculer        	Sa tête bascula alors vers la droite et tomba sur son épaule comme si elle était rattachée à son cou par une charnière.
rattacher       	Sa tête bascula alors vers la droite et tomba sur son épaule comme si elle était rattachée à son cou par une charnière.
charnière       	Sa tête bascula alors vers la droite et tomba sur son épaule comme si elle était rattachée à son cou par une charnière.
décapiter       	Apparemment, quelqu’un avait essayé de le décapiter, sans réussir à terminer le travail.
ébahir          	Satisfait de voir les regards ébahis des nouveaux élèves, Nick Quasi-Sans-Tête remit son chef en place et toussa.
tousser         	Satisfait de voir les regards ébahis des nouveaux élèves, Nick Quasi-Sans-Tête remit son chef en place et toussa.
remporter       	Les Serpentard l’ont remportée six fois de suite !
baron           	Le Baron Sanglant en est devenu insupportable de prétention.
sanglant        	Le Baron Sanglant en est devenu insupportable de prétention.
insupportable   	Le Baron Sanglant en est devenu insupportable de prétention.
prétention      	Le Baron Sanglant en est devenu insupportable de prétention.
émacié          	Harry jeta un coup d’œil à la table des Serpentard et aperçut un horrible fantôme, les yeux vides, le visage émacié, les vêtements maculés de taches de sang aux reflets d’argent.
maculer         	Harry jeta un coup d’œil à la table des Serpentard et aperçut un horrible fantôme, les yeux vides, le visage émacié, les vêtements maculés de taches de sang aux reflets d’argent.
satisfaction    	Il était assis à côté de Malefoy qui, à la grande satisfaction de Harry, n’avait pas l’air enchanté d’occuper cette place.
enchanter       	Il était assis à côté de Malefoy qui, à la grande satisfaction de Harry, n’avait pas l’air enchanté d’occuper cette place.
délicatesse     	– Je ne le lui ai jamais demandé, répondit Quasi-Sans-Tête avec délicatesse.
vaisselle       	Lorsque tout le monde se fut bien rempli l’estomac, ce qui restait dans les plats disparut peu à peu et la vaisselle redevint étincelante de propreté.
redevenir       	Lorsque tout le monde se fut bien rempli l’estomac, ce qui restait dans les plats disparut peu à peu et la vaisselle redevint étincelante de propreté.
propreté        	Lorsque tout le monde se fut bien rempli l’estomac, ce qui restait dans les plats disparut peu à peu et la vaisselle redevint étincelante de propreté.
dessert         	Ce fut alors le moment du dessert : crèmes glacées à tous les parfums possibles, tartes aux pommes, éclairs au chocolat, beignets, babas, fraises, gâteau de riz… Harry se servit.
tarte           	Ce fut alors le moment du dessert : crèmes glacées à tous les parfums possibles, tartes aux pommes, éclairs au chocolat, beignets, babas, fraises, gâteau de riz… Harry se servit.
baba            	Ce fut alors le moment du dessert : crèmes glacées à tous les parfums possibles, tartes aux pommes, éclairs au chocolat, beignets, babas, fraises, gâteau de riz… Harry se servit.
riz             	Ce fut alors le moment du dessert : crèmes glacées à tous les parfums possibles, tartes aux pommes, éclairs au chocolat, beignets, babas, fraises, gâteau de riz… Harry se servit.
mélasse         	Tandis qu’il prenait un morceau de tarte à la mélasse, les autres se mirent à parler de leurs familles.
jetée           	Un jour, il m’a poussé dans l’eau, au bout de la jetée de Blackpool et j’ai failli me noyer.
noyer           	Un jour, il m’a poussé dans l’eau, au bout de la jetée de Blackpool et j’ai failli me noyer.
don             	Jusqu’à l’âge de huit ans, je n’avais montré aucun don pour la magie.
cheville        	Et puis, un jour, mon grand-oncle qui était venu prendre le thé à la maison m’a pris par les chevilles et s’est amusé à me pendre par une fenêtre du premier étage.
meringue        	Ma grand-tante Enid est venue lui apporter une meringue et il m’a lâché sans le faire exprès.
jusque          	Mais au lieu de tomber normalement, j’ai rebondi dans le jardin jusque sur la route et tout le monde était ravi.
passionnant     	Ça doit être passionnant de transformer quelque chose en quelque chose d’autre.
allumette       	– Il faudra commencer avec de petits objets, par exemple changer une allumette en aiguille… expliqua Percy.
collègue        	Hagrid vidait son gobelet, le professeur McGonagall bavardait avec Albus Dumbledore et le professeur Quirrell, avec son turban ridicule, parlait à l’un de ses collègues, un homme aux cheveux noirs et gras, le nez crochu, le teint cireux.
cireux          	Hagrid vidait son gobelet, le professeur McGonagall bavardait avec Albus Dumbledore et le professeur Quirrell, avec son turban ridicule, parlait à l’un de ses collègues, un homme aux cheveux noirs et gras, le nez crochu, le teint cireux.
fulgurant       	celui-ci ressentit aussitôt une douleur aiguë, fulgurante, à l’endroit de sa cicatrice.
aïe             	– Aïe !
prof            	– Qui c’est, le prof qui parle avec Quirrell ?
rayon           	Il en connaît un rayon en magie noire, ce Rogue.
rassasier       	– Maintenant que nous avons rassasié notre appétit et étanché notre soif, je voudrais encore dire quelques mots en ce qui concerne le règlement intérieur de l’école.
étancher        	– Maintenant que nous avons rassasié notre appétit et étanché notre soif, je voudrais encore dire quelques mots en ce qui concerne le règlement intérieur de l’école.
soif            	– Maintenant que nous avons rassasié notre appétit et étanché notre soif, je voudrais encore dire quelques mots en ce qui concerne le règlement intérieur de l’école.
règlement       	– Maintenant que nous avons rassasié notre appétit et étanché notre soif, je voudrais encore dire quelques mots en ce qui concerne le règlement intérieur de l’école.
exception       	Les première année doivent savoir qu’il est interdit à tous les élèves sans exception de pénétrer dans la forêt qui entoure le collège.
concierge       	– Mr Rusard, le concierge, m’a également demandé de vous rappeler qu’il est interdit de faire des tours de magie dans les couloirs entre les cours.
sélection       	La sélection des joueurs de Quidditch se fera au cours de la deuxième semaine.
avertir         	Enfin, je dois vous avertir que cette année, l’accès au couloir du troisième étage de l’aile droite est formellement interdit, à moins que vous teniez absolument à mourir dans d’atroces souffrances.
accès           	Enfin, je dois vous avertir que cette année, l’accès au couloir du troisième étage de l’aile droite est formellement interdit, à moins que vous teniez absolument à mourir dans d’atroces souffrances.
formellement    	Enfin, je dois vous avertir que cette année, l’accès au couloir du troisième étage de l’aile droite est formellement interdit, à moins que vous teniez absolument à mourir dans d’atroces souffrances.
souffrance      	Enfin, je dois vous avertir que cette année, l’accès au couloir du troisième étage de l’aile droite est formellement interdit, à moins que vous teniez absolument à mourir dans d’atroces souffrances.
imiter          	Harry éclata de rire, mais il ne fut guère imité.
ensemble        	– Et maintenant, avant d’aller nous coucher, chantons tous ensemble l’hymne du collège !
hymne           	– Et maintenant, avant d’aller nous coucher, chantons tous ensemble l’hymne du collège !
mouche          	Dumbledore donna un petit coup de baguette magique, comme s’il avait voulu faire partir une mouche posée à son extrémité, et il s’en échappa un long ruban d’or qui s’éleva au-dessus des tables en se tortillant comme un serpent pour former les paroles de la chanson.
tortiller       	Dumbledore donna un petit coup de baguette magique, comme s’il avait voulu faire partir une mouche posée à son extrémité, et il s’en échappa un long ruban d’or qui s’éleva au-dessus des tables en se tortillant comme un serpent pour former les paroles de la chanson.
pou             	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
guimauve        	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
migraine        	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
jus             	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
âne             	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
mijoter         	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
surpasser       	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
cerveau         	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
rythme          	Les jumeaux Weasley furent les derniers à chanter, au rythme lent de la marche funèbre qu’ils avaient choisie.
funèbre         	Les jumeaux Weasley furent les derniers à chanter, au rythme lent de la marche funèbre qu’ils avaient choisie.
marquer         	Dumbledore marqua la cadence avec sa baguette magique et lorsqu’ils eurent terminé, il fut l’un de ceux qui applaudirent le plus fort.
cadence         	Dumbledore marqua la cadence avec sa baguette magique et lorsqu’ils eurent terminé, il fut l’un de ceux qui applaudirent le plus fort.
fatigue         	Harry eut à nouveau l’impression d’avoir des jambes de plomb, mais cette fois, seuls la fatigue et le plantureux repas en étaient la cause.
plantureux      	Harry eut à nouveau l’impression d’avoir des jambes de plomb, mais cette fois, seuls la fatigue et le plantureux repas en étaient la cause.
repas           	Harry eut à nouveau l’impression d’avoir des jambes de plomb, mais cette fois, seuls la fatigue et le plantureux repas en étaient la cause.
tapisserie      	Il ne fut pas davantage étonné de voir que Percy les faisait passer par des portes cachées derrière des tapisseries ou des panneaux coulissants.
coulissant      	Il ne fut pas davantage étonné de voir que Percy les faisait passer par des portes cachées derrière des tapisseries ou des panneaux coulissants.
interminable    	Ils parcoururent ainsi une distance interminable, bâillant et traînant les pieds, et Harry se demandait s’ils étaient encore loin du but, quand ils s’arrêtèrent brusquement.
but             	Ils parcoururent ainsi une distance interminable, bâillant et traînant les pieds, et Harry se demandait s’ils étaient encore loin du but, quand ils s’arrêtèrent brusquement.
ruer            	Des cannes apparurent soudain devant eux, flottant dans les airs, et se ruèrent sur Percy qui dut faire un pas de côté pour les éviter.
frappeur        	Un esprit frappeur.
grossier        	Pour toute réponse, un bruit grossier, comme un ballon qui se dégonfle, résonna dans le couloir.
dégonfler       	Pour toute réponse, un bruit grossier, comme un ballon qui se dégonfle, résonna dans le couloir.
cramponner      	Il avait les jambes croisées et se cramponnait aux cannes.
