HPfr12.txt-0001	miroir            	LE MIROIR DU RISÉD
HPfr12.txt-0038	plumeau           	Madame Pince, la bibliothécaire, le menaça d’un plumeau.
HPfr12.txt-0039	plausible         	N’ayant trouvé aucun prétexte plausible pour justifier sa présence, Harry se résigna à quitter la bibliothèque.
HPfr12.txt-0040	renseignement     	Avec Ron et Hermione, ils avaient décidé qu’il valait mieux ne pas demander à Madame Pince où ils pourraient dénicher des renseignements sur Nicolas Flamel.
HPfr12.txt-0041	surprenant        	Leurs recherches avaient duré quinze jours mais comme ils n’avaient pu y consacrer que quelques moments par-ci par-là entre deux cours, il n’était pas surprenant qu’ils aient fait chou blanc.
HPfr12.txt-0042	continuellement   	Ils auraient eu besoin de rester beaucoup plus longtemps à la bibliothèque sans avoir continuellement Madame Pince sur le dos.
HPfr12.txt-0043	dentiste          	Ils sont dentistes.
HPfr12.txt-0044	broche            	Ils restaient assis des heures entières à manger tout ce qu’ils trouvaient à faire cuire à la broche – du pain, des pancakes, des marshmallows – tout en échafaudant des stratégies pour faire renvoyer Malefoy de l’école.
HPfr12.txt-0045	pain              	Ils restaient assis des heures entières à manger tout ce qu’ils trouvaient à faire cuire à la broche – du pain, des pancakes, des marshmallows – tout en échafaudant des stratégies pour faire renvoyer Malefoy de l’école.
HPfr12.txt-0046	échafauder        	Ils restaient assis des heures entières à manger tout ce qu’ils trouvaient à faire cuire à la broche – du pain, des pancakes, des marshmallows – tout en échafaudant des stratégies pour faire renvoyer Malefoy de l’école.
HPfr12.txt-0047	stratégie         	Ils restaient assis des heures entières à manger tout ce qu’ils trouvaient à faire cuire à la broche – du pain, des pancakes, des marshmallows – tout en échafaudant des stratégies pour faire renvoyer Malefoy de l’école.
HPfr12.txt-0048	irréalisable      	Leurs plans étaient sans doute irréalisables, mais c’était toujours amusant d’en parler.
HPfr12.txt-0049	échec             	Ron apprit également à Harry le jeu d’échecs, version sorcier.
HPfr12.txt-0050	version           	Ron apprit également à Harry le jeu d’échecs, version sorcier.
HPfr12.txt-0051	armée             	Les règles étaient les mêmes que chez les Moldus, sauf que les pièces étaient vivantes, ce qui leur donnait l’air d’une armée partant à la bataille.
HPfr12.txt-0052	échiquier         	L’échiquier de Ron était vieux et tout abîmé.
HPfr12.txt-0053	occurrence        	– son grand-père en l’occurrence.
HPfr12.txt-0054	contester         	Il ne savait pas très bien jouer et les pièces contestaient sans cesse ses décisions, ce qui jetait la confusion dans le jeu.
HPfr12.txt-0055	cavalier          	Tu n’as donc pas vu son cavalier ?
HPfr12.txt-0056	réveillon         	Ce serait une bonne journée et il y aurait un réveillon, mais il ne s’attendait pas à recevoir de cadeaux.
HPfr12.txt-0057	extraire          	– Joyeux Noël, dit Ron d’une voix ensommeillée tandis que Harry s’extrayait du lit et passait sa robe de chambre.
HPfr12.txt-0058	flûte             	À l’intérieur, il y avait une flûte en bois grossièrement taillée.
HPfr12.txt-0059	adhésif           	Une pièce de cinquante pence était collée au papier à l’aide d’un morceau de ruban adhésif.
HPfr12.txt-0060	épai              	Harry sortit du paquet un épais pull-over de laine vert émeraude, grossièrement tricoté, et une grosse boîte de fondants faits maison.
HPfr12.txt-0061	pull-over         	Harry sortit du paquet un épais pull-over de laine vert émeraude, grossièrement tricoté, et une grosse boîte de fondants faits maison.
HPfr12.txt-0062	laine             	Harry sortit du paquet un épais pull-over de laine vert émeraude, grossièrement tricoté, et une grosse boîte de fondants faits maison.
HPfr12.txt-0063	mien              	Et le mien est toujours bordeaux.
HPfr12.txt-0064	bordeaux          	Et le mien est toujours bordeaux.
HPfr12.txt-0065	tissu             	Harry déchira le papier et un morceau de tissu très léger, d’une teinte argentée, glissa sur le sol où il forma un petit tas aux reflets luisants.
HPfr12.txt-0066	teinte            	Harry déchira le papier et un morceau de tissu très léger, d’une teinte argentée, glissa sur le sol où il forma un petit tas aux reflets luisants.
HPfr12.txt-0067	étoffe            	En le prenant entre ses doigts, il eut l’impression de toucher de l’eau qu’on aurait transformée en étoffe.
HPfr12.txt-0068	invisibilité      	– C’est une cape d’invisibilité, dit Ron, impressionné.
HPfr12.txt-0069	invisible         	Son corps, lui, était devenu invisible.
HPfr12.txt-0070	effacer           	Il remonta la cape sur sa tête et son reflet s’effaça complètement.
HPfr12.txt-0071	écriture          	Harry enleva la cape et lut ce qui était écrit d’une écriture serrée et arrondie qu’il n’avait jamais vue auparavant.
HPfr12.txt-0072	arrondi           	Harry enleva la cape et lut ce qui était écrit d’une écriture serrée et arrondie qu’il n’avait jamais vue auparavant.
HPfr12.txt-0073	signature         	Il n’y avait pas de signature.
HPfr12.txt-0074	réprobateur       	Percy Weasley passa la tête par l’entrebâillement de la porte, l’air réprobateur.
HPfr12.txt-0075	dinde             	Dindes rôties, saucisses grillées, sauces onctueuses, confiture d’airelles et partout sur les tables, des pochettes-surprises avec des pétards qui explosaient en faisant jaillir des cadeaux.
HPfr12.txt-0076	rôtir             	Dindes rôties, saucisses grillées, sauces onctueuses, confiture d’airelles et partout sur les tables, des pochettes-surprises avec des pétards qui explosaient en faisant jaillir des cadeaux.
HPfr12.txt-0077	airelle           	Dindes rôties, saucisses grillées, sauces onctueuses, confiture d’airelles et partout sur les tables, des pochettes-surprises avec des pétards qui explosaient en faisant jaillir des cadeaux.
HPfr12.txt-0078	pochette-surprise 	Dindes rôties, saucisses grillées, sauces onctueuses, confiture d’airelles et partout sur les tables, des pochettes-surprises avec des pétards qui explosaient en faisant jaillir des cadeaux.
HPfr12.txt-0079	crépon            	Ils n’étaient pas remplis de petits jouets en plastique et de chapeaux en papier crépon.
HPfr12.txt-0080	pudding           	Des bûches de Noël et du pudding suivirent les dindes.
HPfr12.txt-0081	troquer           	Le professeur Dumbledore avait troqué son chapeau pointu de sorcier pour un bonnet à fleurs qu’il avait trouvé dans une pochette-surprise et il riait en écoutant Flitwick lui raconter une histoire drôle.
HPfr12.txt-0082	fleur             	Le professeur Dumbledore avait troqué son chapeau pointu de sorcier pour un bonnet à fleurs qu’il avait trouvé dans une pochette-surprise et il riait en écoutant Flitwick lui raconter une histoire drôle.
HPfr12.txt-0083	vin               	Il réclama une nouvelle bouteille de vin, puis il embrassa sur la joue le professeur McGonagall qui, à la grande surprise de Harry, gloussa de contentement, les joues soudain écarlates, le chapeau de travers.
HPfr12.txt-0084	contentement      	Il réclama une nouvelle bouteille de vin, puis il embrassa sur la joue le professeur McGonagall qui, à la grande surprise de Harry, gloussa de contentement, les joues soudain écarlates, le chapeau de travers.
HPfr12.txt-0085	encombrer         	Lorsque Harry quitta la table, il avait les bras encombrés de cadeaux découverts dans les pétards surprises, notamment des ballons lumineux increvables, un kit pour faire pousser des verrues et un jeu d’échecs version sorcier.
HPfr12.txt-0086	increvable        	Lorsque Harry quitta la table, il avait les bras encombrés de cadeaux découverts dans les pétards surprises, notamment des ballons lumineux increvables, un kit pour faire pousser des verrues et un jeu d’échecs version sorcier.
HPfr12.txt-0087	kit               	Lorsque Harry quitta la table, il avait les bras encombrés de cadeaux découverts dans les pétards surprises, notamment des ballons lumineux increvables, un kit pour faire pousser des verrues et un jeu d’échecs version sorcier.
HPfr12.txt-0088	mouiller          	Puis, frigorifiés, mouillés, essoufflés, ils retournèrent auprès du feu, devant la cheminée de la salle commune de Gryffondor où Harry étrenna son jeu d’échecs en se faisant battre à plate couture par Ron.
HPfr12.txt-0089	couture           	Puis, frigorifiés, mouillés, essoufflés, ils retournèrent auprès du feu, devant la cheminée de la salle commune de Gryffondor où Harry étrenna son jeu d’échecs en se faisant battre à plate couture par Ron.
HPfr12.txt-0090	acharné           	Il songea qu’il n’aurait pas perdu aussi facilement si Percy ne s’était pas autant acharné à l’aider.
HPfr12.txt-0091	crêpe             	Ils allèrent ensuite prendre un thé accompagné de sandwiches à la dinde, de petites crêpes, de gâteaux à la confiture et de pudding de Noël.
HPfr12.txt-0092	somnolent         	Somnolents et le ventre plein, ils regardèrent Percy se lancer à la poursuite de Fred et de George dans toute la tour de Gryffondor pour récupérer son insigne de préfet qu’ils lui avaient volé.
HPfr12.txt-0093	expéditeur        	Pourtant, quelque chose n’avait cessé de lui tourner dans la tête tout au long de la journée : la cape d’invisibilité et son mystérieux expéditeur.
HPfr12.txt-0094	préoccupation     	Ron, le ventre plein de dinde rôtie, et libre de toute préoccupation, tomba endormi dès qu’il eut tiré les rideaux de son baldaquin.
HPfr12.txt-0095	couler            	Plus douce que la soie, aussi légère qu’un souffle d’air, l’étoffe lui coulait entre les doigts comme l’eau d’un ruisseau.
HPfr12.txt-0096	ruisseau          	Plus douce que la soie, aussi légère qu’un souffle d’air, l’étoffe lui coulait entre les doigts comme l’eau d’un ruisseau.
HPfr12.txt-0097	atmosphère        	Il y régnait une atmosphère un peu effrayante.
HPfr12.txt-0098	cordon            	Il enjamba avec précaution le cordon qui séparait les livres interdits du reste de la bibliothèque et tendit la lampe pour lire les titres des ouvrages alignés sur les étagères.
HPfr12.txt-0099	ternir            	Leurs lettres dorées, ternies, usées, formaient des mots que Harry ne comprenait pas.
HPfr12.txt-0100	user              	Leurs lettres dorées, ternies, usées, formaient des mots que Harry ne comprenait pas.
HPfr12.txt-0101	chuchotement      	Peut-être son imagination lui jouait-elle des tours, peut-être pas, en tout cas, il crut entendre un faible chuchotement qui provenait des rangées de livres, comme s’ils savaient que quelqu’un se trouvait là qui n’aurait pas dû y être.
HPfr12.txt-0102	équilibre         	Il le mit en équilibre sur ses genoux et le livre tomba ouvert sur le sol.
HPfr12.txt-0103	instantanément    	Harry tomba en arrière, renversant sa lampe qui s’éteignit instantanément.
HPfr12.txt-0104	rôder             	– Vous m’avez demandé de vous avertir directement si quelqu’un venait rôder la nuit dans la bibliothèque, professeur.
HPfr12.txt-0105	raccourci         	Il ne savait pas où il était mais Rusard devait connaître un raccourci, car sa petite voix grasseyante se rapprochait.
HPfr12.txt-0106	grasseyant        	Il ne savait pas où il était mais Rusard devait connaître un raccourci, car sa petite voix grasseyante se rapprochait.
HPfr12.txt-0107	inévitablement    	Ils ne pouvaient pas le voir, bien sûr, mais le couloir était étroit et ils allaient inévitablement le heurter au passage.
HPfr12.txt-0108	insu              	Retenant sa respiration, il se glissa par l’entrebâillement en essayant de ne pas faire bouger le panneau et parvint à son grand soulagement à entrer dans la pièce à l’insu de Rogue et de Rusard.
HPfr12.txt-0109	adosser           	Tous deux passèrent devant la porte sans s’arrêter et Harry s’adossa au mur en respirant profondément, écoutant le bruit de leurs pas s’éloigner puis s’évanouir.
HPfr12.txt-0110	désaffecter       	La pièce dans laquelle il se trouvait avait l’air d’une salle de classe désaffectée.
HPfr12.txt-0111	pupitre           	Il voyait la forme sombre de pupitres et de chaises entassés contre les murs.
HPfr12.txt-0112	mobilier          	Il remarqua aussi, appuyé contre le mur d’en face, quelque chose qui ne semblait pas appartenir au mobilier habituel d’une salle de classe, quelque chose que quelqu’un avait dû ranger là pour s’en débarrasser.
HPfr12.txt-0113	cadre             	C’était un miroir magnifique qui montait jusqu’au plafond avec un cadre d’or sculpté, posé sur deux pieds pourvus de griffes, comme des pattes d’animal.
HPfr12.txt-0114	sculpter          	C’était un miroir magnifique qui montait jusqu’au plafond avec un cadre d’or sculpté, posé sur deux pieds pourvus de griffes, comme des pattes d’animal.
HPfr12.txt-0115	griffe            	C’était un miroir magnifique qui montait jusqu’au plafond avec un cadre d’or sculpté, posé sur deux pieds pourvus de griffes, comme des pattes d’animal.
HPfr12.txt-0116	déchiffrer        	Harry déchiffra : « riséd elrue ocnot edsi amega siv notsap ert nomen ej. »
HPfr12.txt-0117	faculté           	Ou alors, eux aussi étaient peut-être invisibles, mais ce miroir avait la faculté de les refléter quand même ?
HPfr12.txt-0118	refléter          	Ou alors, eux aussi étaient peut-être invisibles, mais ce miroir avait la faculté de les refléter quand même ?
HPfr12.txt-0119	épi               	Il avait des épis qui dépassaient à l’arrière de son crâne, tout comme Harry.
HPfr12.txt-0120	détailler         	Lentement, Harry détailla les autres personnes qui se trouvaient dans le miroir.
HPfr12.txt-0121	complet           	– Et moi, j’aimerais bien voir toute ta famille, tous les Weasley au complet.
HPfr12.txt-0122	dommage           	C’est dommage que tu n’aies pas réussi à trouver ce Flamel.
HPfr12.txt-0123	refaire           	Ils essayèrent de refaire le chemin que Harry avait suivi la veille en fuyant la bibliothèque et ils errèrent pendant une bonne heure dans les couloirs alentour.
HPfr12.txt-0124	errer             	Ils essayèrent de refaire le chemin que Harry avait suivi la veille en fuyant la bibliothèque et ils errèrent pendant une bonne heure dans les couloirs alentour.
HPfr12.txt-0125	provenance        	Un bruit soudain en provenance du couloir mit fin à leur discussion.
HPfr12.txt-0126	myope             	– On dirait que l’invisibilité te rend myope, dit Dumbledore et Harry fut soulagé de voir qu’il souriait.
HPfr12.txt-0127	dépérir           	Des hommes ont dépéri ou sont devenus fous en contemplant ce qu’ils y voyaient, car ils ne savaient pas si ce que le miroir leur montrait était réel, ou même possible.
HPfr12.txt-0128	réel              	Des hommes ont dépéri ou sont devenus fous en contemplant ce qu’ils y voyaient, car ils ne savaient pas si ce que le miroir leur montrait était réel, ou même possible.
HPfr12.txt-0129	obstiner          	Les gens s’obstinent à m’offrir des livres.
HPfr12.txt-0130	personnel         	Mais après tout, c’était peut-être une question un peu trop personnelle.
