HPfr09.txt-0001	duel           	DUEL À MINUIT
HPfr09.txt-0026	conférence     	Neville buvait ses paroles, dans l’espoir d’apprendre quelque chose qui pourrait l’aider à tenir sur un balai mais tous les autres furent ravis que l’arrivée du courrier interrompe la conférence d’Hermione.
HPfr09.txt-0027	colis          	Le hibou grand duc de celui-ci lui apportait sans cesse des colis de bonbons qu’il ouvrait avec jubilation à la table des Serpentard.
HPfr09.txt-0028	jubilation     	Le hibou grand duc de celui-ci lui apportait sans cesse des colis de bonbons qu’il ouvrait avec jubilation à la table des Serpentard.
HPfr09.txt-0029	fébrilement    	Il l’ouvrit fébrilement et montra à tout le monde une boule de verre de la taille d’une grosse bille qui semblait remplie d’une fumée blanche.
HPfr09.txt-0030	bille          	Il l’ouvrit fébrilement et montra à tout le monde une boule de verre de la taille d’une grosse bille qui semblait remplie d’une fumée blanche.
HPfr09.txt-0031	étourdir       	Ma grand-mère me l’a envoyé parce qu’elle trouve que je suis étourdi.
HPfr09.txt-0032	mécontent      	Ils n’auraient pas été mécontents d’avoir un prétexte pour se battre avec Malefoy, mais le professeur McGonagall accourut aussitôt.
HPfr09.txt-0033	prétexte       	Ils n’auraient pas été mécontents d’avoir un prétexte pour se battre avec Malefoy, mais le professeur McGonagall accourut aussitôt.
HPfr09.txt-0034	retomber       	Malefoy fit une grimace et laissa retomber la boule de verre sur la table.
HPfr09.txt-0035	inquiétant     	Le terrain se trouvait du côté opposé à la Forêt interdite dont on voyait les arbres inquiétants se balancer au loin.
HPfr09.txt-0036	soigneusement  	Les Serpentard étaient déjà là, ainsi qu’une vingtaine de balais soigneusement alignés sur le sol.
HPfr09.txt-0037	vibrer         	Harry avait entendu Fred et George se plaindre de la qualité des balais de l’école qui se mettaient à vibrer quand on volait trop haut ou qui tiraient un peu trop à gauche.
HPfr09.txt-0038	faucon         	Elle avait des cheveux courts et gris et des yeux jaunes comme ceux d’un faucon.
HPfr09.txt-0039	unisson        	– DEBOUT ! crièrent les élèves à l’unisson.
HPfr09.txt-0040	tremblement    	Les balais étaient peut-être comme les chevaux, songea Harry, quand on avait peur, ils le sentaient et le tremblement dans la voix de Neville indiquait clairement qu’il aurait préféré garder les deux pieds sur terre.
HPfr09.txt-0041	clairement     	Les balais étaient peut-être comme les chevaux, songea Harry, quand on avait peur, ils le sentaient et le tremblement dans la voix de Neville indiquait clairement qu’il aurait préféré garder les deux pieds sur terre.
HPfr09.txt-0042	corriger       	Elle passa devant chacun pour corriger la position et Harry et Ron furent enchantés de l’entendre dire à Malefoy qu’il tenait très mal son balai.
HPfr09.txt-0043	décoller       	Mais Neville était si nerveux et il avait si peur de ne pas réussir à décoller qu’il se lança avant que Madame Bibine ait eu le temps de porter le sifflet à ses lèvres.
HPfr09.txt-0044	bouchon        	Mais Neville s’éleva dans les airs comme un bouchon de champagne.
HPfr09.txt-0045	champagne      	Mais Neville s’éleva dans les airs comme un bouchon de champagne.
HPfr09.txt-0046	décomposer     	Harry vit son visage se décomposer tandis qu’il regardait le sol s’éloigner.
HPfr09.txt-0047	dériver        	Son balai continua de s’élever de plus en plus haut, puis dériva lentement vers la Forêt interdite avant de disparaître à l’horizon.
HPfr09.txt-0048	garantir       	Et vous laissez les balais par terre, sinon, je vous garantis que vous ne resterez pas longtemps à Poudlard, avant même de prononcer le mot «
HPfr09.txt-0049	clopiner       	Neville, le visage ruisselant de larmes, la main crispée sur son poignet, clopina à côté de Madame Bibine qui le tenait par l’épaule.
HPfr09.txt-0050	mollasson      	– Vous avez vu sa tête, à ce mollasson ?
HPfr09.txt-0051	taire          	– Tais-toi, Malefoy, lança sèchement Parvati Patil.
HPfr09.txt-0052	pleurnichard   	Je ne savais pas que tu aimais les gros pleurnichards.
HPfr09.txt-0053	cime           	Si tu y tiens tellement, viens le chercher, Potter, cria-t-il en volant autour de la cime d’un chêne.
HPfr09.txt-0054	intense        	Il ressentit une joie intense en découvrant soudain qu’il savait faire voler un balai sans avoir eu besoin d’apprendre.
HPfr09.txt-0055	naturel        	C’était quelque chose qui lui paraissait très naturel, très facile, et qui lui donnait une sensation merveilleuse.
HPfr09.txt-0056	merveilleux    	C’était quelque chose qui lui paraissait très naturel, très facile, et qui lui donnait une sensation merveilleuse.
HPfr09.txt-0057	instinct       	D’instinct, Harry savait parfaitement ce qu’il fallait faire.
HPfr09.txt-0058	javelot        	Il se pencha en avant, serra les mains sur le manche et son balai fonça sur Malefoy comme un javelot.
HPfr09.txt-0059	épingle        	Malefoy parvint de justesse à éviter Harry qui prit un virage en épingle à cheveux et fondit à nouveau sur son adversaire.
HPfr09.txt-0060	mise           	Crabbe et Goyle ne sont plus là pour te sauver la mise ? lança Harry.
HPfr09.txt-0061	film           	Comme dans un film au ralenti, Harry vit la boule s’élever dans les airs puis amorcer sa chute.
HPfr09.txt-0062	ralenti        	Comme dans un film au ralenti, Harry vit la boule s’élever dans les airs puis amorcer sa chute.
HPfr09.txt-0063	amorcer        	Comme dans un film au ralenti, Harry vit la boule s’élever dans les airs puis amorcer sa chute.
HPfr09.txt-0064	vertigineux    	Des cris se mêlaient au sifflement du vent dans ses oreilles, tandis qu’il fendait l’air à une vitesse vertigineuse.
HPfr09.txt-0065	cinquantaine   	Soudain, il tendit la main et réussit à attraper la boule à une cinquantaine de centimètres du sol, juste à temps pour pouvoir redresser le manche de son balai et atterrir en douceur sur la pelouse, en tenant le Rapeltout au creux de son poing.
HPfr09.txt-0066	creux          	Soudain, il tendit la main et réussit à attraper la boule à une cinquantaine de centimètres du sol, juste à temps pour pouvoir redresser le manche de son balai et atterrir en douceur sur la pelouse, en tenant le Rapeltout au creux de son poing.
HPfr09.txt-0067	arborer        	Harry aperçut Malefoy, Crabbe et Goyle qui arboraient un air triomphant en le regardant partir sur les talons du professeur McGonagall.
HPfr09.txt-0068	triomphant     	Harry aperçut Malefoy, Crabbe et Goyle qui arboraient un air triomphant en le regardant partir sur les talons du professeur McGonagall.
HPfr09.txt-0069	arpenter       	Elle ouvrait les portes à la volée et arpentait les couloirs, Harry sur ses talons.
HPfr09.txt-0070	assistant      	Peut-être pourrait-il devenir son assistant ?
HPfr09.txt-0071	bâton          	Avait-elle l’intention de lui donner des coups de bâton ?
HPfr09.txt-0072	cinquième      	Mais Dubois était en fait un élève de cinquième année, un garçon solide qui avait l’air très étonné d’être ainsi arraché à son cours.
HPfr09.txt-0073	juron          	Peeves lança la craie dans une corbeille et fila dans le couloir en poussant des jurons.
HPfr09.txt-0074	ravissement    	L’expression de Dubois passa de la surprise au ravissement.
HPfr09.txt-0075	sérieusement   	– Vous parlez sérieusement, professeur ?
HPfr09.txt-0076	descente       	– Il a attrapé cette boule de verre après une descente en piqué de quinze mètres, dit le professeur McGonagall.
HPfr09.txt-0077	piqué          	– Il a attrapé cette boule de verre après une descente en piqué de quinze mètres, dit le professeur McGonagall.
HPfr09.txt-0078	quinze         	– Il a attrapé cette boule de verre après une descente en piqué de quinze mètres, dit le professeur McGonagall.
HPfr09.txt-0079	égratignure    	Et il s’en est tiré sans la moindre égratignure.
HPfr09.txt-0080	assister       	– Tu as déjà assisté à un match de Quidditch, Potter ?
HPfr09.txt-0081	entorse        	– Je vais aller voir le professeur Dumbledore pour lui demander si on peut faire une entorse au règlement et fournir un balai à un élève de première année.
HPfr09.txt-0082	littéralement  	Nous avons été littéralement écrasés par les Serpentard.
HPfr09.txt-0083	intensif       	– Je veux que vous suiviez un entraînement intensif, Potter.
HPfr09.txt-0084	jouer          	Mais les première année ne jouent jamais… Tu vas être le plus jeune joueur depuis… – Un siècle, acheva Harry.
HPfr09.txt-0085	formidable     	On n’avait plus jamais gagné depuis le départ de Charlie, mais cette fois, on a une équipe formidable.
HPfr09.txt-0086	sympathique    	Fred et George étaient à peine partis que quelqu’un de beaucoup moins sympathique apparut : c’était Malefoy, accompagné de Crabbe et Goyle.
HPfr09.txt-0087	copain         	– Tu faisais moins le fier quand tu n’avais pas tes petits copains avec toi, répliqua Harry avec froideur.
HPfr09.txt-0088	qualificatif   	Le qualificatif de « petit » ne convenait guère à Crabbe et à Goyle, mais les professeurs étaient nombreux autour de la Grande Table et ni l’un ni l’autre ne put faire grand-chose à part froncer les sourcils.
HPfr09.txt-0089	vexer          	– Je te prends quand tu veux, dit Malefoy, vexé.
HPfr09.txt-0090	évaluer        	Malefoy se tourna vers Crabbe et Goyle et les évalua du regard.
HPfr09.txt-0091	trophée        	On se retrouve dans la salle des trophées, elle n’est jamais fermée.
HPfr09.txt-0092	entamer        	– Le second est là pour prendre ta place si tu es tué, répondit Ron d’un ton dégagé en entamant enfin sa tourte refroidie.
HPfr09.txt-0093	tourte         	– Le second est là pour prendre ta place si tu es tué, répondit Ron d’un ton dégagé en entamant enfin sa tourte refroidie.
HPfr09.txt-0094	jetter         	– Jette-la par terre et donne un coup de poing sur le nez de Malefoy, suggéra Ron.
HPfr09.txt-0095	paix           	– On ne peut pas dîner en paix ?
HPfr09.txt-0096	forcément      	Et vous serez forcément pris.
HPfr09.txt-0097	égoïste        	C’est vraiment très égoïste de votre part.
HPfr09.txt-0098	repos          	La nuit promettait de ne pas être de tout repos, pensa Harry tandis qu’il attendait, allongé sur son lit, l’heure d’aller au rendez-vous.
HPfr09.txt-0099	esquiver       	– S’il essaye de te jeter un sort, arrange-toi pour esquiver.
HPfr09.txt-0100	neutraliser    	Je ne me souviens plus de ce qu’il faut faire pour les neutraliser.
HPfr09.txt-0101	braise         	Quelques braises rougeoyaient encore dans l’âtre et les fauteuils avaient l’air de créatures informes, tapies dans la pénombre.
HPfr09.txt-0102	rougeoyer      	Quelques braises rougeoyaient encore dans l’âtre et les fauteuils avaient l’air de créatures informes, tapies dans la pénombre.
HPfr09.txt-0103	informe        	Quelques braises rougeoyaient encore dans l’âtre et les fauteuils avaient l’air de créatures informes, tapies dans la pénombre.
HPfr09.txt-0104	tapir          	Quelques braises rougeoyaient encore dans l’âtre et les fauteuils avaient l’air de créatures informes, tapies dans la pénombre.
HPfr09.txt-0105	obstination    	Harry n’avait jamais vu quelqu’un montrer une telle obstination à se mêler des affaires d’autrui.
HPfr09.txt-0106	autrui         	Harry n’avait jamais vu quelqu’un montrer une telle obstination à se mêler des affaires d’autrui.
HPfr09.txt-0107	ficher         	Vous vous en fichez de Gryffondor ?
HPfr09.txt-0108	toile          	Vous êtes vraiment des… Mais ils ne surent pas ce qu’ils étaient car en voulant faire à nouveau pivoter le portrait de la grosse dame pour retourner dans son dortoir, Hermione s’aperçut que la toile était vide.
HPfr09.txt-0109	rattraper      	Mais avant qu’ils aient atteint le bout du couloir, Hermione les avait rattrapés.
HPfr09.txt-0110	témoigner      	Vous pourrez témoigner en ma faveur.
HPfr09.txt-0111	faveur         	Vous pourrez témoigner en ma faveur.
HPfr09.txt-0112	culot          	– Tu ne manques pas de culot !
HPfr09.txt-0113	groin          	Le mot de passe, c’est Groin de porc, mais ça ne te servira à rien, la grosse dame est allée se promener.
HPfr09.txt-0114	zébrer         	Ils parcoururent des couloirs zébrés de rayons de lune qui projetaient l’ombre des croisées sur le sol.
HPfr09.txt-0115	croisée        	Ils parcoururent des couloirs zébrés de rayons de lune qui projetaient l’ombre des croisées sur le sol.
HPfr09.txt-0116	encombre       	À chaque tournant, Harry s’attendait à se trouver nez à nez avec Rusard ou Miss Teigne, mais ils eurent de la chance et parvinrent à monter sans encombre au troisième étage où se trouvait la salle des trophées.
HPfr09.txt-0117	écu            	Derrière les vitrines de cristal, des coupes, des écus, des plateaux, des statuettes d’or et d’argent étincelaient dans la pénombre, à la lueur du clair de lune.
HPfr09.txt-0118	plateau        	Derrière les vitrines de cristal, des coupes, des écus, des plateaux, des statuettes d’or et d’argent étincelaient dans la pénombre, à la lueur du clair de lune.
HPfr09.txt-0119	statuette      	Derrière les vitrines de cristal, des coupes, des écus, des plateaux, des statuettes d’or et d’argent étincelaient dans la pénombre, à la lueur du clair de lune.
HPfr09.txt-0120	enfuir         	Frappé d’horreur, Harry fit des signes désespérés aux trois autres pour qu’ils s’enfuient le plus vite possible.
HPfr09.txt-0121	apeuré         	Ils entendaient Rusard qui se rapprochait et Neville poussa brusquement un cri apeuré.
HPfr09.txt-0122	saisissant     	Il se mit à courir, trébucha, essaya de se rattraper en saisissant Ron par la taille et tous deux tombèrent en renversant une armure.
HPfr09.txt-0123	ensuivre       	Le vacarme qui s’ensuivit aurait suffi à réveiller tout le château.
HPfr09.txt-0124	dédale         	Parvenus à l’extrémité de la galerie aux armures, ils prirent un virage serré et foncèrent à toutes jambes à travers un dédale de couloirs.
HPfr09.txt-0125	ralentir       	Ils passèrent derrière une tapisserie et s’engouffrèrent dans un passage secret qu’ils parcoururent sans ralentir l’allure.
HPfr09.txt-0126	haleine        	– Je crois bien qu’on l’a semé, dit Harry, hors d’haleine, s’appuyant contre un mur froid et s’essuyant le front.
HPfr09.txt-0127	plier          	Neville, plié en deux par un point de côté, essayait de retrouver sa respiration en émettant toutes sortes de bruits bizarres.
HPfr09.txt-0128	endolori       	– Je… vous… avais prévenus ! dit Hermione, le souffle court, la main sur sa poitrine endolorie.
HPfr09.txt-0129	piège          	– Malefoy t’a tendu un piège, dit Hermione à Harry, j’espère que tu t’en rends compte.
HPfr09.txt-0130	aigre          	– Alors, les petits nouveaux, on se promène dans les couloirs à minuit ? demanda-t-il de sa voix aigre.
HPfr09.txt-0131	dénoncer       	– Ne nous dénonce pas, s’il te plaît, supplia Harry.
HPfr09.txt-0132	supplier       	– Ne nous dénonce pas, s’il te plaît, supplia Harry.
HPfr09.txt-0133	vertueux       	– Je devrais le dire à Rusard, déclara-t-il d’une voix vertueuse.
HPfr09.txt-0134	malice         	Pour votre propre bien, ajouta-t-il, les yeux brillants de malice.
HPfr09.txt-0135	écarter        	Fiche le camp, laisse-nous passer, lança Ron en faisant un geste pour écarter Peeves.
HPfr09.txt-0136	vainement      	– On est fichus, gémit Ron tandis qu’ils essayaient vainement d’ouvrir la porte.
HPfr09.txt-0137	provenir       	Ils entendaient les bruits de pas de Rusard qui courait le plus vite qu’il pouvait dans la direction d’où provenaient les cris de Peeves.
HPfr09.txt-0138	déclic         	Il y eut alors un déclic et la porte pivota sur ses gonds.
HPfr09.txt-0139	chantonner     	– Je dirai quelque chose quand on me dira s’il te plaît, chantonna Peeves de son ton le plus exaspérant.
HPfr09.txt-0140	ha             	– QUELQUE CHOSE ! Ha ! Ha ! Ha ! Je vous avais prévenu.
HPfr09.txt-0141	rafale         	Harry et les trois autres entendirent un bruit semblable à une rafale de vent.
HPfr09.txt-0142	cauchemar      	Pendant un instant, il se demanda s’il ne faisait pas un cauchemar.
HPfr09.txt-0143	monstrueux     	Devant leurs yeux, un chien monstrueux remplissait tout l’espace entre le sol et le plafond.
HPfr09.txt-0144	dément         	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfr09.txt-0145	museau         	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfr09.txt-0146	flairer        	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfr09.txt-0147	avidité        	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfr09.txt-0148	gueule         	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfr09.txt-0149	bavar          	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfr09.txt-0150	croc           	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfr09.txt-0151	jaunâtre       	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfr09.txt-0152	filet          	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfr09.txt-0153	corde          	L’animal avait trois têtes : trois paires d’yeux étincelant d’une lueur démente, trois museaux qui les flairaient en frémissant avec avidité et trois gueules bavantes hérissées d’énormes crocs jaunâtres d’où pendaient des filets de salive épais comme des cordes.
HPfr09.txt-0154	tâtons         	Harry chercha à tâtons la poignée de la porte.
HPfr09.txt-0155	reculons       	Ils sortirent à reculons, claquèrent la porte derrière eux et se mirent à courir le long du couloir à une telle vitesse qu’ils avaient presque l’impression de voler.
HPfr09.txt-0156	maximum        	Rusard avait dû les chercher ailleurs, car ils ne l’aperçurent nulle part, mais peu leur importait, ils n’avaient plus qu’une idée en tête : mettre le maximum de distance entre le monstre et eux.
HPfr09.txt-0157	septième       	Ils ne s’arrêtèrent de courir que lorsqu’ils furent revenus devant le portrait de la grosse dame, au septième étage.
HPfr09.txt-0158	importance     	– Aucune importance, répliqua Harry, pantelant.
HPfr09.txt-0159	pantelant      	– Aucune importance, répliqua Harry, pantelant.
HPfr09.txt-0160	membre         	Ils s’engouffrèrent dans la salle commune et se laissèrent tomber dans des fauteuils, tremblant de tous leurs membres.
HPfr09.txt-0161	trappe         	Non, il n’était pas par terre, il était sur une trappe.
HPfr09.txt-0162	évident        	On l’a mis là pour garder quelque chose, c’est évident.
