HPfrb2ch03-0001	terrier        	 3 LE TERRIER
HPfrb2ch03-0088	lacune         	 Il y a une lacune dans la loi quand on y regarde de près… du moment qu’il n’a pas l’intention de faire voler la voiture, le fait qu’elle puisse voler ne…
HPfrb2ch03-0089	rédiger        	 – Arthur Weasley, c’est toi qui t’es arrangé pour qu’il y ait une lacune dans la loi lorsque tu l’as rédigée !
HPfrb2ch03-0090	bricolage      	 Simplement pour que tu puisses continuer tes bricolages avec tous ces machins de Moldus qu’il y a dans ton garage !
HPfrb2ch03-0091	enfler         	 , il vaut mieux les laisser, chuchota Ron à l’oreille de Harry, tandis que Mrs Weasley enflait comme un crapaud-buffle.
HPfrb2ch03-0092	zigzag         	 Ils se glissèrent hors de la cuisine et suivirent un couloir étroit jusqu’à un escalier aux marches bancales qui montait en zigzag dans les étages.
HPfrb2ch03-0093	timide         	 C’est vraiment bizarre qu’elle soit si timide, d’habitude, on n’arrive pas à la faire taire.
HPfrb2ch03-0094	peinture       	 Ils montèrent encore deux volées de marches avant d’arriver devant une porte à la peinture écaillée sur laquelle était écrit : «
HPfrb2ch03-0095	épouser        	 Sa tête touchait presque le plafond incliné qui épousait la forme du toit.
HPfrb2ch03-0096	éblouir        	 Ébloui, il cligna des yeux.
HPfrb2ch03-0097	fournaise      	 Il avait l’impression d’avoir pénétré dans une fournaise : presque tout, dans la chambre de Ron, avait une couleur orange vif : le couvre-lit, les murs, et même le plafond.
HPfrb2ch03-0098	énergie        	 Harry remarqua alors que Ron avait presque entièrement recouvert le papier miteux des murs avec des affiches représentant sept mages et sorcières, toujours les mêmes, tous vêtus de robes orange et tenant à la main des balais qu’ils brandissaient avec énergie.
HPfrb2ch03-0099	broder         	 – Les Canons de Chudley, dit Ron en montrant le couvre-lit orange brodé de deux grands « C » et d’un boulet de canon.
HPfrb2ch03-0100	aquarium       	 La baguette magique de Ron était posée sur un aquarium rempli de têtards, installé sur le rebord de la fenêtre, à côté de Croûtard, son gros rat gris qui somnolait dans un rayon de soleil.
HPfrb2ch03-0101	opinion        	 Il se tourna ensuite vers Ron qui le regardait d’un air anxieux, comme s’il attendait son opinion.
