HPfrb1ch02-0001	vitre          	UNE VITRE DISPARAÎT
HPfrb1ch02-0031	blond          	Mais Dudley Dursley n’était plus un bébé et à présent, les photos montraient un gros garçon blond sur son premier vélo, sur un manège de fête foraine, devant un ordinateur en compagnie de son père ou serré dans les bras de sa mère qui le couvrait de baisers.
HPfrb1ch02-0032	vélo           	Mais Dudley Dursley n’était plus un bébé et à présent, les photos montraient un gros garçon blond sur son premier vélo, sur un manège de fête foraine, devant un ordinateur en compagnie de son père ou serré dans les bras de sa mère qui le couvrait de baisers.
HPfrb1ch02-0033	manège         	Mais Dudley Dursley n’était plus un bébé et à présent, les photos montraient un gros garçon blond sur son premier vélo, sur un manège de fête foraine, devant un ordinateur en compagnie de son père ou serré dans les bras de sa mère qui le couvrait de baisers.
HPfrb1ch02-0034	forain         	Mais Dudley Dursley n’était plus un bébé et à présent, les photos montraient un gros garçon blond sur son premier vélo, sur un manège de fête foraine, devant un ordinateur en compagnie de son père ou serré dans les bras de sa mère qui le couvrait de baisers.
HPfrb1ch02-0035	ordinateur     	Mais Dudley Dursley n’était plus un bébé et à présent, les photos montraient un gros garçon blond sur son premier vélo, sur un manège de fête foraine, devant un ordinateur en compagnie de son père ou serré dans les bras de sa mère qui le couvrait de baisers.
HPfrb1ch02-0036	compagnie      	Mais Dudley Dursley n’était plus un bébé et à présent, les photos montraient un gros garçon blond sur son premier vélo, sur un manège de fête foraine, devant un ordinateur en compagnie de son père ou serré dans les bras de sa mère qui le couvrait de baisers.
HPfrb1ch02-0037	père           	Mais Dudley Dursley n’était plus un bébé et à présent, les photos montraient un gros garçon blond sur son premier vélo, sur un manège de fête foraine, devant un ordinateur en compagnie de son père ou serré dans les bras de sa mère qui le couvrait de baisers.
HPfrb1ch02-0038	couvrir        	Mais Dudley Dursley n’était plus un bébé et à présent, les photos montraient un gros garçon blond sur son premier vélo, sur un manège de fête foraine, devant un ordinateur en compagnie de son père ou serré dans les bras de sa mère qui le couvrait de baisers.
HPfrb1ch02-0039	deviner        	Rien dans la pièce ne laissait deviner qu’un autre petit garçon habitait la même maison.
HPfrb1ch02-0040	pourtant       	Et pourtant, Harry Potter était toujours là, encore endormi pour le moment, mais plus pour longtemps.
HPfrb1ch02-0041	endormir       	Et pourtant, Harry Potter était toujours là, encore endormi pour le moment, mais plus pour longtemps.
HPfrb1ch02-0042	longtemps      	Et pourtant, Harry Potter était toujours là, encore endormi pour le moment, mais plus pour longtemps.
HPfrb1ch02-0043	rompre         	Car sa tante Pétunia était bien réveillée et ce fut sa voix perçante qui rompit pour la première fois le silence du matin.
HPfrb1ch02-0044	debout         	– Allez, debout !
HPfrb1ch02-0045	immédiatement  	Immédiatement !
HPfrb1ch02-0046	sursaut        	Harry se réveilla en sursaut.
HPfrb1ch02-0047	tambouriner    	Sa tante tambourina à la porte.
HPfrb1ch02-0048	hurler         	– Vite, debout ! hurla-t-elle de sa voix suraiguë.
HPfrb1ch02-0049	suraigu        	– Vite, debout ! hurla-t-elle de sa voix suraiguë.
HPfrb1ch02-0050	cuisine        	Harry l’entendit s’éloigner vers la cuisine et poser une poêle sur la cuisinière.
HPfrb1ch02-0051	poêle          	Harry l’entendit s’éloigner vers la cuisine et poser une poêle sur la cuisinière.
HPfrb1ch02-0052	cuisinière     	Harry l’entendit s’éloigner vers la cuisine et poser une poêle sur la cuisinière.
HPfrb1ch02-0053	rappeler       	Il se tourna sur le dos et essaya de se rappeler le rêve qu’il était en train de faire.
HPfrb1ch02-0054	rêve           	Il se tourna sur le dos et essaya de se rappeler le rêve qu’il était en train de faire.
HPfrb1ch02-0055	beau           	C’était un beau rêve, avec une moto qui volait, et il eut l’étrange impression d’avoir déjà fait le même rêve auparavant.
HPfrb1ch02-0056	auparavant     	C’était un beau rêve, avec une moto qui volait, et il eut l’étrange impression d’avoir déjà fait le même rêve auparavant.
HPfrb1ch02-0057	dépêcher       	– Allez, dépêche-toi, je veux que tu surveilles le bacon.
HPfrb1ch02-0058	surveiller     	– Allez, dépêche-toi, je veux que tu surveilles le bacon.
HPfrb1ch02-0059	bacon          	– Allez, dépêche-toi, je veux que tu surveilles le bacon.
HPfrb1ch02-0060	laisser        	Ne le laisse surtout pas brûler.
HPfrb1ch02-0061	surtout        	Ne le laisse surtout pas brûler.
HPfrb1ch02-0062	brûler         	Ne le laisse surtout pas brûler.
HPfrb1ch02-0063	absolument     	Tout doit être absolument parfait le jour de l’anniversaire de Dudley.
HPfrb1ch02-0064	parfait        	Tout doit être absolument parfait le jour de l’anniversaire de Dudley.
HPfrb1ch02-0065	anniversaire   	Tout doit être absolument parfait le jour de l’anniversaire de Dudley.
HPfrb1ch02-0066	émettre        	Harry émit un grognement.
HPfrb1ch02-0067	grognement     	Harry émit un grognement.
HPfrb1ch02-0068	glapir         	– Qu’est-ce que tu dis ? glapit sa tante derrière la porte.
HPfrb1ch02-0069	oublier        	Comment avait-il pu l’oublier ?
HPfrb1ch02-0070	lentement      	Harry se glissa lentement hors du lit et chercha ses chaussettes.
HPfrb1ch02-0071	hors           	Harry se glissa lentement hors du lit et chercha ses chaussettes.
HPfrb1ch02-0072	chaussette     	Harry se glissa lentement hors du lit et chercha ses chaussettes.
HPfrb1ch02-0073	paire          	Il en trouva une paire sous le lit, et après avoir chassé l’araignée qui s’était installée dans l’une d’elles, il les enfila.
HPfrb1ch02-0074	araignée       	Il en trouva une paire sous le lit, et après avoir chassé l’araignée qui s’était installée dans l’une d’elles, il les enfila.
HPfrb1ch02-0075	enfiler        	Il en trouva une paire sous le lit, et après avoir chassé l’araignée qui s’était installée dans l’une d’elles, il les enfila.
HPfrb1ch02-0076	habituer       	Harry était habitué aux araignées.
HPfrb1ch02-0077	placard        	Le placard sous l’escalier en était plein.
HPfrb1ch02-0078	couloir        	Lorsqu’il eut fini de s’habiller, il sortit dans le couloir et alla dans la cuisine.
HPfrb1ch02-0079	table          	La table avait presque entièrement disparu sous une montagne de cadeaux.
HPfrb1ch02-0080	montagne       	La table avait presque entièrement disparu sous une montagne de cadeaux.
HPfrb1ch02-0081	cadeau         	La table avait presque entièrement disparu sous une montagne de cadeaux.
HPfrb1ch02-0082	désirer        	Apparemment, Dudley avait eu le nouvel ordinateur qu’il désirait tant, sans parler de la deuxième télévision et du vélo de course.
HPfrb1ch02-0083	course         	Apparemment, Dudley avait eu le nouvel ordinateur qu’il désirait tant, sans parler de la deuxième télévision et du vélo de course.
HPfrb1ch02-0084	sport          	La raison pour laquelle Dudley voulait un vélo de course restait mystérieuse aux yeux de Harry, car Dudley était très gros et détestait faire du sport – sauf bien sûr lorsqu’il s’agissait de boxer quelqu’un.
HPfrb1ch02-0085	sauf           	La raison pour laquelle Dudley voulait un vélo de course restait mystérieuse aux yeux de Harry, car Dudley était très gros et détestait faire du sport – sauf bien sûr lorsqu’il s’agissait de boxer quelqu’un.
HPfrb1ch02-0086	boxer          	La raison pour laquelle Dudley voulait un vélo de course restait mystérieuse aux yeux de Harry, car Dudley était très gros et détestait faire du sport – sauf bien sûr lorsqu’il s’agissait de boxer quelqu’un.
HPfrb1ch02-0087	punching-ball  	Son punching-ball, c’était Harry, mais il était rare qu’il parvienne à l’attraper.
HPfrb1ch02-0088	attraper       	Son punching-ball, c’était Harry, mais il était rare qu’il parvienne à l’attraper.
HPfrb1ch02-0089	rapide         	Même s’il n’en avait pas l’air, Harry était très rapide.
HPfrb1ch02-0090	maigre         	Peut-être était-ce parce qu’il vivait dans un placard, en tout cas, Harry avait toujours été petit et maigre pour son âge.
HPfrb1ch02-0091	obliger        	Il paraissait d’autant plus petit et maigre qu’il était obligé de porter les vieux vêtements de Dudley qui était à peu près quatre fois plus gros que lui.
HPfrb1ch02-0092	vêtement       	Il paraissait d’autant plus petit et maigre qu’il était obligé de porter les vieux vêtements de Dudley qui était à peu près quatre fois plus gros que lui.
HPfrb1ch02-0093	quatre         	Il paraissait d’autant plus petit et maigre qu’il était obligé de porter les vieux vêtements de Dudley qui était à peu près quatre fois plus gros que lui.
HPfrb1ch02-0094	noueux         	Harry avait un visage mince, des genoux noueux, des cheveux noirs et des yeux d’un vert brillant.
HPfrb1ch02-0095	rond           	Il portait des lunettes rondes qu’il avait fallu rafistoler avec du papier collant à cause des nombreux coups de poing que Dudley lui avait donnés sur le nez.
HPfrb1ch02-0096	rafistoler     	Il portait des lunettes rondes qu’il avait fallu rafistoler avec du papier collant à cause des nombreux coups de poing que Dudley lui avait donnés sur le nez.
HPfrb1ch02-0097	papier         	Il portait des lunettes rondes qu’il avait fallu rafistoler avec du papier collant à cause des nombreux coups de poing que Dudley lui avait donnés sur le nez.
HPfrb1ch02-0098	collant        	Il portait des lunettes rondes qu’il avait fallu rafistoler avec du papier collant à cause des nombreux coups de poing que Dudley lui avait donnés sur le nez.
HPfrb1ch02-0099	cause          	Il portait des lunettes rondes qu’il avait fallu rafistoler avec du papier collant à cause des nombreux coups de poing que Dudley lui avait donnés sur le nez.
HPfrb1ch02-0100	poing          	Il portait des lunettes rondes qu’il avait fallu rafistoler avec du papier collant à cause des nombreux coups de poing que Dudley lui avait donnés sur le nez.
HPfrb1ch02-0101	aimer          	La seule chose que Harry aimait bien dans son apparence physique, c’était la fine cicatrice qu’il portait sur le front et qui avait la forme d’un éclair.
HPfrb1ch02-0102	apparence      	La seule chose que Harry aimait bien dans son apparence physique, c’était la fine cicatrice qu’il portait sur le front et qui avait la forme d’un éclair.
HPfrb1ch02-0103	physique       	La seule chose que Harry aimait bien dans son apparence physique, c’était la fine cicatrice qu’il portait sur le front et qui avait la forme d’un éclair.
HPfrb1ch02-0104	accident       	– Dans l’accident de voiture qui a tué tes parents, avait-elle répondu.
HPfrb1ch02-0105	poser          	Et ne pose pas de questions.
HPfrb1ch02-0106	règle          	Ne pose pas de questions – c’était la première règle à observer si l’on voulait vivre tranquille avec les Dursley.
HPfrb1ch02-0107	tranche        	L’oncle Vernon entra dans la cuisine au moment où Harry retournait les tranches de bacon dans la poêle.
HPfrb1ch02-0108	te             	– Va te peigner ! aboya Mr Dursley en guise de bonjour.
HPfrb1ch02-0109	peigner        	– Va te peigner ! aboya Mr Dursley en guise de bonjour.
HPfrb1ch02-0110	aboyer         	– Va te peigner ! aboya Mr Dursley en guise de bonjour.
HPfrb1ch02-0111	guise          	– Va te peigner ! aboya Mr Dursley en guise de bonjour.
HPfrb1ch02-0112	bonjour        	– Va te peigner ! aboya Mr Dursley en guise de bonjour.
HPfrb1ch02-0113	environ        	Une fois par semaine environ, l’oncle Vernon levait les yeux de son journal pour crier haut et fort que Harry avait besoin de se faire couper les cheveux.
HPfrb1ch02-0114	crier          	Une fois par semaine environ, l’oncle Vernon levait les yeux de son journal pour crier haut et fort que Harry avait besoin de se faire couper les cheveux.
HPfrb1ch02-0115	besoin         	Une fois par semaine environ, l’oncle Vernon levait les yeux de son journal pour crier haut et fort que Harry avait besoin de se faire couper les cheveux.
HPfrb1ch02-0116	couper         	Une fois par semaine environ, l’oncle Vernon levait les yeux de son journal pour crier haut et fort que Harry avait besoin de se faire couper les cheveux.
HPfrb1ch02-0117	souvent        	Harry s’était fait couper les cheveux plus souvent que tous ses camarades de classe réunis, mais on ne voyait pas la différence, ils continuaient à pousser à leur guise –
HPfrb1ch02-0118	camarade       	Harry s’était fait couper les cheveux plus souvent que tous ses camarades de classe réunis, mais on ne voyait pas la différence, ils continuaient à pousser à leur guise –
HPfrb1ch02-0119	classe         	Harry s’était fait couper les cheveux plus souvent que tous ses camarades de classe réunis, mais on ne voyait pas la différence, ils continuaient à pousser à leur guise –
HPfrb1ch02-0120	réunir         	Harry s’était fait couper les cheveux plus souvent que tous ses camarades de classe réunis, mais on ne voyait pas la différence, ils continuaient à pousser à leur guise –
HPfrb1ch02-0121	différence     	Harry s’était fait couper les cheveux plus souvent que tous ses camarades de classe réunis, mais on ne voyait pas la différence, ils continuaient à pousser à leur guise –
HPfrb1ch02-0122	cuire          	Harry était en train de faire cuire les œufs au plat lorsque Dudley arriva dans la cuisine en compagnie de sa mère.
HPfrb1ch02-0123	œuf            	Harry était en train de faire cuire les œufs au plat lorsque Dudley arriva dans la cuisine en compagnie de sa mère.
HPfrb1ch02-0124	plat           	Harry était en train de faire cuire les œufs au plat lorsque Dudley arriva dans la cuisine en compagnie de sa mère.
HPfrb1ch02-0125	figure         	Il avait une grosse figure rose, un cou presque inexistant, de petits yeux bleus humides et d’épais cheveux blonds qui s’étalaient au sommet de sa tête épaisse et grasse.
HPfrb1ch02-0126	inexistant     	Il avait une grosse figure rose, un cou presque inexistant, de petits yeux bleus humides et d’épais cheveux blonds qui s’étalaient au sommet de sa tête épaisse et grasse.
HPfrb1ch02-0127	épais          	Il avait une grosse figure rose, un cou presque inexistant, de petits yeux bleus humides et d’épais cheveux blonds qui s’étalaient au sommet de sa tête épaisse et grasse.
HPfrb1ch02-0128	étaler         	Il avait une grosse figure rose, un cou presque inexistant, de petits yeux bleus humides et d’épais cheveux blonds qui s’étalaient au sommet de sa tête épaisse et grasse.
HPfrb1ch02-0129	sommet         	Il avait une grosse figure rose, un cou presque inexistant, de petits yeux bleus humides et d’épais cheveux blonds qui s’étalaient au sommet de sa tête épaisse et grasse.
HPfrb1ch02-0130	gras           	Il avait une grosse figure rose, un cou presque inexistant, de petits yeux bleus humides et d’épais cheveux blonds qui s’étalaient au sommet de sa tête épaisse et grasse.
HPfrb1ch02-0131	chérubin       	La tante Pétunia disait souvent que Dudley avait l’air d’un chérubin – et Harry disait souvent qu’il avait l’air d’un cochon avec une perruque.
HPfrb1ch02-0132	cochon         	La tante Pétunia disait souvent que Dudley avait l’air d’un chérubin – et Harry disait souvent qu’il avait l’air d’un cochon avec une perruque.
HPfrb1ch02-0133	perruque       	La tante Pétunia disait souvent que Dudley avait l’air d’un chérubin – et Harry disait souvent qu’il avait l’air d’un cochon avec une perruque.
HPfrb1ch02-0134	remplir        	Harry essaya de disposer sur la table les assiettes remplies d’œufs au bacon, ce qui n’était pas facile en raison du peu de place qui restait.
HPfrb1ch02-0135	facile         	Harry essaya de disposer sur la table les assiettes remplies d’œufs au bacon, ce qui n’était pas facile en raison du peu de place qui restait.
HPfrb1ch02-0136	compter        	Pendant ce temps, Dudley comptait ses cadeaux.
HPfrb1ch02-0137	terminer       	Lorsqu’il eut terminé, ses joues s’affaissèrent.
HPfrb1ch02-0138	affaisser      	Lorsqu’il eut terminé, ses joues s’affaissèrent.
HPfrb1ch02-0139	paquet         	– Mon petit chéri, tu n’as pas compté le cadeau de la tante Marge, regarde, il est là, sous ce gros paquet que Papa et Maman t’ont offert.
HPfrb1ch02-0140	papa           	– Mon petit chéri, tu n’as pas compté le cadeau de la tante Marge, regarde, il est là, sous ce gros paquet que Papa et Maman t’ont offert.
HPfrb1ch02-0141	maman          	– Mon petit chéri, tu n’as pas compté le cadeau de la tante Marge, regarde, il est là, sous ce gros paquet que Papa et Maman t’ont offert.
HPfrb1ch02-0142	offrir         	– Mon petit chéri, tu n’as pas compté le cadeau de la tante Marge, regarde, il est là, sous ce gros paquet que Papa et Maman t’ont offert.
HPfrb1ch02-0143	rouge          	– D’accord, ça fait trente-sept, dit Dudley qui commençait à devenir tout rouge.
HPfrb1ch02-0144	empresser      	Harry, qui sentait venir une de ces grosses colères dont Dudley avait le secret, s’empressa d’engloutir ses œufs au bacon avant que l’idée vienne à son cousin de renverser la table.
HPfrb1ch02-0145	engloutir      	Harry, qui sentait venir une de ces grosses colères dont Dudley avait le secret, s’empressa d’engloutir ses œufs au bacon avant que l’idée vienne à son cousin de renverser la table.
HPfrb1ch02-0146	danger         	De toute évidence, la tante Pétunia avait également senti le danger.
HPfrb1ch02-0147	précipitamment 	– Et nous allons encore t’acheter deux autres cadeaux, dit-elle précipitamment, quand nous sortirons tout à l’heure.
HPfrb1ch02-0148	agneau         	Qu’est-ce que tu en dis, mon petit agneau ?
HPfrb1ch02-0149	deux           	Deux autres cadeaux.
HPfrb1ch02-0150	exercice       	Apparemment, c’était un exercice difficile.
HPfrb1ch02-0151	trente         	Enfin, il dit lentement : – Donc, j’en aurai trente… trente… – Trente-neuf, mon canard adoré, dit la tante Pétunia.
HPfrb1ch02-0152	canard         	Enfin, il dit lentement : – Donc, j’en aurai trente… trente… – Trente-neuf, mon canard adoré, dit la tante Pétunia.
HPfrb1ch02-0153	adorer         	Enfin, il dit lentement : – Donc, j’en aurai trente… trente… – Trente-neuf, mon canard adoré, dit la tante Pétunia.
HPfrb1ch02-0154	lourdement     	Dudley se laissa tomber lourdement sur une chaise et attrapa le paquet le plus proche.
HPfrb1ch02-0155	ébouriffer     	dit-il en ébouriffant les cheveux de son fils.
HPfrb1ch02-0156	sonner         	À ce moment, le téléphone sonna et la tante Pétunia alla répondre pendant que Harry et l’oncle Vernon regardaient Dudley déballer le vélo de course, un caméscope, un avion radio-commandé, seize nouveaux jeux vidéo et un magnétoscope.
HPfrb1ch02-0157	déballer       	À ce moment, le téléphone sonna et la tante Pétunia alla répondre pendant que Harry et l’oncle Vernon regardaient Dudley déballer le vélo de course, un caméscope, un avion radio-commandé, seize nouveaux jeux vidéo et un magnétoscope.
HPfrb1ch02-0158	caméscope      	À ce moment, le téléphone sonna et la tante Pétunia alla répondre pendant que Harry et l’oncle Vernon regardaient Dudley déballer le vélo de course, un caméscope, un avion radio-commandé, seize nouveaux jeux vidéo et un magnétoscope.
HPfrb1ch02-0159	avion          	À ce moment, le téléphone sonna et la tante Pétunia alla répondre pendant que Harry et l’oncle Vernon regardaient Dudley déballer le vélo de course, un caméscope, un avion radio-commandé, seize nouveaux jeux vidéo et un magnétoscope.
HPfrb1ch02-0160	seize          	À ce moment, le téléphone sonna et la tante Pétunia alla répondre pendant que Harry et l’oncle Vernon regardaient Dudley déballer le vélo de course, un caméscope, un avion radio-commandé, seize nouveaux jeux vidéo et un magnétoscope.
HPfrb1ch02-0161	jeu            	À ce moment, le téléphone sonna et la tante Pétunia alla répondre pendant que Harry et l’oncle Vernon regardaient Dudley déballer le vélo de course, un caméscope, un avion radio-commandé, seize nouveaux jeux vidéo et un magnétoscope.
HPfrb1ch02-0162	vidéo          	À ce moment, le téléphone sonna et la tante Pétunia alla répondre pendant que Harry et l’oncle Vernon regardaient Dudley déballer le vélo de course, un caméscope, un avion radio-commandé, seize nouveaux jeux vidéo et un magnétoscope.
HPfrb1ch02-0163	magnétoscope   	À ce moment, le téléphone sonna et la tante Pétunia alla répondre pendant que Harry et l’oncle Vernon regardaient Dudley déballer le vélo de course, un caméscope, un avion radio-commandé, seize nouveaux jeux vidéo et un magnétoscope.
HPfrb1ch02-0164	déchirer       	Il était occupé à déchirer le papier qui enveloppait une montre en or lorsque la tante Pétunia revint dans la cuisine, l’air à la fois furieux et inquiet.
HPfrb1ch02-0165	inquiet        	Il était occupé à déchirer le papier qui enveloppait une montre en or lorsque la tante Pétunia revint dans la cuisine, l’air à la fois furieux et inquiet.
HPfrb1ch02-0166	mauvais        	– Mauvaise nouvelle, Vernon.
HPfrb1ch02-0167	casser         	Mrs Figg s’est cassé une jambe.
HPfrb1ch02-0168	horrifier      	Horrifié, Dudley resta bouche bée.
HPfrb1ch02-0169	bondir         	Harry, lui, sentit son cœur bondir de joie.
HPfrb1ch02-0170	chaque         	Chaque année, le jour de l’anniversaire de Dudley, ses parents l’emmenaient avec un ami dans des parcs d’attractions, au cinéma ou dans des fast-foods où il pouvait se gaver de hamburgers.
HPfrb1ch02-0171	emmener        	Chaque année, le jour de l’anniversaire de Dudley, ses parents l’emmenaient avec un ami dans des parcs d’attractions, au cinéma ou dans des fast-foods où il pouvait se gaver de hamburgers.
HPfrb1ch02-0172	ami            	Chaque année, le jour de l’anniversaire de Dudley, ses parents l’emmenaient avec un ami dans des parcs d’attractions, au cinéma ou dans des fast-foods où il pouvait se gaver de hamburgers.
HPfrb1ch02-0173	parc           	Chaque année, le jour de l’anniversaire de Dudley, ses parents l’emmenaient avec un ami dans des parcs d’attractions, au cinéma ou dans des fast-foods où il pouvait se gaver de hamburgers.
HPfrb1ch02-0174	attraction     	Chaque année, le jour de l’anniversaire de Dudley, ses parents l’emmenaient avec un ami dans des parcs d’attractions, au cinéma ou dans des fast-foods où il pouvait se gaver de hamburgers.
HPfrb1ch02-0175	cinéma         	Chaque année, le jour de l’anniversaire de Dudley, ses parents l’emmenaient avec un ami dans des parcs d’attractions, au cinéma ou dans des fast-foods où il pouvait se gaver de hamburgers.
HPfrb1ch02-0176	gaver          	Chaque année, le jour de l’anniversaire de Dudley, ses parents l’emmenaient avec un ami dans des parcs d’attractions, au cinéma ou dans des fast-foods où il pouvait se gaver de hamburgers.
HPfrb1ch02-0177	hamburger      	Chaque année, le jour de l’anniversaire de Dudley, ses parents l’emmenaient avec un ami dans des parcs d’attractions, au cinéma ou dans des fast-foods où il pouvait se gaver de hamburgers.
HPfrb1ch02-0178	chou           	Toute la maison sentait le chou et Mrs Figg passait son temps à lui montrer les photos de tous les chats qu’elle avait eus.
HPfrb1ch02-0179	malin          	– C’est malin ! dit la tante Pétunia en jetant un regard furieux à Harry comme si c’était lui qui était responsable de la situation.
HPfrb1ch02-0180	responsable    	– C’est malin ! dit la tante Pétunia en jetant un regard furieux à Harry comme si c’était lui qui était responsable de la situation.
HPfrb1ch02-0181	situation      	– C’est malin ! dit la tante Pétunia en jetant un regard furieux à Harry comme si c’était lui qui était responsable de la situation.
HPfrb1ch02-0182	éprouver       	Harry savait bien qu’il aurait dû éprouver un peu de compassion pour cette pauvre Mrs Figg, mais ce n’était pas facile, car il pensait surtout qu’il s’écoulerait encore une année entière avant qu’il soit obligé de regarder à nouveau les photos de Pompom, Patounet, Mistigri et Mignonnette.
HPfrb1ch02-0183	compassion     	Harry savait bien qu’il aurait dû éprouver un peu de compassion pour cette pauvre Mrs Figg, mais ce n’était pas facile, car il pensait surtout qu’il s’écoulerait encore une année entière avant qu’il soit obligé de regarder à nouveau les photos de Pompom, Patounet, Mistigri et Mignonnette.
HPfrb1ch02-0184	entier         	Harry savait bien qu’il aurait dû éprouver un peu de compassion pour cette pauvre Mrs Figg, mais ce n’était pas facile, car il pensait surtout qu’il s’écoulerait encore une année entière avant qu’il soit obligé de regarder à nouveau les photos de Pompom, Patounet, Mistigri et Mignonnette.
HPfrb1ch02-0185	suggérer       	– On pourrait peut-être téléphoner à Marge, suggéra l’oncle Vernon.
HPfrb1ch02-0186	bêtise         	– Ne dis pas de bêtises, Vernon, tu sais bien qu’elle déteste cet enfant.
HPfrb1ch02-0187	dégoûtant      	Les Dursley parlaient souvent de Harry de cette façon, en faisant comme s’il n’était pas là – ou plutôt comme s’il était un être dégoûtant, une sorte de limace incapable de comprendre ce qu’ils disaient.
