miroir            	LE MIROIR DU RISÉD
gui               	Des guirlandes de gui et de houx étaient suspendues aux murs et pas moins d’une douzaine d’arbres de Noël se dressaient tout autour de la salle, certains recouverts de glaçons scintillants, d’autres de centaines de chandelles allumées.
glaçon            	Des guirlandes de gui et de houx étaient suspendues aux murs et pas moins d’une douzaine d’arbres de Noël se dressaient tout autour de la salle, certains recouverts de glaçons scintillants, d’autres de centaines de chandelles allumées.
branche           	– Tu as raison, dit Ron, s’arrachant à la contemplation du professeur Flitwick qui faisait apparaître au bout de sa baguette magique des boules d’or qu’il accrochait aux branches du nouveau sapin.
passionner        	Vous êtes vraiment passionnés !
interloquer       	– Quoi ? s’exclama Hagrid, interloqué.
garder            	Ce que le chien garde, ce n’est pas votre affaire.
épargner          	– À moins que vous ne vouliez nous le dire vous-même pour nous épargner d’autres recherches, ajouta Harry.
contemporain      	Il n’était pas dans Les Grands Sorciers du XXe siècle ni dans Les noms célèbres du monde magique contemporain, ni dans Les Grandes Découvertes magiques, encore moins dans Étude des récents progrès de la sorcellerie.
récent            	Il n’était pas dans Les Grands Sorciers du XXe siècle ni dans Les noms célèbres du monde magique contemporain, ni dans Les Grandes Découvertes magiques, encore moins dans Étude des récents progrès de la sorcellerie.
progrès           	Il n’était pas dans Les Grands Sorciers du XXe siècle ni dans Les noms célèbres du monde magique contemporain, ni dans Les Grandes Découvertes magiques, encore moins dans Étude des récents progrès de la sorcellerie.
feuilleter        	Feuilleter tous ces volumes représentait une tâche immense, mais ils n’avaient pas renoncé pour autant.
volume            	Feuilleter tous ces volumes représentait une tâche immense, mais ils n’avaient pas renoncé pour autant.
titre             	Hermione étudia une liste de titres et de thèmes qui pouvaient faire allusion à Nicolas Flamel tandis que Ron se promenait le long des étagères en prenant des livres au hasard.
thème             	Hermione étudia une liste de titres et de thèmes qui pouvaient faire allusion à Nicolas Flamel tandis que Ron se promenait le long des étagères en prenant des livres au hasard.
aventurer         	Harry, lui, s’était aventuré du côté de la Réserve, mais il fallait un mot de l’un des professeurs pour avoir accès aux ouvrages qu’on y conservait et il savait bien qu’il n’obtiendrait jamais une telle autorisation.
réserve           	Harry, lui, s’était aventuré du côté de la Réserve, mais il fallait un mot de l’un des professeurs pour avoir accès aux ouvrages qu’on y conservait et il savait bien qu’il n’obtiendrait jamais une telle autorisation.
bibliothécaire    	Madame Pince, la bibliothécaire, le menaça d’un plumeau.
plumeau           	Madame Pince, la bibliothécaire, le menaça d’un plumeau.
plausible         	N’ayant trouvé aucun prétexte plausible pour justifier sa présence, Harry se résigna à quitter la bibliothèque.
renseignement     	Avec Ron et Hermione, ils avaient décidé qu’il valait mieux ne pas demander à Madame Pince où ils pourraient dénicher des renseignements sur Nicolas Flamel.
surprenant        	Leurs recherches avaient duré quinze jours mais comme ils n’avaient pu y consacrer que quelques moments par-ci par-là entre deux cours, il n’était pas surprenant qu’ils aient fait chou blanc.
continuellement   	Ils auraient eu besoin de rester beaucoup plus longtemps à la bibliothèque sans avoir continuellement Madame Pince sur le dos.
dentiste          	Ils sont dentistes.
broche            	Ils restaient assis des heures entières à manger tout ce qu’ils trouvaient à faire cuire à la broche – du pain, des pancakes, des marshmallows – tout en échafaudant des stratégies pour faire renvoyer Malefoy de l’école.
pain              	Ils restaient assis des heures entières à manger tout ce qu’ils trouvaient à faire cuire à la broche – du pain, des pancakes, des marshmallows – tout en échafaudant des stratégies pour faire renvoyer Malefoy de l’école.
échafauder        	Ils restaient assis des heures entières à manger tout ce qu’ils trouvaient à faire cuire à la broche – du pain, des pancakes, des marshmallows – tout en échafaudant des stratégies pour faire renvoyer Malefoy de l’école.
stratégie         	Ils restaient assis des heures entières à manger tout ce qu’ils trouvaient à faire cuire à la broche – du pain, des pancakes, des marshmallows – tout en échafaudant des stratégies pour faire renvoyer Malefoy de l’école.
irréalisable      	Leurs plans étaient sans doute irréalisables, mais c’était toujours amusant d’en parler.
échec             	Ron apprit également à Harry le jeu d’échecs, version sorcier.
version           	Ron apprit également à Harry le jeu d’échecs, version sorcier.
armée             	Les règles étaient les mêmes que chez les Moldus, sauf que les pièces étaient vivantes, ce qui leur donnait l’air d’une armée partant à la bataille.
échiquier         	L’échiquier de Ron était vieux et tout abîmé.
abîmer            	L’échiquier de Ron était vieux et tout abîmé.
occurrence        	– son grand-père en l’occurrence.
contester         	Il ne savait pas très bien jouer et les pièces contestaient sans cesse ses décisions, ce qui jetait la confusion dans le jeu.
cavalier          	Tu n’as donc pas vu son cavalier ?
réveillon         	Ce serait une bonne journée et il y aurait un réveillon, mais il ne s’attendait pas à recevoir de cadeaux.
joyeux            	– Joyeux Noël, dit Ron d’une voix ensommeillée tandis que Harry s’extrayait du lit et passait sa robe de chambre.
extraire          	– Joyeux Noël, dit Ron d’une voix ensommeillée tandis que Harry s’extrayait du lit et passait sa robe de chambre.
flûte             	À l’intérieur, il y avait une flûte en bois grossièrement taillée.
adhésif           	Une pièce de cinquante pence était collée au papier à l’aide d’un morceau de ruban adhésif.
épai              	Harry sortit du paquet un épais pull-over de laine vert émeraude, grossièrement tricoté, et une grosse boîte de fondants faits maison.
pull-over         	Harry sortit du paquet un épais pull-over de laine vert émeraude, grossièrement tricoté, et une grosse boîte de fondants faits maison.
laine             	Harry sortit du paquet un épais pull-over de laine vert émeraude, grossièrement tricoté, et une grosse boîte de fondants faits maison.
tricoter          	Harry sortit du paquet un épais pull-over de laine vert émeraude, grossièrement tricoté, et une grosse boîte de fondants faits maison.
mien              	Et le mien est toujours bordeaux.
bordeaux          	Et le mien est toujours bordeaux.
tissu             	Harry déchira le papier et un morceau de tissu très léger, d’une teinte argentée, glissa sur le sol où il forma un petit tas aux reflets luisants.
teinte            	Harry déchira le papier et un morceau de tissu très léger, d’une teinte argentée, glissa sur le sol où il forma un petit tas aux reflets luisants.
étoffe            	En le prenant entre ses doigts, il eut l’impression de toucher de l’eau qu’on aurait transformée en étoffe.
invisibilité      	– C’est une cape d’invisibilité, dit Ron, impressionné.
invisible         	Son corps, lui, était devenu invisible.
effacer           	Il remonta la cape sur sa tête et son reflet s’effaça complètement.
écriture          	Harry enleva la cape et lut ce qui était écrit d’une écriture serrée et arrondie qu’il n’avait jamais vue auparavant.
arrondi           	Harry enleva la cape et lut ce qui était écrit d’une écriture serrée et arrondie qu’il n’avait jamais vue auparavant.
signature         	Il n’y avait pas de signature.
réprobateur       	Percy Weasley passa la tête par l’entrebâillement de la porte, l’air réprobateur.
mettre            	Mets-le, Percy, nous, on les a déjà mis.
dinde             	Dindes rôties, saucisses grillées, sauces onctueuses, confiture d’airelles et partout sur les tables, des pochettes-surprises avec des pétards qui explosaient en faisant jaillir des cadeaux.
rôtir             	Dindes rôties, saucisses grillées, sauces onctueuses, confiture d’airelles et partout sur les tables, des pochettes-surprises avec des pétards qui explosaient en faisant jaillir des cadeaux.
airelle           	Dindes rôties, saucisses grillées, sauces onctueuses, confiture d’airelles et partout sur les tables, des pochettes-surprises avec des pétards qui explosaient en faisant jaillir des cadeaux.
pochette-surprise 	Dindes rôties, saucisses grillées, sauces onctueuses, confiture d’airelles et partout sur les tables, des pochettes-surprises avec des pétards qui explosaient en faisant jaillir des cadeaux.
crépon            	Ils n’étaient pas remplis de petits jouets en plastique et de chapeaux en papier crépon.
envelopper        	Celui que Harry partagea avec Fred ne se contenta pas de produire une petite détonation, il explosa comme un canon en les enveloppant d’un nuage de fumée bleue et il en sortit un chapeau de contre-amiral ainsi que plusieurs souris blanches vivantes.
pudding           	Des bûches de Noël et du pudding suivirent les dindes.
troquer           	Le professeur Dumbledore avait troqué son chapeau pointu de sorcier pour un bonnet à fleurs qu’il avait trouvé dans une pochette-surprise et il riait en écoutant Flitwick lui raconter une histoire drôle.
fleur             	Le professeur Dumbledore avait troqué son chapeau pointu de sorcier pour un bonnet à fleurs qu’il avait trouvé dans une pochette-surprise et il riait en écoutant Flitwick lui raconter une histoire drôle.
vin               	Il réclama une nouvelle bouteille de vin, puis il embrassa sur la joue le professeur McGonagall qui, à la grande surprise de Harry, gloussa de contentement, les joues soudain écarlates, le chapeau de travers.
glousser          	Il réclama une nouvelle bouteille de vin, puis il embrassa sur la joue le professeur McGonagall qui, à la grande surprise de Harry, gloussa de contentement, les joues soudain écarlates, le chapeau de travers.
contentement      	Il réclama une nouvelle bouteille de vin, puis il embrassa sur la joue le professeur McGonagall qui, à la grande surprise de Harry, gloussa de contentement, les joues soudain écarlates, le chapeau de travers.
encombrer         	Lorsque Harry quitta la table, il avait les bras encombrés de cadeaux découverts dans les pétards surprises, notamment des ballons lumineux increvables, un kit pour faire pousser des verrues et un jeu d’échecs version sorcier.
increvable        	Lorsque Harry quitta la table, il avait les bras encombrés de cadeaux découverts dans les pétards surprises, notamment des ballons lumineux increvables, un kit pour faire pousser des verrues et un jeu d’échecs version sorcier.
kit               	Lorsque Harry quitta la table, il avait les bras encombrés de cadeaux découverts dans les pétards surprises, notamment des ballons lumineux increvables, un kit pour faire pousser des verrues et un jeu d’échecs version sorcier.
mouiller          	Puis, frigorifiés, mouillés, essoufflés, ils retournèrent auprès du feu, devant la cheminée de la salle commune de Gryffondor où Harry étrenna son jeu d’échecs en se faisant battre à plate couture par Ron.
essouffler        	Puis, frigorifiés, mouillés, essoufflés, ils retournèrent auprès du feu, devant la cheminée de la salle commune de Gryffondor où Harry étrenna son jeu d’échecs en se faisant battre à plate couture par Ron.
étrenner          	Puis, frigorifiés, mouillés, essoufflés, ils retournèrent auprès du feu, devant la cheminée de la salle commune de Gryffondor où Harry étrenna son jeu d’échecs en se faisant battre à plate couture par Ron.
couture           	Puis, frigorifiés, mouillés, essoufflés, ils retournèrent auprès du feu, devant la cheminée de la salle commune de Gryffondor où Harry étrenna son jeu d’échecs en se faisant battre à plate couture par Ron.
acharné           	Il songea qu’il n’aurait pas perdu aussi facilement si Percy ne s’était pas autant acharné à l’aider.
crêpe             	Ils allèrent ensuite prendre un thé accompagné de sandwiches à la dinde, de petites crêpes, de gâteaux à la confiture et de pudding de Noël.
somnolent         	Somnolents et le ventre plein, ils regardèrent Percy se lancer à la poursuite de Fred et de George dans toute la tour de Gryffondor pour récupérer son insigne de préfet qu’ils lui avaient volé.
expéditeur        	Pourtant, quelque chose n’avait cessé de lui tourner dans la tête tout au long de la journée : la cape d’invisibilité et son mystérieux expéditeur.
rôtir             	Ron, le ventre plein de dinde rôtie, et libre de toute préoccupation, tomba endormi dès qu’il eut tiré les rideaux de son baldaquin.
préoccupation     	Ron, le ventre plein de dinde rôtie, et libre de toute préoccupation, tomba endormi dès qu’il eut tiré les rideaux de son baldaquin.
couler            	Plus douce que la soie, aussi légère qu’un souffle d’air, l’étoffe lui coulait entre les doigts comme l’eau d’un ruisseau.
ruisseau          	Plus douce que la soie, aussi légère qu’un souffle d’air, l’étoffe lui coulait entre les doigts comme l’eau d’un ruisseau.
atmosphère        	Il y régnait une atmosphère un peu effrayante.
cordon            	Il enjamba avec précaution le cordon qui séparait les livres interdits du reste de la bibliothèque et tendit la lampe pour lire les titres des ouvrages alignés sur les étagères.
ternir            	Leurs lettres dorées, ternies, usées, formaient des mots que Harry ne comprenait pas.
user              	Leurs lettres dorées, ternies, usées, formaient des mots que Harry ne comprenait pas.
chuchotement      	Peut-être son imagination lui jouait-elle des tours, peut-être pas, en tout cas, il crut entendre un faible chuchotement qui provenait des rangées de livres, comme s’ils savaient que quelqu’un se trouvait là qui n’aurait pas dû y être.
équilibre         	Il le mit en équilibre sur ses genoux et le livre tomba ouvert sur le sol.
instantanément    	Harry tomba en arrière, renversant sa lampe qui s’éteignit instantanément.
regarder          	Les yeux pâles et furieux du gardien le regardèrent sans le voir.
rôder             	– Vous m’avez demandé de vous avertir directement si quelqu’un venait rôder la nuit dans la bibliothèque, professeur.
raccourci         	Il ne savait pas où il était mais Rusard devait connaître un raccourci, car sa petite voix grasseyante se rapprochait.
grasseyant        	Il ne savait pas où il était mais Rusard devait connaître un raccourci, car sa petite voix grasseyante se rapprochait.
inévitablement    	Ils ne pouvaient pas le voir, bien sûr, mais le couloir était étroit et ils allaient inévitablement le heurter au passage.
insu              	Retenant sa respiration, il se glissa par l’entrebâillement en essayant de ne pas faire bouger le panneau et parvint à son grand soulagement à entrer dans la pièce à l’insu de Rogue et de Rusard.
adosser           	Tous deux passèrent devant la porte sans s’arrêter et Harry s’adossa au mur en respirant profondément, écoutant le bruit de leurs pas s’éloigner puis s’évanouir.
désaffecter       	La pièce dans laquelle il se trouvait avait l’air d’une salle de classe désaffectée.
pupitre           	Il voyait la forme sombre de pupitres et de chaises entassés contre les murs.
mobilier          	Il remarqua aussi, appuyé contre le mur d’en face, quelque chose qui ne semblait pas appartenir au mobilier habituel d’une salle de classe, quelque chose que quelqu’un avait dû ranger là pour s’en débarrasser.
cadre             	C’était un miroir magnifique qui montait jusqu’au plafond avec un cadre d’or sculpté, posé sur deux pieds pourvus de griffes, comme des pattes d’animal.
sculpter          	C’était un miroir magnifique qui montait jusqu’au plafond avec un cadre d’or sculpté, posé sur deux pieds pourvus de griffes, comme des pattes d’animal.
griffe            	C’était un miroir magnifique qui montait jusqu’au plafond avec un cadre d’or sculpté, posé sur deux pieds pourvus de griffes, comme des pattes d’animal.
déchiffrer        	Harry déchiffra : « riséd elrue ocnot edsi amega siv notsap ert nomen ej. »
apeuré            	Il vit à nouveau son reflet, livide, apeuré, et derrière lui au moins dix autres personnes.
faculté           	Ou alors, eux aussi étaient peut-être invisibles, mais ce miroir avait la faculté de les refléter quand même ?
refléter          	Ou alors, eux aussi étaient peut-être invisibles, mais ce miroir avait la faculté de les refléter quand même ?
épi               	Il avait des épis qui dépassaient à l’arrière de son crâne, tout comme Harry.
détailler         	Lentement, Harry détailla les autres personnes qui se trouvaient dans le miroir.
complet           	– Et moi, j’aimerais bien voir toute ta famille, tous les Weasley au complet.
dommage           	C’est dommage que tu n’aies pas réussi à trouver ce Flamel.
refaire           	Ils essayèrent de refaire le chemin que Harry avait suivi la veille en fuyant la bibliothèque et ils errèrent pendant une bonne heure dans les couloirs alentour.
errer             	Ils essayèrent de refaire le chemin que Harry avait suivi la veille en fuyant la bibliothèque et ils errèrent pendant une bonne heure dans les couloirs alentour.
mettre            	Mets-toi à ma place.
provenance        	Un bruit soudain en provenance du couloir mit fin à leur discussion.
méfier            	– Méfions-nous, elle est peut-être allée chercher Rusard.
penser            	– Je sais à quoi tu penses… Le miroir, c’est ça ? N’y retourne pas cette nuit.
myope             	– On dirait que l’invisibilité te rend myope, dit Dumbledore et Harry fut soulagé de voir qu’il souriait.
dépérir           	Des hommes ont dépéri ou sont devenus fous en contemplant ce qu’ils y voyaient, car ils ne savaient pas si ce que le miroir leur montrait était réel, ou même possible.
réel              	Des hommes ont dépéri ou sont devenus fous en contemplant ce qu’ils y voyaient, car ils ne savaient pas si ce que le miroir leur montrait était réel, ou même possible.
ébahir            	Harry ouvrit des yeux ébahis.
obstiner          	Les gens s’obstinent à m’offrir des livres.
personnel         	Mais après tout, c’était peut-être une question un peu trop personnelle.
