le               	LE SURVIVANT
moyenne          	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
luire            	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
fort             	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
utile            	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
espionner        	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
son              	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
voisin           	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
regarder         	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
par              	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
dessus           	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
clôture          	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
jardin           	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
petit            	Les Dursley avaient un petit garçon prénommé Dudley et c’était à leurs yeux le plus bel enfant du monde.
garçon           	Les Dursley avaient un petit garçon prénommé Dudley et c’était à leurs yeux le plus bel enfant du monde.
prénommer        	Les Dursley avaient un petit garçon prénommé Dudley et c’était à leurs yeux le plus bel enfant du monde.
leur             	Les Dursley avaient un petit garçon prénommé Dudley et c’était à leurs yeux le plus bel enfant du monde.
œil              	Les Dursley avaient un petit garçon prénommé Dudley et c’était à leurs yeux le plus bel enfant du monde.
enfant           	Les Dursley avaient un petit garçon prénommé Dudley et c’était à leurs yeux le plus bel enfant du monde.
monde            	Les Dursley avaient un petit garçon prénommé Dudley et c’était à leurs yeux le plus bel enfant du monde.
tout             	Les Dursley avaient tout ce qu’ils voulaient.
vouloir          	Les Dursley avaient tout ce qu’ils voulaient.
seul             	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
chose            	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
indésirable      	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
secret           	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
dont             	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
craindre         	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
on               	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
découvrir        	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
jour             	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
si               	Si jamais quiconque venait à entendre parler des Potter, ils étaient convaincus qu’ils ne s’en remettraient pas.
venir            	Si jamais quiconque venait à entendre parler des Potter, ils étaient convaincus qu’ils ne s’en remettraient pas.
entendre         	Si jamais quiconque venait à entendre parler des Potter, ils étaient convaincus qu’ils ne s’en remettraient pas.
parler           	Si jamais quiconque venait à entendre parler des Potter, ils étaient convaincus qu’ils ne s’en remettraient pas.
convaincre       	Si jamais quiconque venait à entendre parler des Potter, ils étaient convaincus qu’ils ne s’en remettraient pas.
ne               	Si jamais quiconque venait à entendre parler des Potter, ils étaient convaincus qu’ils ne s’en remettraient pas.
remettre         	Si jamais quiconque venait à entendre parler des Potter, ils étaient convaincus qu’ils ne s’en remettraient pas.
sœur             	Mrs Potter était la sœur de Mrs Dursley, mais toutes deux ne s’étaient plus revues depuis des années.
revoir           	Mrs Potter était la sœur de Mrs Dursley, mais toutes deux ne s’étaient plus revues depuis des années.
depuis           	Mrs Potter était la sœur de Mrs Dursley, mais toutes deux ne s’étaient plus revues depuis des années.
année            	Mrs Potter était la sœur de Mrs Dursley, mais toutes deux ne s’étaient plus revues depuis des années.
fait             	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
faire            	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
comme            	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
fille            	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
unique           	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
car              	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
bon              	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
rien             	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
mari             	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
aussi            	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
éloigné          	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
possible         	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
trembler         	Les Dursley tremblaient d’épouvante à la pensée de ce que diraient les voisins si par malheur les Potter se montraient dans leur rue.
épouvante        	Les Dursley tremblaient d’épouvante à la pensée de ce que diraient les voisins si par malheur les Potter se montraient dans leur rue.
pensée           	Les Dursley tremblaient d’épouvante à la pensée de ce que diraient les voisins si par malheur les Potter se montraient dans leur rue.
dire             	Les Dursley tremblaient d’épouvante à la pensée de ce que diraient les voisins si par malheur les Potter se montraient dans leur rue.
malheur          	Les Dursley tremblaient d’épouvante à la pensée de ce que diraient les voisins si par malheur les Potter se montraient dans leur rue.
montrer          	Les Dursley tremblaient d’épouvante à la pensée de ce que diraient les voisins si par malheur les Potter se montraient dans leur rue.
rue              	Les Dursley tremblaient d’épouvante à la pensée de ce que diraient les voisins si par malheur les Potter se montraient dans leur rue.
savoir           	Ils savaient que les Potter, eux aussi, avaient un petit garçon, mais ils ne l’avaient jamais vu.
voir             	Ils savaient que les Potter, eux aussi, avaient un petit garçon, mais ils ne l’avaient jamais vu.
existence        	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
constituer       	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
raison           	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
supplémentaire   	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
tenir            	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
distance         	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
question         	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
mettre           	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
fréquenter       	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
celui            	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
lorsque          	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
éveiller         	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
matin            	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
mardi            	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
où               	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
commencer        	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
histoire         	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
gris             	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
triste           	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
ciel             	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
nuageux          	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
laisser          	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
prévoir          	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
aller            	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
bientôt          	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
produire         	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
pays             	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
fredonner        	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
air              	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
nouer            	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
cravate          	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
sinistre         	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
travailler       	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
raconter         	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
ton              	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
badin            	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
dernier          	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
potin            	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
quartier         	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
efforcer         	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
installer        	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
sur              	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
chaise           	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
bébé             	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
jeune            	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
brailler         	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
force            	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
poumon           	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
aucun            	Aucun d’eux ne remarqua la grosse chouette hulotte au plumage mordoré qui voleta devant la fenêtre.
remarquer        	Aucun d’eux ne remarqua la grosse chouette hulotte au plumage mordoré qui voleta devant la fenêtre.
gros             	Aucun d’eux ne remarqua la grosse chouette hulotte au plumage mordoré qui voleta devant la fenêtre.
chouette         	Aucun d’eux ne remarqua la grosse chouette hulotte au plumage mordoré qui voleta devant la fenêtre.
hulotte          	Aucun d’eux ne remarqua la grosse chouette hulotte au plumage mordoré qui voleta devant la fenêtre.
plumage          	Aucun d’eux ne remarqua la grosse chouette hulotte au plumage mordoré qui voleta devant la fenêtre.
mordoré          	Aucun d’eux ne remarqua la grosse chouette hulotte au plumage mordoré qui voleta devant la fenêtre.
voleter          	Aucun d’eux ne remarqua la grosse chouette hulotte au plumage mordoré qui voleta devant la fenêtre.
devant           	Aucun d’eux ne remarqua la grosse chouette hulotte au plumage mordoré qui voleta devant la fenêtre.
fenêtre          	Aucun d’eux ne remarqua la grosse chouette hulotte au plumage mordoré qui voleta devant la fenêtre.
huit             	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
heure            	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
demie            	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
