terrier        	 3 LE TERRIER
astiquer       	 Il envoie beaucoup de courrier et il reste presque tout le temps enfermé dans sa chambre… Mais on ne peut quand même pas passer toutes ses journées à astiquer son insigne de préfet… Tu vas un peu trop loin vers l’ouest, Fred, ajouta George en montrant la boussole fixée au tableau de bord.
ouest          	 Il envoie beaucoup de courrier et il reste presque tout le temps enfermé dans sa chambre… Mais on ne peut quand même pas passer toutes ses journées à astiquer son insigne de préfet… Tu vas un peu trop loin vers l’ouest, Fred, ajouta George en montrant la boussole fixée au tableau de bord.
boussole       	 Il envoie beaucoup de courrier et il reste presque tout le temps enfermé dans sa chambre… Mais on ne peut quand même pas passer toutes ses journées à astiquer son insigne de préfet… Tu vas un peu trop loin vers l’ouest, Fred, ajouta George en montrant la boussole fixée au tableau de bord.
détournement   	 Le service des Détournements de l’Artisanat moldu.
artisanat      	 Le service des Détournements de l’Artisanat moldu.
brocanteur     	 Par exemple, l’année dernière, une vieille sorcière est morte et son service à thé a été vendu à un brocanteur.
garage         	 Il a un garage plein de ces machins-là.
machin         	 Il a un garage plein de ces machins-là.
démonter       	 Il les démonte, leur fait subir un tas de sortilèges et les remonte.
perquisition   	 S’il devait faire une perquisition dans sa propre maison, il serait obligé de se mettre lui-même en prison.
prison         	 S’il devait faire une perquisition dans sa propre maison, il serait obligé de se mettre lui-même en prison.
mosaïque       	 La voiture perdit de l’altitude et Harry aperçut une mosaïque de champs et de bosquets.
bosquet        	 La voiture perdit de l’altitude et Harry aperçut une mosaïque de champs et de bosquets.
atterrissage   	 – Atterrissage ! annonça Fred.
porcherie      	 On aurait dit une vaste porcherie qui aurait été agrandie au fil du temps.
agrandir       	 On aurait dit une vaste porcherie qui aurait été agrandie au fil du temps.
bancal         	 Haute de plusieurs étages, la maison paraissait si bancale qu’elle ne semblait tenir que par magie (ce qui était probablement le cas, songea Harry).
rouiller       	 Des bottes entassées en désordre et un vieux chaudron rouillé encadraient la porte.
encadrer       	 Des bottes entassées en désordre et un vieux chaudron rouillé encadraient la porte.
picorer        	 Quelques gros poulets bien gras picoraient dans la cour.
luxueux        	 – Ce n’est pas très luxueux, dit Ron.
tigresse       	 La petite femme replète au visage bienveillant semblait s’être brusquement transformée en une tigresse redoutable.
hanche         	 Mrs Weasley vint se planter devant eux, les mains sur les hanches, regardant alternativement chacun de ses trois fils qui baissaient la tête d’un air coupable.
alternativement	 Mrs Weasley vint se planter devant eux, les mains sur les hanches, regardant alternativement chacun de ses trois fils qui baissaient la tête d’un air coupable.
tablier        	 Elle portait un tablier à fleurs avec une poche d’où dépassait une baguette magique.
conquérant     	 – Bonjour, M’man, dit George en s’efforçant, sans grand succès, d’adopter un ton joyeux et conquérant.
ratatiner      	 – Désolé, M’man, mais tu sais, il fallait que… Chacun des trois fils de Mrs Weasley était plus grand qu’elle, mais ils semblèrent se ratatiner sur place lorsque sa rage explosa.
causer         	 Jamais Bill, Charles ou Percy ne nous ont causé autant de soucis…
recul          	 Enfin, lorsqu’elle se fut cassé la voix, elle se tourna vers Harry qui eut un mouvement de recul.
brut           	 Une table et des chaises en bois brut occupaient le centre de la pièce.
pâtisserie     	 Comment ensorceler son fromage, La Pâtisserie magique, Festin minute en un coup de baguette.
radio          	 Une vieille radio posée à côté de l’évier annonça l’émission «
chanteur       	 Salut les Sorciers » avec la célèbre chanteuse Célestina Moldubec.
cliquetis      	 Dans un cliquetis de vaisselle, Mrs Weasley s’occupait à préparer le petit déjeuner avec de grands gestes désordonnés, jetant des saucisses dans la poêle et des regards furieux à ses trois fils.
désordonner    	 Dans un cliquetis de vaisselle, Mrs Weasley s’occupait à préparer le petit déjeuner avec de grands gestes désordonnés, jetant des saucisses dans la poêle et des regards furieux à ses trois fils.
rajouter       	 Mais quand même (elle rajouta trois œufs au plat sur le tas de saucisses), traverser la moitié du pays dans une voiture volante totalement interdite !
beurrer        	 Mrs Weasley paraissait un peu calmée lorsqu’elle coupa du pain qu’elle se mit à beurrer pour le donner à Harry.
chemise        	 Au même moment, une petite silhouette aux cheveux roux, vêtue d’une chemise de nuit, apparut dans la cuisine, poussa un cri et ressortit en courant.
autographe     	 – Elle veut ton autographe, Harry, dit Fred avec un sourire.
furibond       	 Et vous deux, vous allez l’aider, reprit-elle en jetant un regard furibond à Ron et à George.
nuisible       	 Écrit en lettres d’or, il lut : Gilderoy Lockhart Le Guide des créatures domestiques nuisibles.
séduire        	 Au-dessous, une grande photo montrait un sorcier au visage séduisant avec des cheveux blonds ondulés et des yeux bleu clair.
coquin         	 Comme toujours dans le monde des sorciers, la photo était animée : Gilderoy Lockhart ne cessait de lancer des clins d’œil coquins autour de lui.
audible        	 – M’man a un faible pour lui, dit Fred dans un murmure parfaitement audible pour tout le monde.
inspection     	 Si vous pensez que vous en savez plus que Lockhart, allez-y, débrouillez-vous, mais gare à vous si je trouve le moindre gnome dans le jardin quand j’irai faire mon inspection.
ronchonner     	 Bâillant et ronchonnant, les frères Weasley sortirent d’un pas traînant, suivis par Harry.
émerveiller    	 – mais Harry était émerveillé par les arbres noueux plantés le long des murs et les massifs débordant de plantes et de fleurs qu’il n’avait encore jamais vues, sans compter la grande mare verte remplie de grenouilles.
mare           	 – mais Harry était émerveillé par les arbres noueux plantés le long des murs et les massifs débordant de plantes et de fleurs qu’il n’avait encore jamais vues, sans compter la grande mare verte remplie de grenouilles.
pivoine        	 Oui, j’en ai vu, dit Ron, penché sur un massif de pivoines.
brouette       	 Mais ce ne sont pas de vrais gnomes, on dirait des petits pères Noël grassouillets avec des brouettes et des cannes à pêche…
pêche          	 Mais ce ne sont pas de vrais gnomes, on dirait des petits pères Noël grassouillets avec des brouettes et des cannes à pêche…
méprendre      	 Il était petit avec une peau comme du cuir, et une grosse tête chauve couverte de verrues qui ressemblait à s’y méprendre à une pomme de terre.
lasso          	 Il leva le gnome au-dessus de sa tête (« Fishmoilapaix ! ») et le fit tourner comme un lasso.
tournis        	 Simplement, il faut leur donner le tournis pour qu’ils ne retrouvent plus le chemin de leurs trous à gnomes.
faiblesse      	 Il décida de laisser simplement tomber de l’autre côté de la haie le premier qu’il attrapa, mais le gnome, sentant une faiblesse de sa part, lui planta dans le doigt ses dents tranchantes comme un rasoir et Harry dut secouer frénétiquement sa main pour essayer de lui faire lâcher prise jusqu’à ce que… – Bravo, Harry !
tranchant      	 Il décida de laisser simplement tomber de l’autre côté de la haie le premier qu’il attrapa, mais le gnome, sentant une faiblesse de sa part, lui planta dans le doigt ses dents tranchantes comme un rasoir et Harry dut secouer frénétiquement sa main pour essayer de lui faire lâcher prise jusqu’à ce que… – Bravo, Harry !
rasoir         	 Il décida de laisser simplement tomber de l’autre côté de la haie le premier qu’il attrapa, mais le gnome, sentant une faiblesse de sa part, lui planta dans le doigt ses dents tranchantes comme un rasoir et Harry dut secouer frénétiquement sa main pour essayer de lui faire lâcher prise jusqu’à ce que… – Bravo, Harry !
affaler        	 Mr Weasley était affalé sur une chaise de la cuisine.
intervention   	 – Neuf interventions !
département    	 Il y a eu pas mal de sales histoires qui ne relevaient pas de mon département.
furet          	 Mortlake a dû répondre à quelques questions concernant des furets très étranges mais c’est du ressort de la Commission des sortilèges expérimentaux, Dieu merci…
commission     	 Mortlake a dû répondre à quelques questions concernant des furets très étranges mais c’est du ressort de la Commission des sortilèges expérimentaux, Dieu merci…
expérimental   	 Mortlake a dû répondre à quelques questions concernant des furets très étranges mais c’est du ressort de la Commission des sortilèges expérimentaux, Dieu merci…
nier           	 Heureusement, ils sont prêts à croire n’importe quoi quand il s’agit de nier la magie, même lorsqu’elle leur crève les yeux… mais c’est fou le nombre d’objets que les sorciers s’amusent à transformer…
lacune         	 Il y a une lacune dans la loi quand on y regarde de près… du moment qu’il n’a pas l’intention de faire voler la voiture, le fait qu’elle puisse voler ne…
rédiger        	 – Arthur Weasley, c’est toi qui t’es arrangé pour qu’il y ait une lacune dans la loi lorsque tu l’as rédigée !
bricolage      	 Simplement pour que tu puisses continuer tes bricolages avec tous ces machins de Moldus qu’il y a dans ton garage !
enfler         	 , il vaut mieux les laisser, chuchota Ron à l’oreille de Harry, tandis que Mrs Weasley enflait comme un crapaud-buffle.
zigzag         	 Ils se glissèrent hors de la cuisine et suivirent un couloir étroit jusqu’à un escalier aux marches bancales qui montait en zigzag dans les étages.
timide         	 C’est vraiment bizarre qu’elle soit si timide, d’habitude, on n’arrive pas à la faire taire.
peinture       	 Ils montèrent encore deux volées de marches avant d’arriver devant une porte à la peinture écaillée sur laquelle était écrit : «
épouser        	 Sa tête touchait presque le plafond incliné qui épousait la forme du toit.
éblouir        	 Ébloui, il cligna des yeux.
fournaise      	 Il avait l’impression d’avoir pénétré dans une fournaise : presque tout, dans la chambre de Ron, avait une couleur orange vif : le couvre-lit, les murs, et même le plafond.
énergie        	 Harry remarqua alors que Ron avait presque entièrement recouvert le papier miteux des murs avec des affiches représentant sept mages et sorcières, toujours les mêmes, tous vêtus de robes orange et tenant à la main des balais qu’ils brandissaient avec énergie.
broder         	 – Les Canons de Chudley, dit Ron en montrant le couvre-lit orange brodé de deux grands « C » et d’un boulet de canon.
aquarium       	 La baguette magique de Ron était posée sur un aquarium rempli de têtards, installé sur le rebord de la fenêtre, à côté de Croûtard, son gros rat gris qui somnolait dans un rayon de soleil.
opinion        	 Il se tourna ensuite vers Ron qui le regardait d’un air anxieux, comme s’il attendait son opinion.
