HPfrb1ch06-0001	rendez-vous      	RENDEZ-VOUS SUR LA VOIE 9 3/4
HPfrb1ch06-0041	touriste         	Harry l’observa attentivement, évitant même de cligner des yeux, mais un groupe de touristes important arriva et lui boucha la vue.
HPfrb1ch06-0042	franchement      	Franchement, tu crois que c’est digne d’une mère de confondre ses enfants ?
HPfrb1ch06-0043	digne            	Franchement, tu crois que c’est digne d’une mère de confondre ses enfants ?
HPfrb1ch06-0044	frère            	Il s’avança à son tour vers les voies tandis que son frère jumeau lui disait de se dépêcher.
HPfrb1ch06-0045	dadais           	Ron aussi est nouveau, dit la femme en montrant son plus jeune fils, un grand dadais avec de grands pieds, de grandes mains et des taches de rousseur.
HPfrb1ch06-0046	tache            	Ron aussi est nouveau, dit la femme en montrant son plus jeune fils, un grand dadais avec de grands pieds, de grandes mains et des taches de rousseur.
HPfrb1ch06-0047	rousseur         	Ron aussi est nouveau, dit la femme en montrant son plus jeune fils, un grand dadais avec de grands pieds, de grandes mains et des taches de rousseur.
HPfrb1ch06-0048	barrière         	Il suffit de marcher droit vers la barrière qui est devant toi, entre les deux tourniquets.
HPfrb1ch06-0049	tourniquet       	Il suffit de marcher droit vers la barrière qui est devant toi, entre les deux tourniquets.
HPfrb1ch06-0050	trac             	Si tu as le trac, il vaut mieux marcher très vite.
HPfrb1ch06-0051	solide           	Elle paraissait très solide.
HPfrb1ch06-0052	bousculer        	Il s’avança alors en poussant son chariot et marcha de plus en plus vite, bousculé par les voyageurs qui se hâtaient vers les voies 9 et 10.
HPfrb1ch06-0053	rapprocher       	La barrière se rapprochait dangereusement.
HPfrb1ch06-0054	dangereusement   	La barrière se rapprochait dangereusement.
HPfrb1ch06-0055	freiner          	Trop tard pour freiner, à présent.
HPfrb1ch06-0056	cinquante        	Il n’était plus qu’à cinquante centimètres.
HPfrb1ch06-0057	obstacle         	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
HPfrb1ch06-0058	rouvrir          	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
HPfrb1ch06-0059	locomotive       	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
HPfrb1ch06-0060	vif              	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
HPfrb1ch06-0061	presser          	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
HPfrb1ch06-0062	compact          	Il continua de courir sans rencontrer aucun obstacle et lorsqu’il rouvrit les yeux, il vit une locomotive rouge vif le long du quai où se pressait une foule compacte.
HPfrb1ch06-0063	express          	Express
HPfrb1ch06-0064	arche            	En regardant derrière lui, Harry vit une grande arche de fer forgé à la place de la barrière et des tourniquets.
HPfrb1ch06-0065	fer              	En regardant derrière lui, Harry vit une grande arche de fer forgé à la place de la barrière et des tourniquets.
HPfrb1ch06-0066	çà               	De la fumée s’échappait de la locomotive et se répandait au-dessus de la foule, des chats de toutes les couleurs se glissaient çà et là entre les jambes des passagers et la rumeur des conversations était ponctuée par le bruit des valises traînées sur le quai et des ululements que les hiboux échangeaient d’un air grognon.
HPfrb1ch06-0067	ponctuer         	De la fumée s’échappait de la locomotive et se répandait au-dessus de la foule, des chats de toutes les couleurs se glissaient çà et là entre les jambes des passagers et la rumeur des conversations était ponctuée par le bruit des valises traînées sur le quai et des ululements que les hiboux échangeaient d’un air grognon.
HPfrb1ch06-0068	grognon          	De la fumée s’échappait de la locomotive et se répandait au-dessus de la foule, des chats de toutes les couleurs se glissaient çà et là entre les jambes des passagers et la rumeur des conversations était ponctuée par le bruit des valises traînées sur le quai et des ululements que les hiboux échangeaient d’un air grognon.
HPfrb1ch06-0069	wagon            	Les premiers wagons étaient déjà pleins d’élèves.
HPfrb1ch06-0070	bavarder         	Certains, penchés aux fenêtres, bavardaient avec leurs parents pendant que d’autres se battaient pour une place assise.
HPfrb1ch06-0071	recherche        	Harry poussa son chariot le long du quai, à la recherche d’une place libre.
HPfrb1ch06-0072	libre            	Harry poussa son chariot le long du quai, à la recherche d’une place libre.
HPfrb1ch06-0073	joufflu          	Il passa devant un garçon au visage joufflu qui disait : – Grand-mère, j’ai encore perdu mon crapaud.
HPfrb1ch06-0074	dame             	– Neville ! soupira la vieille dame.
HPfrb1ch06-0075	surgir           	Le garçon souleva le couvercle de la boîte qu’il tenait dans les mains et tout le monde se mit à hurler en voyant surgir une longue patte velue.
HPfrb1ch06-0076	velu             	Le garçon souleva le couvercle de la boîte qu’il tenait dans les mains et tout le monde se mit à hurler en voyant surgir une longue patte velue.
HPfrb1ch06-0077	compartiment     	Harry se fraya un chemin parmi la foule jusqu’au dernier wagon où il trouva enfin un compartiment vide.
HPfrb1ch06-0078	hisser           	Il posa d’abord la cage d’Hedwige à l’intérieur du wagon, puis il essaya de hisser sa valise sur le marchepied mais il la fit tomber deux fois sur son pied.
HPfrb1ch06-0079	marchepied       	Il posa d’abord la cage d’Hedwige à l’intérieur du wagon, puis il essaya de hisser sa valise sur le marchepied mais il la fit tomber deux fois sur son pied.
HPfrb1ch06-0080	hé               	Hé, Fred, viens nous donner un coup de main.
HPfrb1ch06-0081	mèche            	– Merci, dit Harry en relevant d’un doigt une mèche de cheveux trempés de sueur.
HPfrb1ch06-0082	sueur            	– Merci, dit Harry en relevant d’un doigt une mèche de cheveux trempés de sueur.
HPfrb1ch06-0083	chœur            	– Harry Potter, dirent en chœur les deux frères.
HPfrb1ch06-0084	redescendre      	Après avoir jeté un dernier coup d’œil à Harry, les jumeaux se hâtèrent de redescendre sur le quai.
HPfrb1ch06-0085	demi             	À demi caché, il pouvait observer et entendre la famille aux cheveux roux sans être vu.
HPfrb1ch06-0086	dérober          	Le plus jeune des quatre frères essaya de se dérober mais sa mère l’attrapa par le bras et se mit à lui frotter le bout du nez.
HPfrb1ch06-0087	démarche         	L’aîné des garçons apparut, la démarche décidée.
HPfrb1ch06-0088	insigne          	Il avait déjà revêtu la grande robe noire de Poudlard et Harry remarqua, épinglé sur sa poitrine, un petit insigne brillant rouge et or qui portait la lettre P.
HPfrb1ch06-0089	préfet           	Je dois aller à l’avant du train, les préfets ont un compartiment réservé.
HPfrb1ch06-0090	été              	– Et même pendant tout l’été, à bien y réfléchir…
HPfrb1ch06-0091	ému              	– Parce qu’il est préfet, répondit leur mère d’une voix émue.
HPfrb1ch06-0092	blottir          	Harry se blottit un peu plus dans son coin pour être sûr qu’ils ne le voient pas.
HPfrb1ch06-0093	brun             	– Le petit brun qui était à côté de nous, à la gare ?
HPfrb1ch06-0094	flûté            	Harry entendit la voix flûtée de la petite fille.
HPfrb1ch06-0095	poli             	Il était tellement poli quand il m’a demandé où se trouvait le quai.
HPfrb1ch06-0096	sifflet          	Un sifflet retentit.
HPfrb1ch06-0097	indigner         	– George ! s’indigna sa mère.
HPfrb1ch06-0098	défiler          	Les maisons qui bordaient la voie défilaient devant la fenêtre du compartiment.
HPfrb1ch06-0099	excitation       	Harry éprouvait un sentiment d’excitation : il ne savait pas ce qui l’attendait, mais c’était certainement mieux que ce qu’il laissait derrière lui.
HPfrb1ch06-0100	indifférent      	Il jeta un coup d’œil à Harry puis se tourna du côté de la fenêtre d’un air indifférent.
HPfrb1ch06-0101	tarentule        	Lee Jordan a une tarentule géante, on va aller voir ça.
HPfrb1ch06-0102	blague           	– Je m’étais dit que c’était peut-être une blague de Fred ou George.
HPfrb1ch06-0103	avidement        	demanda avidement Ron.
HPfrb1ch06-0104	éblouissant      	– Je me souviens d’une lumière verte éblouissante, c’est tout.
HPfrb1ch06-0105	comptable        	Il paraît que M’man a un cousin qui est comptable, mais on ne parle jamais de lui à la maison.
HPfrb1ch06-0106	abominable       	En tout cas, ma tante, mon oncle et mon cousin sont abominables.
HPfrb1ch06-0107	rectifier        	– Cinq, rectifia Ron.
HPfrb1ch06-0108	assombrir        	Son visage s’était soudain assombri.
HPfrb1ch06-0109	sixième          	– Je suis le sixième à aller à Poudlard, dans la famille.
HPfrb1ch06-0110	intérêt          	J’ai intérêt à être à la hauteur.
HPfrb1ch06-0111	capitaine        	Bill était Préfet en chef et Charlie capitaine de l’équipe de Quidditch.
HPfrb1ch06-0112	maintenir        	– C’est un élève chargé de maintenir la discipline, répondit Ron.
HPfrb1ch06-0113	discipline       	– C’est un élève chargé de maintenir la discipline, répondit Ron.
HPfrb1ch06-0114	pion             	Une sorte de pion…
HPfrb1ch06-0115	confesser        	– Je ne suis pas beaucoup sorti de chez moi, confessa Harry.
HPfrb1ch06-0116	moyen            	Mon père a offert un hibou à Percy quand il a été nommé préfet, mais il n’avait pas les moyens de…
HPfrb1ch06-0117	détourner        	Les oreilles de Ron devinrent écarlates, comme s’il avait eu le sentiment d’en avoir trop dit et il détourna la tête.
HPfrb1ch06-0118	honteux          	Harry ne voyait pas pourquoi il aurait fallu se sentir honteux de n’avoir pas les moyens d’acheter un hibou.
HPfrb1ch06-0119	réconforter      	Cela sembla réconforter Ron.
HPfrb1ch06-0120	annonce          	– Jusqu’à ce que Hagrid me l’annonce, je ne savais pas que j’étais un sorcier, je ne savais même rien de mes parents, ni de Voldemort.
HPfrb1ch06-0121	rassurant        	– Oh non, dit Ron d’un ton rassurant.
HPfrb1ch06-0122	vache            	Pendant un long moment, ils restèrent silencieux, contemplant les vaches et les moutons qui paissaient dans les prés, le long de la voie.
HPfrb1ch06-0123	mouton           	Pendant un long moment, ils restèrent silencieux, contemplant les vaches et les moutons qui paissaient dans les prés, le long de la voie.
HPfrb1ch06-0124	paître           	Pendant un long moment, ils restèrent silencieux, contemplant les vaches et les moutons qui paissaient dans les prés, le long de la voie.
HPfrb1ch06-0125	pré              	Pendant un long moment, ils restèrent silencieux, contemplant les vaches et les moutons qui paissaient dans les prés, le long de la voie.
HPfrb1ch06-0126	midi             	Vers midi et demi, ils entendirent un chariot tintinnabuler dans le couloir du wagon et une jeune femme souriante fit glisser la porte du compartiment.
HPfrb1ch06-0127	marchandise      	– Vous désirez quelque chose, les enfants ? demanda-t-elle en montrant les marchandises disposées sur le chariot.
HPfrb1ch06-0128	sandwich         	Ron, les oreilles à nouveau écarlates, marmonna qu’il avait apporté des sandwiches.
HPfrb1ch06-0129	barre            	Pour la première fois de sa vie, Harry avait les poches pleines d’argent et il était décidé à s’en servir pour s’acheter autant de barres de chocolat qu’il lui plairait.
HPfrb1ch06-0130	totalement       	Mais en examinant les friandises que vendait la jeune femme, il s’aperçut qu’elles lui étaient totalement inconnues.
HPfrb1ch06-0131	dragée           	Jamais il n’avait entendu parler des Dragées surprises de Bertie Crochue, des Ballongommes du Bullard, des Chocogrenouilles, des Patacitrouilles, des Fondants du Chaudron ou des Baguettes magiques à la réglisse.
HPfrb1ch06-0132	fondant          	Jamais il n’avait entendu parler des Dragées surprises de Bertie Crochue, des Ballongommes du Bullard, des Chocogrenouilles, des Patacitrouilles, des Fondants du Chaudron ou des Baguettes magiques à la réglisse.
HPfrb1ch06-0133	réglisse         	Jamais il n’avait entendu parler des Dragées surprises de Bertie Crochue, des Ballongommes du Bullard, des Chocogrenouilles, des Patacitrouilles, des Fondants du Chaudron ou des Baguettes magiques à la réglisse.
HPfrb1ch06-0134	banquette        	Ron ouvrit de grands yeux lorsque Harry revint avec ses acquisitions et les étala sur la banquette.
HPfrb1ch06-0135	affamer          	– Je suis affamé, dit Harry en mordant avidement dans un Patacitrouille.
HPfrb1ch06-0136	mordre           	– Je suis affamé, dit Harry en mordant avidement dans un Patacitrouille.
HPfrb1ch06-0137	échange          	– Si tu veux, je te l’échange contre ce qui te plaira.
HPfrb1ch06-0138	proposer         	Vas-y, sers-toi, proposa Harry, ravi de pouvoir partager quelque chose avec quelqu’un pour la première fois de sa vie.
HPfrb1ch06-0139	grenouille       	Ce ne sont pas de vraies grenouilles, j’espère ?
HPfrb1ch06-0140	collection       	Non, mais regarde la carte qui est à l’intérieur, j’en fais collection.
HPfrb1ch06-0141	aquilin          	Elle montrait la photo d’un homme avec des lunettes en demi-lune, un long nez aquilin, une chevelure argentée, une barbe et une moustache.
HPfrb1ch06-0142	chevelure        	Elle montrait la photo d’un homme avec des lunettes en demi-lune, un long nez aquilin, une chevelure argentée, une barbe et une moustache.
HPfrb1ch06-0143	portrait         	Sous le portrait était écrit le nom du personnage : Albus Dumbledore.
HPfrb1ch06-0144	actuel           	Harry retourna la carte et lut : « Albus Dumbledore, actuel directeur du collège Poudlard.
HPfrb1ch06-0145	considérer       	Considéré par beaucoup comme le plus grand sorcier des temps modernes, Dumbledore s’est notamment rendu célèbre en écrasant en 1945 le mage Grindelwald, de sinistre mémoire.
HPfrb1ch06-0146	moderne          	Considéré par beaucoup comme le plus grand sorcier des temps modernes, Dumbledore s’est notamment rendu célèbre en écrasant en 1945 le mage Grindelwald, de sinistre mémoire.
HPfrb1ch06-0147	collaboration    	Il travailla en étroite collaboration avec l’alchimiste Nicolas Flamel et on lui doit la découverte des douze propriétés du sang de dragon.
HPfrb1ch06-0148	alchimiste       	Il travailla en étroite collaboration avec l’alchimiste Nicolas Flamel et on lui doit la découverte des douze propriétés du sang de dragon.
HPfrb1ch06-0149	découverte       	Il travailla en étroite collaboration avec l’alchimiste Nicolas Flamel et on lui doit la découverte des douze propriétés du sang de dragon.
HPfrb1ch06-0150	propriété        	Il travailla en étroite collaboration avec l’alchimiste Nicolas Flamel et on lui doit la découverte des douze propriétés du sang de dragon.
HPfrb1ch06-0151	sang             	Il travailla en étroite collaboration avec l’alchimiste Nicolas Flamel et on lui doit la découverte des douze propriétés du sang de dragon.
HPfrb1ch06-0152	passe-temps      	Les passe-temps préférés du professeur Dumbledore sont le bowling et la musique de chambre.
HPfrb1ch06-0153	bowling          	Les passe-temps préférés du professeur Dumbledore sont le bowling et la musique de chambre.
HPfrb1ch06-0154	musique          	Les passe-temps préférés du professeur Dumbledore sont le bowling et la musique de chambre.
HPfrb1ch06-0155	stupéfaire       	Harry regarda à nouveau la photo et fut stupéfait de constater que Dumbledore avait disparu.
HPfrb1ch06-0156	contemplation    	Il s’arracha enfin à la contemplation de la druidesse Cliodna qui se grattait le nez pour ouvrir un sachet de Dragées surprises de Bertie Crochue.
HPfrb1ch06-0157	parfum           	Il y a toutes sortes de parfums.
HPfrb1ch06-0158	épinard          	Si tu as de la chance, tu peux avoir chocolat, menthe ou orange, mais parfois, on tombe sur épinards ou foie et tripes.
HPfrb1ch06-0159	tripe            	Si tu as de la chance, tu peux avoir chocolat, menthe ou orange, mais parfois, on tombe sur épinards ou foie et tripes.
HPfrb1ch06-0160	coco             	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
HPfrb1ch06-0161	haricot          	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
HPfrb1ch06-0162	curry            	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
HPfrb1ch06-0163	gazon            	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
HPfrb1ch06-0164	café             	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
HPfrb1ch06-0165	sardine          	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
HPfrb1ch06-0166	goûter           	Il eut même le courage d’en goûter une qui avait une étrange couleur grise et que Ron refusa de toucher.
HPfrb1ch06-0167	poivre           	C’était une dragée au poivre.
HPfrb1ch06-0168	paysage          	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
HPfrb1ch06-0169	campagne         	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
HPfrb1ch06-0170	dessiner         	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
HPfrb1ch06-0171	colline          	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
HPfrb1ch06-0172	rivière          	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
HPfrb1ch06-0173	arbre            	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
HPfrb1ch06-0174	lamenter         	Je l’ai perdu, se lamenta le garçon.
HPfrb1ch06-0175	accabler         	Oui, soupira le garçon d’un air accablé.
HPfrb1ch06-0176	abîmer           	Il fouilla dans sa valise et en sortit une vieille baguette magique tout abîmée.
HPfrb1ch06-0177	brandir          	Au moment où il brandissait sa baguette, le garçon qui avait perdu son crapaud revint à la porte du compartiment, accompagné d’une fille déjà vêtue de sa robe de Poudlard flambant neuve.
HPfrb1ch06-0178	sien             	Neville a perdu le sien, dit la fille.
HPfrb1ch06-0179	ébouriffé        	Elle avait d’épais cheveux bruns ébouriffés, de grandes dents et un ton autoritaire.
HPfrb1ch06-0180	autoritaire      	Elle avait d’épais cheveux bruns ébouriffés, de grandes dents et un ton autoritaire.
HPfrb1ch06-0181	dépourvu         	Ron sembla pris au dépourvu.
HPfrb1ch06-0182	jonquille        	– Bon, dit-il, allons y : Soleil, jonquille et canari, Que ce gros gras rat gris En jaune soit colorié De la tête jusqu’aux pieds.
HPfrb1ch06-0183	colorier         	– Bon, dit-il, allons y : Soleil, jonquille et canari, Que ce gros gras rat gris En jaune soit colorié De la tête jusqu’aux pieds.
HPfrb1ch06-0184	suffisant        	J’ai déjà appris par cœur tous les livres qui sont au programme, j’espère que ce sera suffisant pour débuter.
HPfrb1ch06-0185	débuter          	J’ai déjà appris par cœur tous les livres qui sont au programme, j’espère que ce sera suffisant pour débuter.
HPfrb1ch06-0186	soulager         	Harry jeta un coup d’œil à Ron et fut soulagé.
HPfrb1ch06-0187	stupéfait       	Son expression stupéfaite montrait que lui non plus n’avait pas appris par cœur tous les livres du programme.
HPfrb1ch06-0188	culture          	Je sais tout sur toi, j’ai lu quelques livres supplémentaires pour ma culture générale et je peux te dire qu’on parle de toi dans Histoire de la magie moderne, Grandeur et décadence de la magie noire et Les Grands Événements de la sorcellerie au XXe siècle.
HPfrb1ch06-0189	général          	Je sais tout sur toi, j’ai lu quelques livres supplémentaires pour ma culture générale et je peux te dire qu’on parle de toi dans Histoire de la magie moderne, Grandeur et décadence de la magie noire et Les Grands Événements de la sorcellerie au XXe siècle.
HPfrb1ch06-0190	grandeur         	Je sais tout sur toi, j’ai lu quelques livres supplémentaires pour ma culture générale et je peux te dire qu’on parle de toi dans Histoire de la magie moderne, Grandeur et décadence de la magie noire et Les Grands Événements de la sorcellerie au XXe siècle.
HPfrb1ch06-0191	décadence        	Je sais tout sur toi, j’ai lu quelques livres supplémentaires pour ma culture générale et je peux te dire qu’on parle de toi dans Histoire de la magie moderne, Grandeur et décadence de la magie noire et Les Grands Événements de la sorcellerie au XXe siècle.
HPfrb1ch06-0192	siècle           	Je sais tout sur toi, j’ai lu quelques livres supplémentaires pour ma culture générale et je peux te dire qu’on parle de toi dans Histoire de la magie moderne, Grandeur et décadence de la magie noire et Les Grands Événements de la sorcellerie au XXe siècle.
HPfrb1ch06-0193	tarder           	Vous feriez bien de mettre vos robes de sorcier, vous deux, on ne va pas tarder à arriver.
HPfrb1ch06-0194	diviser          	– L’école est divisée en quatre maisons, répondit Ron.
HPfrb1ch06-0195	répartir         	Les élèves sont répartis dans chaque maison selon leur personnalité.
HPfrb1ch06-0196	selon            	Les élèves sont répartis dans chaque maison selon leur personnalité.
HPfrb1ch06-0197	personnalité     	Les élèves sont répartis dans chaque maison selon leur personnalité.
HPfrb1ch06-0198	démoraliser      	La conversation sur les maisons de Poudlard semblait le démoraliser complètement.
HPfrb1ch06-0199	diplôme          	Il se demandait ce que pouvait bien devenir un sorcier une fois ses diplômes en poche.
HPfrb1ch06-0200	propos           	À propos de Gringotts, tu es au courant de ce qui s’est passé ?
HPfrb1ch06-0201	article          	Il y a tout un article dans La Gazette du sorcier, mais j’imagine qu’on ne lit pas ça chez les Moldus.
HPfrb1ch06-0202	nouvelle         	Harry retourna dans sa tête la nouvelle qu’il venait d’apprendre.
HPfrb1ch06-0203	crainte          	Il commençait à ressentir un frisson de crainte chaque fois qu’on lui parlait de Vous-Savez-Qui.
HPfrb1ch06-0204	avouer           	Je ne connais pas les équipes, avoua Harry.
HPfrb1ch06-0205	match            	Il lui raconta les plus beaux matches qu’il avait vus en compagnie de ses frères et lui décrivit en détail le balai volant qu’il aurait aimé acheter s’il avait eu assez d’argent pour ça.
HPfrb1ch06-0206	décrire          	Il lui raconta les plus beaux matches qu’il avait vus en compagnie de ses frères et lui décrivit en détail le balai volant qu’il aurait aimé acheter s’il avait eu assez d’argent pour ça.
HPfrb1ch06-0207	aspect           	Il était en train de lui expliquer les aspects les plus complexes du jeu lorsque la porte du compartiment s’ouvrit à nouveau.
HPfrb1ch06-0208	complexe         	Il était en train de lui expliquer les aspects les plus complexes du jeu lorsque la porte du compartiment s’ouvrit à nouveau.
HPfrb1ch06-0209	lors             	Cette fois, il regardait Harry avec beaucoup plus d’intérêt que lors de leur première rencontre.
HPfrb1ch06-0210	rencontre        	Cette fois, il regardait Harry avec beaucoup plus d’intérêt que lors de leur première rencontre.
HPfrb1ch06-0211	solidement       	Tous deux étaient solidement bâtis et avaient l’air féroce.
HPfrb1ch06-0212	bâti             	Tous deux étaient solidement bâtis et avaient l’air féroce.
HPfrb1ch06-0213	toux             	Ron eut une toux discrète qui ressemblait à un ricanement.
HPfrb1ch06-0214	discret          	Ron eut une toux discrète qui ressemblait à un ricanement.
HPfrb1ch06-0215	ricanement       	Ron eut une toux discrète qui ressemblait à un ricanement.
