HPfrb1ch16-0001	trappe          	SOUS LA TRAPPE
HPfrb1ch16-0059	pli             	Ils virent alors Peeves qui faisait des plis dans le tapis pour faire trébucher les gens.
HPfrb1ch16-0060	rétrécir        	dit-il soudain, ses petits yeux noirs rétrécis.
HPfrb1ch16-0061	gnome           	Gnomes, fantômes ou sales mômes ?
HPfrb1ch16-0062	môme            	Gnomes, fantômes ou sales mômes ?
HPfrb1ch16-0063	excellence      	– Je suis désolé, votre sanglante excellence, Monsieur le Baron, dit-il d’une voix onctueuse.
HPfrb1ch16-0064	regrettable     	J’ai commis une erreur, une regrettable erreur, je ne vous avais pas vu.
HPfrb1ch16-0065	avancer         	Quelques secondes plus tard, ils s’étaient avancés dans le couloir et virent que la porte était entrebâillée.
HPfrb1ch16-0066	entrebâiller    	Quelques secondes plus tard, ils s’étaient avancés dans le couloir et virent que la porte était entrebâillée.
HPfrb1ch16-0067	harpe           	Ça ressemble à une harpe, dit Ron.
HPfrb1ch16-0068	mélodie         	Ce n’était pas vraiment une mélodie, mais dès la première note, les paupières du monstre devinrent lourdes, il arrêta de grogner, ses jambes faiblirent, il trébucha puis s’effondra sur le sol, profondément endormi.
HPfrb1ch16-0069	faiblir         	Ce n’était pas vraiment une mélodie, mais dès la première note, les paupières du monstre devinrent lourdes, il arrêta de grogner, ses jambes faiblirent, il trébucha puis s’effondra sur le sol, profondément endormi.
HPfrb1ch16-0070	continuer       	– Continue à jouer, dit Ron tandis qu’ils se débarrassaient de la cape et s’avançaient silencieusement vers la trappe.
HPfrb1ch16-0071	brûlant         	Lorsqu’ils approchèrent des trois têtes du chien, ils sentirent son souffle brûlant et fétide.
HPfrb1ch16-0072	fétide          	Lorsqu’ils approchèrent des trois têtes du chien, ils sentirent son souffle brûlant et fétide.
HPfrb1ch16-0073	pis             	– Bon, tant pis. Ron serra les dents, enjamba les pattes du chien avec précaution, puis tira l’anneau de la trappe qui se souleva sans difficulté et s’ouvrit.
HPfrb1ch16-0074	angoisse        	– Qu’est-ce que tu vois ? demanda Hermione avec angoisse.
HPfrb1ch16-0075	index           	Harry qui jouait toujours de la flûte fit un signe de la main à Ron et tapota sa poitrine de l’index.
HPfrb1ch16-0076	replonger       	Lorsque la musique s’arrêta, le chien se remit à grogner et à bouger, mais dès qu’Hermione joua à nouveau, il replongea dans le sommeil.
HPfrb1ch16-0077	enjamber        	Harry l’enjamba à son tour et regarda à travers l’ouverture.
HPfrb1ch16-0078	faiblement      	La flûte qu’on entendait faiblement s’interrompit.
HPfrb1ch16-0079	péniblement     	Elle se leva d’un bond et parvint péniblement à se réfugier contre une paroi humide.
HPfrb1ch16-0080	vrille          	Péniblement, car dès l’instant où elle avait atterri, les vrilles de la plante, longues comme des tentacules, avaient commencé à s’enrouler autour de ses chevilles.
HPfrb1ch16-0081	liane           	Quant à Ron et à Harry, des sortes de lianes leur avaient déjà ligoté les jambes sans qu’ils s’en rendent compte.
HPfrb1ch16-0082	libérer         	Hermione avait réussi à se libérer avant que la plante ait eu le temps de l’immobiliser.
HPfrb1ch16-0083	emprise         	Elle regarda avec horreur Harry et Ron qui se débattaient pour essayer de se libérer, mais plus ils tiraient sur les tentacules, plus l’emprise du monstre végétal se resserrait autour d’eux.
HPfrb1ch16-0084	végétal         	Elle regarda avec horreur Harry et Ron qui se débattaient pour essayer de se libérer, mais plus ils tiraient sur les tentacules, plus l’emprise du monstre végétal se resserrait autour d’eux.
HPfrb1ch16-0085	resserrer       	Elle regarda avec horreur Harry et Ron qui se débattaient pour essayer de se libérer, mais plus ils tiraient sur les tentacules, plus l’emprise du monstre végétal se resserrait autour d’eux.
HPfrb1ch16-0086	étreindre       	– Alors, dépêche-toi, parce que j’ai du mal à respirer, dit Harry d’une voix haletante tandis que la plante lui étreignait la poitrine.
HPfrb1ch16-0087	humidité        	Elle aime l’humidité et l’obscurité…
HPfrb1ch16-0088	fou             	– TU ES FOLLE ? hurla Ron. TU ES UNE SORCIÈRE OU QUOI ?
HPfrb1ch16-0089	sorcier         	– TU ES FOLLE ? hurla Ron. TU ES UNE SORCIÈRE OU QUOI ?
HPfrb1ch16-0090	desserrer       	En quelques instants, Ron et Harry sentirent la plante desserrer son étreinte tandis qu’elle se recroquevillait sous l’effet de la chaleur et de la lumière.
HPfrb1ch16-0091	liberté         	Ils retrouvèrent alors leur liberté de mouvement.
HPfrb1ch16-0092	ruissellement   	Ils s’engagèrent alors dans ce passage qui s’enfonçait sous la terre, où l’on entendait que le doux ruissellement de gouttes d’eau sur les murs.
HPfrb1ch16-0093	confus          	Venant d’un peu plus loin, on entendait un bruissement confus auquel se mêlaient quelques tintements.
HPfrb1ch16-0094	tintement       	Venant d’un peu plus loin, on entendait un bruissement confus auquel se mêlaient quelques tintements.
HPfrb1ch16-0095	brillamment     	Parvenus à l’extrémité du passage, ils découvrirent une salle brillamment éclairée, avec un haut plafond en forme d’arche.
HPfrb1ch16-0096	profonde        	Il prit une profonde inspiration, se protégea la tête avec les bras et s’élança à travers la salle.
HPfrb1ch16-0097	inspiration     	Il prit une profonde inspiration, se protégea la tête avec les bras et s’élança à travers la salle.
HPfrb1ch16-0098	élancer         	Il prit une profonde inspiration, se protégea la tête avec les bras et s’élança à travers la salle.
HPfrb1ch16-0099	rescousse       	Les deux autres vinrent à la rescousse, mais leurs efforts pour ouvrir la porte restèrent vains.
HPfrb1ch16-0100	froisser        	Les plumes sont toutes froissées d’un côté.
HPfrb1ch16-0101	cerner          	– Il faut la cerner, cria Harry, sans quitter des yeux la clé à l’aile blessée.
HPfrb1ch16-0102	paume           	Harry se pencha en avant et dans un craquement sinistre, il réussit à la plaquer contre la pierre avec la paume de la main.
HPfrb1ch16-0103	seuil           	Mais lorsqu’ils eurent franchi le seuil de la porte, une lumière éclatante jaillit soudain en leur révélant un spectacle étonnant.
HPfrb1ch16-0104	éclatant        	Mais lorsqu’ils eurent franchi le seuil de la porte, une lumière éclatante jaillit soudain en leur révélant un spectacle étonnant.
HPfrb1ch16-0105	imposant        	Les pièces blanches, imposantes, n’avaient pas de visage.
HPfrb1ch16-0106	casque          	Le cheval frappa l’échiquier de ses sabots et le cavalier tourna vers Ron sa tête coiffée d’un casque.
HPfrb1ch16-0107	toi             	Toi, Harry, tu prends la place de ce fou et toi, Hermione tu te mets là sur la case de la tour.
HPfrb1ch16-0108	diagonale       	– Harry, déplace-toi de quatre cases en diagonale vers la droite.
HPfrb1ch16-0109	reine           	La reine blanche l’assomma en le jetant à bas de sa monture et le traîna au bord de l’échiquier où il resta immobile, face contre terre.
HPfrb1ch16-0110	assommer        	La reine blanche l’assomma en le jetant à bas de sa monture et le traîna au bord de l’échiquier où il resta immobile, face contre terre.
HPfrb1ch16-0111	monture         	La reine blanche l’assomma en le jetant à bas de sa monture et le traîna au bord de l’échiquier où il resta immobile, face contre terre.
HPfrb1ch16-0112	sacrifice       	Il faut savoir faire des sacrifices !
HPfrb1ch16-0113	mat             	Je vais jouer mon coup et elle me prendra, ce qui te permettra de faire échec et mat, Harry.
HPfrb1ch16-0114	roi             	Aussitôt, le roi blanc ôta sa couronne et la jeta aux pieds de Harry.
HPfrb1ch16-0115	couronne        	Aussitôt, le roi blanc ôta sa couronne et la jeta aux pieds de Harry.
HPfrb1ch16-0116	répugnant       	Aussitôt, une répugnante odeur leur frappa les narines et tous deux durent relever les pans de leur robe pour se couvrir le nez.
HPfrb1ch16-0117	bosse           	Il était évanoui, avec une grosse bosse sanglante sur le front.
HPfrb1ch16-0118	abolir          	Deux sauront parmi nous conduire à la lumière, L’une d’entre les sept en avant te protège Et une autre en arrière abolira le piège, Deux ne pourront t’offrir que simple vin d’ortie Trois sont mortels poisons, promesse d’agonie, Choisis, si tu veux fuir un éternel supplice,
HPfrb1ch16-0119	agonie          	Deux sauront parmi nous conduire à la lumière, L’une d’entre les sept en avant te protège Et une autre en arrière abolira le piège, Deux ne pourront t’offrir que simple vin d’ortie Trois sont mortels poisons, promesse d’agonie, Choisis, si tu veux fuir un éternel supplice,
HPfrb1ch16-0120	éternel         	Deux sauront parmi nous conduire à la lumière, L’une d’entre les sept en avant te protège Et une autre en arrière abolira le piège, Deux ne pourront t’offrir que simple vin d’ortie Trois sont mortels poisons, promesse d’agonie, Choisis, si tu veux fuir un éternel supplice,
HPfrb1ch16-0121	supplice        	Deux sauront parmi nous conduire à la lumière, L’une d’entre les sept en avant te protège Et une autre en arrière abolira le piège, Deux ne pourront t’offrir que simple vin d’ortie Trois sont mortels poisons, promesse d’agonie, Choisis, si tu veux fuir un éternel supplice,
HPfrb1ch16-0122	rusé            	Le premier : si rusée que soit leur perfidie, Les poisons sont à gauche des deux vins d’ortie.
HPfrb1ch16-0123	perfidie        	Le premier : si rusée que soit leur perfidie, Les poisons sont à gauche des deux vins d’ortie.
HPfrb1ch16-0124	inégal          	Le troisième : elles sont de tailles inégales, Ni naine ni géante en son sein n’est fatale.
HPfrb1ch16-0125	nain            	Le troisième : elles sont de tailles inégales, Ni naine ni géante en son sein n’est fatale.
HPfrb1ch16-0126	sein            	Le troisième : elles sont de tailles inégales, Ni naine ni géante en son sein n’est fatale.
HPfrb1ch16-0127	jumeler         	Quatre enfin : les deuxièmes, à gauche comme à droite, Sont jumelles de goût, mais d’aspect disparates.
HPfrb1ch16-0128	disparate       	Quatre enfin : les deuxièmes, à gauche comme à droite, Sont jumelles de goût, mais d’aspect disparates.
HPfrb1ch16-0129	soupir          	Hermione poussa un profond soupir et Harry fut stupéfait de voir qu’elle souriait.
HPfrb1ch16-0130	logique         	Ce n’est pas de la magie, c’est de la logique.
HPfrb1ch16-0131	énigme          	Une énigme.
HPfrb1ch16-0132	boire           	– Bois la première, dit Harry.
HPfrb1ch16-0133	goulot          	Elle but une longue gorgée au goulot de la bouteille ronde et fut parcourue d’un frisson.
HPfrb1ch16-0134	angoissé        	demanda Harry d’une voix angoissée.
HPfrb1ch16-0135	contracter      	Il reposa la bouteille, contracta ses muscles et s’avança à travers le feu.
HPfrb1ch16-0136	muscle          	Il reposa la bouteille, contracta ses muscles et s’avança à travers le feu.
HPfrb1ch16-0137	lécher          	Les flammes noires lui léchèrent le corps, mais il ne sentit aucune chaleur.
