HPfrb1ch02-0001	le               	LE SURVIVANT
HPfrb1ch02-0015	parfaitement     	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
HPfrb1ch02-0016	normal           	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
HPfrb1ch02-0017	merci            	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
HPfrb1ch02-0018	pour             	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
HPfrb1ch02-0019	lui              	Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu’ils étaient parfaitement normaux, merci pour eux.
HPfrb1ch02-0020	jamais           	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
HPfrb1ch02-0021	quiconque        	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
HPfrb1ch02-0022	imaginer         	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
HPfrb1ch02-0023	pouvoir          	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
HPfrb1ch02-0024	se               	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
HPfrb1ch02-0025	trouver          	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
HPfrb1ch02-0026	impliquer        	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
HPfrb1ch02-0027	dans             	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
HPfrb1ch02-0028	quoi             	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
HPfrb1ch02-0029	que              	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
HPfrb1ch02-0030	ce               	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
HPfrb1ch02-0031	étrange          	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
HPfrb1ch02-0032	ou               	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
HPfrb1ch02-0033	de               	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
HPfrb1ch02-0034	mystérieux       	Jamais quiconque n’aurait imaginé qu’ils puissent se trouver impliqués dans quoi que ce soit d’étrange ou de mystérieux.
HPfrb1ch02-0035	pas              	Ils n’avaient pas de temps à perdre avec des sornettes.
HPfrb1ch02-0036	temps            	Ils n’avaient pas de temps à perdre avec des sornettes.
HPfrb1ch02-0037	à                	Ils n’avaient pas de temps à perdre avec des sornettes.
HPfrb1ch02-0038	perdre           	Ils n’avaient pas de temps à perdre avec des sornettes.
HPfrb1ch02-0039	un               	Ils n’avaient pas de temps à perdre avec des sornettes.
HPfrb1ch02-0040	sornettes        	Ils n’avaient pas de temps à perdre avec des sornettes.
HPfrb1ch02-0041	diriger          	Mr Dursley dirigeait la Grunnings, une entreprise qui fabriquait des perceuses.
HPfrb1ch02-0042	entreprise       	Mr Dursley dirigeait la Grunnings, une entreprise qui fabriquait des perceuses.
HPfrb1ch02-0043	fabriquer        	Mr Dursley dirigeait la Grunnings, une entreprise qui fabriquait des perceuses.
HPfrb1ch02-0044	perceuse         	Mr Dursley dirigeait la Grunnings, une entreprise qui fabriquait des perceuses.
HPfrb1ch02-0045	homme            	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
HPfrb1ch02-0046	massif           	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
HPfrb1ch02-0047	pratiquement     	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
HPfrb1ch02-0048	cou              	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
HPfrb1ch02-0049	mais             	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
HPfrb1ch02-0050	posséder         	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
HPfrb1ch02-0051	en               	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
HPfrb1ch02-0052	revanche         	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
HPfrb1ch02-0053	moustache        	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
HPfrb1ch02-0054	beau             	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
HPfrb1ch02-0055	taille           	C’était un homme grand et massif, qui n’avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.
HPfrb1ch02-0056	quant à          	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0057	mince            	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0058	blonde           	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0059	disposer         	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0060	deux             	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0061	fois             	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0062	long             	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0063	moyenne          	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0064	luire            	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0065	fort             	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0066	utile            	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0067	espionner        	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0068	son              	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0069	voisin           	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0070	regarder         	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0071	par              	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0072	dessus           	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0073	clôture          	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0074	jardin           	Mrs Dursley, quant à elle, était mince et blonde et disposait d’un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.
HPfrb1ch02-0075	petit            	Les Dursley avaient un petit garçon prénommé Dudley et c’était à leurs yeux le plus bel enfant du monde.
HPfrb1ch02-0076	garçon           	Les Dursley avaient un petit garçon prénommé Dudley et c’était à leurs yeux le plus bel enfant du monde.
HPfrb1ch02-0077	prénommer        	Les Dursley avaient un petit garçon prénommé Dudley et c’était à leurs yeux le plus bel enfant du monde.
HPfrb1ch02-0078	leur             	Les Dursley avaient un petit garçon prénommé Dudley et c’était à leurs yeux le plus bel enfant du monde.
HPfrb1ch02-0079	œil              	Les Dursley avaient un petit garçon prénommé Dudley et c’était à leurs yeux le plus bel enfant du monde.
HPfrb1ch02-0080	enfant           	Les Dursley avaient un petit garçon prénommé Dudley et c’était à leurs yeux le plus bel enfant du monde.
HPfrb1ch02-0081	monde            	Les Dursley avaient un petit garçon prénommé Dudley et c’était à leurs yeux le plus bel enfant du monde.
HPfrb1ch02-0082	tout             	Les Dursley avaient tout ce qu’ils voulaient.
HPfrb1ch02-0083	vouloir          	Les Dursley avaient tout ce qu’ils voulaient.
HPfrb1ch02-0084	seul             	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
HPfrb1ch02-0085	chose            	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
HPfrb1ch02-0086	indésirable      	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
HPfrb1ch02-0087	secret           	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
HPfrb1ch02-0088	dont             	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
HPfrb1ch02-0089	craindre         	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
HPfrb1ch02-0090	on               	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
HPfrb1ch02-0091	découvrir        	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
HPfrb1ch02-0092	jour             	La seule chose indésirable qu’ils possédaient, c’était un secret dont ils craignaient plus que tout qu’on le découvre un jour.
HPfrb1ch02-0093	si               	Si jamais quiconque venait à entendre parler des Potter, ils étaient convaincus qu’ils ne s’en remettraient pas.
HPfrb1ch02-0094	venir            	Si jamais quiconque venait à entendre parler des Potter, ils étaient convaincus qu’ils ne s’en remettraient pas.
HPfrb1ch02-0095	entendre         	Si jamais quiconque venait à entendre parler des Potter, ils étaient convaincus qu’ils ne s’en remettraient pas.
HPfrb1ch02-0096	parler           	Si jamais quiconque venait à entendre parler des Potter, ils étaient convaincus qu’ils ne s’en remettraient pas.
HPfrb1ch02-0097	convaincre       	Si jamais quiconque venait à entendre parler des Potter, ils étaient convaincus qu’ils ne s’en remettraient pas.
HPfrb1ch02-0098	ne               	Si jamais quiconque venait à entendre parler des Potter, ils étaient convaincus qu’ils ne s’en remettraient pas.
HPfrb1ch02-0099	remettre         	Si jamais quiconque venait à entendre parler des Potter, ils étaient convaincus qu’ils ne s’en remettraient pas.
HPfrb1ch02-0100	sœur             	Mrs Potter était la sœur de Mrs Dursley, mais toutes deux ne s’étaient plus revues depuis des années.
HPfrb1ch02-0101	revoir           	Mrs Potter était la sœur de Mrs Dursley, mais toutes deux ne s’étaient plus revues depuis des années.
HPfrb1ch02-0102	depuis           	Mrs Potter était la sœur de Mrs Dursley, mais toutes deux ne s’étaient plus revues depuis des années.
HPfrb1ch02-0103	année            	Mrs Potter était la sœur de Mrs Dursley, mais toutes deux ne s’étaient plus revues depuis des années.
HPfrb1ch02-0104	fait             	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
HPfrb1ch02-0105	faire            	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
HPfrb1ch02-0106	comme            	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
HPfrb1ch02-0107	fille            	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
HPfrb1ch02-0108	unique           	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
HPfrb1ch02-0109	car              	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
HPfrb1ch02-0110	bon              	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
HPfrb1ch02-0111	rien             	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
HPfrb1ch02-0112	mari             	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
HPfrb1ch02-0113	aussi            	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
HPfrb1ch02-0114	éloigné          	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
HPfrb1ch02-0115	possible         	En fait, Mrs Dursley faisait comme si elle était fille unique, car sa sœur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.
HPfrb1ch02-0116	trembler         	Les Dursley tremblaient d’épouvante à la pensée de ce que diraient les voisins si par malheur les Potter se montraient dans leur rue.
HPfrb1ch02-0117	épouvante        	Les Dursley tremblaient d’épouvante à la pensée de ce que diraient les voisins si par malheur les Potter se montraient dans leur rue.
HPfrb1ch02-0118	pensée           	Les Dursley tremblaient d’épouvante à la pensée de ce que diraient les voisins si par malheur les Potter se montraient dans leur rue.
HPfrb1ch02-0119	dire             	Les Dursley tremblaient d’épouvante à la pensée de ce que diraient les voisins si par malheur les Potter se montraient dans leur rue.
HPfrb1ch02-0120	malheur          	Les Dursley tremblaient d’épouvante à la pensée de ce que diraient les voisins si par malheur les Potter se montraient dans leur rue.
HPfrb1ch02-0121	montrer          	Les Dursley tremblaient d’épouvante à la pensée de ce que diraient les voisins si par malheur les Potter se montraient dans leur rue.
HPfrb1ch02-0122	rue              	Les Dursley tremblaient d’épouvante à la pensée de ce que diraient les voisins si par malheur les Potter se montraient dans leur rue.
HPfrb1ch02-0123	savoir           	Ils savaient que les Potter, eux aussi, avaient un petit garçon, mais ils ne l’avaient jamais vu.
HPfrb1ch02-0124	voir             	Ils savaient que les Potter, eux aussi, avaient un petit garçon, mais ils ne l’avaient jamais vu.
HPfrb1ch02-0125	existence        	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
HPfrb1ch02-0126	constituer       	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
HPfrb1ch02-0127	raison           	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
HPfrb1ch02-0128	supplémentaire   	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
HPfrb1ch02-0129	tenir            	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
HPfrb1ch02-0130	distance         	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
HPfrb1ch02-0131	question         	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
HPfrb1ch02-0132	mettre           	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
HPfrb1ch02-0133	fréquenter       	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
HPfrb1ch02-0134	celui            	Son existence constituait une raison supplémentaire de tenir les Potter à distance : il n’était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.
HPfrb1ch02-0135	lorsque          	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0136	éveiller         	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0137	matin            	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0138	mardi            	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0139	où               	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0140	commencer        	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0141	histoire         	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0142	gris             	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0143	triste           	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0144	ciel             	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0145	nuageux          	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0146	laisser          	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0147	prévoir          	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0148	aller            	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0149	bientôt          	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0150	produire         	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0151	pays             	Lorsque Mr et Mrs Dursley s’éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.
HPfrb1ch02-0152	fredonner        	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
HPfrb1ch02-0153	air              	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
HPfrb1ch02-0154	nouer            	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
HPfrb1ch02-0155	cravate          	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
HPfrb1ch02-0156	sinistre         	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
HPfrb1ch02-0157	travailler       	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
HPfrb1ch02-0158	raconter         	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
HPfrb1ch02-0159	ton              	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
HPfrb1ch02-0160	badin            	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
HPfrb1ch02-0161	dernier          	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
HPfrb1ch02-0162	potin            	Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d’un ton badin les derniers potins du quartier en s’efforçant d’installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.
